Bistarkum | Radiolaria | 0 | marine
Blattula | Arthropoda | 0 | terrestrial
Boeckhia | Mollusca | 0 |
Bositra | Mollusca | 0 | marine,brackish
Bosniella | Foraminifera | 0 |
Botryococcus | Chlorophyta | 0 | lagoonal,coastal,inner shelf,marine,brackish,freshwater
Bourguetia | Mollusca | 0 |
Brachybelus | Mollusca | 0 |
Brachyphyllum | Pinopsida | 0 |
Bradfordia | Mollusca | 0 |
Brasilia | Mollusca | 0 |
Bredyia | Mollusca | 0 |
Brevibelus | Mollusca | 0 |
Breviparopus | Chordata | 0 | terrestrial
Brizalina | Foraminifera | 1 | outer shelf,marine
Brontopodus | Chordata | 0 | terrestrial
Buchia | Mollusca | 0 | marine
Bucklandia | Cycadophyta | 0 |
Bullariscus | Arthropoda | 0 |
Bullopora | Foraminifera | 0 |
Burmirhynchia | Brachiopoda | 0 |
Bussonius | Haptophyta | 0 | oceanic,oligotrophic,marine,brackish
Bythoceratina | Arthropoda | 0 | hypersaline,marine,brackish,freshwater
Bythocypris | Arthropoda | 1 | hypersaline,marine,brackish,freshwater
Cadomella | Brachiopoda | 0 |
Cadomites | Mollusca | 0 |
Caenocidaris | Echinodermata | 0 | marine
Cagliceras | Mollusca | 0 |
Calamites | Sphenophyta | 0 |
Calamophylliopsis | Cnidaria | 0 | marine
Calcirhynchia | Brachiopoda | 0 |
Caledorhynchia | Brachiopoda | 0 |
Callialasporites | Coniferophyta | 0 |
Callianassa | Arthropoda | 1 |
Calliphylloceras | Mollusca | 0 |
Caloceras | Mollusca | 0 |
Calvirhynchia | Brachiopoda | 0 |
Calyculus | Haptophyta | 0 | oceanic,oligotrophic,marine,brackish
Camptonectes | Mollusca | 0 | marine
Canavarella | Mollusca | 0 |
Candona | Arthropoda | 1 | freshwater
Canoptum | Radiolaria | 0 | marine
Capillirhynchia | Brachiopoda | 0 |
Carabopteron | Arthropoda | 0 | terrestrial
Cardinia | Mollusca | 1 |
Cardinirhynchia | Brachiopoda | 0 |
Cardobairdia | Arthropoda | 0 | hypersaline,marine,brackish,freshwater
Carinathilda | Mollusca | 0 |
Carinolithus | Haptophyta | 0 | oceanic,oligotrophic,marine,brackish
Carmelopodus | Chordata | 0 | terrestrial
Catacoeloceras | Mollusca | 0 |
Catella | Mollusca | 0 |
Catulloceras | Mollusca | 0 |
Caucasella | Brachiopoda | 0 |
Caumontisphinctes | Mollusca | 0 |
Cayeuxia | Cyanobacteria | 0 | hypersaline,marine,brackish,freshwater
Caytonia | Ginkgophyta | 0 |
Cenoceras | Mollusca | 0 |
Cenosphaera | Radiolaria | 1 | marine
Ceratomya | Mollusca | 0 |
Ceratomyopsis | Mollusca | 0 |
Cercomya | Mollusca | 0 |
Cererithyris | Brachiopoda | 0 |
Ceritella | Mollusca | 0 |
Cerithinella | Mollusca | 0 |
Cerithium | Mollusca | 1 |
Cetiosaurus | Chordata | 0 | terrestrial
Chacaicosaurus | Chordata | 0 | marine
Changdusaurus | Chordata | 0 | terrestrial
Changpeipus | Chordata | 0 | terrestrial
Characichnos | Chordata | 0 | brackish,freshwater,terrestrial
Chariocrinus | Echinodermata | 0 | marine
Charlottea | Radiolaria | 0 | marine
Charltonithyris | Brachiopoda | 0 |
Chemnitzia | Mollusca | 1 |
Cheniothyris | Brachiopoda | 0 |
Chimaerocoleites | Arthropoda | 0 | terrestrial
Chironomaptera | Arthropoda | 0 | terrestrial
Chiton | Mollusca | 1 | marine,brackish
Chladocrinus | Echinodermata | 1 | marine
Chlamys | Mollusca | 1 | marine
Choffatiasphinctes | Mollusca | 0 |
Chomatoseris | Cnidaria | 0 | marine
Chondroceras | Mollusca | 0 |
Chorolimnobia | Arthropoda | 0 | terrestrial
Cicatricosisporites | Pteridophyta | 0 |
Cicatricososporites | Pteridophyta | 0 |
Cidaris | Echinodermata | 1 | marine
Cingulatisporites | Pteridophyta | 0 |
Cinguloturris | Radiolaria | 0 | marine
Cirpa | Brachiopoda | 0 |
Cirrus | Mollusca | 0 |
Citharina | Foraminifera | 0 |
Cladocoropsis | Porifera | 0 |
Cladophlebis | Pteridophyta | 1 |
Cladophyllia | Cnidaria | 0 | marine
Cladotheca | Pteridophyta | 0 |
Classopollis | Coniferophyta | 0 |
Clathropteris | Pteridophyta | 0 |
Claughtonia | Mollusca | 0 |
Clausastrea | Cnidaria | 0 | marine
Clydoniceras | Mollusca | 0 |
Clypeus | Echinodermata | 0 | marine
Coelastarte | Mollusca | 0 |
Coeloceras | Mollusca | 0 |
Coelodiscus | Mollusca | 0 |
Coelopus | Arthropoda | 0 |
Coelostylina | Mollusca | 0 |
Coelurosaurichnus | Chordata | 0 | terrestrial
Coleia | Arthropoda | 0 |
Coleopteron | Arthropoda | 0 | terrestrial
Collignonastraea | Cnidaria | 0 | marine
Comophyllia | Cnidaria | 0 | marine
Complexastraeopsis | Cnidaria | 0 | marine
Complexastrea | Cnidaria | 0 | marine
Comptoniaster | Echinodermata | 0 | marine
Conarothyris | Brachiopoda | 0 |
Concavisporites | Pteridophyta | 1 |
Concavissimisporites | Pteridophyta | 0 |
Condorchelys | Chordata | 0 | terrestrial
Condorraptor | Chordata | 0 | terrestrial
Confusastrea | Cnidaria | 0 | marine
Conicospirillina | Foraminifera | 0 |
Coniopteris | Pteridophyta | 0 |
Conites | Cycadeoideophyta | 0 |
Conodicoelites | Mollusca | 0 |
Conoglobigerina | Foraminifera | 0 |
Convexastrea | Cnidaria | 0 | marine
Coptothyris | Brachiopoda | 1 |
Corbicella | Mollusca | 0 |
Corbicellopsis | Mollusca | 0 |
Corbicula | Mollusca | 1 | brackish,freshwater
Corbula | Mollusca | 1 |
Corbulomima | Mollusca | 0 |
Cornutella | Radiolaria | 1 | marine
Costactaeon | Mollusca | 0 |
Costatrochus | Mollusca | 0 |
Costigervillia | Mollusca | 0 | marine,brackish
Costirhynchia | Brachiopoda | 0 |
Cotylederma | Echinodermata | 0 | marine
Cracensigillatus | Arthropoda | 0 |
Crepidolithus | Haptophyta | 0 | oceanic,oligotrophic,marine,brackish
Cretacaeiporites | Spermatophyta | 0 |
Crossostoma | Mollusca | 0 |
Crucella | Radiolaria | 0 | marine
Crussolia | Myzozoa | 0 |
Crybelosporites | Pteridophyta | 0 |
Cryptaulax | Mollusca | 1 |
Cryptocoenia | Cnidaria | 0 | marine
Cryptomerites | Coniferophyta | 0 |
Cryptorhynchia | Brachiopoda | 0 |
Ctenis | Cycadophyta | 0 |
Ctenostreon | Mollusca | 0 | marine
Cubanirhynchia | Brachiopoda | 0 |
Cucullaea | Mollusca | 1 |
Cucumarites | Echinodermata | 1 | marine
Culmenformosa | Arthropoda | 0 |
Culozoma | Echinodermata | 0 | marine
Cupressinocladus | Coniferophyta | 0 |
Cupressinoxylon | Pinophyta | 0 |
Curtirhynchia | Brachiopoda | 0 |
Cuspidaria | Mollusca | 1 |
Cuspiteuthis | Mollusca | 0 |
Cyathophora | Cnidaria | 0 | marine
Cyathophylliopsis | Cnidaria | 0 | marine
Cycadocarpidium | Coniferophyta | 0 |
Cycadolepis | Cycadeoideophyta | 0 |
Cycadopites | Cycadophyta | 0 |
Cycleryon | Arthropoda | 0 |
Cyclocrinus | Echinodermata | 0 | marine
Cycloserpula | Annelida | 1 | marine,brackish
Cylicoceras | Mollusca | 0 |
Cylindrobullina | Mollusca | 0 |
Cylindroteuthis | Mollusca | 0 |
Cymatorhynchia | Brachiopoda | 0 |
Cyparissidium | Pinophyta | 0 |
Cypridina | Arthropoda | 1 | hypersaline,marine,brackish,freshwater
Cyrtocapsa | Radiolaria | 1 | marine
Cytherella | Arthropoda | 1 | hypersaline,marine,brackish,freshwater
Cytherelloidea | Arthropoda | 1 | hypersaline,marine,brackish,freshwater
Cytheropterina | Arthropoda | 0 | hypersaline,marine,brackish,freshwater
Cytheropteron | Arthropoda | 1 | hypersaline,marine,brackish,freshwater
Cyzicus | Arthropoda | 1 | marine,brackish,freshwater
Czekanowskia | Ginkgophyta | 0 |
Dactylioceras | Mollusca | 0 |
Dactyloteuthis | Mollusca | 0 |
Daghanirhynchia | Brachiopoda | 0 |
Dapedium | Chordata | 0 | marine
Dearcmhara | Chordata | 0 | marine
Deflandrecyrtium | Radiolaria | 0 | marine
Deltapodus | Chordata | 0 | terrestrial
Deltarhynchia | Brachiopoda | 0 |
Deltoidospora | Pteridophyta | 0 |
Dendraraea | Cnidaria | 0 | marine
Densoisporites | Pteridophyta | 0 |
Dentalina | Foraminifera | 1 |
Dermaster | Echinodermata | 0 | marine,brackish
Dermocoma | Echinodermata | 0 | marine
Dermosmilia | Cnidaria | 0 | marine
Desmiophyllum | Coniferophyta | 0 |
Deviatus | Radiolaria | 0 | marine
Diacanthocapsa | Radiolaria | 0 | marine
Diademopsis | Echinodermata | 0 | marine
Dianoconcha | Mollusca | 0 | freshwater
Diceratigalea | Radiolaria | 0 | marine
Dicksonia | Pteridophyta | 1 |
Dicroloma | Mollusca | 0 |
Dictyocoleus | Arthropoda | 0 | terrestrial
Dictyomitrella | Radiolaria | 0 | marine
Dictyophyllum | Pteridophyta | 0 |
Digonioceras | Mollusca | 0 |
Dimorpharaea | Cnidaria | 0 | marine
Dimorphastrea | Cnidaria | 0 | marine
Dimorphinites | Mollusca | 0 |
Dimorphomeandra | Cnidaria | 0 | marine
Dimorphotectus | Mollusca | 0 |
Dinoharpalus | Arthropoda | 0 | terrestrial
Dioonites | Cycadophyta | 0 |
Diplesioceras | Mollusca | 0 |
Diplocidaris | Echinodermata | 0 | marine
Discina | Brachiopoda | 1 |
Discinisca | Brachiopoda | 1 |
Discohelix | Mollusca | 0 |
Discoidea | Echinodermata | 0 | marine
Discorhabdus | Haptophyta | 0 | oceanic,oligotrophic,marine,brackish
Djanaliparkinsonia | Mollusca | 0 |
Docidoceras | Mollusca | 0 |
Dorsetensia | Mollusca | 0 |
Dorsoplicathyris | Brachiopoda | 0 |
Dorsoserpula | Annelida | 1 |
Droltus | Radiolaria | 0 | marine
Druganirhynchia | Brachiopoda | 0 |
Drymosphaera | Radiolaria | 0 | marine
Dumitricaella | Radiolaria | 0 | marine
Dumortieria | Mollusca | 0 |
Duplexisporites | Pteridophyta | 0 |
Duriavenator | Chordata | 0 | terrestrial
Durotrigia | Chordata | 0 | terrestrial
Dyskritodon | Chordata | 0 | terrestrial
Dzeregia | Arthropoda | 0 | terrestrial
Eboracia | Pteridophyta | 0 |
Ebrayiceras | Mollusca | 0 |
Elaterosporites | Cycadophyta | 0 |
Elatides | Coniferophyta | 0 |
Elatocladus | Coniferophyta | 0 |
Eligmus | Mollusca | 0 | marine,brackish
Elodium | Radiolaria | 0 | marine
Emileia | Mollusca | 0 |
Emiluvia | Radiolaria | 0 | marine
Enallothecidea | Brachiopoda | 0 |
