Angaropteridium                          | Plant     | Peltaspermophyta           | -272300000    | -2.599e+08   | <>
Angatubichthys                           | Animal    | Chordata                   | -268800000    | -254170000   | <>
Angelosaurus                             | Animal    | Chordata                   | -272300000    | -2.651e+08   | Angelosaurus
Anidanthus                               | Animal    | Brachiopoda                | -268800000    | -2.599e+08   | <>
Anisopyge                                | Animal    | Arthropoda                 | -268800000    | -2.651e+08   | <>
Annularia                                | Plant     | Sphenophyta                | -268800000    | -254170000   | Annularia
Annuliconcha                             | Animal    | Mollusca                   | -268800000    | -2.651e+08   | <>
Anodontophora                            | Animal    | Mollusca                   | -268800000    | -2.651e+08   | <>
Anomaloria                               | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Anomia                                   | Animal    | Mollusca                   | -268800000    | -2.651e+08   | Anomia
Anomocephalus                            | Animal    | Chordata                   | -268800000    | -2.651e+08   | Anomocephalus
Anomphalus                               | Animal    | Mollusca                   | -268800000    | -2.651e+08   | Anomphalus
Antalis                                  | Animal    | Mollusca                   | -268800000    | -2.651e+08   | Antalis
Anteosaurus                              | Animal    | Chordata                   | -268000000    | -252300000   | Anteosaurus
Anteridocus                              | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Anthichnium                              | Animal    | Chordata                   | -268000000    | -252300000   | <>
Anthraconauta                            | Animal    | Mollusca                   | -272300000    | -2.599e+08   | <>
Anthraconeilo                            | Animal    | Mollusca                   | -298900000    | -252170000   | <>
Anthracoporella                          | Plant     | Chlorophyta                | -268800000    | -2.599e+08   | <>
Anthracosycon                            | Animal    | Porifera                   | -268800000    | -2.651e+08   | <>
Anthrophyopsis                           | Plant     | Cycadophyta                | -268800000    | -252170000   | <>
Anticonulus                              | Animal    | Mollusca                   | -268800000    | -2.651e+08   | <>
Apachella                                | Animal    | Mollusca                   | -268800000    | -2.651e+08   | <>
Apateon                                  | Animal    | Chordata                   | -298900000    | -252170000   | Apateon
Aperispirifer                            | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Aphanaia                                 | Animal    | Mollusca                   | -268800000    | -2.651e+08   | <>
Aphaurosia                               | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -272500000    | -252300000   | <>
Apsisaurus                               | Animal    | Chordata                   | -296400000    | -268000000   | Apsisaurus
Apterrinella                             | Micro     | Foraminifera               | -296400000    | -268000000   | <>
Araeopora                                | Animal    | Cnidaria                   | -268800000    | -2.599e+08   | <>
Araucarioxylon                           | Plant     | Pinophyta                  | -268800000    | -252170000   | Araucarioxylon
Araucarites                              | Plant     | Pinophyta                  | -268800000    | -2.599e+08   | <>
Araxathyris                              | Animal    | Brachiopoda                | -268800000    | -2.599e+08   | <>
Araxonautilus                            | Animal    | Mollusca                   | -268800000    | -2.651e+08   | <>
Araxopora                                | Animal    | Bryozoa                    | -268800000    | -2.651e+08   | <>
Arbuscula                                | Animal    | Porifera                   | -268800000    | -2.651e+08   | Arbuscula
Arca                                     | Animal    | Mollusca                   | -268800000    | -2.651e+08   | Arca
Arceodomus                               | Animal    | Mollusca                   | -268800000    | -2.651e+08   | <>
Archaeocidaris                           | Animal    | Echinodermata              | -268800000    | -2.599e+08   | Archaeocidaris
Archaeolithophyllum                      | Plant     | Rhodophyta                 | -296400000    | -268000000   | Archaeolithophyllum
Archaeosyodon                            | Animal    | Chordata                   | -268000000    | -265000000   | Archaeosyodon
Archboldiella                            | Animal    | Brachiopoda                | -272300000    | -254170000   | <>
Archeria                                 | Animal    | Chordata                   | -290100000    | -268000000   | Archeria
Arcochiton                               | Animal    | Mollusca                   | -296400000    | -268000000   | <>
Arcticalosia                             | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Arctitreta                               | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Arcullina                                | Animal    | Brachiopoda                | -272300000    | -2.651e+08   | <>
Arduorhiza                               | Animal    | Porifera                   | -279300000    | -2.651e+08   | <>
Aricoceras                               | Animal    | Mollusca                   | -268800000    | -2.651e+08   | Aricoceras
Ariekanerpeton                           | Animal    | Chordata                   | -298900000    | -254000000   | Ariekanerpeton
Arionthia                                | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Aristoceratoides                         | Animal    | Mollusca                   | -268800000    | -2.651e+08   | Aristoceratoides
Armenina                                 | Micro     | Foraminifera               | -268800000    | -2.651e+08   | <>
Arqoviella                               | Animal    | Arthropoda                 | -268800000    | -2.651e+08   | <>
Arribazona                               | Animal    | Mollusca                   | -268800000    | -2.651e+08   | <>
Artinskia                                | Animal    | Mollusca                   | -272300000    | -2.651e+08   | <>
Ascopora                                 | Animal    | Bryozoa                    | -268800000    | -2.651e+08   | <>
Asiachorista                             | Animal    | Arthropoda                 | -268000000    | -265000000   | <>
Asketochiton                             | Animal    | Mollusca                   | -298900000    | -252170000   | <>
Asperlinus                               | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Aspidosaurus                             | Animal    | Chordata                   | -279500000    | -268000000   | Aspidosaurus
Asserculinia                             | Animal    | Cnidaria                   | -268800000    | -2.651e+08   | <>
Astartella                               | Animal    | Mollusca                   | -268800000    | -2.651e+08   | <>
Astartellopsis                           | Animal    | Mollusca                   | -268800000    | -2.599e+08   | <>
Astartila                                | Animal    | Mollusca                   | -268800000    | -2.651e+08   | <>
Asterophyllites                          | Plant     | Sphenophyta                | -268800000    | -2.599e+08   | <>
Asterotheca                              | Plant     | Pteridophyta               | -268800000    | -2.599e+08   | Asterotheca
Ataphrus                                 | Animal    | Mollusca                   | -268800000    | -2.651e+08   | <>
Athyris                                  | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | Athyris
