Anusoblatta                              | Animal    | Arthropoda                 | -242000000    | -235000000   | <>
Aparimarhynchia                          | Animal    | Brachiopoda                | -247200000    | -237000000   | <>
Aparimella                               | Animal    | Mollusca                   | -242000000    | -237000000   | <>
Apatognathus                             | Animal    | Chordata                   | -242000000    | -237000000   | <>
Aplococeras                              | Animal    | Mollusca                   | -242000000    | -235000000   | Aplococeras
Aplocoma                                 | Animal    | Echinodermata              | -242000000    | -237000000   | <>
Apoldia                                  | Plant     | Cycadophyta                | -242000000    | -237000000   | <>
Araucarites                              | Plant     | Pinophyta                  | -242000000    | -237000000   | <>
Arberophyllum                            | Plant     | Peltaspermophyta           | -242000000    | -228000000   | <>
Arca                                     | Animal    | Mollusca                   | -242000000    | -235000000   | Arca
Arcestes                                 | Animal    | Mollusca                   | -242000000    | -235000000   | Arcestes
Archaediscus                             | Micro     | Foraminifera               | -242000000    | -237000000   | <>
Archaeobehningia                         | Animal    | Arthropoda                 | -247200000    | -237000000   | <>
Archaeocenosphaera                       | Micro     | Radiolaria                 | -242000000    | -235000000   | <>
Archaeoceratodus                         | Animal    | Chordata                   | -247200000    | -237000000   | <>
Archaeocidaris                           | Animal    | Echinodermata              | -252170000    | -201300000   | Archaeocidaris
Archaeolithoporella                      | Plant     | Rhodophyta                 | -242000000    | -228000000   | <>
Archaeosemantis                          | Micro     | Radiolaria                 | -242000000    | -235000000   | <>
Archaeosemionotus                        | Animal    | Chordata                   | -242000000    | -235000000   | <>
Archeopelta                              | Animal    | Chordata                   | -242000000    | -237000000   | Archeopelta
Archetingis                              | Animal    | Arthropoda                 | -242000000    | -235000000   | <>
Archihagla                               | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Arcomya                                  | Animal    | Mollusca                   | -242000000    | -237000000   | <>
Arctica                                  | Animal    | Mollusca                   | -247200000    | -237000000   | Arctica_(bivalve)
Arcticopora                              | Animal    | Bryozoa                    | -242000000    | -237000000   | <>
Arctogymnites                            | Animal    | Mollusca                   | -242000000    | -235000000   | Arctogymnites
Arctoptychites                           | Animal    | Mollusca                   | -242000000    | -235000000   | Arctoptychites
Arctothyris                              | Animal    | Brachiopoda                | -242000000    | -237000000   | <>
Arenorbis                                | Animal    | Echinodermata              | -242000000    | -237000000   | <>
Arenovidalina                            | Micro     | Foraminifera               | -242000000    | -237000000   | <>
Argolites                                | Animal    | Mollusca                   | -242000000    | -235000000   | Argolites
Ariguna                                  | Animal    | Chordata                   | -247200000    | -237000000   | <>
Aristerostrophia                         | Animal    | Mollusca                   | -242000000    | -235000000   | <>
Aristoptychites                          | Animal    | Mollusca                   | -242000000    | -235000000   | Aristoptychites
Arpadites                                | Animal    | Mollusca                   | -242000000    | -235000000   | Arpadites
Ascarites                                | Animal    | Nematoda                   | -242000000    | -237000000   | <>
Asialepidotus                            | Animal    | Chordata                   | -242000000    | -235000000   | Asialepidotus
Asiatoceratodus                          | Animal    | Chordata                   | -247200000    | -237000000   | Asiatoceratodus
Asimma                                   | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Asiocula                                 | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Asioxyela                                | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Askeptosaurus                            | Animal    | Chordata                   | -242000000    | -235000000   | Askeptosaurus
Asklepioceras                            | Animal    | Mollusca                   | -242000000    | -235000000   | Asklepioceras
Asoella                                  | Animal    | Mollusca                   | -242000000    | -235000000   | <>
Aspidogaster                             | Animal    | Arthropoda                 | -242000000    | -235000000   | Aspidogaster
Aspiduriella                             | Animal    | Echinodermata              | -242000000    | -237000000   | <>
Asplenium                                | Plant     | Pteridophyta               | -242000000    | -228000000   | Asplenium
Astacolus                                | Micro     | Foraminifera               | -242000000    | -237000000   | <>
Astarte                                  | Animal    | Mollusca                   | -247200000    | -237000000   | Astarte
Astartopis                               | Animal    | Mollusca                   | -242000000    | -235000000   | <>
Asterotheca                              | Plant     | Pteridophyta               | -242000000    | -208500000   | Asterotheca
Astraeomorpha                            | Animal    | Cnidaria                   | -242000000    | -237000000   | <>
Astralium                                | Animal    | Mollusca                   | -242000000    | -237000000   | Astralium
Astrocentrus                             | Micro     | Radiolaria                 | -242000000    | -235000000   | <>
Ataxotrochus                             | Animal    | Mollusca                   | -242000000    | -237000000   | <>
Athyris                                  | Animal    | Brachiopoda                | -242000000    | -237000000   | Athyris
Atractites                               | Animal    | Mollusca                   | -242000000    | -232000000   | <>
Atreta                                   | Animal    | Mollusca                   | -242000000    | -237000000   | <>
Atrina                                   | Animal    | Mollusca                   | -242000000    | -235000000   | Atrina
