Apiograptus                              | Animal    | Hemichordata               | -468900000    | -466000000   | <>
Apodasmocrinus                           | Animal    | Echinodermata              | -470000000    | -458400000   | <>
Apomatella                               | Animal    | Brachiopoda                | -468100000    | -463500000   | <>
Aporthophyla                             | Animal    | Brachiopoda                | -471800000    | -457500000   | <>
Apsotreta                                | Animal    | Brachiopoda                | -478600000    | -466000000   | <>
Apteracontiodus                          | Animal    | Chordata                   | -470000000    | -467300000   | <>
Araiopleura                              | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Arandaspis                               | Animal    | Chordata                   | -478600000    | -466000000   | Arandaspis
Archaeoconularia                         | Animal    | Cnidaria                   | -478600000    | -466000000   | <>
Archaeocrinus                            | Animal    | Echinodermata              | -470000000    | -458400000   | <>
Archaeorthis                             | Animal    | Brachiopoda                | -470000000    | -458400000   | <>
Archaeoscyphia                           | Animal    | Porifera                   | -468100000    | -460900000   | <>
Archeognathus                            | Animal    | Chordata                   | -478600000    | -468100000   | Archeognathus
Archigeisonoceras                        | Animal    | Mollusca                   | -468100000    | -463500000   | <>
Archinacella                             | Animal    | Mollusca                   | -468100000    | -460900000   | <>
Armenoceras                              | Animal    | Mollusca                   | -470000000    | -443400000   | Armenoceras
Arthroclema                              | Animal    | Bryozoa                    | -470000000    | -458400000   | <>
Arthrorhachis                            | Animal    | Arthropoda                 | -478600000    | -466000000   | Arthrorhachis
Asaphellina                              | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Asaphellus                               | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Asaphopsis                               | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Asaphus                                  | Animal    | Arthropoda                 | -468100000    | -463500000   | Asaphus
Asgardaspira                             | Animal    | Mollusca                   | -468100000    | -460900000   | <>
Aspidaeglina                             | Animal    | Arthropoda                 | -478600000    | -466000000   | Aspidaeglina
Aspidopora                               | Animal    | Bryozoa                    | -470000000    | -458400000   | <>
Asteriospongia                           | Animal    | Porifera                   | -471800000    | -457500000   | <>
Asteroblastus                            | Animal    | Echinodermata              | -471800000    | -463500000   | <>
Astraborthis                             | Animal    | Brachiopoda                | -478600000    | -466000000   | <>
Asymphylotoechia                         | Animal    | Brachiopoda                | -471800000    | -457500000   | <>
Atelelasma                               | Animal    | Brachiopoda                | -468100000    | -460900000   | <>
Atelelasmoidea                           | Animal    | Brachiopoda                | -470000000    | -467300000   | <>
Athrophragma                             | Animal    | Bryozoa                    | -468100000    | -460900000   | <>
Atractopyge                              | Animal    | Arthropoda                 | -468100000    | -460900000   | Atractopyge
Atrypa                                   | Animal    | Brachiopoda                | -470000000    | -443400000   | Atrypa
Aulacoparia                              | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Aulacopleura                             | Animal    | Arthropoda                 | -470000000    | -467300000   | Aulacopleura
Aulacopsis                               | Animal    | Arthropoda                 | -471800000    | -468100000   | <>
Aulocopella                              | Animal    | Porifera                   | -485400000    | -443400000   | <>
Aulocopium                               | Animal    | Porifera                   | -478600000    | -466000000   | <>
Aulograptus                              | Animal    | Hemichordata               | -471800000    | -468100000   | <>
Aulonotreta                              | Animal    | Brachiopoda                | -471800000    | -468100000   | <>
Austinella                               | Animal    | Brachiopoda                | -468100000    | -460900000   | <>
Australopyge                             | Animal    | Arthropoda                 | -478600000    | -466000000   | Australopyge
Avaoceras                                | Animal    | Mollusca                   | -485400000    | -468100000   | <>
Azygograptus                             | Animal    | Hemichordata               | -470000000    | -467300000   | <>
Babinka                                  | Animal    | Mollusca                   | -471800000    | -466000000   | <>
Bactroceras                              | Animal    | Mollusca                   | -471800000    | -466000000   | Bactroceras
Bairdiocypridella                        | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Balanocystites                           | Animal    | Echinodermata              | -478600000    | -466000000   | <>
Balantiocystis                           | Animal    | Echinodermata              | -478600000    | -466000000   | <>
Ballardina                               | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Baltiscanella                            | Animal    | Mollusca                   | -485400000    | -443400000   | <>
Baltograptus                             | Animal    | Hemichordata               | -468900000    | -466000000   | <>
Baltoniodus                              | Animal    | Chordata                   | -468100000    | -463500000   | Baltoniodus
Barrandia                                | Animal    | Arthropoda                 | -470000000    | -467300000   | <>
Basilicus                                | Animal    | Arthropoda                 | -468100000    | -460900000   | <>
Bassleroceras                            | Animal    | Mollusca                   | -478600000    | -466000000   | Bassleroceras
Batherocystis                            | Animal    | Echinodermata              | -485400000    | -443400000   | <>
Bathmoceras                              | Animal    | Mollusca                   | -471800000    | -466000000   | Bathmoceras
Bathycheilus                             | Animal    | Arthropoda                 | -471800000    | -466000000   | Bathycheilus
Bathyurellus                             | Animal    | Arthropoda                 | -470000000    | -467300000   | <>
Bathyurina                               | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Bathyurus                                | Animal    | Arthropoda                 | -468100000    | -449500000   | <>
Batostoma                                | Animal    | Bryozoa                    | -468100000    | -460900000   | <>
Batostomella                             | Animal    | Bryozoa                    | -478600000    | -468100000   | <>
Bavarilla                                | Animal    | Arthropoda                 | -478600000    | -466000000   | Bavarilla
Beatricea                                | Micro     | Radiolaria                 | -485400000    | -443400000   | <>
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites_(genus)
Bellefontia                              | Animal    | Arthropoda                 | -485400000    | -468100000   | <>
Belodella                                | Animal    | Chordata                   | -468100000    | -460900000   | <>
Belodina                                 | Animal    | Chordata                   | -468100000    | -460900000   | <>
Belonechitina                            | Micro     | Sarcodina                  | -470000000    | -458400000   | Belonechitina
Benedettia                               | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Benthamaspis                             | Animal    | Arthropoda                 | -471800000    | -468100000   | Benthamaspis
Bentoceras                               | Animal    | Mollusca                   | -471800000    | -466000000   | <>
Bergamia                                 | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Bergstroemognathus                       | Animal    | Chordata                   | -470000000    | -458400000   | <>
Bevanopsis                               | Animal    | Arthropoda                 | -471800000    | -457500000   | Bevanopsis
Bienvillia                               | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Biernatia                                | Animal    | Brachiopoda                | -468100000    | -463500000   | <>
Billingsaria                             | Animal    | Cnidaria                   | -468100000    | -460900000   | <>
Bimuria                                  | Animal    | Brachiopoda                | -468100000    | -460900000   | Bimuria
Birmanites                               | Animal    | Arthropoda                 | -478600000    | -466000000   | Birmanites
Biseptata                                | Animal    | Brachiopoda                | -468100000    | -463500000   | <>
Bisonoceras                              | Animal    | Mollusca                   | -485400000    | -467300000   | <>
Bivia                                    | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Blastoidocrinus                          | Animal    | Echinodermata              | -468100000    | -460900000   | <>
Blosyropsis                              | Animal    | Arthropoda                 | -468100000    | -460900000   | <>
Bodenia                                  | Animal    | Arthropoda                 | -470000000    | -458400000   | <>
Boeckaspis                               | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Boedaspis                                | Animal    | Arthropoda                 | -468100000    | -463500000   | <>
Bohemilla                                | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Bohemopyge                               | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Bolbocephalus                            | Animal    | Arthropoda                 | -471800000    | -457500000   | Bolbocephalus
Bolbopisthia                             | Animal    | Arthropoda                 | -468100000    | -460900000   | <>
Bolboporites                             | Animal    | Echinodermata              | -468100000    | -460900000   | Bolboporites
Bollia                                   | Animal    | Arthropoda                 | -470000000    | -458400000   | <>
Bornholmaspis                            | Animal    | Arthropoda                 | -471800000    | -468100000   | Bornholmaspis
Borua                                    | Animal    | Brachiopoda                | -472000000    | -466000000   | <>
Botellusoceras                           | Animal    | Mollusca                   | -471800000    | -466000000   | <>
Boucotspira                              | Animal    | Mollusca                   | -471800000    | -457500000   | <>
Brachytomaria                            | Animal    | Mollusca                   | -468100000    | -463500000   | <>
Branisaspis                              | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Brechmocrinus                            | Animal    | Echinodermata              | -471800000    | -457500000   | <>
Briartina                                | Animal    | Arthropoda                 | -470000000    | -458400000   | <>
Bridgeites                               | Animal    | Mollusca                   | -478600000    | -468100000   | <>
Bridgeoceras                             | Animal    | Mollusca                   | -478600000    | -468100000   | <>
Broeggeria                               | Animal    | Brachiopoda                | -470000000    | -467300000   | <>
Bryograptus                              | Animal    | Hemichordata               | -478600000    | -466000000   | <>
Bucanella                                | Animal    | Mollusca                   | -468100000    | -463500000   | <>
Bucania                                  | Animal    | Mollusca                   | -468100000    | -460900000   | <>
Bucanopsis                               | Animal    | Mollusca                   | -470000000    | -458400000   | <>
Bumastoides                              | Animal    | Arthropoda                 | -468100000    | -460900000   | <>
Bumastus                                 | Animal    | Arthropoda                 | -468100000    | -460900000   | Bumastus
Buttsoceras                              | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Byrsolopsina                             | Animal    | Arthropoda                 | -470000000    | -443400000   | <>
Bythopora                                | Animal    | Bryozoa                    | -470000000    | -458400000   | <>
Cahabagnathus                            | Animal    | Chordata                   | -470000000    | -458400000   | <>
Calamograptus                            | Animal    | Hemichordata               | -478600000    | -466000000   | <>
Calapoecia                               | Animal    | Cnidaria                   | -470000000    | -419200000   | <>
Calathium                                | Plant     | Chlorophyta                | -468100000    | -460900000   | <>
Calaurops                                | Animal    | Mollusca                   | -478600000    | -468100000   | <>
Calceocrinus                             | Animal    | Echinodermata              | -470000000    | -458400000   | <>
Callograptus                             | Animal    | Hemichordata               | -470000000    | -467300000   | Callograptus
Calycocoelia                             | Animal    | Porifera                   | -470000000    | -458400000   | <>
Calymenesun                              | Animal    | Arthropoda                 | -478600000    | -449500000   | <>
Calymenidius                             | Animal    | Arthropoda                 | -468100000    | -460900000   | Calymenidius
