Amauropsella                             | Animal    | Mollusca                   | -61600000     | -59200000    | <>
Amauropsis                               | Animal    | Mollusca                   | -61600000     | -59200000    | Amauropsis
Amauropsona                              | Animal    | Mollusca                   | -61600000     | -56000000    | <>
Amelanchites                             | Plant     | Spermatophyta              | -66000000     | -56000000    | <>
Amelotabes                               | Animal    | Chordata                   | -61700000     | -56800000    | <>
Amia                                     | Animal    | Chordata                   | -61700000     | -56800000    | Amia
Ammobaculites                            | Micro     | Foraminifera               | -61600000     | -59200000    | <>
Ammodochium                              | Micro     | Cercozoa                   | -66000000     | -56000000    | <>
Amnicola                                 | Animal    | Mollusca                   | -66000000     | -56000000    | Amnicola
Ampelopsis                               | Plant     | Spermatophyta              | -61700000     | -56800000    | Ampelopsis
Ampheristus                              | Animal    | Chordata                   | -61600000     | -59200000    | Ampheristus
Amphiblestrum                            | Animal    | Bryozoa                    | -66000000     | -56000000    | <>
Amphipternis                             | Micro     | Radiolaria                 | -61600000     | -59200000    | <>
Amphipyndax                              | Micro     | Radiolaria                 | -61600000     | -59200000    | <>
Amphiroa                                 | Plant     | Rhodophyta                 | -61600000     | -56000000    | Amphiroa
Amphisphaera                             | Micro     | Radiolaria                 | -61600000     | -59200000    | <>
Amphiuma                                 | Animal    | Chordata                   | -61700000     | -56800000    | Amphiuma
Amphymenium                              | Micro     | Radiolaria                 | -61600000     | -59200000    | Amphymenium
Amplogladius                             | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Ampullina                                | Animal    | Mollusca                   | -61600000     | -59200000    | Ampullina
Amuletum                                 | Animal    | Mollusca                   | -61600000     | -59200000    | <>
Amydrocarcinus                           | Animal    | Arthropoda                 | -66000000     | -23030000    | <>
Anacodon                                 | Animal    | Chordata                   | -61700000     | -56800000    | <>
Anacolosidites                           | Plant     | Spermatophyta              | -66000000     | -56000000    | <>
Anadara                                  | Animal    | Mollusca                   | -66000000     | -56000000    | Anadara
Anaulus                                  | Plant     | Ochrophyta                 | -66000000     | -56000000    | <>
Anchura                                  | Animal    | Mollusca                   | -61600000     | -59200000    | <>
Ancilla                                  | Animal    | Mollusca                   | -61600000     | -59200000    | Ancilla_(gastropod)
Ancillarina                              | Animal    | Mollusca                   | -61600000     | -59200000    | <>
Ancistrocerus                            | Animal    | Arthropoda                 | -61600000     | -59200000    | Ancistrocerus
Anconodon                                | Animal    | Chordata                   | -61700000     | -56800000    | Anconodon
Andicula                                 | Animal    | Mollusca                   | -61600000     | -59200000    | <>
Anemia                                   | Plant     | Pteridophyta               | -66000000     | -56000000    | Anemia_(plant)
Anevrina                                 | Animal    | Arthropoda                 | -66000000     | -37200000    | Anevrina
Angulus                                  | Animal    | Mollusca                   | -61600000     | -56000000    | <>
Anhuichelys                              | Animal    | Chordata                   | -61700000     | -58700000    | <>
Anhuisaurus                              | Animal    | Chordata                   | -61700000     | -58700000    | Anhuisaurus
Anisonchus                               | Animal    | Chordata                   | -61700000     | -56800000    | <>
Anodontia                                | Animal    | Mollusca                   | -61600000     | -59200000    | Anodontia
Anomalina                                | Micro     | Foraminifera               | -66000000     | -56000000    | <>
Anomalinoides                            | Micro     | Foraminifera               | -61600000     | -59200000    | <>
Anomia                                   | Animal    | Mollusca                   | -61600000     | -59200000    | Anomia_(bivalve)
Anthaxia                                 | Animal    | Arthropoda                 | -61600000     | -59200000    | Anthaxia
Anthicus                                 | Animal    | Arthropoda                 | -66000000     | -56000000    | Anthicus
Anthonomus                               | Animal    | Arthropoda                 | -66000000     | -56000000    | Anthonomus
Anthracosuchus                           | Animal    | Chordata                   | -61700000     | -55800000    | Anthracosuchus
Aphanocyon                               | Animal    | Chordata                   | -61700000     | -56800000    | <>
Apheliscus                               | Animal    | Chordata                   | -61700000     | -56800000    | <>
Aphodius                                 | Animal    | Arthropoda                 | -61600000     | -59200000    | Aphodius
Aphronorus                               | Animal    | Chordata                   | -61700000     | -56800000    | <>
Aphrophora                               | Animal    | Arthropoda                 | -61600000     | -59200000    | Aphrophora
Apion                                    | Animal    | Arthropoda                 | -61600000     | -59200000    | Apion
Apocynophyllum                           | Plant     | Spermatophyta              | -66000000     | -56000000    | <>
Apogonidarum                             | Animal    | Chordata                   | -61600000     | -59200000    | <>
Aporrhais                                | Animal    | Mollusca                   | -61600000     | -59200000    | Aporrhais
Appendicisporites                        | Plant     | Pteridophyta               | -100500000    | -5333000     | <>
Aquilapollenites                         | Plant     | Magnoliophyta              | -66000000     | -56000000    | <>
Arachnoidiscus                           | Plant     | Ochrophyta                 | -66000000     | -56000000    | <>
Araeodactylus                            | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Aralia                                   | Plant     | Spermatophyta              | -66000000     | -56000000    | Aralia
Araloselachus                            | Animal    | Chordata                   | -66000000     | -56000000    | <>
Araucariacites                           | Plant     | Pinophyta                  | -100500000    | -33900000    | <>
Araucaria                                | Plant     | Pinophyta                  | -100500000    | -33900000    | Araucaria
Arca                                     | Animal    | Mollusca                   | -61600000     | -59200000    | Arca
Archaemacruroides                        | Animal    | Chordata                   | -61600000     | -59200000    | <>
Archaeodictyomitra                       | Micro     | Radiolaria                 | -61600000     | -59200000    | <>
Archaeolambda                            | Animal    | Chordata                   | -61700000     | -58700000    | <>
Archaeolithothamnium                     | Plant     | Rhodophyta                 | -61600000     | -59200000    | <>
Archaeomanta                             | Animal    | Chordata                   | -61600000     | -56000000    | Archaeomanta
Archaeoryctes                            | Animal    | Chordata                   | -61700000     | -58700000    | <>
Archaerhineura                           | Animal    | Chordata                   | -61700000     | -56800000    | Archaerhineura
Architectonica                           | Animal    | Mollusca                   | -61600000     | -56000000    | Architectonica
Arcopagia                                | Animal    | Mollusca                   | -61700000     | -55800000    | <>
Arcoperna                                | Animal    | Mollusca                   | -61600000     | -59200000    | <>
Arcopsis                                 | Animal    | Mollusca                   | -61600000     | -59200000    | <>
Arctica                                  | Animal    | Mollusca                   | -61600000     | -59200000    | Arctica_(bivalve)
Arctocyon                                | Animal    | Chordata                   | -61700000     | -56800000    | Arctocyon
Arctocyonides                            | Animal    | Chordata                   | -61600000     | -59200000    | <>
Arctodontomys                            | Animal    | Chordata                   | -61700000     | -56800000    | <>
Arctolocusta                             | Animal    | Arthropoda                 | -61600000     | -59200000    | <>
Arctostylops                             | Animal    | Chordata                   | -61700000     | -56800000    | <>
Arecipites                               | Plant     | Angiospermae               | -100500000    | -56000000    | <>
Argentina                                | Animal    | Chordata                   | -61600000     | -59200000    | Argentina_(fish)
Argilloecia                              | Animal    | Arthropoda                 | -66000000     | -56000000    | <>
Argochampsa                              | Animal    | Chordata                   | -66000000     | -56000000    | Argochampsa
Argyrotheca                              | Animal    | Brachiopoda                | -61600000     | -59200000    | Argyrotheca
Ariidarum                                | Animal    | Chordata                   | -61600000     | -59200000    | <>
Arius                                    | Animal    | Chordata                   | -61600000     | -56000000    | Arius
Arrhoges                                 | Animal    | Mollusca                   | -61600000     | -59200000    | Arrhoges
Arthrocardia                             | Plant     | Rhodophyta                 | -66000000     | -56000000    | <>
Artostobium                              | Micro     | Radiolaria                 | -61600000     | -59200000    | <>
Artostrobus                              | Micro     | Radiolaria                 | -61600000     | -59200000    | <>
Arundo                                   | Plant     | Angiospermae               | -66000000     | -33900000    | Arundo
Arvernineura                             | Animal    | Arthropoda                 | -61600000     | -59200000    | <>
Asiatosuchus                             | Animal    | Chordata                   | -61700000     | -58700000    | Asiatosuchus
Asiostylops                              | Animal    | Chordata                   | -61700000     | -58700000    | <>
Asopus                                   | Animal    | Arthropoda                 | -61600000     | -59200000    | Asopus
Assilina                                 | Micro     | Foraminifera               | -61600000     | -56000000    | <>
Astacus                                  | Animal    | Arthropoda                 | -66000000     | -23030000    | Astacus
Astarte                                  | Animal    | Mollusca                   | -61600000     | -56000000    | Astarte
Astraea                                  | Animal    | Mollusca                   | -61600000     | -56000000    | Astraea
Astrangia                                | Animal    | Cnidaria                   | -61600000     | -59200000    | Astrangia
Astreopora                               | Animal    | Cnidaria                   | -66000000     | -56000000    | Astreopora
Astrocoenia                              | Animal    | Cnidaria                   | -61600000     | -56000000    | <>
Astyris                                  | Animal    | Mollusca                   | -61600000     | -59200000    | Astyris
Ataphrus                                 | Animal    | Mollusca                   | -61600000     | -59200000    | <>
Ataxophragmium                           | Micro     | Foraminifera               | -100500000    | -56000000    | <>
Athleta                                  | Animal    | Mollusca                   | -61600000     | -56000000    | Athleta
Athous                                   | Animal    | Arthropoda                 | -66000000     | -59200000    | Athous
Athrotaxis                               | Plant     | Pinophyta                  | -66000000     | -28100000    | Athrotaxis
Atractosteus                             | Animal    | Chordata                   | -72100000     | -56000000    | Atractosteus
Atrina                                   | Animal    | Mollusca                   | -61600000     | -56000000    | Atrina
Aturia                                   | Animal    | Mollusca                   | -61600000     | -41300000    | Aturia
Aturoidea                                | Animal    | Mollusca                   | -61600000     | -56000000    | <>
Atys                                     | Animal    | Mollusca                   | -61600000     | -59200000    | Atys_(gastropod)
Aulacodiscus                             | Plant     | Ochrophyta                 | -66000000     | -56000000    | <>
Aulacomya                                | Animal    | Mollusca                   | -61600000     | -56000000    | Aulacomya
Auliscus                                 | Plant     | Ochrophyta                 | -66000000     | -56000000    | <>
Australoneilo                            | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Australornis                             | Animal    | Chordata                   | -61600000     | -59200000    | Australornis
Austrocominella                          | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Austrosphaera                            | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Austrotrillina                           | Micro     | Foraminifera               | -61600000     | -56000000    | <>
Avellana                                 | Animal    | Mollusca                   | -66000000     | -59200000    | Avellana
Averrhoites                              | Plant     | Spermatophyta              | -66000000     | -50300000    | <>
Axestemys                                | Animal    | Chordata                   | -61600000     | -59200000    | Axestemys
Axinus                                   | Animal    | Mollusca                   | -66000000     | -59200000    | <>
