Alboberotha                              | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Alboconis                                | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Albocryptophagus                         | Animal    | Arthropoda                 | -112030000    | -109000000   | <>
Alburnia                                 | Animal    | Arthropoda                 | -109000000    | -105300000   | Alburnia
Aleteceras                               | Animal    | Mollusca                   | -105300000    | -99600000    | <>
Algites                                  | Plant     | Phaeophyta                 | -145000000    | -66000000    | <>
Alisporites                              | Plant     | Gymnospermophyta           | -109000000    | -105300000   | <>
Alkaidia                                 | Animal    | Echinodermata              | -105300000    | -99600000    | <>
Allobuchia                               | Animal    | Mollusca                   | -145000000    | -100500000   | <>
Allocearagryllus                         | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Allocotocera                             | Animal    | Arthropoda                 | -105300000    | -99600000    | Allocotocera
Alsophilidites                           | Plant     | Pteridophyta               | -163500000    | -100500000   | <>
Altairia                                 | Animal    | Echinodermata              | -113000000    | -100500000   | <>
Altirhinus                               | Animal    | Chordata                   | -109000000    | -99600000    | Altirhinus
Amaea                                    | Animal    | Mollusca                   | -122460000    | -112030000   | <>
Amanocina                                | Animal    | Mollusca                   | -113000000    | -93900000    | <>
Amarantoraphidia                         | Animal    | Arthropoda                 | -112030000    | -109000000   | Amarantoraphidia
Amauropsis                               | Animal    | Mollusca                   | -105300000    | -93900000    | Amauropsis
Amazonsaurus                             | Animal    | Chordata                   | -125000000    | -100500000   | Amazonsaurus
Ambaraphis                               | Animal    | Arthropoda                 | -105300000    | -93500000    | <>
Ambercyclus                              | Animal    | Mollusca                   | -113000000    | -100500000   | <>
Amberleya                                | Animal    | Mollusca                   | -113000000    | -100500000   | <>
Ambigostrea                              | Animal    | Mollusca                   | -105300000    | -93900000    | <>
Amblydactylus                            | Animal    | Chordata                   | -105300000    | -99600000    | Amblydactylus
Ameribaatar                              | Animal    | Chordata                   | -105300000    | -93500000    | Ameribaatar
Ametroproctus                            | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Amissascelio                             | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Ammobaculites                            | Micro     | Foraminifera               | -105300000    | -99600000    | <>
Ammodiscus                               | Micro     | Foraminifera               | -105300000    | -99600000    | Ammodiscus
Ammomarginulina                          | Micro     | Foraminifera               | -105300000    | -99600000    | <>
Ammonitoceras                            | Animal    | Mollusca                   | -122460000    | -112030000   | Ammonitoceras
Ammotium                                 | Micro     | Foraminifera               | -105300000    | -99600000    | <>
Amphiastrea                              | Animal    | Cnidaria                   | -112030000    | -109000000   | <>
Amphicytherura                           | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Amphidonte                               | Animal    | Mollusca                   | -105300000    | -99600000    | <>
Amphiroa                                 | Plant     | Rhodophyta                 | -113000000    | -100500000   | Amphiroa
Amphitriscoelus                          | Animal    | Mollusca                   | -122460000    | -109000000   | <>
Ampulicomorpha                           | Animal    | Arthropoda                 | -105300000    | -99600000    | Ampulicomorpha
Ampullina                                | Animal    | Mollusca                   | -105300000    | -99600000    | Ampullina
Anachoreta                               | Micro     | Radiolaria                 | -105300000    | -99600000    | <>
Anadesmoceras                            | Animal    | Mollusca                   | -109000000    | -105300000   | Anadesmoceras
Anaethalion                              | Animal    | Chordata                   | -112030000    | -109000000   | Anaethalion
Anagastroplites                          | Animal    | Mollusca                   | -109000000    | -105300000   | <>
Anagaudryceras                           | Animal    | Mollusca                   | -103300000    | -99600000    | Anagaudryceras
Anahamulina                              | Animal    | Mollusca                   | -122460000    | -112030000   | Anahamulina
Anahoplites                              | Animal    | Mollusca                   | -105300000    | -99600000    | Anahoplites
Anatina                                  | Animal    | Mollusca                   | -105300000    | -99600000    | Anatina
Anatolemys                               | Animal    | Chordata                   | -105300000    | -93900000    | Anatolemys
