Angarocarpus                             | Plant     | Ginkgophyta                | -303700000    | -290100000   | <>
Angaropteridium                          | Plant     | Peltaspermophyta           | -303700000    | -290100000   | <>
Angioblastus                             | Animal    | Echinodermata              | -305900000    | -303400000   | <>
Anhomalophlebia                          | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
Anidanthus                               | Animal    | Brachiopoda                | -303700000    | -298900000   | <>
Annularia                                | Plant     | Sphenophyta                | -303400000    | -298900000   | Annularia
Annuliconcha                             | Animal    | Mollusca                   | -339400000    | -298900000   | <>
Anobasicrinus                            | Animal    | Echinodermata              | -305900000    | -303400000   | <>
Anodontacanthus                          | Animal    | Chordata                   | -306950000    | -298900000   | <>
Anomphalus                               | Animal    | Mollusca                   | -303400000    | -298900000   | Anomphalus
Antheria                                 | Animal    | Cnidaria                   | -303700000    | -298900000   | <>
Antholithes                              | Plant     | Pteridospermophyta         | -358900000    | -298900000   | <>
Anthracobamus                            | Animal    | Chordata                   | -303400000    | -301200000   | <>
Anthracoblattina                         | Animal    | Arthropoda                 | -303400000    | -301200000   | <>
Anthracojulus                            | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
Anthracomartus                           | Animal    | Arthropoda                 | -304800000    | -303400000   | <>
Anthraconeilo                            | Animal    | Mollusca                   | -303400000    | -298900000   | <>
Anthracoporella                          | Plant     | Chlorophyta                | -303700000    | -298900000   | <>
Anthracoptilus                           | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
Anthracopupa                             | Animal    | Mollusca                   | -323200000    | -298900000   | <>
Anthracospirifer                         | Animal    | Brachiopoda                | -303700000    | -298900000   | <>
Anthroosasterias                         | Animal    | Echinodermata              | -358900000    | -298900000   | <>
Antiquatonia                             | Animal    | Brachiopoda                | -303400000    | -298900000   | <>
Apateon                                  | Animal    | Chordata                   | -301200000    | -298900000   | Apateon
Apatognathus                             | Animal    | Chordata                   | -323200000    | -298900000   | <>
Aphantomartus                            | Animal    | Arthropoda                 | -303400000    | -301200000   | <>
Aphthoroblattina                         | Animal    | Arthropoda                 | -303700000    | -298900000   | Aphthoroblattina
Apiculatasporites                        | Plant     | Pteridophyta               | -305900000    | -303400000   | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -303400000    | -298900000   | <>
Apographiocrinus                         | Animal    | Echinodermata              | -303400000    | -302200000   | <>
Apopappus                                | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
Apotocardium                             | Animal    | Mollusca                   | -303400000    | -298900000   | <>
Apterrinella                             | Micro     | Foraminifera               | -303400000    | -298900000   | <>
Araeonema                                | Animal    | Mollusca                   | -301200000    | -300200000   | <>
Arceodomus                               | Animal    | Mollusca                   | -303700000    | -298900000   | <>
Archaemegaptilus                         | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
Archaemioptera                           | Animal    | Arthropoda                 | -306950000    | -298900000   | <>
Archaeocidaris                           | Animal    | Echinodermata              | -303400000    | -298900000   | Archaeocidaris
Archaeolithophyllum                      | Plant     | Rhodophyta                 | -303400000    | -298900000   | Archaeolithophyllum
Archaeophiomusium                        | Animal    | Echinodermata              | -301200000    | -300200000   | <>
Archaeopteridium                         | Plant     | Aneurophytophyta           | -358900000    | -298900000   | <>
Archaeoptilites                          | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
Archaeotiphites                          | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
Archaeovenator                           | Animal    | Chordata                   | -303400000    | -298900000   | Archaeovenator
Archeglyphis                             | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
Archeria                                 | Animal    | Chordata                   | -303400000    | -298900000   | Archeria_(animal)
Archimedes                               | Animal    | Bryozoa                    | -303700000    | -298900000   | Archimedes
Archoblattina                            | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
Arctitreta                               | Animal    | Brachiopoda                | -306950000    | -298900000   | <>
Arctophyllum                             | Animal    | Cnidaria                   | -303700000    | -298900000   | <>
Arenovidalina                            | Micro     | Foraminifera               | -306950000    | -298900000   | <>
Argentinonarkemina                       | Animal    | Arthropoda                 | -307000000    | -298900000   | <>
Aristoceras                              | Animal    | Mollusca                   | -303400000    | -298900000   | Aristoceras
Arltia                                   | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
Armathyraster                            | Animal    | Echinodermata              | -305900000    | -303400000   | <>
Arrectocrinus                            | Animal    | Echinodermata              | -303400000    | -302200000   | <>
Arribazona                               | Animal    | Mollusca                   | -302200000    | -301200000   | <>
Arthrolycosa                             | Animal    | Arthropoda                 | -307000000    | -298900000   | Arthrolycosa
Arthropitys                              | Plant     | Sphenophyta                | -323200000    | -298900000   | Arthropitys
Arthropleura                             | Animal    | Arthropoda                 | -303400000    | -301200000   | Arthropleura
Arthroxylon                              | Plant     | Equisetophyta              | -323200000    | -298900000   | <>
Artinskia                                | Animal    | Mollusca                   | -303700000    | -295500000   | <>
Ascopora                                 | Animal    | Bryozoa                    | -303700000    | -298900000   | <>
Asemoblatta                              | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
Asiodictya                               | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
Aspidosaurus                             | Animal    | Chordata                   | -303400000    | -268000000   | Aspidosaurus
