Angioblastus                             | Animal    | Echinodermata              | -298900000    | -272300000   | <>
Anidanthus                               | Animal    | Brachiopoda                | -298900000    | -272300000   | <>
Annularia                                | Plant     | Sphenophyta                | -298900000    | -252170000   | Annularia
Annuliconcha                             | Animal    | Mollusca                   | -298900000    | -290100000   | <>
Anodontacanthus                          | Animal    | Chordata                   | -298900000    | -295500000   | <>
Anomphalus                               | Animal    | Mollusca                   | -298900000    | -290100000   | Anomphalus
Antheria                                 | Animal    | Cnidaria                   | -298900000    | -295500000   | <>
Anthracoblattina                         | Animal    | Arthropoda                 | -298900000    | -290100000   | <>
Anthracomartus                           | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Anthraconeilo                            | Animal    | Mollusca                   | -298900000    | -252170000   | <>
Anthracoporella                          | Plant     | Chlorophyta                | -298900000    | -290100000   | <>
Antiquatonia                             | Animal    | Brachiopoda                | -298900000    | -290100000   | <>
Apachella                                | Animal    | Mollusca                   | -298900000    | -290100000   | <>
Apachelytron                             | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Apateon                                  | Animal    | Chordata                   | -298900000    | -252170000   | Apateon
Apempherus                               | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Aphantomartus                            | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Aphelosaurus                             | Animal    | Chordata                   | -298900000    | -295500000   | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -298900000    | -252170000   | <>
Apographiocrinus                         | Animal    | Echinodermata              | -298900000    | -295500000   | <>
Apsisaurus                               | Animal    | Chordata                   | -296400000    | -268000000   | Apsisaurus
Apterrinella                             | Micro     | Foraminifera               | -296400000    | -268000000   | <>
Araucarites                              | Plant     | Pinophyta                  | -298900000    | -201300000   | <>
Araxathyris                              | Animal    | Brachiopoda                | -298900000    | -252170000   | <>
Arceodomus                               | Animal    | Mollusca                   | -296400000    | -268000000   | <>
Archaeolithophyllum                      | Plant     | Rhodophyta                 | -296400000    | -268000000   | Archaeolithophyllum
Archaeophiomusium                        | Animal    | Echinodermata              | -298900000    | -295500000   | <>
Archegosaurus                            | Animal    | Chordata                   | -298900000    | -295000000   | Archegosaurus
Archeria                                 | Animal    | Chordata                   | -296400000    | -268000000   | Archeria_(animal)
Archimedes                               | Animal    | Bryozoa                    | -298900000    | -295500000   | <>
Archiulus                                | Animal    | Arthropoda                 | -298900000    | -290100000   | <>
Arcioneura                               | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Arcochiton                               | Animal    | Mollusca                   | -296400000    | -268000000   | <>
Arctitreta                               | Animal    | Brachiopoda                | -298900000    | -252170000   | <>
Arctophyllum                             | Animal    | Cnidaria                   | -298900000    | -295500000   | <>
Ariekanerpeton                           | Animal    | Chordata                   | -298900000    | -254000000   | Ariekanerpeton
Aristoceras                              | Animal    | Mollusca                   | -298900000    | -295500000   | Aristoceras
Armenina                                 | Micro     | Foraminifera               | -298900000    | -259900000   | <>
Arrhythmoblatta                          | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Arribazona                               | Animal    | Mollusca                   | -298900000    | -295500000   | <>
Arroyohymen                              | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Arroyopteron                             | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Arroyoscyta                              | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Arthropitys                              | Plant     | Sphenophyta                | -298900000    | -272300000   | Arthropitys
Arthropleura                             | Animal    | Arthropoda                 | -298900000    | -290100000   | Arthropleura
Arthroxylon                              | Plant     | Equisetophyta              | -298900000    | -290100000   | <>
Artichthyocrinus                         | Animal    | Echinodermata              | -298900000    | -295500000   | <>
Artinskia                                | Animal    | Mollusca                   | -298900000    | -295500000   | <>
Ascopora                                 | Animal    | Bryozoa                    | -298900000    | -295500000   | <>
Asketochiton                             | Animal    | Mollusca                   | -298900000    | -252170000   | <>
Aspidosaurus                             | Animal    | Chordata                   | -303400000    | -268000000   | Aspidosaurus
Asselodiscus                             | Micro     | Foraminifera               | -303700000    | -295500000   | <>
Asserculinia                             | Animal    | Cnidaria                   | -298900000    | -295500000   | <>
Astartella                               | Animal    | Mollusca                   | -298900000    | -290100000   | <>
Astartila                                | Animal    | Mollusca                   | -298900000    | -295500000   | <>
Astegosia                                | Animal    | Brachiopoda                | -298900000    | -295500000   | <>
Asterophyllites                          | Plant     | Sphenophyta                | -298900000    | -254000000   | <>
Asterotheca                              | Plant     | Pteridophyta               | -298900000    | -252170000   | Asterotheca
Asthenohymen                             | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Astromyelon                              | Plant     | Equisetophyta              | -298900000    | -290100000   | <>
Atelestegastus                           | Animal    | Brachiopoda                | -298900000    | -295500000   | <>
Athyris                                  | Animal    | Brachiopoda                | -298900000    | -252170000   | Athyris
Atomodesma                               | Animal    | Mollusca                   | -298900000    | -252170000   | <>
Attenuatella                             | Animal    | Brachiopoda                | -298900000    | -295500000   | <>
Aulophyllum                              | Animal    | Cnidaria                   | -296400000    | -268000000   | <>
Auriculispina                            | Animal    | Brachiopoda                | -298900000    | -295500000   | <>
Aurikirkbya                              | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Autunia                                  | Plant     | Peltaspermophyta           | -298900000    | -290100000   | <>
