Audaxlytoceras                           | Animal    | Mollusca                   | -251200000    | -242000000   | Audaxlytoceras
Augustaburiania                          | Animal    | Chordata                   | -251200000    | -247200000   | Augustaburiania
Australosomus                            | Animal    | Chordata                   | -251300000    | -247200000   | Australosomus
Austriellula                             | Animal    | Brachiopoda                | -251300000    | -247200000   | <>
Austrotindaria                           | Animal    | Mollusca                   | -251200000    | -247200000   | <>
Avichlamys                               | Animal    | Mollusca                   | -251200000    | -242000000   | <>
Avicula                                  | Animal    | Mollusca                   | -251200000    | -242000000   | <>
Aviculopecten                            | Animal    | Mollusca                   | -251200000    | -247200000   | Aviculopecten
Axelia                                   | Animal    | Chordata                   | -251300000    | -247200000   | Axelia
Axitectum                                | Animal    | Chordata                   | -251200000    | -247200000   | Axitectum
Baculatisporites                         | Plant     | Pteridophyta               | -252170000    | -247200000   | <>
Baidites                                 | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Baiera                                   | Plant     | Ginkgophyta                | -252170000    | -201300000   | Baiera
Bairdia                                  | Animal    | Arthropoda                 | -251300000    | -242000000   | <>
Bairdiacypris                            | Animal    | Arthropoda                 | -251300000    | -247200000   | <>
Bajarunia                                | Animal    | Mollusca                   | -251200000    | -247200000   | <>
Bakevellia                               | Animal    | Mollusca                   | -251200000    | -242000000   | <>
Balatonites                              | Animal    | Mollusca                   | -251300000    | -247200000   | Balatonites
Balhaeceras                              | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Balkanites                               | Animal    | Mollusca                   | -251200000    | -247200000   | Balkanites
Bandoites                                | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Barasaurus                               | Animal    | Chordata                   | -252170000    | -247200000   | Barasaurus
Basslerella                              | Animal    | Arthropoda                 | -251300000    | -247200000   | <>
Bathignathus                             | Animal    | Chordata                   | -251200000    | -247200000   | <>
Batrachichnus                            | Animal    | Chordata                   | -252170000    | -247200000   | <>
Batrachosuchoides                        | Animal    | Chordata                   | -251200000    | -247200000   | Batrachosuchoides
Battenizyga                              | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Baumgartneria                            | Micro     | Radiolaria                 | -251300000    | -247200000   | <>
Bauria                                   | Animal    | Chordata                   | -251300000    | -242000000   | Bauria
Beatites                                 | Animal    | Mollusca                   | -251300000    | -247200000   | Beatites
Beishanichthys                           | Animal    | Chordata                   | -251200000    | -247200000   | Beishanichthys
Beishanodon                              | Animal    | Chordata                   | -251200000    | -247200000   | Beishanodon
Bektasia                                 | Animal    | Arthropoda                 | -251300000    | -242000000   | <>
Belemnocerca                             | Animal    | Chordata                   | -251300000    | -247200000   | <>
Bellerophon                              | Animal    | Mollusca                   | -252170000    | -247200000   | Bellerophon
Belonorhynchus                           | Animal    | Chordata                   | -251300000    | -242000000   | <>
Beltanodus                               | Animal    | Chordata                   | -252170000    | -247200000   | Beltanodus
Beneckeia                                | Animal    | Mollusca                   | -251200000    | -242000000   | Beneckeia
Benthosphenus                            | Animal    | Chordata                   | -251300000    | -247200000   | Benthosphenus
Benthosuchus                             | Animal    | Chordata                   | -251200000    | -247200000   | Benthosuchus
Beyrichites                              | Animal    | Mollusca                   | -251300000    | -247200000   | Beyrichites
Birgeria                                 | Animal    | Chordata                   | -251300000    | -247200000   | Birgeria
Bittnerites                              | Animal    | Mollusca                   | -251200000    | -247200000   | <>
Bittnerithyris                           | Animal    | Brachiopoda                | -251200000    | -247200000   | <>
Bobasatrania                             | Animal    | Chordata                   | -251300000    | -247200000   | Bobasatrania
Boreomeekoceras                          | Animal    | Mollusca                   | -251200000    | -247200000   | <>
Boreopelta                               | Animal    | Chordata                   | -251200000    | -247200000   | Boreopelta
Boreopricea                              | Animal    | Chordata                   | -251200000    | -247200000   | Boreopricea
Boreosomus                               | Animal    | Chordata                   | -251200000    | -247200000   | Boreosomus
Borinella                                | Animal    | Chordata                   | -251300000    | -247200000   | <>
Bositra                                  | Animal    | Mollusca                   | -251200000    | -247200000   | <>
Bosnites                                 | Animal    | Mollusca                   | -251200000    | -242000000   | <>
Brachychirotherium                       | Animal    | Chordata                   | -251200000    | -247200000   | <>
Brachyops                                | Animal    | Chordata                   | -252170000    | -247200000   | <>
Brachyphyllum                            | Plant     | Coniferophyta              | -252170000    | -247200000   | Brachyphyllum
Brayardites                              | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Broomistega                              | Animal    | Chordata                   | -252170000    | -247200000   | Broomistega
Bulgosuchus                              | Animal    | Chordata                   | -252170000    | -247200000   | Bulgosuchus
Burijites                                | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Burmesia                                 | Animal    | Mollusca                   | -251200000    | -242000000   | <>
Byrrangoceras                            | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Bystrowiana                              | Animal    | Chordata                   | -251300000    | -247200000   | Bystrowiana
Bystrowisuchus                           | Animal    | Chordata                   | -251200000    | -247200000   | Bystrowisuchus
Bythocypris                              | Animal    | Arthropoda                 | -251300000    | -242000000   | <>
Calamites                                | Plant     | Sphenophyta                | -251300000    | -242000000   | Calamites
Calamospora                              | Plant     | Sphenophyta                | -252170000    | -237000000   | <>
Callicythere                             | Animal    | Arthropoda                 | -251300000    | -247200000   | <>
Callipteris                              | Plant     | Peltaspermophyta           | -298900000    | -201300000   | Callipteris
Candona                                  | Animal    | Arthropoda                 | -252170000    | -201300000   | Candona
Canoptum                                 | Micro     | Radiolaria                 | -295500000    | -174100000   | <>
Capitosauroides                          | Animal    | Chordata                   | -251300000    | -247200000   | <>
Capnodoce                                | Micro     | Radiolaria                 | -295500000    | -174100000   | <>
Capulomala                               | Animal    | Chordata                   | -252170000    | -247200000   | Capulomala
Cardinioides                             | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Cardita                                  | Animal    | Mollusca                   | -251300000    | -247200000   | Cardita
