Antexitus                                | Micro     | Radiolaria                 | -171600000    | -167700000   | <>
Antiptychina                             | Animal    | Brachiopoda                | -170300000    | -168300000   | <>
Antiquicyprina                           | Animal    | Mollusca                   | -175600000    | -161200000   | <>
Apiocrinites                             | Animal    | Echinodermata              | -170300000    | -168300000   | Apiocrinites
Apodosia                                 | Animal    | Brachiopoda                | -171600000    | -167700000   | <>
Aporrhais                                | Animal    | Mollusca                   | -170300000    | -168300000   | Aporrhais
Apseudocardinia                          | Animal    | Mollusca                   | -174100000    | -163500000   | <>
Arabatia                                 | Animal    | Brachiopoda                | -170300000    | -166100000   | <>
Araucanastrea                            | Animal    | Cnidaria                   | -171600000    | -168400000   | <>
Araucariacites                           | Plant     | Pinophyta                  | -174100000    | -93500000    | <>
Araucaria                                | Plant     | Pinophyta                  | -174100000    | -145000000   | Araucaria
Araucarioxylon                           | Plant     | Pinophyta                  | -170300000    | -168300000   | Araucarioxylon
Araucarites                              | Plant     | Pinophyta                  | -170300000    | -166100000   | <>
Arcanicapsa                              | Micro     | Radiolaria                 | -171600000    | -167700000   | <>
Arcelinithyris                           | Animal    | Brachiopoda                | -170300000    | -168300000   | <>
Archaeocarabus                           | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Archaeocenosphaera                       | Micro     | Radiolaria                 | -170300000    | -168300000   | <>
Archaeodictyomitra                       | Micro     | Radiolaria                 | -170300000    | -164700000   | <>
Archaeohagiastrum                        | Micro     | Radiolaria                 | -170300000    | -168300000   | <>
Archaeolus                               | Animal    | Arthropoda                 | -170300000    | -168300000   | <>
Archaeoniscus                            | Animal    | Arthropoda                 | -170300000    | -166100000   | Archaeoniscus
Archaeospongoprunum                      | Micro     | Radiolaria                 | -170300000    | -168300000   | <>
Archicapsa                               | Micro     | Radiolaria                 | -170300000    | -166100000   | <>
Archimesotipula                          | Animal    | Arthropoda                 | -170300000    | -168300000   | <>
Archiphilopotamus                        | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Architipula                              | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Arcomya                                  | Animal    | Mollusca                   | -170300000    | -168300000   | <>
Arcomytilus                              | Animal    | Mollusca                   | -170300000    | -168300000   | <>
Arctica                                  | Animal    | Mollusca                   | -201300000    | -145000000   | Arctica_(bivalve)
Arctobaiera                              | Plant     | Ginkgophyta                | -171600000    | -168300000   | <>
Ares                                     | Micro     | Radiolaria                 | -170300000    | -168300000   | Ares
Argoviaster                              | Animal    | Echinodermata              | -171600000    | -167700000   | <>
Artematopodites                          | Animal    | Arthropoda                 | -174100000    | -168300000   | <>
Artocarpidium                            | Plant     | Spermatophyta              | -174100000    | -163500000   | <>
Asfaltovenator                           | Animal    | Chordata                   | -180100000    | -168400000   | Asfaltovenator
Aspidistes                               | Plant     | Pteridophyta               | -170300000    | -168300000   | <>
Astacolus                                | Micro     | Foraminifera               | -170300000    | -168300000   | <>
Astarte                                  | Animal    | Mollusca                   | -170300000    | -164700000   | Astarte
Asteracanthus                            | Animal    | Chordata                   | -171600000    | -167700000   | Asteracanthus
Asterocidaris                            | Animal    | Echinodermata              | -171600000    | -167700000   | Asterocidaris
Asthenoceras                             | Animal    | Mollusca                   | -171600000    | -167700000   | Asthenoceras
Astraraea                                | Animal    | Cnidaria                   | -171600000    | -168400000   | <>
Astrocoenia                              | Animal    | Cnidaria                   | -201300000    | -163500000   | <>
Ataphrus                                 | Animal    | Mollusca                   | -170300000    | -166100000   | <>
Atelophyllia                             | Animal    | Cnidaria                   | -170300000    | -168300000   | <>
Atreta                                   | Animal    | Mollusca                   | -174100000    | -163500000   | <>
Aucklandirhynchia                        | Animal    | Brachiopoda                | -170300000    | -166100000   | <>
Aulacopygus                              | Animal    | Echinodermata              | -171600000    | -168400000   | <>
Aulacothyris                             | Animal    | Brachiopoda                | -170300000    | -168300000   | <>
Aulavescus                               | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Austrohamia                              | Plant     | Pinophyta                  | -201300000    | -163500000   | <>
Avonothyris                              | Animal    | Brachiopoda                | -170300000    | -166100000   | <>
Axosmilia                                | Animal    | Cnidaria                   | -170300000    | -168300000   | <>
Bacharaboilus                            | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
