Alligaticeras                            | Animal    | Mollusca                   | -164700000    | -161200000   | Alligaticeras
Allocoenia                               | Animal    | Cnidaria                   | -167700000    | -164700000   | <>
Allocoeniopsis                           | Animal    | Cnidaria                   | -166100000    | -163500000   | <>
Allognosis                               | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Alloioscarabaeus                         | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Allophalerus                             | Animal    | Arthropoda                 | -166100000    | -157300000   | Allophalerus
Allotriosmylus                           | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Alsophilites                             | Plant     | Pteridophyta               | -174100000    | -163500000   | <>
Amberleya                                | Animal    | Mollusca                   | -166100000    | -163500000   | <>
Ambulocapsa                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Ameghinichnus                            | Animal    | Chordata                   | -166100000    | -157300000   | <>
Amicytheridea                            | Animal    | Arthropoda                 | -164700000    | -161200000   | <>
Amijiella                                | Micro     | Foraminifera               | -167700000    | -164700000   | <>
Amiodon                                  | Animal    | Mollusca                   | -174100000    | -163500000   | <>
Ammobaculites                            | Micro     | Foraminifera               | -164700000    | -161200000   | <>
Ammodiscoides                            | Micro     | Foraminifera               | -166100000    | -163500000   | <>
Ammodiscus                               | Micro     | Foraminifera               | -166100000    | -163500000   | Ammodiscus
Amnifleckia                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Amoeboceras                              | Animal    | Mollusca                   | -166100000    | -152100000   | Amoeboceras
Ampakabastraea                           | Animal    | Cnidaria                   | -166100000    | -163500000   | <>
Amphiastrea                              | Animal    | Cnidaria                   | -164700000    | -150800000   | <>
Amphibrachium                            | Micro     | Radiolaria                 | -166100000    | -163500000   | <>
Amphilestes                              | Animal    | Chordata                   | -167700000    | -164700000   | Amphilestes
Amphipyndax                              | Micro     | Radiolaria                 | -164700000    | -157300000   | <>
Amphitherium                             | Animal    | Chordata                   | -167700000    | -164700000   | Amphitherium
Amphitrochus                             | Animal    | Mollusca                   | -168300000    | -155700000   | <>
Ampliceps                                | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Ampullina                                | Animal    | Mollusca                   | -166100000    | -157300000   | Ampullina
Amusium                                  | Animal    | Mollusca                   | -201300000    | -145000000   | Amusium
Amydroptychus                            | Animal    | Brachiopoda                | -164700000    | -161200000   | <>
Anacapitis                               | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Anaglyphites                             | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
