Angaropeltis                             | Plant     | Peltaspermophyta           | -290100000    | -272300000   | <>
Angaropteridium                          | Plant     | Peltaspermophyta           | -290100000    | -272300000   | <>
Angioblastus                             | Animal    | Echinodermata              | -298900000    | -272300000   | <>
Anidanthus                               | Animal    | Brachiopoda                | -290100000    | -268000000   | <>
Anisopyge                                | Animal    | Arthropoda                 | -290100000    | -279300000   | <>
Annularia                                | Plant     | Sphenophyta                | -279500000    | -252170000   | Annularia
Annuliconcha                             | Animal    | Mollusca                   | -290100000    | -268000000   | <>
Anodontacanthus                          | Animal    | Chordata                   | -290100000    | -279300000   | <>
Anomalesia                               | Animal    | Brachiopoda                | -290100000    | -279300000   | Anomalesia
Anomalogramma                            | Animal    | Arthropoda                 | -290100000    | -279300000   | <>
Anomalohymen                             | Animal    | Arthropoda                 | -290100000    | -279300000   | <>
Anomaloria                               | Animal    | Brachiopoda                | -279500000    | -268000000   | <>
Anomphalus                               | Animal    | Mollusca                   | -290100000    | -279300000   | Anomphalus
Anormochorista                           | Animal    | Arthropoda                 | -290100000    | -279300000   | <>
Anteridocus                              | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Anthracoblattina                         | Animal    | Arthropoda                 | -290100000    | -279300000   | <>
Anthraconeilo                            | Animal    | Mollusca                   | -290100000    | -279300000   | <>
Anthracoporella                          | Plant     | Chlorophyta                | -290100000    | -279300000   | <>
Antiquatonia                             | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Antronaria                               | Animal    | Brachiopoda                | -290100000    | -272300000   | <>
Apachella                                | Animal    | Mollusca                   | -290100000    | -272300000   | <>
Apateon                                  | Animal    | Chordata                   | -298900000    | -252170000   | Apateon
Aperispirifer                            | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Aphanaia                                 | Animal    | Mollusca                   | -290100000    | -279300000   | <>
Apheloneura                              | Animal    | Arthropoda                 | -290100000    | -279300000   | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -298900000    | -252170000   | <>
Apogonoceras                             | Animal    | Mollusca                   | -290100000    | -279300000   | <>
Appertia                                 | Animal    | Arthropoda                 | -290100000    | -279300000   | <>
Apsidoneura                              | Animal    | Arthropoda                 | -290100000    | -279300000   | <>
Apsisaurus                               | Animal    | Chordata                   | -296400000    | -268000000   | Apsisaurus
Apterrinella                             | Micro     | Foraminifera               | -296400000    | -268000000   | <>
Araeoscelis                              | Animal    | Chordata                   | -290100000    | -272300000   | Araeoscelis
Araucarioxylon                           | Plant     | Pinophyta                  | -295500000    | -272300000   | Araucarioxylon
