Aequipecten                              | Animal    | Mollusca                   | -47800000     | -41300000    | Aequipecten
Aethomylos                               | Animal    | Chordata                   | -46200000     | -40400000    | <>
Aetomylaeus                              | Animal    | Chordata                   | -47800000     | -41300000    | Aetomylaeus
Africarca                                | Animal    | Mollusca                   | -47800000     | -41300000    | <>
Africolithes                             | Animal    | Mollusca                   | -47800000     | -41300000    | <>
Africoterebellum                         | Animal    | Mollusca                   | -47800000     | -41300000    | <>
Afrotarsius                              | Animal    | Chordata                   | -48600000     | -33900000    | Afrotarsius
Agamimus                                 | Animal    | Chordata                   | -48600000     | -37200000    | <>
Agaronia                                 | Animal    | Mollusca                   | -47800000     | -33900000    | Agaronia
Agassizia                                | Animal    | Echinodermata              | -48600000     | -37200000    | Agassizia
Agatha                                   | Animal    | Mollusca                   | -48600000     | -37200000    | Agatha
Agathiphyllia                            | Animal    | Cnidaria                   | -47800000     | -41300000    | <>
Agathis                                  | Plant     | Pinophyta                  | -100500000    | -33900000    | Agathis
Agathomyia                               | Animal    | Arthropoda                 | -47800000     | -41300000    | Agathomyia
Ageina                                   | Animal    | Chordata                   | -50300000     | -46200000    | <>
Ageitodendron                            | Animal    | Chordata                   | -50300000     | -46200000    | <>
Agerinia                                 | Animal    | Chordata                   | -47800000     | -41300000    | Agerinia
Aglyptorhynchus                          | Animal    | Chordata                   | -47800000     | -41300000    | Aglyptorhynchus
Agnocarcinus                             | Animal    | Arthropoda                 | -47800000     | -41300000    | <>
Agonis                                   | Plant     | Spermatophyta              | -48600000     | -23030000    | Agonis
Agrenocythere                            | Animal    | Arthropoda                 | -47800000     | -41300000    | <>
Agrypnus                                 | Animal    | Arthropoda                 | -48600000     | -40400000    | Agrypnus
Agulla                                   | Animal    | Arthropoda                 | -50300000     | -46200000    | Agulla
Ailanthipites                            | Plant     | Spermatophyta              | -100500000    | -23030000    | <>
Ailanthus                                | Plant     | Spermatophyta              | -46200000     | -40400000    | Ailanthus
Ailuravus                                | Animal    | Chordata                   | -47800000     | -41300000    | Ailuravus
Akania                                   | Plant     | Spermatophyta              | -58700000     | -37200000    | Akania
Akera                                    | Animal    | Mollusca                   | -47800000     | -41300000    | Akera
Akrochelys                               | Animal    | Chordata                   | -47800000     | -41300000    | <>
Aksyiromys                               | Animal    | Chordata                   | -48600000     | -37200000    | <>
Aktaua                                   | Animal    | Chordata                   | -48600000     | -37200000    | Aktaua
Aktautitan                               | Animal    | Chordata                   | -48600000     | -37200000    | <>
Alabamina                                | Micro     | Foraminifera               | -48600000     | -37200000    | <>
Alangium                                 | Plant     | Spermatophyta              | -48600000     | -37200000    | Alangium
Alastor                                  | Animal    | Arthropoda                 | -50300000     | -46200000    | Alastor
Alberticarcinus                          | Animal    | Arthropoda                 | -47800000     | -41300000    | <>
Albertipollenites                        | Plant     | Spermatophyta              | -100500000    | -23030000    | <>
Albertogaudrya                           | Animal    | Chordata                   | -47800000     | -41300000    | Albertogaudrya
Albula                                   | Animal    | Chordata                   | -47800000     | -41300000    | Albula
Albunea                                  | Animal    | Arthropoda                 | -47800000     | -41300000    | Albunea
Alcespina                                | Animal    | Arthropoda                 | -48600000     | -37200000    | <>
Aletornis                                | Animal    | Chordata                   | -48600000     | -37200000    | <>
Aleurites                                | Plant     | Spermatophyta              | -46200000     | -40400000    | Aleurites
Algeripithecus                           | Animal    | Chordata                   | -56000000     | -41300000    | Algeripithecus
Aliculastrum                             | Animal    | Mollusca                   | -47800000     | -41300000    | Aliculastrum
Alisma                                   | Plant     | Angiospermae               | -47800000     | -41300000    | Alisma
Allaeochelys                             | Animal    | Chordata                   | -46200000     | -40400000    | Allaeochelys
Allalmeia                                | Animal    | Chordata                   | -42000000     | -36000000    | Allalmeia
Alligator                                | Animal    | Chordata                   | -48600000     | -40400000    | Alligator
Allognathosuchus                         | Animal    | Chordata                   | -46200000     | -40400000    | Allognathosuchus
Allomorone                               | Animal    | Chordata                   | -47800000     | -41300000    | Allomorone
Allopterites                             | Animal    | Arthropoda                 | -47800000     | -41300000    | <>
Allosminthus                             | Animal    | Chordata                   | -48600000     | -37200000    | <>
Alnus                                    | Plant     | Spermatophyta              | -46200000     | -40400000    | Alnus
Alocopocythere                           | Animal    | Arthropoda                 | -47800000     | -38000000    | <>
Alopias                                  | Animal    | Chordata                   | -47800000     | -38000000    | Alopias
Alopiopsis                               | Animal    | Chordata                   | -47800000     | -41300000    | Alopiopsis
Alosa                                    | Animal    | Chordata                   | -48600000     | -33900000    | Alosa
Alpheus                                  | Animal    | Arthropoda                 | -66000000     | -23030000    | Alpheus
Altrix                                   | Animal    | Mollusca                   | -47800000     | -41300000    | Altrix
Alvania                                  | Animal    | Mollusca                   | -47800000     | -41300000    | Alvania
Alveinus                                 | Animal    | Mollusca                   | -47800000     | -33900000    | <>
Alveojunctus                             | Animal    | Chordata                   | -46200000     | -40400000    | <>
Alveolina                                | Micro     | Foraminifera               | -47800000     | -38000000    | Alveolina
Alveopora                                | Animal    | Cnidaria                   | -56000000     | -33900000    | Alveopora
Amaea                                    | Animal    | Mollusca                   | -47800000     | -41300000    | <>
Amalaberga                               | Animal    | Arthropoda                 | -48600000     | -40400000    | Amalaberga
Amalda                                   | Animal    | Mollusca                   | -47800000     | -41300000    | Amalda
Amaru                                    | Animal    | Chordata                   | -47800000     | -41300000    | Amaru
Amaurellina                              | Animal    | Mollusca                   | -47800000     | -41300000    | <>
Amauropsina                              | Animal    | Mollusca                   | -47800000     | -41300000    | <>
Amauropsis                               | Animal    | Mollusca                   | -47800000     | -41300000    | Amauropsis
Ambassis                                 | Animal    | Chordata                   | -43000000     | -37200000    | Ambassis
Amblygoniolepidus                        | Animal    | Chordata                   | -48600000     | -33900000    | <>
Amblypygus                               | Animal    | Echinodermata              | -48600000     | -37200000    | <>
Ambulocetus                              | Animal    | Chordata                   | -47800000     | -41300000    | Ambulocetus
Amechanites                              | Animal    | Arthropoda                 | -47800000     | -41300000    | <>
Ameghinomya                              | Animal    | Mollusca                   | -56000000     | -5333000     | <>
Ameghinornis                             | Animal    | Chordata                   | -56000000     | -15970000    | Ameghinornis
Amekicarcinus                            | Animal    | Arthropoda                 | -47800000     | -38000000    | <>
Amekichilus                              | Animal    | Mollusca                   | -47800000     | -41300000    | <>
Amekicythara                             | Animal    | Mollusca                   | -56000000     | -33900000    | <>
Ameranella                               | Animal    | Mollusca                   | -48600000     | -37200000    | <>
Americardia                              | Animal    | Mollusca                   | -47800000     | -41300000    | Americardia
Ameridromia                              | Animal    | Arthropoda                 | -47800000     | -41300000    | <>
Amia                                     | Animal    | Chordata                   | -46200000     | -40400000    | Amia
Amiantis                                 | Animal    | Mollusca                   | -48600000     | -37200000    | <>
Amilnedwardsia                           | Animal    | Chordata                   | -47800000     | -38000000    | <>
Amitabha                                 | Animal    | Chordata                   | -50300000     | -46200000    | Amitabha
Ammobaculites                            | Micro     | Foraminifera               | -47800000     | -41300000    | <>
Ammodiscus                               | Micro     | Foraminifera               | -47800000     | -41300000    | Ammodiscus
Ammodytidarum                            | Animal    | Chordata                   | -47800000     | -41300000    | <>
Ammonia                                  | Micro     | Foraminifera               | -55800000     | -37200000    | Ammonia
Amotapus                                 | Animal    | Mollusca                   | -48600000     | -37200000    | <>
Ampelopsis                               | Plant     | Spermatophyta              | -48600000     | -37200000    | Ampelopsis
Ampheristus                              | Animal    | Chordata                   | -43000000     | -37200000    | Ampheristus
Amphibolus                               | Animal    | Arthropoda                 | -48600000     | -40400000    | Amphibolus
Amphicraspedum                           | Micro     | Radiolaria                 | -47800000     | -41300000    | <>
Amphidolops                              | Animal    | Chordata                   | -47800000     | -41300000    | <>
Amphidonta                               | Animal    | Mollusca                   | -47800000     | -41300000    | <>
Amphilemur                               | Animal    | Chordata                   | -47800000     | -41300000    | <>
Amphimorphina                            | Micro     | Foraminifera               | -47800000     | -38000000    | <>
Amphiperatherium                         | Animal    | Chordata                   | -47800000     | -41300000    | <>
Amphiperca                               | Animal    | Chordata                   | -47800000     | -41300000    | Amphiperca
Amphiroa                                 | Plant     | Rhodophyta                 | -47800000     | -41300000    | Amphiroa
Amphistegina                             | Micro     | Foraminifera               | -47800000     | -33900000    | Amphistegina
Amphitragulus                            | Animal    | Chordata                   | -56000000     | -33900000    | Amphitragulus
Amplogladius                             | Animal    | Mollusca                   | -47800000     | -41300000    | <>
Ampullina                                | Animal    | Mollusca                   | -47800000     | -41300000    | Ampullina
Ampullinopsis                            | Animal    | Mollusca                   | -47800000     | -41300000    | Ampullinopsis
Ampullonatica                            | Animal    | Mollusca                   | -47800000     | -41300000    | <>
Amuletum                                 | Animal    | Mollusca                   | -48600000     | -37200000    | <>
Amusium                                  | Animal    | Mollusca                   | -47800000     | -41300000    | Amusium
Amyda                                    | Animal    | Chordata                   | -46200000     | -40400000    | Amyda
Amydrocarcinus                           | Animal    | Arthropoda                 | -55800000     | -37200000    | <>
Amylodon                                 | Animal    | Chordata                   | -47800000     | -41300000    | Amylodon
Amynodon                                 | Animal    | Chordata                   | -46200000     | -37200000    | <>
Amynodontopsis                           | Animal    | Chordata                   | -46200000     | -40400000    | <>
Amyzon                                   | Animal    | Chordata                   | -47800000     | -41300000    | Amyzon
Anacardites                              | Plant     | Spermatophyta              | -46200000     | -40400000    | <>
Anacardium                               | Plant     | Spermatophyta              | -55800000     | -23030000    | Anacardium
Anaclinia                                | Animal    | Arthropoda                 | -50300000     | -46200000    | <>
Anacolosidites                           | Plant     | Spermatophyta              | -48600000     | -37200000    | <>
Anadara                                  | Animal    | Mollusca                   | -47800000     | -41300000    | Anadara
Anadianomys                              | Animal    | Chordata                   | -48600000     | -37200000    | <>
Anapteris                                | Animal    | Mollusca                   | -47800000     | -41300000    | <>
Anaptomorphus                            | Animal    | Chordata                   | -50300000     | -46200000    | <>
Anatella                                 | Animal    | Arthropoda                 | -50300000     | -46200000    | Anatella
Anatolechinos                            | Animal    | Chordata                   | -47800000     | -41300000    | <>
Anatoliadelphys                          | Animal    | Chordata                   | -47800000     | -41300000    | Anatoliadelphys
Anatolianycteris                         | Animal    | Chordata                   | -47800000     | -41300000    | <>
Anatolikos                               | Animal    | Arthropoda                 | -48600000     | -37200000    | Anatolikos
Anazola                                  | Animal    | Mollusca                   | -48600000     | -37200000    | <>
Anchichanna                              | Animal    | Chordata                   | -47800000     | -41300000    | <>
Anchilophus                              | Animal    | Chordata                   | -48600000     | -40400000    | <>
Anchomomys                               | Animal    | Chordata                   | -47800000     | -41300000    | Anchomomys
Ancilla                                  | Animal    | Mollusca                   | -47800000     | -38000000    | Ancilla
Ancillarina                              | Animal    | Mollusca                   | -47800000     | -41300000    | <>
Ancillina                                | Animal    | Mollusca                   | -43000000     | -37200000    | Ancillina
Ancistrolepis                            | Animal    | Mollusca                   | -47800000     | -41300000    | Ancistrolepis
Anconia                                  | Animal    | Mollusca                   | -48600000     | -37200000    | Anconia
Ancyrona                                 | Animal    | Arthropoda                 | -48600000     | -40400000    | <>
Andersomys                               | Animal    | Chordata                   | -48600000     | -37200000    | <>
Andicula                                 | Animal    | Mollusca                   | -48600000     | -37200000    | <>
Andrewsarchus                            | Animal    | Chordata                   | -48600000     | -37200000    | Andrewsarchus
Andrewsiphius                            | Animal    | Chordata                   | -47800000     | -41300000    | Andrewsiphius
Anemia                                   | Plant     | Pteridophyta               | -47800000     | -41300000    | Anemia
Anemorhysis                              | Animal    | Chordata                   | -50300000     | -46200000    | <>
Anenchelum                               | Animal    | Chordata                   | -47800000     | -41300000    | <>
Aneuretellus                             | Animal    | Arthropoda                 | -47800000     | -41300000    | Aneuretellus
Aneurus                                  | Animal    | Arthropoda                 | -48600000     | -40400000    | Aneurus
Anevrina                                 | Animal    | Arthropoda                 | -66000000     | -37200000    | Anevrina
Angaria                                  | Animal    | Mollusca                   | -47800000     | -41300000    | Angaria
Angoumeius                               | Animal    | Chordata                   | -47800000     | -38000000    | Angoumeius
Anguilla                                 | Animal    | Chordata                   | -47800000     | -41300000    | Anguilla
Anguis                                   | Animal    | Chordata                   | -47800000     | -41300000    | Anguis
Angulithes                               | Animal    | Mollusca                   | -47800000     | -41300000    | <>
Angulogerina                             | Micro     | Foraminifera               | -55800000     | -37200000    | <>
Angulus                                  | Animal    | Mollusca                   | -47800000     | -38000000    | Angulus
