Alisporites                              | Plant     | Gymnospermophyta           | -125000000    | -109000000   | <>
Alkastrobus                              | Plant     | Pinophyta                  | -125000000    | -113000000   | <>
Allaboilus                               | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Alleremonomus                            | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Allicospermum                            | Plant     | Gymnospermophyta           | -125000000    | -113000000   | <>
Allobuchia                               | Animal    | Mollusca                   | -145000000    | -100500000   | <>
Allocearagryllus                         | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Allocotoraphidia                         | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Alloepipsychopsis                        | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Allogaster                               | Animal    | Arthropoda                 | -125450000    | -122460000   | Allogaster
Allopelecinus                            | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Allophalerus                             | Animal    | Arthropoda                 | -125000000    | -113000000   | Allophalerus
Allopterus                               | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Alloraphidia                             | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Alloserphus                              | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Almargemia                               | Plant     | Cycadophyta                | -125000000    | -113000000   | Almargemia
Alphitopsis                              | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Alsophilidites                           | Plant     | Pteridophyta               | -163500000    | -100500000   | <>
Alxasaurus                               | Animal    | Chordata                   | -125000000    | -113000000   | Alxasaurus
Amaea                                    | Animal    | Mollusca                   | -122460000    | -112030000   | <>
Amauropsina                              | Animal    | Mollusca                   | -125000000    | -113000000   | <>
Amauropsis                               | Animal    | Mollusca                   | -122460000    | -112030000   | Amauropsis
Amazonsaurus                             | Animal    | Chordata                   | -125000000    | -100500000   | Amazonsaurus
Amberleya                                | Animal    | Mollusca                   | -130000000    | -109000000   | <>
Ambiortiphagus                           | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Amblydactylus                            | Animal    | Chordata                   | -125000000    | -100500000   | Amblydactylus
Ambolestes                               | Animal    | Chordata                   | -125450000    | -122460000   | <>
Amboserphus                              | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Amiopsis                                 | Animal    | Chordata                   | -129400000    | -122460000   | Amiopsis
Ammobaculites                            | Micro     | Foraminifera               | -125000000    | -113000000   | <>
Ammodiscus                               | Micro     | Foraminifera               | -122460000    | -112030000   | Ammodiscus
Ammonitoceras                            | Animal    | Mollusca                   | -122460000    | -112030000   | Ammonitoceras
Amorimyia                                | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Amorphoscelites                          | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Amphiaraus                               | Animal    | Mollusca                   | -125000000    | -113000000   | <>
Amphiastrea                              | Animal    | Cnidaria                   | -122460000    | -109000000   | <>
Amphiaulastrea                           | Animal    | Cnidaria                   | -125000000    | -113000000   | <>
Amphidonte                               | Animal    | Mollusca                   | -122460000    | -109000000   | <>
Amphitriscoelus                          | Animal    | Mollusca                   | -122460000    | -109000000   | <>
Amphoxyne                                | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Amplicella                               | Animal    | Arthropoda                 | -125000000    | -113000000   | Amplicella
Ampullina                                | Animal    | Mollusca                   | -125000000    | -113000000   | Ampullina
Amygdalum                                | Animal    | Mollusca                   | -125000000    | -113000000   | Amygdalum
Anaethalion                              | Animal    | Chordata                   | -125450000    | -122460000   | Anaethalion
Anagaudryceras                           | Animal    | Mollusca                   | -122460000    | -109000000   | Anagaudryceras
Anaglyphites                             | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Anahamulina                              | Animal    | Mollusca                   | -122460000    | -112030000   | Anahamulina
Anatina                                  | Animal    | Mollusca                   | -125450000    | -122460000   | Anatina
Anatosuchus                              | Animal    | Chordata                   | -122460000    | -109000000   | Anatosuchus
Anchura                                  | Animal    | Mollusca                   | -122460000    | -112030000   | <>
Ancorale                                 | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Ancyloceras                              | Animal    | Mollusca                   | -122460000    | -112030000   | Ancyloceras
Andakhudukia                             | Animal    | Arthropoda                 | -125000000    | -113000000   | Andakhudukia
Androstrobus                             | Plant     | Cycadophyta                | -125000000    | -113000000   | <>
Anebodon                                 | Animal    | Chordata                   | -125450000    | -122460000   | <>
Aneimidium                               | Plant     | Pteridophyta               | -125000000    | -113000000   | <>
Aneuretopsyche                           | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Angaridyela                              | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Angarogyrus                              | Animal    | Arthropoda                 | -125000000    | -113000000   | Angarogyrus
Angaronecta                              | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Angaropsychops                           | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Angarosphex                              | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Angioporella                             | Plant     | Chlorophyta                | -130000000    | -122460000   | <>
Anglonautilus                            | Animal    | Mollusca                   | -122460000    | -112030000   | <>
Angolaichnus                             | Animal    | Chordata                   | -122460000    | -112030000   | <>
Angulobracchia                           | Micro     | Radiolaria                 | -122460000    | -112030000   | <>
Angulochterus                            | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Aniabrochus                              | Animal    | Brachiopoda                | -125000000    | -100500000   | <>
Anisocardia                              | Animal    | Mollusca                   | -125000000    | -113000000   | <>
Anisomyon                                | Animal    | Mollusca                   | -125000000    | -113000000   | <>
Annieporcellana                          | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Annulaphis                               | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Annuntidiogenes                          | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Anoixis                                  | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Anomalaeschna                            | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Anomalina                                | Micro     | Foraminifera               | -125000000    | -113000000   | <>
Anomia                                   | Animal    | Mollusca                   | -125000000    | -113000000   | Anomia_(bivalve)
Anomoeodus                               | Animal    | Chordata                   | -145000000    | -66000000    | Anomoeodus
Anomoepus                                | Animal    | Chordata                   | -145000000    | -100500000   | Anomoepus
Anomoscytina                             | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Anomotodon                               | Animal    | Chordata                   | -122460000    | -112030000   | Anomotodon
Anopaea                                  | Animal    | Mollusca                   | -125000000    | -113000000   | <>
Antemnacrassa                            | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Anteophthalmosuchus                      | Animal    | Chordata                   | -129400000    | -122460000   | Anteophthalmosuchus
Anthonya                                 | Animal    | Mollusca                   | -122460000    | -112030000   | <>
Anthoxyela                               | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Antigracilus                             | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Antiquanabittacus                        | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Antiquilima                              | Animal    | Mollusca                   | -125000000    | -113000000   | <>
Antulsporites                            | Plant     | Pteridophyta               | -122460000    | -109000000   | <>
Aortomima                                | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Aphanocoris                              | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Aphodius                                 | Animal    | Arthropoda                 | -125000000    | -113000000   | Aphodius
Aphrodina                                | Animal    | Mollusca                   | -122460000    | -112030000   | <>
Aphrostigmon                             | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Apiblatta                                | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -125000000    | -113000000   | <>
Apinella                                 | Plant     | Chlorophyta                | -130000000    | -122460000   | <>
Apocladophyllia                          | Animal    | Cnidaria                   | -125000000    | -113000000   | <>
Apoclion                                 | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Apolephthisa                             | Animal    | Arthropoda                 | -125000000    | -113000000   | Apolephthisa
Aporrhais                                | Animal    | Mollusca                   | -125000000    | -113000000   | Aporrhais
Appendicisporites                        | Plant     | Pteridophyta               | -122460000    | -112030000   | <>
Apriacma                                 | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Apticax                                  | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Aptolinter                               | Animal    | Mollusca                   | -125000000    | -113000000   | <>
Aptyxiella                               | Animal    | Mollusca                   | -122460000    | -112030000   | <>
Aquatilavipes                            | Animal    | Chordata                   | -125000000    | -100500000   | <>
Arabicodium                              | Plant     | Chlorophyta                | -125450000    | -122460000   | Arabicodium
Aradus                                   | Animal    | Arthropoda                 | -125000000    | -113000000   | Aradus
Araliaephyllum                           | Plant     | Spermatophyta              | -145000000    | -66000000    | <>
Aralia                                   | Plant     | Spermatophyta              | -145000000    | -100500000   | Aralia
Araneus                                  | Animal    | Arthropoda                 | -125450000    | -122460000   | Araneus
Araripebelostomum                        | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Araripeberotha                           | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Araripechlorogomphus                     | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Araripechrysa                            | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Araripegomphus                           | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Araripegryllus                           | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Araripeleon                              | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Araripelepidotes                         | Animal    | Chordata                   | -122460000    | -109000000   | <>
Araripelibellula                         | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Araripeliupanshania                      | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Araripelocusta                           | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Araripemyrmecophilops                    | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Araripemys                               | Animal    | Chordata                   | -122460000    | -112030000   | Araripemys
Araripeneura                             | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Araripenymphes                           | Animal    | Arthropoda                 | -122460000    | -112030000   | Araripenymphes
Araripephlebia                           | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Arariperhinus                            | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Araripescolia                            | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Araripescorpius                          | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Araripesuchus                            | Animal    | Chordata                   | -125000000    | -100500000   | Araripesuchus
Arariphrynus                             | Animal    | Chordata                   | -122460000    | -112030000   | <>
Araripia                                 | Plant     | Magnoliophyta              | -122460000    | -112030000   | <>
Araripichthys                            | Animal    | Chordata                   | -125000000    | -113000000   | Araripichthys
Araripogon                               | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Araucariacites                           | Plant     | Pinophyta                  | -122460000    | -109000000   | <>
Araucaria                                | Plant     | Pinophyta                  | -125000000    | -100500000   | Araucaria
Araucarioxylon                           | Plant     | Pinophyta                  | -145000000    | -66000000    | Araucarioxylon
Araucarites                              | Plant     | Pinophyta                  | -125000000    | -113000000   | <>
Arca                                     | Animal    | Mollusca                   | -122460000    | -112030000   | Arca
Arcanosaurus                             | Animal    | Chordata                   | -130000000    | -122460000   | Arcanosaurus
Arcellites                               | Plant     | Pteridophyta               | -122460000    | -109000000   | <>
Archaealveolina                          | Micro     | Foraminifera               | -125450000    | -122460000   | <>
Archaeanthus                             | Plant     | Spermatophyta              | -145000000    | -66000000    | <>
Archaeoceratops                          | Animal    | Chordata                   | -125000000    | -113000000   | Archaeoceratops
Archaeocynips                            | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Archaeodictyomitra                       | Micro     | Radiolaria                 | -122460000    | -109000000   | <>
Archaeodrepanicus                        | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Archaeogryllotalpoides                   | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Archaeolarix                             | Plant     | Pinophyta                  | -125000000    | -113000000   | <>
Archaeolithothamnium                     | Plant     | Rhodophyta                 | -122460000    | -112030000   | <>
Archaeoniscus                            | Animal    | Arthropoda                 | -145000000    | -100500000   | Archaeoniscus
Archaeopus                               | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Archaeoradiolites                        | Animal    | Mollusca                   | -122460000    | -112030000   | <>
Archaeorhynchus                          | Animal    | Chordata                   | -125450000    | -122460000   | Archaeorhynchus
Archaeornithipus                         | Animal    | Chordata                   | -163500000    | -100500000   | Archaeornithipus
Archaeoscolia                            | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Archaeosoma                              | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Archaeospongoprunum                      | Micro     | Radiolaria                 | -130000000    | -122460000   | <>
Archaeotetrix                            | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Archaeovolans                            | Animal    | Chordata                   | -125000000    | -113000000   | Archaeovolans
Archeoviparosiphum                       | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Archeraphidia                            | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Archiacia                                | Animal    | Echinodermata              | -125450000    | -122460000   | <>
Archijassus                              | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Archimedea                               | Animal    | Mollusca                   | -122460000    | -112030000   | <>
Archimesoblatta                          | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Archipsyllodes                           | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Archipsyllopsis                          | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Archisphex                               | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Archisusumania                           | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Architettix                              | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Architiphia                              | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Archizelmira                             | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Archobraconus                            | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Archoxyelyda                             | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Arcinella                                | Animal    | Mollusca                   | -125000000    | -100500000   | Arcinella
Arcodonichthys                           | Animal    | Chordata                   | -145000000    | -66000000    | <>
Arctica                                  | Animal    | Mollusca                   | -125000000    | -113000000   | Arctica_(bivalve)
Arctostrea                               | Animal    | Mollusca                   | -125450000    | -122460000   | <>
Arcullaea                                | Animal    | Mollusca                   | -125000000    | -113000000   | <>
Arecipites                               | Plant     | Angiospermae               | -122460000    | -112030000   | <>
Arenaciarcula                            | Animal    | Brachiopoda                | -125000000    | -100500000   | <>
Arenobulimina                            | Micro     | Foraminifera               | -125000000    | -113000000   | <>
Arganodus                                | Animal    | Chordata                   | -122460000    | -112030000   | Arganodus
Argentinopetala                          | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Argillomys                               | Animal    | Chordata                   | -122460000    | -112030000   | <>
Arginbaatar                              | Animal    | Chordata                   | -125000000    | -100500000   | Arginbaatar
Argonauticeras                           | Animal    | Mollusca                   | -122460000    | -112030000   | Argonauticeras
Arguimus                                 | Animal    | Chordata                   | -125000000    | -100500000   | <>
Arguniella                               | Animal    | Mollusca                   | -125000000    | -113000000   | <>
Ariadnaesporites                         | Plant     | Pteridophyta               | -125000000    | -100500000   | <>
Aristosuchus                             | Animal    | Chordata                   | -129400000    | -122460000   | Aristosuchus
Artematopodites                          | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Arthurdactylus                           | Animal    | Chordata                   | -122460000    | -112030000   | Arthurdactylus
Arundelconodon                           | Animal    | Chordata                   | -125450000    | -122460000   | <>
Arundelemys                              | Animal    | Chordata                   | -122460000    | -112030000   | <>
Ascalochrysa                             | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Ascarites                                | Animal    | Nematoda                   | -129400000    | -122460000   | <>
Asciocythere                             | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Ashanga                                  | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Asianopodus                              | Animal    | Chordata                   | -145000000    | -100500000   | <>
Asiatermes                               | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Asiochaoborus                            | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Asioculicus                              | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Aspideretes                              | Animal    | Chordata                   | -145000000    | -100500000   | Aspideretes
Asplenium                                | Plant     | Pteridophyta               | -145000000    | -100500000   | Asplenium
Astacodes                                | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Astacolus                                | Micro     | Foraminifera               | -122460000    | -112030000   | <>
Astarte                                  | Animal    | Mollusca                   | -122460000    | -112030000   | Astarte_(bivalve)
Astartemya                               | Animal    | Mollusca                   | -122460000    | -112030000   | <>
Astartoides                              | Animal    | Mollusca                   | -125000000    | -100500000   | <>
Asteropollis                             | Plant     | Magnoliophyta              | -122460000    | -112030000   | <>
Astraeofungia                            | Animal    | Cnidaria                   | -122460000    | -100500000   | <>
Astrocoenia                              | Animal    | Cnidaria                   | -122460000    | -109000000   | <>
Astroconodon                             | Animal    | Chordata                   | -122460000    | -109000000   | Astroconodon
Astrocorethra                            | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Astrogyra                                | Animal    | Cnidaria                   | -122460000    | -112030000   | <>
Astrolampas                              | Animal    | Echinodermata              | -125000000    | -113000000   | <>
Atalosciophila                           | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Atalosyne                                | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Ataphrus                                 | Animal    | Mollusca                   | -122460000    | -112030000   | <>
Atefia                                   | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Atherimorpha                             | Animal    | Arthropoda                 | -122460000    | -112030000   | Atherimorpha
Athrotaxites                             | Plant     | Coniferophyta              | -125000000    | -113000000   | <>
Athrotaxopsis                            | Plant     | Pinophyta                  | -145000000    | -100500000   | <>
Atlascopcosaurus                         | Animal    | Chordata                   | -122460000    | -109000000   | Atlascopcosaurus
Atokasaurus                              | Animal    | Chordata                   | -122460000    | -109000000   | Atokasaurus
Atokatheridium                           | Animal    | Chordata                   | -122460000    | -109000000   | Atokatheridium
Atopochara                               | Plant     | Charophyta                 | -125000000    | -113000000   | <>
Atresius                                 | Animal    | Mollusca                   | -125000000    | -113000000   | <>
Atreta                                   | Animal    | Mollusca                   | -125450000    | -122460000   | <>
Atrina                                   | Animal    | Mollusca                   | -125000000    | -113000000   | Atrina
Atrirabus                                | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Aucellina                                | Animal    | Mollusca                   | -122460000    | -112030000   | <>
Audouliceras                             | Animal    | Mollusca                   | -122460000    | -112030000   | <>
Aulacopodia                              | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Aulastraea                               | Animal    | Cnidaria                   | -125450000    | -122460000   | <>
Aulastraeopora                           | Animal    | Cnidaria                   | -122460000    | -100500000   | <>
Aulaxinia                                | Animal    | Porifera                   | -125000000    | -113000000   | <>
Auliepterix                              | Animal    | Arthropoda                 | -125450000    | -122460000   | Auliepterix
Auliserphus                              | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Aulosmilia                               | Animal    | Cnidaria                   | -125000000    | -113000000   | <>
Aurisaturnalis                           | Micro     | Radiolaria                 | -125450000    | -122460000   | <>
Auritulinasporites                       | Plant     | Pteridophyta               | -125000000    | -113000000   | <>
Auroraceratops                           | Animal    | Chordata                   | -129400000    | -100500000   | Auroraceratops
Ausktribosphenos                         | Animal    | Chordata                   | -122460000    | -112030000   | Ausktribosphenos
Australiceras                            | Animal    | Mollusca                   | -122460000    | -109000000   | Australiceras
Australidiadema                          | Animal    | Echinodermata              | -125000000    | -100500000   | <>
Australiphemera                          | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
