Amphilichas                              | Animal    | Arthropoda                 | -460900000    | -443700000   | <>
Amphitryon                               | Animal    | Arthropoda                 | -460900000    | -449500000   | Amphitryon
Amplaspongia                             | Animal    | Porifera                   | -460900000    | -456100000   | <>
Amplexograptus                           | Animal    | Hemichordata               | -460900000    | -443700000   | <>
Amplexopora                              | Animal    | Bryozoa                    | -460900000    | -449500000   | Amplexopora
Ampyx                                    | Animal    | Arthropoda                 | -460900000    | -443700000   | Ampyx
Ampyxella                                | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Ampyxina                                 | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Ampyxoides                               | Animal    | Arthropoda                 | -466000000    | -460900000   | <>
Amsassia                                 | Animal    | Porifera                   | -460900000    | -449500000   | <>
Amygdalocystites                         | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Anaconularia                             | Animal    | Cnidaria                   | -460900000    | -455800000   | <>
Ananterodonta                            | Animal    | Mollusca                   | -466000000    | -460900000   | <>
Anaphragma                               | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Anapliomera                              | Animal    | Arthropoda                 | -460900000    | -449500000   | Anapliomera
Anaspyroceras                            | Animal    | Mollusca                   | -460900000    | -449500000   | <>
Anataphrus                               | Animal    | Arthropoda                 | -460900000    | -449500000   | Anataphrus
Anatiferocystis                          | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Anatifopsis                              | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Anatolepis                               | Animal    | Chordata                   | -460900000    | -449500000   | <>
Anazyga                                  | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Anchigonites                             | Animal    | Brachiopoda                | -468100000    | -463500000   | <>
Anchoramena                              | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Ancistroceras                            | Animal    | Mollusca                   | -460900000    | -449500000   | Ancistroceras
Ancistrorhyncha                          | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Anebolithus                              | Animal    | Arthropoda                 | -463500000    | -460900000   | Anebolithus
Anechophragma                            | Animal    | Brachiopoda                | -466000000    | -460900000   | <>
Angarella                                | Animal    | Mollusca                   | -466000000    | -449500000   | Angarella
Angelinoceras                            | Animal    | Mollusca                   | -460900000    | -449500000   | Angelinoceras
Anglagnostus                             | Animal    | Arthropoda                 | -478600000    | -466000000   | Anglagnostus
Angullongia                              | Animal    | Porifera                   | -460900000    | -449500000   | <>
Anisochilina                             | Animal    | Arthropoda                 | -470000000    | -458400000   | <>
Anisocyamus                              | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
