Angochitina                              | Micro     | Sarcodina                  | -410800000    | -407600000   | Angochitina
Anomalotoechus                           | Animal    | Bryozoa                    | -410800000    | -407600000   | <>
Anomphalus                               | Animal    | Mollusca                   | -410800000    | -407600000   | Anomphalus
Anoplia                                  | Animal    | Brachiopoda                | -410800000    | -407600000   | <>
Anoplotheca                              | Animal    | Brachiopoda                | -409100000    | -402500000   | <>
Anostylostroma                           | Animal    | Porifera                   | -410800000    | -407600000   | <>
Antarctilamna                            | Animal    | Chordata                   | -419200000    | -393300000   | Antarctilamna
Anthracoporella                          | Plant     | Chlorophyta                | -410800000    | -393300000   | <>
Antigyra                                 | Animal    | Mollusca                   | -409100000    | -402500000   | <>
Antihomocrinus                           | Animal    | Echinodermata              | -409100000    | -402500000   | <>
Antipleura                               | Animal    | Mollusca                   | -423000000    | -391900000   | <>
Antirhynchonella                         | Animal    | Brachiopoda                | -410800000    | -402500000   | <>
Antitrochus                              | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Antizyga                                 | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Anulipecten                              | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Aorocrinus                               | Animal    | Echinodermata              | -419200000    | -358900000   | <>
Aparchitellina                           | Animal    | Arthropoda                 | -409100000    | -402500000   | <>
Aparchites                               | Animal    | Arthropoda                 | -410800000    | -402500000   | <>
Aphrosalpinx                             | Animal    | Porifera                   | -423000000    | -407600000   | <>
Aphyctoceras                             | Animal    | Mollusca                   | -410800000    | -383700000   | <>
Aphyllum                                 | Animal    | Cnidaria                   | -410800000    | -407600000   | <>
Apocalymene                              | Animal    | Arthropoda                 | -410800000    | -407600000   | Apocalymene
Apurocrinus                              | Animal    | Echinodermata              | -419200000    | -393300000   | <>
Archaeomartus                            | Animal    | Arthropoda                 | -409100000    | -402500000   | <>
Archaeometa                              | Animal    | Arthropoda                 | -409100000    | -402500000   | <>
Archaeothrix                             | Micro     | Cyanobacteria              | -410800000    | -407600000   | <>
Archasterina                             | Animal    | Echinodermata              | -409100000    | -402500000   | <>
Archiacoceras                            | Animal    | Mollusca                   | -409100000    | -402500000   | <>
Arctipeltis                              | Animal    | Arthropoda                 | -409100000    | -402500000   | <>
Arctozone                                | Animal    | Mollusca                   | -409100000    | -402500000   | <>
Arduspirifer                             | Animal    | Brachiopoda                | -409100000    | -402500000   | <>
Areostrophia                             | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Argentinaster                            | Animal    | Echinodermata              | -419200000    | -393300000   | <>
Arionoceras                              | Animal    | Mollusca                   | -423000000    | -391900000   | Arionoceras
Arkonoceras                              | Animal    | Mollusca                   | -410800000    | -383700000   | <>
Arthracantha                             | Animal    | Echinodermata              | -419200000    | -358900000   | <>
Arthroacantha                            | Animal    | Echinodermata              | -409100000    | -402500000   | <>
Arthrophyllum                            | Animal    | Mollusca                   | -409100000    | -388100000   | Arthrophyllum
Asarcophyllum                            | Animal    | Cnidaria                   | -409100000    | -402500000   | <>
Aseptalium                               | Animal    | Brachiopoda                | -410800000    | -407600000   | <>
Aseptirhynchia                           | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Asinomphalus                             | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Asperocrinus                             | Animal    | Echinodermata              | -410800000    | -407600000   | <>
Aspidotheca                              | Animal    | Mollusca                   | -412300000    | -409100000   | <>
Asteracanthus                            | Animal    | Chordata                   | -419200000    | -358900000   | Asteracanthus
Asteropyge                               | Animal    | Arthropoda                 | -410800000    | -407600000   | Asteropyge
Asteroxylon                              | Plant     | Lycopodophyta              | -410800000    | -407600000   | Asteroxylon
Astoceras                                | Animal    | Mollusca                   | -410800000    | -383700000   | <>
Astrictophyllum                          | Animal    | Cnidaria                   | -410800000    | -402500000   | <>
Astutorhyncha                            | Animal    | Brachiopoda                | -410800000    | -407600000   | <>
Astycoryphe                              | Animal    | Arthropoda                 | -409100000    | -388100000   | <>
Astylospongia                            | Animal    | Porifera                   | -410800000    | -407600000   | <>
Asymmetrochonetes                        | Animal    | Brachiopoda                | -410800000    | -407600000   | <>
Atactotoechus                            | Animal    | Bryozoa                    | -410800000    | -407600000   | <>
Atelodictyon                             | Animal    | Porifera                   | -410800000    | -402500000   | <>
Athyrhynchus                             | Animal    | Brachiopoda                | -410800000    | -407600000   | <>
Athyris                                  | Animal    | Brachiopoda                | -409100000    | -391900000   | Athyris
Athyrisina                               | Animal    | Brachiopoda                | -409100000    | -402500000   | <>
Atlanticocoelia                          | Animal    | Brachiopoda                | -419200000    | -358900000   | <>
Atopocystis                              | Animal    | Cnidaria                   | -409100000    | -402500000   | <>
Atopostroma                              | Animal    | Porifera                   | -410800000    | -407600000   | <>
Atracura                                 | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Atrypa                                   | Animal    | Brachiopoda                | -409100000    | -391900000   | Atrypa
Atryparia                                | Animal    | Brachiopoda                | -409100000    | -402500000   | <>
Atrypina                                 | Animal    | Brachiopoda                | -410800000    | -407600000   | <>
Atrypinella                              | Animal    | Brachiopoda                | -410800000    | -402500000   | <>
Atrypoidea                               | Animal    | Brachiopoda                | -410800000    | -407600000   | <>
Attungaia                                | Animal    | Porifera                   | -410800000    | -407600000   | <>
Auchenaspis                              | Animal    | Chordata                   | -410800000    | -407600000   | Auchenaspis
Aulacella                                | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Aulacophyllum                            | Animal    | Cnidaria                   | -419200000    | -393300000   | Aulacophyllum
Aulacostrepsis                           | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Aulocystis                               | Animal    | Cnidaria                   | -419200000    | -358900000   | <>
Aulopora                                 | Animal    | Cnidaria                   | -409100000    | -382700000   | Aulopora
Auriptygma                               | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Australina                               | Animal    | Brachiopoda                | -410800000    | -407600000   | <>
Australocoelia                           | Animal    | Brachiopoda                | -416000000    | -391900000   | <>
Australonema                             | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Australophyllum                          | Animal    | Cnidaria                   | -410800000    | -407600000   | <>
Australospirifer                         | Animal    | Brachiopoda                | -409100000    | -402500000   | <>
Australostrophia                         | Animal    | Brachiopoda                | -410800000    | -402500000   | <>
Australoxa                               | Animal    | Mollusca                   | -409100000    | -383700000   | <>
Bactrites                                | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Bairdia                                  | Animal    | Arthropoda                 | -409100000    | -402500000   | <>
Bairdiocypris                            | Animal    | Arthropoda                 | -409100000    | -402500000   | <>
Bairdiohealdites                         | Animal    | Arthropoda                 | -409100000    | -402500000   | <>
Balbiniconcha                            | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Balbinipleura                            | Animal    | Mollusca                   | -409100000    | -402500000   | <>
Baliactis                                | Animal    | Echinodermata              | -409100000    | -402500000   | <>
Baragwanathia                            | Plant     | Lycopodophyta              | -410800000    | -382700000   | Baragwanathia
Barocospira                              | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Barrandeophyllum                         | Animal    | Cnidaria                   | -410800000    | -393300000   | <>
Barroisocaulus                           | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Baschkirina                              | Animal    | Arthropoda                 | -410800000    | -402500000   | <>
Bascomella                               | Animal    | Bryozoa                    | -410800000    | -407600000   | <>
Basidechenella                           | Animal    | Arthropoda                 | -410800000    | -407600000   | <>
Bassotrochus                             | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Batteniella                              | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Beachia                                  | Animal    | Brachiopoda                | -410800000    | -407600000   | <>
Bekena                                   | Animal    | Arthropoda                 | -410800000    | -407600000   | <>
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites_(genus)
Belemnostroma                            | Animal    | Porifera                   | -419200000    | -407600000   | <>
Belenopyge                               | Animal    | Arthropoda                 | -409100000    | -387700000   | <>
Belinurus                                | Animal    | Arthropoda                 | -409100000    | -402500000   | Belinurus
Bellerophon                              | Animal    | Mollusca                   | -409100000    | -383700000   | Bellerophon
Belodella                                | Animal    | Chordata                   | -409100000    | -391900000   | <>
Bembexia                                 | Animal    | Mollusca                   | -409100000    | -402500000   | Bembexia
Beraunia                                 | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Berounella                               | Animal    | Arthropoda                 | -419200000    | -358900000   | <>
Beyrichia                                | Animal    | Arthropoda                 | -409100000    | -383700000   | <>
Beyrichocrinus                           | Animal    | Echinodermata              | -410800000    | -407600000   | <>
Biangularia                              | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Bicarina                                 | Animal    | Mollusca                   | -409100000    | -402500000   | <>
Biconostrophia                           | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Bicorium                                 | Plant     | Rhodophyta                 | -410800000    | -393300000   | <>
Bifida                                   | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Biformispira                             | Animal    | Mollusca                   | -419200000    | -393300000   | <>
Bigeyina                                 | Animal    | Bryozoa                    | -410800000    | -407600000   | <>
Billingsastraea                          | Animal    | Cnidaria                   | -419200000    | -407600000   | <>
Biseptum                                 | Animal    | Brachiopoda                | -409100000    | -402500000   | <>
Bisinocoelia                             | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Blasaria                                 | Plant     | Lycopodophyta              | -409100000    | -402500000   | <>
Blothrophyllum                           | Animal    | Cnidaria                   | -419200000    | -393300000   | <>
Bogoslovskya                             | Animal    | Mollusca                   | -409100000    | -391900000   | Bogoslovskya
Bohemicardia                             | Animal    | Mollusca                   | -409100000    | -402500000   | <>
Bohemipleura                             | Animal    | Mollusca                   | -410800000    | -407600000   | <>
