Aix                                      | Animal    | Chordata                   | -11700        | 2030         | Aix_(bird)
Akodon                                   | Animal    | Chordata                   | -11700        | 2030         | Akodon
Alaba                                    | Animal    | Mollusca                   | -11700        | 2030         | Alaba
Alaptus                                  | Animal    | Arthropoda                 | -11700        | 2030         | <>
Alauda                                   | Animal    | Chordata                   | -11700        | 2030         | Alauda
Albula                                   | Animal    | Chordata                   | -11700        | 2030         | Albula_(fish)
Albunaea                                 | Animal    | Arthropoda                 | -11700        | 2030         | <>
Alca                                     | Animal    | Chordata                   | -11700        | 2030         | Razorbill
Alcedo                                   | Animal    | Chordata                   | -126000       | 2030         | Alcedo
Alcelaphus                               | Animal    | Chordata                   | -11700        | 2030         | Alcelaphus
Alces                                    | Animal    | Chordata                   | -11700        | 2030         | Alces
Aldabrachelys                            | Animal    | Chordata                   | -11700        | 2030         | Aldabrachelys
Alectoris                                | Animal    | Chordata                   | -11700        | 2030         | Alectoris
Alectroenas                              | Animal    | Chordata                   | -11700        | 2030         | Alectroenas
Alectryon                                | Plant     | Spermatophyta              | -781000       | 2030         | Alectryon_(plant)
Alexandrinus                             | Animal    | Chordata                   | -11700        | 2030         | Alexandrinus
Aligena                                  | Animal    | Mollusca                   | -11700        | 2030         | <>
Alle                                     | Animal    | Chordata                   | -11700        | 2030         | Alle
Allenia                                  | Animal    | Chordata                   | -11700        | 2030         | Allenia
Alligator                                | Animal    | Chordata                   | -11700        | 2030         | Alligator
Allogalathea                             | Animal    | Arthropoda                 | -11700        | 2030         | Allogalathea
Allonautilus                             | Animal    | Mollusca                   | -11700        | 2030         | Allonautilus
Alnus                                    | Plant     | Spermatophyta              | -11700        | 2030         | Alnus
Alopecoenas                              | Animal    | Chordata                   | -11700        | 2030         | Alopecoenas
Alopecosa                                | Animal    | Arthropoda                 | -11700        | 2030         | Alopecosa
Alopochen                                | Animal    | Chordata                   | -11700        | 2030         | Alopochen
Alosa                                    | Animal    | Chordata                   | -11700        | 2030         | Alosa
Alouatta                                 | Animal    | Chordata                   | -11700        | 2030         | Alouatta
Alpheus                                  | Animal    | Arthropoda                 | -11700        | 2030         | Alpheus_(shrimp)
Alphitonia                               | Plant     | Spermatophyta              | -11700        | 2030         | Alphitonia
Alsophis                                 | Animal    | Chordata                   | -11700        | 2030         | Alsophis
Alvania                                  | Animal    | Mollusca                   | -11700        | 2030         | Alvania
Alveopora                                | Animal    | Cnidaria                   | -11700        | 2030         | Alveopora
Amaurornis                               | Animal    | Chordata                   | -11700        | 2030         | Amaurornis
Amazona                                  | Animal    | Chordata                   | -11700        | 2030         | Amazona
Amblysomus                               | Animal    | Chordata                   | -11700        | 2030         | Amblysomus
Ameghinomya                              | Animal    | Mollusca                   | -11700        | 2030         | <>
Ameiva                                   | Animal    | Chordata                   | -11700        | 2030         | Ameiva
Americardia                              | Animal    | Mollusca                   | -11700        | 2030         | Americardia
Amia                                     | Animal    | Chordata                   | -11700        | 2030         | Amia
Amiantis                                 | Animal    | Mollusca                   | -11700        | 2030         | <>
Ammonia                                  | Micro     | Foraminifera               | -11700        | 2030         | Ammonia
Ammospermophilus                         | Animal    | Chordata                   | -11700        | 2030         | Ammospermophilus
Ammotragus                               | Animal    | Chordata                   | -2588000      | 2030         | Ammotragus
Amoora                                   | Plant     | Spermatophyta              | -781000       | 2030         | Amoora
Amorphoscelis                            | Animal    | Arthropoda                 | -11700        | 2030         | Amorphoscelis
Amphicoryna                              | Micro     | Foraminifera               | -11700        | 2030         | <>
Amphiroa                                 | Plant     | Rhodophyta                 | -11700        | 2030         | Amphiroa
Amphisbaena                              | Animal    | Chordata                   | -11700        | 2030         | Amphisbaena
Amphisorus                               | Micro     | Foraminifera               | -11700        | 2030         | <>
Amphissa                                 | Animal    | Mollusca                   | -2588000      | 2030         | Amphissa_(gastropod)
Amphistegina                             | Micro     | Foraminifera               | -11700        | 2030         | Amphistegina
Amphithalamus                            | Animal    | Mollusca                   | -2588000      | 2030         | Amphithalamus
Amphitrite                               | Animal    | Arthropoda                 | -11700        | 2030         | Amphitrite
Amphiuma                                 | Animal    | Chordata                   | -11700        | 2030         | Amphiuma
Amphora                                  | Plant     | Ochrophyta                 | -11700        | 2030         | Amphora
Amusurgus                                | Animal    | Arthropoda                 | -11700        | 2030         | <>
Amyda                                    | Animal    | Chordata                   | -11700        | 2030         | Amyda
Amytornis                                | Animal    | Chordata                   | -11700        | 2030         | Amytornis
Anachis                                  | Animal    | Mollusca                   | -11700        | 2030         | Anachis
Anacinetops                              | Animal    | Arthropoda                 | -11700        | 2030         | <>
Anadara                                  | Animal    | Mollusca                   | -11700        | 2030         | Anadara
Anagotus                                 | Animal    | Arthropoda                 | -11700        | 2030         | Anagotus
Anancus                                  | Animal    | Chordata                   | -2588000      | 2030         | Anancus
Anapagurus                               | Animal    | Arthropoda                 | -5333000      | 2030         | <>
Anaplecta                                | Animal    | Arthropoda                 | -11700        | 2030         | <>
Anarhynchus                              | Animal    | Chordata                   | -11700        | 2030         | Anarhynchus
Anas                                     | Animal    | Chordata                   | -11700        | 2030         | Anas
Anastomus                                | Animal    | Chordata                   | -11700        | 2030         | Anastomus
Anatoma                                  | Animal    | Mollusca                   | -11700        | 2030         | Anatoma
Anchistus                                | Animal    | Arthropoda                 | -11700        | 2030         | <>
Anchoa                                   | Animal    | Chordata                   | -126000       | 2030         | Anchoa
Ancylocheles                             | Animal    | Arthropoda                 | -11700        | 2030         | <>
Ancylus                                  | Animal    | Mollusca                   | -11700        | 2030         | Ancylus
Andinomys                                | Animal    | Chordata                   | -126000       | 2030         | Andinomys
Angerona                                 | Animal    | Arthropoda                 | -11700        | 2030         | Angerona_prunaria
Anguis                                   | Animal    | Chordata                   | -11700        | 2030         | Anguis
Angulogerina                             | Micro     | Foraminifera               | -11700        | 2030         | <>
Angulus                                  | Animal    | Mollusca                   | -11700        | 2030         | <>
Anheteromeyenia                          | Animal    | Porifera                   | -11700        | 2030         | Anheteromeyenia
Anhinga                                  | Animal    | Chordata                   | -11700        | 2030         | Anhinga
Aniculus                                 | Animal    | Arthropoda                 | -11700        | 2030         | <>
Anisotremus                              | Animal    | Chordata                   | -11700        | 2030         | Anisotremus
Anisus                                   | Animal    | Mollusca                   | -11700        | 2030         | Anisus
Annulocibicides                          | Micro     | Foraminifera               | -11700        | 2030         | <>
Anodontia                                | Animal    | Mollusca                   | -11700        | 2030         | Anodontia
Anolis                                   | Animal    | Chordata                   | -11700        | 2030         | Anolis
Anomalinella                             | Micro     | Foraminifera               | -11700        | 2030         | <>
Anomalocardia                            | Animal    | Mollusca                   | -11700        | 2030         | Anomalocardia
Anomalopteryx                            | Animal    | Chordata                   | -11700        | 2030         | Anomalopteryx
Anomia                                   | Animal    | Mollusca                   | -11700        | 2030         | Anomia_(bivalve)
Anonychomyrma                            | Animal    | Arthropoda                 | -11700        | 2030         | Anonychomyrma
Anous                                    | Animal    | Chordata                   | -11700        | 2030         | Anous
Anser                                    | Animal    | Chordata                   | -11700        | 2030         | Anser_(bird)
Antalis                                  | Animal    | Mollusca                   | -2588000      | 2030         | Antalis
Antarctolima                             | Animal    | Mollusca                   | -11700        | 2030         | <>
Antarctus                                | Animal    | Arthropoda                 | -11700        | 2030         | <>
Antechinus                               | Animal    | Chordata                   | -11700        | 2030         | Antechinus
Anthoceros                               | Plant     | Anthocerophyta             | -11700        | 2030         | Anthoceros
Anthochaera                              | Animal    | Chordata                   | -11700        | 2030         | Anthochaera
Anthornis                                | Animal    | Chordata                   | -11700        | 2030         | Anthornis
Anthracothorax                           | Animal    | Chordata                   | -126000       | 2030         | Anthracothorax
Anthus                                   | Animal    | Chordata                   | -11700        | 2030         | Anthus
Antidorcas                               | Animal    | Chordata                   | -11700        | 2030         | Antidorcas
Antifer                                  | Animal    | Chordata                   | -126000       | 2030         | Antifer
