Ampyx                                    | Animal    | Arthropoda                 | -449500000    | -443700000   | Ampyx
Ampyxella                                | Animal    | Arthropoda                 | -452000000    | -449500000   | <>
Ampyxina                                 | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Ampyxinella                              | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Amsassia                                 | Animal    | Porifera                   | -449500000    | -443700000   | <>
Amsassipora                              | Animal    | Bryozoa                    | -449500000    | -443700000   | <>
Amygdalocystites                         | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Anaphragma                               | Animal    | Bryozoa                    | -449500000    | -443700000   | <>
Anapliomera                              | Animal    | Arthropoda                 | -460900000    | -449500000   | Anapliomera
Anartiocystis                            | Animal    | Echinodermata              | -449500000    | -443700000   | <>
Anaspyroceras                            | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Anastrophia                              | Animal    | Brachiopoda                | -449500000    | -445600000   | <>
Anastrophina                             | Animal    | Mollusca                   | -453000000    | -445200000   | <>
Anataphrus                               | Animal    | Arthropoda                 | -449500000    | -443700000   | Anataphrus
Anatiferocystis                          | Animal    | Echinodermata              | -455800000    | -445600000   | <>
Anatifopsis                              | Animal    | Echinodermata              | -455800000    | -445600000   | <>
Anatolepis                               | Animal    | Chordata                   | -460900000    | -449500000   | <>
Anazyga                                  | Animal    | Brachiopoda                | -449500000    | -443700000   | <>
Anchoramena                              | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Ancistroceras                            | Animal    | Mollusca                   | -457500000    | -452000000   | Ancistroceras
Ancistrorhyncha                          | Animal    | Brachiopoda                | -449500000    | -443700000   | <>
Ancyrochitina                            | Micro     | Sarcodina                  | -453000000    | -445200000   | Ancyrochitina
Angarella                                | Animal    | Mollusca                   | -466000000    | -449500000   | Angarella
Angelinoceras                            | Animal    | Mollusca                   | -460900000    | -449500000   | Angelinoceras
Angochitina                              | Micro     | Sarcodina                  | -449500000    | -445600000   | Angochitina
Angullongia                              | Animal    | Porifera                   | -449500000    | -443700000   | <>
Angulospira                              | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Anisograptus                             | Animal    | Hemichordata               | -485400000    | -443400000   | <>
Anisopleurella                           | Animal    | Brachiopoda                | -449500000    | -443700000   | <>
Annamitella                              | Animal    | Arthropoda                 | -466000000    | -449500000   | Annamitella
Anolotichia                              | Animal    | Bryozoa                    | -449500000    | -443700000   | <>
Anomalocoelia                            | Animal    | Mollusca                   | -453000000    | -445200000   | <>
Anomalocrinus                            | Animal    | Echinodermata              | -452000000    | -443700000   | <>
Anomalodonta                             | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Anomaloglossa                            | Animal    | Brachiopoda                | -453000000    | -445200000   | <>
Anomalorthis                             | Animal    | Brachiopoda                | -485400000    | -443400000   | <>
Anoptambonites                           | Animal    | Brachiopoda                | -449500000    | -443400000   | <>
Ansella                                  | Animal    | Chordata                   | -449500000    | -445600000   | <>
Anthaspidella                            | Animal    | Porifera                   | -452000000    | -449500000   | <>
Anthracocrinus                           | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Anthroosasterias                         | Animal    | Echinodermata              | -453000000    | -445200000   | <>
Anticostia                               | Animal    | Hemichordata               | -449500000    | -443700000   | <>
Antiplectoceras                          | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Antispira                                | Animal    | Mollusca                   | -460900000    | -449500000   | <>
Anulocrinus                              | Animal    | Echinodermata              | -455800000    | -445600000   | <>
Anx                                      | Animal    | Brachiopoda                | -455800000    | -445600000   | Anx
Aostipora                                | Animal    | Bryozoa                    | -445600000    | -443700000   | <>
Aparchitella                             | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Aparchites                               | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Apatobolus                               | Animal    | Brachiopoda                | -466000000    | -449500000   | <>
Apatochilina                             | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Apatomorpha                              | Animal    | Brachiopoda                | -453000000    | -445200000   | <>
Apatorthis                               | Animal    | Brachiopoda                | -457500000    | -449500000   | <>
Aphelognathus                            | Animal    | Chordata                   | -445600000    | -443700000   | <>
Aphyllum                                 | Animal    | Cnidaria                   | -445600000    | -443700000   | <>
Apianurus                                | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Apodasmocrinus                           | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Apollonorthis                            | Animal    | Brachiopoda                | -449500000    | -445600000   | <>
Aporthophyla                             | Animal    | Brachiopoda                | -449500000    | -443700000   | <>
Appalachignathus                         | Animal    | Chordata                   | -460900000    | -449500000   | Appalachignathus
Appendispinograptus                      | Animal    | Hemichordata               | -449500000    | -433400000   | <>
Apsidoceras                              | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Apycnodiscus                             | Animal    | Echinodermata              | -452000000    | -449500000   | <>
Arabellites                              | Animal    | Annelida                   | -445600000    | -443700000   | <>
