Antihomocrinus                           | Animal    | Echinodermata              | -419200000    | -410800000   | <>
Antipleura                               | Animal    | Mollusca                   | -419200000    | -410800000   | <>
Aorocrinus                               | Animal    | Echinodermata              | -419200000    | -358900000   | <>
Aparchitellina                           | Animal    | Arthropoda                 | -419200000    | -410800000   | <>
Aparchites                               | Animal    | Arthropoda                 | -419200000    | -407600000   | <>
Aphroidophyllum                          | Animal    | Cnidaria                   | -419200000    | -410800000   | <>
Aphrosalpinx                             | Animal    | Porifera                   | -423000000    | -407600000   | <>
Aphyctoceras                             | Animal    | Mollusca                   | -419200000    | -410800000   | <>
Aphyllum                                 | Animal    | Cnidaria                   | -419200000    | -410800000   | <>
Apocalymene                              | Animal    | Arthropoda                 | -419200000    | -410800000   | Apocalymene
Aporemaspis                              | Animal    | Chordata                   | -419200000    | -410800000   | <>
Apurocrinus                              | Animal    | Echinodermata              | -419200000    | -393300000   | <>
Araspirifer                              | Animal    | Brachiopoda                | -419200000    | -410800000   | <>
Archidesmus                              | Animal    | Arthropoda                 | -419200000    | -410800000   | Archidesmus
Areostrophia                             | Animal    | Brachiopoda                | -419200000    | -410800000   | <>
Argentinaster                            | Animal    | Echinodermata              | -419200000    | -393300000   | <>
Arianrhoda                               | Animal    | Arthropoda                 | -419200000    | -410800000   | <>
Arionoceras                              | Animal    | Mollusca                   | -419200000    | -410800000   | Arionoceras
Arisaigia                                | Animal    | Mollusca                   | -419200000    | -410800000   | <>
Aristozoe                                | Animal    | Arthropoda                 | -419200000    | -410800000   | <>
Arkonoceras                              | Animal    | Mollusca                   | -419200000    | -410800000   | <>
Arthracantha                             | Animal    | Echinodermata              | -419200000    | -358900000   | <>
Arthrophyllum                            | Animal    | Mollusca                   | -419200000    | -410800000   | Arthrophyllum
Aseptalium                               | Animal    | Brachiopoda                | -419200000    | -410800000   | <>
Asiacanthus                              | Animal    | Chordata                   | -419200000    | -410800000   | <>
Asiaspis                                 | Animal    | Chordata                   | -419200000    | -410800000   | <>
Asinomphalus                             | Animal    | Mollusca                   | -419200000    | -410800000   | <>
Aspelundia                               | Animal    | Chordata                   | -449500000    | -412300000   | <>
Aspidocrinus                             | Animal    | Echinodermata              | -419200000    | -410800000   | <>
Aspidograptus                            | Animal    | Hemichordata               | -419200000    | -410800000   | <>
Aspidotheca                              | Animal    | Mollusca                   | -412300000    | -409100000   | <>
Astarte                                  | Animal    | Mollusca                   | -419200000    | -410800000   | Astarte
Asteracanthus                            | Animal    | Chordata                   | -419200000    | -358900000   | Asteracanthus
Astroviella                              | Animal    | Bryozoa                    | -419200000    | -410800000   | <>
Astua                                    | Animal    | Brachiopoda                | -419200000    | -410800000   | <>
Astutorhyncha                            | Animal    | Brachiopoda                | -419200000    | -393300000   | <>
Asymmetrochonetes                        | Animal    | Brachiopoda                | -419200000    | -410800000   | <>
Atelodictyon                             | Animal    | Porifera                   | -416000000    | -412300000   | <>
Athyrhynchus                             | Animal    | Brachiopoda                | -419200000    | -391900000   | <>
Athyris                                  | Animal    | Brachiopoda                | -419200000    | -410800000   | Athyris
Atlanticocoelia                          | Animal    | Brachiopoda                | -419200000    | -358900000   | <>
Atopostroma                              | Animal    | Porifera                   | -419200000    | -407600000   | <>
Atrypa                                   | Animal    | Brachiopoda                | -412300000    | -409100000   | Atrypa
Atrypina                                 | Animal    | Brachiopoda                | -412300000    | -409100000   | <>
Atrypinella                              | Animal    | Brachiopoda                | -419200000    | -407600000   | <>
Atrypoidea                               | Animal    | Brachiopoda                | -419200000    | -410800000   | <>
Aulacella                                | Animal    | Brachiopoda                | -419200000    | -407600000   | <>
Aulacognathus                            | Animal    | Chordata                   | -449500000    | -412300000   | <>
Aulacophyllum                            | Animal    | Cnidaria                   | -419200000    | -393300000   | Aulacophyllum
Aulacostrepsis                           | Animal    | Mollusca                   | -416000000    | -393300000   | <>
Aulocystis                               | Animal    | Cnidaria                   | -419200000    | -358900000   | <>
Aulopora                                 | Animal    | Cnidaria                   | -419200000    | -358900000   | Aulopora
Auriptygma                               | Animal    | Mollusca                   | -419200000    | -410800000   | <>
Australina                               | Animal    | Brachiopoda                | -423000000    | -391900000   | Australina
Australirhynchia                         | Animal    | Brachiopoda                | -419200000    | -410800000   | <>
Australocoelia                           | Animal    | Brachiopoda                | -416000000    | -391900000   | <>
Australonema                             | Animal    | Mollusca                   | -419200000    | -410800000   | <>
Australophyllum                          | Animal    | Cnidaria                   | -419200000    | -407600000   | <>
Australospirifer                         | Animal    | Brachiopoda                | -419200000    | -393300000   | <>
Bactrites                                | Animal    | Mollusca                   | -419200000    | -382700000   | <>
Bactrocrinites                           | Animal    | Echinodermata              | -419200000    | -410800000   | <>
Bairdia                                  | Animal    | Arthropoda                 | -419200000    | -410800000   | <>
Bairdiocypris                            | Animal    | Arthropoda                 | -419200000    | -410800000   | <>
Bairdiohealdites                         | Animal    | Arthropoda                 | -419200000    | -410800000   | <>
Barbaestrophia                           | Animal    | Brachiopoda                | -419200000    | -410800000   | <>
Barocospira                              | Animal    | Mollusca                   | -419200000    | -410800000   | <>
Barrandeophyllum                         | Animal    | Cnidaria                   | -419200000    | -410800000   | <>
Baschkirina                              | Animal    | Arthropoda                 | -419200000    | -410800000   | <>
Basslerella                              | Animal    | Arthropoda                 | -419200000    | -410800000   | <>
Bassotrochus                             | Animal    | Mollusca                   | -419200000    | -410800000   | <>
Batteniella                              | Animal    | Mollusca                   | -419200000    | -410800000   | <>
Baturria                                 | Animal    | Brachiopoda                | -419200000    | -410800000   | <>
Beachia                                  | Animal    | Brachiopoda                | -419200000    | -393300000   | <>
Beecherella                              | Animal    | Arthropoda                 | -419200000    | -410800000   | <>
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites
Belemnostroma                            | Animal    | Porifera                   | -419200000    | -407600000   | <>
Belenopyge                               | Animal    | Arthropoda                 | -419200000    | -382700000   | <>
Belodella                                | Animal    | Chordata                   | -416000000    | -402500000   | <>
Benneviaspis                             | Animal    | Chordata                   | -419200000    | -410800000   | <>
Berounella                               | Animal    | Arthropoda                 | -419200000    | -358900000   | <>
Beyrichia                                | Animal    | Arthropoda                 | -416000000    | -391900000   | <>
Bicarina                                 | Animal    | Mollusca                   | -416000000    | -393300000   | <>
Biconostrophia                           | Animal    | Brachiopoda                | -419200000    | -391900000   | <>
Bicornella                               | Animal    | Arthropoda                 | -423000000    | -410800000   | Bicornella
Bifida                                   | Animal    | Brachiopoda                | -419200000    | -387700000   | <>
Biformispira                             | Animal    | Mollusca                   | -419200000    | -393300000   | <>
Billingsastraea                          | Animal    | Cnidaria                   | -419200000    | -407600000   | <>
Blothrophyllum                           | Animal    | Cnidaria                   | -419200000    | -393300000   | <>
Boardmanella                             | Animal    | Bryozoa                    | -419200000    | -410800000   | <>
Bohemoharpes                             | Animal    | Arthropoda                 | -419200000    | -410800000   | <>
Bohemojovellania                         | Animal    | Mollusca                   | -419200000    | -410800000   | <>
Boiotremus                               | Animal    | Mollusca                   | -416000000    | -393300000   | <>
Bojothyris                               | Animal    | Brachiopoda                | -419200000    | -393300000   | <>
Bolbozoe                                 | Animal    | Arthropoda                 | -423000000    | -391900000   | <>
Bollia                                   | Animal    | Arthropoda                 | -419200000    | -358900000   | <>
Borchgrevinkium                          | Animal    | Arthropoda                 | -419200000    | -393300000   | Borchgrevinkium
Boreania                                 | Animal    | Chordata                   | -419200000    | -410800000   | <>
Boucia                                   | Animal    | Arthropoda                 | -423000000    | -391900000   | <>
Boucotia                                 | Animal    | Brachiopoda                | -416000000    | -407600000   | <>
Boucotstrophia                           | Animal    | Brachiopoda                | -419200000    | -410800000   | <>
Brachiocrinus                            | Animal    | Echinodermata              | -419200000    | -410800000   | <>
Brachyprion                              | Animal    | Brachiopoda                | -412300000    | -409100000   | <>
Brachyspirifer                           | Animal    | Brachiopoda                | -419200000    | -410800000   | <>
Brachyzyga                               | Animal    | Brachiopoda                | -419200000    | -410800000   | <>
Branchioscorpio                          | Animal    | Arthropoda                 | -419200000    | -410800000   | <>
Branzoviella                             | Animal    | Echinodermata              | -419200000    | -410800000   | <>
Breviphrentis                            | Animal    | Cnidaria                   | -419200000    | -410800000   | <>
Breviphyllum                             | Animal    | Cnidaria                   | -419200000    | -358900000   | <>
Breviscutellum                           | Animal    | Arthropoda                 | -416000000    | -393300000   | <>
Briantelasma                             | Animal    | Cnidaria                   | -419200000    | -410800000   | <>
Briantia                                 | Animal    | Cnidaria                   | -419200000    | -410800000   | <>
