Arachnophyllum                           | Animal    | Cnidaria                   | -433400000    | -427400000   | <>
Araspirifer                              | Animal    | Brachiopoda                | -433400000    | -427400000   | <>
Aratoechia                               | Animal    | Brachiopoda                | -433400000    | -430500000   | <>
Archaefenestella                         | Animal    | Bryozoa                    | -433400000    | -430500000   | <>
Archaeocalyptocrinus                     | Animal    | Echinodermata              | -433400000    | -423000000   | <>
Archaeoscyphia                           | Animal    | Porifera                   | -433400000    | -427400000   | <>
Arcticalymene                            | Animal    | Arthropoda                 | -433400000    | -427400000   | Arctica_(bivalve)lymene
Arctinurus                               | Animal    | Arthropoda                 | -433400000    | -423000000   | Arctinurus
Arctomeristina                           | Animal    | Brachiopoda                | -438500000    | -430500000   | <>
Arcuaria                                 | Animal    | Arthropoda                 | -439000000    | -428200000   | <>
Areostrophia                             | Animal    | Brachiopoda                | -433400000    | -419200000   | <>
Ariaspis                                 | Animal    | Chordata                   | -433400000    | -427400000   | Ariaspis
Arionoceras                              | Animal    | Mollusca                   | -433400000    | -419200000   | Arionoceras
Arjamannia                               | Animal    | Mollusca                   | -443400000    | -422900000   | <>
Armenoceras                              | Animal    | Mollusca                   | -433400000    | -423000000   | Armenoceras
Asaphocrinus                             | Animal    | Echinodermata              | -433400000    | -427400000   | <>
Ascanigypa                               | Animal    | Brachiopoda                | -433400000    | -430500000   | <>
Ascoceras                                | Animal    | Mollusca                   | -433400000    | -430500000   | <>
Ascograptus                              | Animal    | Hemichordata               | -443400000    | -419200000   | <>
Aspelundia                               | Animal    | Chordata                   | -433400000    | -427400000   | <>
Asperophyllum                            | Animal    | Cnidaria                   | -433400000    | -427400000   | <>
Asthenophyllum                           | Animal    | Cnidaria                   | -433400000    | -427400000   | <>
Astraeospongium                          | Animal    | Porifera                   | -433400000    | -423000000   | <>
Astrocerium                              | Animal    | Cnidaria                   | -443400000    | -419200000   | <>
Astylospongia                            | Animal    | Porifera                   | -433400000    | -427400000   | <>
Ateleaspis                               | Animal    | Mollusca                   | -433400000    | -423000000   | Ateleaspis
Athyris                                  | Animal    | Brachiopoda                | -443400000    | -419200000   | Athyris
Atrypa                                   | Animal    | Brachiopoda                | -433400000    | -419200000   | Atrypa
Atrypina                                 | Animal    | Brachiopoda                | -433400000    | -419200000   | <>
Atrypoidea                               | Animal    | Brachiopoda                | -433400000    | -419200000   | <>
Aulacatrypa                              | Animal    | Brachiopoda                | -433400000    | -430500000   | <>
Aulacognathus                            | Animal    | Chordata                   | -433400000    | -427400000   | <>
Aulacopleura                             | Animal    | Arthropoda                 | -433400000    | -427400000   | Aulacopleura
Aulocystella                             | Animal    | Cnidaria                   | -433400000    | -427400000   | <>
Aulopora                                 | Animal    | Cnidaria                   | -433400000    | -423000000   | Aulopora
