Adipterites                              | Animal    | Arthropoda                 | -12700000     | -11608000    | <>
Adrana                                   | Animal    | Mollusca                   | -11608000     | -5333000     | Adrana
Adulomya                                 | Animal    | Mollusca                   | -15970000     | -11608000    | <>
Adusta                                   | Animal    | Mollusca                   | -11608000     | -5333000     | <>
Aechmella                                | Animal    | Bryozoa                    | -11620000     | -7246000     | <>
Aelia                                    | Animal    | Arthropoda                 | -12700000     | -11608000    | Aelia
Aelurodon                                | Animal    | Chordata                   | -10300000     | -4900000     | Aelurodon
Aepycamelus                              | Animal    | Chordata                   | -10300000     | -1800000     | Aepycamelus
Aepyceros                                | Animal    | Chordata                   | -11608000     | -2588000     | Aepyceros
Aepyprymnus                              | Animal    | Chordata                   | -23030000     | -2588000     | Aepyprymnus
Aequipecten                              | Animal    | Mollusca                   | -10300000     | -4900000     | Aequipecten
Aeschnophlebia                           | Animal    | Arthropoda                 | -8700000      | -5333000     | <>
Aeshna                                   | Animal    | Arthropoda                 | -11608000     | -5333000     | Aeshna
Aethesolithon                            | Plant     | Rhodophyta                 | -11608000     | -5333000     | <>
Aethia                                   | Animal    | Chordata                   | -11608000     | -5333000     | Aethia
Aetomylaeus                              | Animal    | Chordata                   | -11620000     | -7246000     | Aetomylaeus
Affinetrina                              | Micro     | Foraminifera               | -12700000     | -11608000    | <>
Aforia                                   | Animal    | Mollusca                   | -15970000     | -11608000    | Aforia
Africanacetus                            | Animal    | Chordata                   | -11608000     | 2030         | Africanacetus
Africanictis                             | Animal    | Chordata                   | -23030000     | -11608000    | Africanictis
Africanomys                              | Animal    | Chordata                   | -11608000     | -5333000     | <>
Afrocardium                              | Animal    | Mollusca                   | -11620000     | -7246000     | <>
Afrocricetodon                           | Animal    | Chordata                   | -11620000     | -7246000     | <>
Afrocyon                                 | Animal    | Chordata                   | -11608000     | -5333000     | Afrocyon
Afromastodon                             | Animal    | Chordata                   | -23030000     | -11608000    | <>
Afrozoila                                | Animal    | Mollusca                   | -11608000     | -2588000     | <>
Agabus                                   | Animal    | Arthropoda                 | -11608000     | -5333000     | Agabus
Agaricia                                 | Animal    | Cnidaria                   | -11608000     | -2588000     | Agaricia
Agaronia                                 | Animal    | Mollusca                   | -11608000     | -5333000     | Agaronia
Agassizia                                | Animal    | Echinodermata              | -23030000     | -5333000     | Agassizia
Agathiphyllia                            | Animal    | Cnidaria                   | -23030000     | -5333000     | <>
Agathoxylon                              | Plant     | Pinophyta                  | -23030000     | -5333000     | Agathoxylon
Agatrix                                  | Animal    | Mollusca                   | -11608000     | -5333000     | Agatrix
Agkistrodon                              | Animal    | Chordata                   | -10300000     | -4900000     | Agkistrodon
Agladrillia                              | Animal    | Mollusca                   | -11608000     | -5333000     | Agladrillia
Aglais                                   | Animal    | Arthropoda                 | -15970000     | -11608000    | Aglais
Aglaocetus                               | Animal    | Chordata                   | -11608000     | -5333000     | Aglaocetus
Agnotherium                              | Animal    | Chordata                   | -15970000     | -11608000    | Agnotherium
Agonoscena                               | Animal    | Arthropoda                 | -15970000     | -11608000    | <>
Agonum                                   | Animal    | Arthropoda                 | -11608000     | -5333000     | Agonum
Agriocharis                              | Animal    | Chordata                   | -23030000     | -2588000     | Agriocharis
Agrion                                   | Animal    | Arthropoda                 | -12700000     | -11608000    | Agrion
Agrionemys                               | Animal    | Chordata                   | -11608000     | -8700000     | Agrionemys
Agriopoma                                | Animal    | Mollusca                   | -11620000     | -7246000     | Agriopoma
Agriotherium                             | Animal    | Chordata                   | -10300000     | -4900000     | Agriotherium
Aguascalientia                           | Animal    | Chordata                   | -23030000     | -5333000     | Aguascalientia
Ailanthipites                            | Plant     | Spermatophyta              | -15970000     | -11608000    | <>
Ailanthus                                | Plant     | Spermatophyta              | -11608000     | -5333000     | Ailanthus
Ainicardita                              | Animal    | Mollusca                   | -11608000     | -5333000     | <>
Aivukus                                  | Animal    | Chordata                   | -11608000     | -2588000     | Aivukus
Akburunella                              | Animal    | Mollusca                   | -12700000     | -11608000    | <>
Aktiogavialis                            | Animal    | Chordata                   | -11620000     | -7246000     | Aktiogavialis
Alaba                                    | Animal    | Mollusca                   | -11620000     | -7246000     | Alaba
Alabina                                  | Animal    | Mollusca                   | -11608000     | -5333000     | Alabina
Alangium                                 | Plant     | Spermatophyta              | -11608000     | -3600000     | Alangium
Alatacythere                             | Animal    | Arthropoda                 | -11620000     | -3600000     | <>
Alaus                                    | Animal    | Arthropoda                 | -12700000     | -11608000    | Alaus
Albanensia                               | Animal    | Chordata                   | -11100000     | -9700000     | <>
Albanerpeton                             | Animal    | Chordata                   | -11100000     | -9700000     | Albanerpeton
Albaneryx                                | Animal    | Chordata                   | -11100000     | -9700000     | <>
Albanohyus                               | Animal    | Chordata                   | -13650000     | -11100000    | Albanohyus
Albicetus                                | Animal    | Chordata                   | -11608000     | -5333000     | Albicetus
Albula                                   | Animal    | Chordata                   | -11620000     | -7246000     | Albula
Alca                                     | Animal    | Chordata                   | -11608000     | -5333000     | Alca
Alces                                    | Animal    | Chordata                   | -11608000     | -5333000     | Alces
Alcithoe                                 | Animal    | Mollusca                   | -12700000     | -11608000    | Alcithoe
Alderina                                 | Animal    | Bryozoa                    | -15970000     | -11608000    | <>
Aldrovanda                               | Plant     | Spermatophyta              | -11608000     | -3600000     | Aldrovanda
Aldrovandia                              | Animal    | Chordata                   | -15970000     | -11608000    | Aldrovandia
Alectis                                  | Animal    | Chordata                   | -11620000     | -7246000     | Alectis
Alepisaurus                              | Animal    | Chordata                   | -11620000     | -7246000     | Alepisaurus
Alforjas                                 | Animal    | Chordata                   | -10300000     | -4900000     | Alforjas
Alicornops                               | Animal    | Chordata                   | -11608000     | -5333000     | <>
Aliculastrum                             | Animal    | Mollusca                   | -11620000     | -7246000     | Aliculastrum
Aligena                                  | Animal    | Mollusca                   | -11620000     | -7246000     | <>
Alilepus                                 | Animal    | Chordata                   | -10300000     | -4900000     | <>
Alisea                                   | Animal    | Chordata                   | -23030000     | -5333000     | Alisea
Alisma                                   | Plant     | Angiospermae               | -11608000     | -5333000     | Alisma
Allecula                                 | Animal    | Arthropoda                 | -12700000     | -11608000    | Allecula
Alligator                                | Animal    | Chordata                   | -10300000     | -1800000     | Alligator
Alloblarinella                           | Animal    | Chordata                   | -11608000     | -5333000     | <>
Allocavia                                | Animal    | Chordata                   | -10000000     | -9000000     | <>
Allodesmus                               | Animal    | Chordata                   | -11620000     | -7246000     | Allodesmus
Allohyaena                               | Animal    | Chordata                   | -11608000     | -5333000     | <>
Alloptox                                 | Animal    | Chordata                   | -11608000     | -5333000     | <>
Alluvisorex                              | Animal    | Chordata                   | -10300000     | -4900000     | <>
Alnus                                    | Plant     | Spermatophyta              | -10300000     | -1800000     | Alnus
Aloides                                  | Animal    | Mollusca                   | -11608000     | -5333000     | <>
Alopecocyon                              | Animal    | Chordata                   | -11100000     | -9700000     | Alopecocyon
Alopias                                  | Animal    | Chordata                   | -11608000     | -5333000     | Alopias
Alora                                    | Animal    | Mollusca                   | -15970000     | -11608000    | Alora
Alosa                                    | Animal    | Chordata                   | -11620000     | -7246000     | Alosa
Alphagaulus                              | Animal    | Chordata                   | -23030000     | -5333000     | <>
Altomiramys                              | Animal    | Chordata                   | -15970000     | -11608000    | <>
Alvania                                  | Animal    | Mollusca                   | -11620000     | -5333000     | Alvania
Alveinus                                 | Animal    | Mollusca                   | -11608000     | -5333000     | <>
Alveolinella                             | Micro     | Foraminifera               | -11620000     | -7246000     | Alveolinella
Alveopora                                | Animal    | Cnidaria                   | -11608000     | -2588000     | Alveopora
Amaea                                    | Animal    | Mollusca                   | -15970000     | -11608000    | <>
Amalda                                   | Animal    | Mollusca                   | -11608000     | -5333000     | Amalda
Amara                                    | Animal    | Arthropoda                 | -11608000     | -5333000     | Amara
Amarophos                                | Animal    | Mollusca                   | -11608000     | -5333000     | <>
Amathina                                 | Animal    | Mollusca                   | -23030000     | -5333000     | Amathina
Amblychilepas                            | Animal    | Mollusca                   | -11608000     | -5333000     | Amblychilepas
Amblycoptus                              | Animal    | Chordata                   | -11608000     | -3600000     | <>
Amblystoma                               | Animal    | Chordata                   | -10300000     | -1800000     | Amblystoma
Amebelodon                               | Animal    | Chordata                   | -10300000     | -4900000     | Amebelodon
Ameghinomya                              | Animal    | Mollusca                   | -11608000     | -5333000     | <>
Ameiseophis                              | Animal    | Chordata                   | -13600000     | -10300000    | <>
Ameiurus                                 | Animal    | Chordata                   | -13600000     | -10300000    | Ameiurus
Amelanchier                              | Plant     | Spermatophyta              | -13600000     | -10300000    | Amelanchier
Americardia                              | Animal    | Mollusca                   | -11608000     | -5333000     | Americardia
Amia                                     | Animal    | Chordata                   | -11620000     | -7246000     | Amia
Amiantis                                 | Animal    | Mollusca                   | -11608000     | -5333000     | <>
Ammobaculites                            | Micro     | Foraminifera               | -11620000     | -3600000     | <>
Ammonia                                  | Micro     | Foraminifera               | -11608000     | -5333000     | Ammonia
Ammophila                                | Animal    | Arthropoda                 | -12700000     | -11608000    | Ammophila
Ammospermophilus                         | Animal    | Chordata                   | -10300000     | -4900000     | Ammospermophilus
Amnicola                                 | Animal    | Mollusca                   | -12700000     | -11608000    | Amnicola
Amorena                                  | Animal    | Mollusca                   | -15970000     | -11608000    | <>
Amoria                                   | Animal    | Mollusca                   | -11608000     | -5333000     | Amoria
Amorpha                                  | Plant     | Spermatophyta              | -10300000     | -4900000     | Amorpha
Ampelopsis                               | Plant     | Spermatophyta              | -11608000     | -3600000     | Ampelopsis
Amphechinus                              | Animal    | Chordata                   | -11608000     | -8700000     | Amphechinus
Amphiblestrum                            | Animal    | Bryozoa                    | -11620000     | -7246000     | <>
Amphicetus                               | Animal    | Chordata                   | -11608000     | -2588000     | <>
Amphictis                                | Animal    | Chordata                   | -15970000     | -7246000     | <>
Amphicyon                                | Animal    | Chordata                   | -11608000     | -5333000     | Amphicyon
Amphilagus                               | Animal    | Chordata                   | -11620000     | -7246000     | <>
Amphimachairodus                         | Animal    | Chordata                   | -10300000     | -4900000     | Amphimachairodus
Amphimoschus                             | Animal    | Chordata                   | -15970000     | -7246000     | <>
Amphiocnus                               | Animal    | Chordata                   | -9000000      | -6800000     | <>
Amphioplus                               | Animal    | Echinodermata              | -23030000     | -5333000     | <>
Amphipelargus                            | Animal    | Chordata                   | -11620000     | -7246000     | <>
Amphiroa                                 | Plant     | Rhodophyta                 | -11608000     | -5333000     | Amphiroa
Amphisorus                               | Micro     | Foraminifera               | -11608000     | -2588000     | <>
Amphistegina                             | Micro     | Foraminifera               | -11608000     | -5333000     | Amphistegina
Amphitragulus                            | Animal    | Chordata                   | -15970000     | -11608000    | Amphitragulus
Amphiuma                                 | Animal    | Chordata                   | -10300000     | -4900000     | Amphiuma
Amphiura                                 | Animal    | Echinodermata              | -11608000     | -5333000     | Amphiura
Amphotis                                 | Animal    | Arthropoda                 | -12700000     | -11608000    | Amphotis
Ampulla                                  | Animal    | Mollusca                   | -11620000     | -7246000     | Ampulla
Ampullina                                | Animal    | Mollusca                   | -11608000     | -5333000     | Ampullina
Amusium                                  | Animal    | Mollusca                   | -11608000     | -5333000     | Amusium
Amussiopecten                            | Animal    | Mollusca                   | -11608000     | -5333000     | <>
Amyclina                                 | Animal    | Mollusca                   | -11620000     | -7246000     | <>
Amygdalum                                | Animal    | Mollusca                   | -15970000     | -11608000    | Amygdalum
Anabernicula                             | Animal    | Chordata                   | -23030000     | -2588000     | Anabernicula
Anacardites                              | Plant     | Spermatophyta              | -15970000     | -5333000     | <>
Anacardium                               | Plant     | Spermatophyta              | -33900000     | -5333000     | Anacardium
Anacharsis                               | Animal    | Chordata                   | -12700000     | -11608000    | Anacharsis
Anachis                                  | Animal    | Mollusca                   | -11620000     | -7246000     | Anachis
Anachlysictis                            | Animal    | Chordata                   | -13800000     | -10000000    | Anachlysictis
Anadara                                  | Animal    | Mollusca                   | -11608000     | -5333000     | Anadara
Anadasypus                               | Animal    | Chordata                   | -11620000     | -7246000     | <>
Anancus                                  | Animal    | Chordata                   | -11608000     | -2588000     | Anancus
Anapagurus                               | Animal    | Arthropoda                 | -23030000     | -2588000     | <>
Anapella                                 | Animal    | Mollusca                   | -11608000     | -5333000     | <>
Anapepta                                 | Animal    | Mollusca                   | -12700000     | -11608000    | <>
Anapithecus                              | Animal    | Chordata                   | -11100000     | -9700000     | Anapithecus
Anarthropora                             | Animal    | Bryozoa                    | -33900000     | -5333000     | <>
Anas                                     | Animal    | Chordata                   | -11100000     | -9700000     | Anas
