Amplexocarinia                           | Animal    | Cnidaria                   | -306950000    | -298900000   | <>
Amplexus                                 | Animal    | Cnidaria                   | -358900000    | -298900000   | Amplexus
Amygdalophylloides                       | Animal    | Cnidaria                   | -307000000    | -298900000   | <>
Amynilyspes                              | Animal    | Arthropoda                 | -304800000    | -303400000   | Amynilyspes
Anagesthes                               | Animal    | Arthropoda                 | -318100000    | -306950000   | <>
Ananias                                  | Animal    | Mollusca                   | -305900000    | -303400000   | Ananias
Anapiculatisporites                      | Plant     | Bryophyta                  | -305900000    | -303400000   | <>
Anarkemina                               | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Anchineura                               | Animal    | Arthropoda                 | -304800000    | -303400000   | Anchineura
Anconastes                               | Animal    | Chordata                   | -305900000    | -298900000   | Anconastes
Andersoniella                            | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Anebos                                   | Animal    | Arthropoda                 | -304800000    | -303400000   | <>
Anegertus                                | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Aneimites                                | Plant     | Peltaspermophyta           | -358900000    | -298900000   | <>
Anematina                                | Animal    | Mollusca                   | -305900000    | -303400000   | <>
Anepitedius                              | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Angioblastus                             | Animal    | Echinodermata              | -305900000    | -303400000   | <>
Ankyropteris                             | Plant     | Pteridophyta               | -313800000    | -305900000   | <>
Anniedarwinia                            | Animal    | Arthropoda                 | -318100000    | -306950000   | <>
Annularia                                | Plant     | Sphenophyta                | -305900000    | -304800000   | Annularia
Annuliconcha                             | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Anobasicrinus                            | Animal    | Echinodermata              | -305900000    | -303400000   | <>
Anodontacanthus                          | Animal    | Chordata                   | -306950000    | -298900000   | <>
Anomomylacris                            | Animal    | Arthropoda                 | -314600000    | -306950000   | <>
Anomphalus                               | Animal    | Mollusca                   | -304800000    | -303400000   | Anomphalus
Anozyga                                  | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Antheria                                 | Animal    | Cnidaria                   | -306950000    | -298900000   | <>
Antholithes                              | Plant     | Pteridospermophyta         | -358900000    | -298900000   | <>
Anthracerpes                             | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Anthracoblattina                         | Animal    | Arthropoda                 | -304800000    | -303400000   | <>
Anthracoceras                            | Animal    | Mollusca                   | -313800000    | -305900000   | Anthracoceras
Anthracodromeus                          | Animal    | Chordata                   | -311450000    | -306950000   | Anthracodromeus
Anthracojulus                            | Animal    | Arthropoda                 | -304800000    | -303400000   | <>
Anthracomartus                           | Animal    | Arthropoda                 | -304800000    | -303400000   | <>
Anthracomya                              | Animal    | Mollusca                   | -326400000    | -306950000   | Anthracomya
Anthraconeilo                            | Animal    | Mollusca                   | -305900000    | -303400000   | <>
Anthracoporella                          | Plant     | Chlorophyta                | -306950000    | -298900000   | <>
Anthracopupa                             | Animal    | Mollusca                   | -323200000    | -298900000   | <>
Anthracosaurus                           | Animal    | Chordata                   | -311450000    | -306950000   | Anthracosaurus
Anthracoscorpio                          | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Anthracosiro                             | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Anthracospirifer                         | Animal    | Brachiopoda                | -305900000    | -303400000   | <>
Anthracotarbus                           | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Anthracothremma                          | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Anthrakoris                              | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Anthroosasterias                         | Animal    | Echinodermata              | -358900000    | -298900000   | <>
Antiquatonia                             | Animal    | Brachiopoda                | -305900000    | -303400000   | <>
Apachella                                | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Apatognathus                             | Animal    | Chordata                   | -323200000    | -298900000   | <>
Aphantomartus                            | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Aphelomylacris                           | Animal    | Arthropoda                 | -318100000    | -306950000   | <>
Aphthoroblattina                         | Animal    | Arthropoda                 | -311450000    | -306950000   | Aphthoroblattina
Apiculatasporites                        | Plant     | Pteridophyta               | -305900000    | -303400000   | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -305900000    | -303400000   | <>
Apithanus                                | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Apographiocrinus                         | Animal    | Echinodermata              | -305900000    | -303400000   | <>
Apophthegma                              | Animal    | Arthropoda                 | -311450000    | -306950000   | Apophthegma
Apotocardium                             | Animal    | Mollusca                   | -305900000    | -303400000   | <>
Araeonema                                | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Arceodomus                               | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Archaemioptera                           | Animal    | Arthropoda                 | -306950000    | -298900000   | <>
Archaeocidaris                           | Animal    | Echinodermata              | -305900000    | -303400000   | Archaeocidaris
Archaeolithophyllum                      | Plant     | Rhodophyta                 | -305900000    | -303400000   | Archaeolithophyllum
Archaeologus                             | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Archaeopteridium                         | Plant     | Aneurophytophyta           | -358900000    | -298900000   | <>
Archaeoptilus                            | Animal    | Arthropoda                 | -318100000    | -306950000   | <>
Archaeothyris                            | Animal    | Chordata                   | -311450000    | -306950000   | Archaeothyris
Archegogryllus                           | Animal    | Arthropoda                 | -313800000    | -305900000   | <>
Archimedes                               | Animal    | Bryozoa                    | -307000000    | -303700000   | Archimedes
Archimylacris                            | Animal    | Arthropoda                 | -311450000    | -306950000   | Archimylacris
Archisymplectes                          | Animal    | Nemertea                   | -311450000    | -306950000   | <>
Architarbus                              | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Archiulus                                | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Archoblattina                            | Animal    | Arthropoda                 | -305900000    | -304800000   | <>
Arcochiton                               | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Arctitreta                               | Animal    | Brachiopoda                | -306950000    | -298900000   | <>
Arctophyllum                             | Animal    | Cnidaria                   | -307000000    | -298900000   | <>
Arenovidalina                            | Micro     | Foraminifera               | -306950000    | -298900000   | <>
Argentinonarkemina                       | Animal    | Arthropoda                 | -307000000    | -298900000   | <>
Arltia                                   | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Armathyraster                            | Animal    | Echinodermata              | -305900000    | -303400000   | <>
Arribazona                               | Animal    | Mollusca                   | -306950000    | -305900000   | <>
Arthrolycosa                             | Animal    | Arthropoda                 | -307000000    | -298900000   | Arthrolycosa
Arthropitys                              | Plant     | Sphenophyta                | -313800000    | -305900000   | Arthropitys
Arthropleura                             | Animal    | Arthropoda                 | -311450000    | -306950000   | Arthropleura
Arthroxylon                              | Plant     | Equisetophyta              | -323200000    | -298900000   | <>
Ascopora                                 | Animal    | Bryozoa                    | -307000000    | -303700000   | <>
Asemoblatta                              | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Asselodiscus                             | Micro     | Foraminifera               | -306950000    | -298900000   | <>
Astartella                               | Animal    | Mollusca                   | -305900000    | -303400000   | <>
Asterophyllites                          | Plant     | Sphenophyta                | -304800000    | -298900000   | <>
Asterotheca                              | Plant     | Pteridophyta               | -307000000    | -303700000   | Asterotheca
Asturiella                               | Animal    | Arthropoda                 | -318100000    | -306950000   | <>
Asyncritus                               | Animal    | Arthropoda                 | -311450000    | -306950000   | Asyncritus
Atactoblatta                             | Animal    | Arthropoda                 | -306950000    | -298900000   | <>
Athlocrinus                              | Animal    | Echinodermata              | -305900000    | -303400000   | <>
Athyris                                  | Animal    | Brachiopoda                | -326400000    | -306950000   | Athyris
Atrypa                                   | Animal    | Brachiopoda                | -358900000    | -298900000   | Atrypa
Attenosaurus                             | Animal    | Chordata                   | -318100000    | -306950000   | <>
Aulacotheca                              | Plant     | Pteridospermophyta         | -315200000    | -306950000   | <>
Aulopora                                 | Animal    | Cnidaria                   | -323200000    | -298900000   | Aulopora
Aurikirkbya                              | Animal    | Arthropoda                 | -307000000    | -303700000   | <>
Australosutura                           | Animal    | Arthropoda                 | -326400000    | -306950000   | <>
Autunia                                  | Plant     | Peltaspermophyta           | -315200000    | -254000000   | <>
Aviculopecten                            | Animal    | Mollusca                   | -305900000    | -303400000   | Aviculopecten
Aviculopinna                             | Animal    | Mollusca                   | -305900000    | -303400000   | <>
Aviobreyeria                             | Animal    | Arthropoda                 | -314600000    | -306950000   | <>
Aviocladus                               | Animal    | Arthropoda                 | -314600000    | -306950000   | <>
Aviogramma                               | Animal    | Arthropoda                 | -314600000    | -306950000   | <>
Aviohapaloptera                          | Animal    | Arthropoda                 | -314600000    | -306950000   | <>
Aviologus                                | Animal    | Arthropoda                 | -314600000    | -306950000   | <>
Avionptera                               | Animal    | Arthropoda                 | -314600000    | -306950000   | <>
Aviorrhyncha                             | Animal    | Arthropoda                 | -314600000    | -306950000   | <>
Avioxyela                                | Animal    | Arthropoda                 | -314600000    | -306950000   | <>
Axiologus                                | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Bactrites                                | Animal    | Mollusca                   | -305900000    | -303400000   | <>
Baeoneura                                | Animal    | Arthropoda                 | -307000000    | -298900000   | <>
Baiera                                   | Plant     | Ginkgophyta                | -358900000    | -252170000   | Baiera
Bailliena                                | Animal    | Brachiopoda                | -314600000    | -298900000   | <>
Baiosoma                                 | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Bairdia                                  | Animal    | Arthropoda                 | -305900000    | -303400000   | <>
Bairdianella                             | Animal    | Arthropoda                 | -307000000    | -303700000   | <>
Bandringa                                | Animal    | Chordata                   | -311450000    | -306950000   | Bandringa
Baphetes                                 | Animal    | Chordata                   | -311450000    | -306950000   | Baphetes
Barrandeophyllum                         | Animal    | Cnidaria                   | -306950000    | -298900000   | <>
Barroisiblatta                           | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Bartramella                              | Micro     | Foraminifera               | -307000000    | -303700000   | <>
Basslerella                              | Animal    | Arthropoda                 | -307000000    | -303700000   | <>
Bathysiphon                              | Micro     | Foraminifera               | -313800000    | -305900000   | <>
Batostomella                             | Animal    | Bryozoa                    | -358900000    | -298900000   | <>
Baylea                                   | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Bechlya                                  | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Beecheria                                | Animal    | Brachiopoda                | -313800000    | -305900000   | <>
Beedeina                                 | Micro     | Foraminifera               | -307000000    | -303700000   | <>
Beinertia                                | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
Belantsea                                | Animal    | Chordata                   | -307000000    | -303700000   | Belantsea
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites_(genus)
Belemnospongia                           | Animal    | Porifera                   | -305900000    | -303400000   | <>
Bellazona                                | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Bellerophon                              | Animal    | Mollusca                   | -305900000    | -303400000   | Bellerophon
Beresella                                | Plant     | Chlorophyta                | -307000000    | -298900000   | <>
Bertrandiblatta                          | Animal    | Arthropoda                 | -305900000    | -304800000   | <>
Betaneospirifer                          | Animal    | Brachiopoda                | -323200000    | -298900000   | <>
Beyrichoceratoides                       | Animal    | Mollusca                   | -305900000    | -303400000   | Beyrichoceratoides
Bicuerda                                 | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Bigenerina                               | Micro     | Foraminifera               | -323200000    | -298900000   | <>
Binipecten                               | Animal    | Mollusca                   | -323200000    | -298900000   | <>
Bisatoceras                              | Animal    | Mollusca                   | -305900000    | -303400000   | Bisatoceras
Bitaunioceras                            | Animal    | Mollusca                   | -313800000    | -305900000   | Bitaunioceras
Bizarrea                                 | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Blanzelytron                             | Animal    | Arthropoda                 | -304800000    | -303400000   | <>
Blanziulus                               | Animal    | Arthropoda                 | -304800000    | -303400000   | <>
Blasispirifer                            | Animal    | Brachiopoda                | -323200000    | -298900000   | <>
Blattinopsis                             | Animal    | Arthropoda                 | -304800000    | -301200000   | <>
