Adrana                                   | Animal    | Mollusca                   | -15970000     | -13820000    | Adrana
Adulomya                                 | Animal    | Mollusca                   | -15970000     | -11608000    | <>
Adusta                                   | Animal    | Mollusca                   | -15970000     | -11608000    | <>
Aechmella                                | Animal    | Bryozoa                    | -33900000     | -5333000     | <>
Aegotheles                               | Animal    | Chordata                   | -19000000     | -15900000    | Aegotheles
Aegypius                                 | Animal    | Chordata                   | -15970000     | -13820000    | Aegypius
Aelurodon                                | Animal    | Chordata                   | -15970000     | -10300000    | Aelurodon
Aenictus                                 | Animal    | Arthropoda                 | -15970000     | -13820000    | Aenictus
Aepycamelus                              | Animal    | Chordata                   | -15970000     | -10300000    | Aepycamelus
Aepyceros                                | Animal    | Chordata                   | -23030000     | -11700       | Aepyceros
Aepyprymnus                              | Animal    | Chordata                   | -23030000     | -2588000     | Aepyprymnus
Aequipecten                              | Animal    | Mollusca                   | -15970000     | -11608000    | Aequipecten
Aequispirella                            | Animal    | Mollusca                   | -19000000     | -15900000    | Aequispirella
Aeshna                                   | Animal    | Arthropoda                 | -15970000     | -11608000    | Aeshna
Aethesolithon                            | Plant     | Rhodophyta                 | -15970000     | -11608000    | <>
Aetomylaeus                              | Animal    | Chordata                   | -15970000     | -13820000    | Aetomylaeus
Aforia                                   | Animal    | Mollusca                   | -15970000     | -11608000    | Aforia
Africanacetus                            | Animal    | Chordata                   | -15970000     | -2588000     | Africanacetus
Africanictis                             | Animal    | Chordata                   | -23030000     | -11608000    | Africanictis
Africanomys                              | Animal    | Chordata                   | -15970000     | -11608000    | <>
Afrochoerodon                            | Animal    | Chordata                   | -15970000     | -11620000    | <>
Afrocyon                                 | Animal    | Chordata                   | -15970000     | -11608000    | Afrocyon
Afromastodon                             | Animal    | Chordata                   | -23030000     | -11608000    | <>
Afrophoca                                | Animal    | Chordata                   | -20440000     | -13820000    | Afrophoca
Agallia                                  | Animal    | Arthropoda                 | -20440000     | -13820000    | Agallia
Agaricia                                 | Animal    | Cnidaria                   | -15970000     | -11608000    | Agaricia
Agaronia                                 | Animal    | Mollusca                   | -15970000     | -11608000    | Agaronia
Agasoma                                  | Animal    | Mollusca                   | -15970000     | -13600000    | <>
Agassizia                                | Animal    | Echinodermata              | -23030000     | -5333000     | Agassizia
Agathiphyllia                            | Animal    | Cnidaria                   | -20440000     | -11620000    | <>
Agathoxylon                              | Plant     | Pinophyta                  | -23030000     | -5333000     | Agathoxylon
Agatrix                                  | Animal    | Mollusca                   | -15970000     | -13820000    | Agatrix
Agelaia                                  | Animal    | Arthropoda                 | -20440000     | -13820000    | Agelaia
Agladrillia                              | Animal    | Mollusca                   | -15970000     | -11608000    | Agladrillia
Aglaia                                   | Plant     | Spermatophyta              | -15970000     | -13820000    | Aglaia
Aglais                                   | Animal    | Arthropoda                 | -15970000     | -11608000    | Aglais
Aglaocetus                               | Animal    | Chordata                   | -15970000     | -11620000    | Aglaocetus
Aglyptinus                               | Animal    | Arthropoda                 | -20440000     | -13820000    | Aglyptinus
Agnotherium                              | Animal    | Chordata                   | -15970000     | -11608000    | Agnotherium
Agonoscena                               | Animal    | Arthropoda                 | -15970000     | -11608000    | <>
Agriocharis                              | Animal    | Chordata                   | -23030000     | -2588000     | Agriocharis
Agriopoma                                | Animal    | Mollusca                   | -15970000     | -13820000    | Agriopoma
Agriotherium                             | Animal    | Chordata                   | -23030000     | -5333000     | Agriotherium
Aguascalientia                           | Animal    | Chordata                   | -23030000     | -5333000     | Aguascalientia
Agulla                                   | Animal    | Arthropoda                 | -15970000     | -13600000    | Agulla_(snakefly)
Ailanthipites                            | Plant     | Spermatophyta              | -15970000     | -11608000    | <>
Ailanthus                                | Plant     | Spermatophyta              | -15970000     | -11608000    | Ailanthus
Ainicardita                              | Animal    | Mollusca                   | -15970000     | -11608000    | <>
Aivalykus                                | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Alabina                                  | Animal    | Mollusca                   | -15970000     | -11608000    | Alabina
Alangium                                 | Plant     | Spermatophyta              | -66000000     | -2588000     | Alangium
Albanensia                               | Animal    | Chordata                   | -15970000     | -13650000    | <>
Albanerpeton                             | Animal    | Chordata                   | -15970000     | -11100000    | Albanerpeton
Albaneryx                                | Animal    | Chordata                   | -15970000     | -11620000    | <>
Albicetus                                | Animal    | Chordata                   | -15970000     | -11608000    | Albicetus
Albula                                   | Animal    | Chordata                   | -15970000     | -13820000    | Albula_(fish)
Alca                                     | Animal    | Chordata                   | -15970000     | -13600000    | Razorbill
Alces                                    | Animal    | Chordata                   | -15970000     | -781000      | Alces
Alcithoe                                 | Animal    | Mollusca                   | -15970000     | -11608000    | Alcithoe
Alderina                                 | Animal    | Bryozoa                    | -15970000     | -11608000    | <>
Aldrovanda                               | Plant     | Spermatophyta              | -15970000     | -11608000    | Aldrovanda
Aldrovandia                              | Animal    | Chordata                   | -15970000     | -11608000    | Aldrovandia
Alepisaurus                              | Animal    | Chordata                   | -15970000     | -11608000    | Alepisaurus
Alethaxius                               | Animal    | Arthropoda                 | -20440000     | -13820000    | Alethaxius
Aletomeryx                               | Animal    | Chordata                   | -15970000     | -13600000    | Aletomeryx
Alforjas                                 | Animal    | Chordata                   | -23030000     | -5333000     | Alforjas
Aliculastrum                             | Animal    | Mollusca                   | -15970000     | -13820000    | Aliculastrum
Alienates                                | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Aligena                                  | Animal    | Mollusca                   | -15970000     | -11608000    | <>
Alilepus                                 | Animal    | Chordata                   | -15970000     | -13600000    | <>
Alisea                                   | Animal    | Chordata                   | -23030000     | -5333000     | Alisea
Alisma                                   | Plant     | Angiospermae               | -15970000     | -11620000    | Alisma
Alisotrichia                             | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Allantopora                              | Animal    | Bryozoa                    | -15970000     | -13820000    | <>
Allecula                                 | Animal    | Arthropoda                 | -20440000     | -13820000    | Allecula
Alligator                                | Animal    | Chordata                   | -15970000     | -11608000    | Alligator
Allodesmus                               | Animal    | Chordata                   | -15970000     | -11608000    | Allodesmus
Alloiomys                                | Animal    | Chordata                   | -15500000     | -13800000    | <>
Alloptox                                 | Animal    | Chordata                   | -15970000     | -11608000    | <>
Allosorex                                | Animal    | Chordata                   | -15970000     | -13650000    | <>
Allostemma                               | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Alluvisorex                              | Animal    | Chordata                   | -15970000     | -13600000    | <>
Alnus                                    | Plant     | Spermatophyta              | -15970000     | -11608000    | Alnus
Alopecocyon                              | Animal    | Chordata                   | -15970000     | -11620000    | Alopecocyon
Alopias                                  | Animal    | Chordata                   | -15970000     | -11608000    | Alopias
Alora                                    | Animal    | Mollusca                   | -15970000     | -11608000    | Alora_(gastropod)
Alosa                                    | Animal    | Chordata                   | -15970000     | -11608000    | Alosa
Alphagaulus                              | Animal    | Chordata                   | -15970000     | -13600000    | <>
Altomiramys                              | Animal    | Chordata                   | -15970000     | -11608000    | <>
Alumeda                                  | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Aluterus                                 | Animal    | Chordata                   | -15970000     | -13820000    | Aluterus
Alvania                                  | Animal    | Mollusca                   | -15970000     | -11608000    | Alvania
Alveinus                                 | Animal    | Mollusca                   | -15970000     | -11608000    | <>
Alveopora                                | Animal    | Cnidaria                   | -15970000     | -11608000    | Alveopora
Amaea                                    | Animal    | Mollusca                   | -15970000     | -11608000    | <>
Amalda                                   | Animal    | Mollusca                   | -15970000     | -11608000    | Amalda
Amathina                                 | Animal    | Mollusca                   | -23030000     | -5333000     | Amathina
Amauropsis                               | Animal    | Mollusca                   | -15970000     | -11620000    | Amauropsis
Amberobrysa                              | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Amberoderma                              | Animal    | Arthropoda                 | -20440000     | -13820000    | Amberoderma
Amblyolacerta                            | Animal    | Chordata                   | -15970000     | -11620000    | <>
Amblystoma                               | Animal    | Chordata                   | -15970000     | -13600000    | Amblystoma
Ambostracon                              | Animal    | Arthropoda                 | -15970000     | -13820000    | <>
Ambradolon                               | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Amebelodon                               | Animal    | Chordata                   | -23030000     | -5333000     | Amebelodon
Ameghinomya                              | Animal    | Mollusca                   | -15970000     | -11608000    | <>
Ameiseophis                              | Animal    | Chordata                   | -15970000     | -11608000    | <>
Ameiurus                                 | Animal    | Chordata                   | -15970000     | -13600000    | Ameiurus
Amelanchier                              | Plant     | Spermatophyta              | -15970000     | -13600000    | Amelanchier
Americaphis                              | Animal    | Arthropoda                 | -15970000     | -13600000    | <>
Americardia                              | Animal    | Mollusca                   | -23030000     | -5333000     | Americardia
Americhernes                             | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Amia                                     | Animal    | Chordata                   | -15970000     | -13600000    | Amia
Amiantis                                 | Animal    | Mollusca                   | -15970000     | -11608000    | <>
Amitermes                                | Animal    | Arthropoda                 | -20440000     | -13820000    | Amitermes
Ammodochium                              | Micro     | Cercozoa                   | -15970000     | -13820000    | <>
Ammonia                                  | Micro     | Foraminifera               | -15970000     | -11608000    | Ammonia
Ammospermophilus                         | Animal    | Chordata                   | -23030000     | -5333000     | Ammospermophilus
Amnestus                                 | Animal    | Arthropoda                 | -20440000     | -13820000    | Amnestus
Amoea                                    | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Amorena                                  | Animal    | Mollusca                   | -15970000     | -11608000    | <>
Amoria                                   | Animal    | Mollusca                   | -15970000     | -11608000    | Amoria_(gastropod)
Amorpha                                  | Plant     | Spermatophyta              | -20430000     | -13600000    | Amorpha
Ampelopsis                               | Plant     | Spermatophyta              | -15970000     | -13820000    | Ampelopsis
Amphechinus                              | Animal    | Chordata                   | -15970000     | -13600000    | Amphechinus
Amphiblestrum                            | Animal    | Bryozoa                    | -15970000     | -11608000    | <>
Amphibradys                              | Animal    | Chordata                   | -15970000     | -13820000    | <>
Amphicetus                               | Animal    | Chordata                   | -15970000     | -11620000    | <>
Amphictis                                | Animal    | Chordata                   | -15970000     | -13650000    | <>
Amphicyon                                | Animal    | Chordata                   | -15970000     | -11608000    | Amphicyon
Amphilagus                               | Animal    | Chordata                   | -15970000     | -13650000    | <>
Amphimoschus                             | Animal    | Chordata                   | -15970000     | -13650000    | <>
Amphioplus                               | Animal    | Echinodermata              | -23030000     | -5333000     | <>
Amphiperatherium                         | Animal    | Chordata                   | -15970000     | -13650000    | <>
Amphiroa                                 | Plant     | Rhodophyta                 | -20440000     | -13820000    | Amphiroa
Amphistegina                             | Micro     | Foraminifera               | -15970000     | -11608000    | Amphistegina
Amphitragulus                            | Animal    | Chordata                   | -15970000     | -11608000    | Amphitragulus
Amphiuma                                 | Animal    | Chordata                   | -15970000     | -13600000    | Amphiuma
Ampullina                                | Animal    | Mollusca                   | -15970000     | -11608000    | Ampullina
Ampullinopsis                            | Animal    | Mollusca                   | -20440000     | -11620000    | Ampullinopsis
Ampullonatica                            | Animal    | Mollusca                   | -15970000     | -13820000    | <>
