Adianthus                                | Animal    | Chordata                   | -16300000     | -15500000    | <>
Adiantum                                 | Plant     | Pteridophyta               | -33900000     | -5333000     | Adiantum
Adiastaltus                              | Animal    | Chordata                   | -17500000     | -16300000    | <>
Adilophontes                             | Animal    | Chordata                   | -24800000     | -20430000    | Adilophontes
Adinotherium                             | Animal    | Chordata                   | -16300000     | -15500000    | Adinotherium
Adioryx                                  | Animal    | Chordata                   | -20440000     | -15970000    | <>
Admete                                   | Animal    | Mollusca                   | -20440000     | -15970000    | Admete
Adoretus                                 | Animal    | Arthropoda                 | -20440000     | -15970000    | Adoretus
Adrana                                   | Animal    | Mollusca                   | -20440000     | -15970000    | Adrana
Adulomya                                 | Animal    | Mollusca                   | -23030000     | -11608000    | <>
Aechmella                                | Animal    | Bryozoa                    | -33900000     | -5333000     | <>
Aegotheles                               | Animal    | Chordata                   | -19000000     | -15900000    | Aegotheles
Aelurodon                                | Animal    | Chordata                   | -20430000     | -15970000    | Aelurodon
Aeneator                                 | Animal    | Mollusca                   | -23030000     | -15970000    | Aeneator
Aepycamelus                              | Animal    | Chordata                   | -20430000     | -13600000    | Aepycamelus
Aepyceros                                | Animal    | Chordata                   | -23030000     | -11700       | Aepyceros
Aepyprymnus                              | Animal    | Chordata                   | -23030000     | -2588000     | Aepyprymnus
Aequipecten                              | Animal    | Mollusca                   | -20440000     | -13820000    | Aequipecten
Aequispirella                            | Animal    | Mollusca                   | -19000000     | -15900000    | Aequispirella
Aeshna                                   | Animal    | Arthropoda                 | -20440000     | -15970000    | Aeshna
Aestilocusta                             | Animal    | Arthropoda                 | -20440000     | -15970000    | <>
Aethesolithon                            | Plant     | Rhodophyta                 | -23030000     | -15970000    | <>
Africanacetus                            | Animal    | Chordata                   | -23030000     | -2588000     | Africanacetus
Africanictis                             | Animal    | Chordata                   | -23030000     | -11608000    | Africanictis
Afrochoerodon                            | Animal    | Chordata                   | -16900000     | -15970000    | <>
Afrocricetodon                           | Animal    | Chordata                   | -20440000     | -15970000    | <>
Afrocyon                                 | Animal    | Chordata                   | -20440000     | -15970000    | Afrocyon
Afrohyrax                                | Animal    | Chordata                   | -20440000     | -15970000    | <>
Afromastodon                             | Animal    | Chordata                   | -23030000     | -11608000    | <>
Afrophoca                                | Animal    | Chordata                   | -20440000     | -13820000    | Afrophoca
Afropithecus                             | Animal    | Chordata                   | -20440000     | -15970000    | Afropithecus
Afrosmilus                               | Animal    | Chordata                   | -20440000     | -15970000    | <>
Afrotragulus                             | Animal    | Chordata                   | -16900000     | -15970000    | Afrotragulus
Afrozoila                                | Animal    | Mollusca                   | -23030000     | -15970000    | <>
Agabus                                   | Animal    | Arthropoda                 | -16900000     | -15970000    | Agabus
Agallia                                  | Animal    | Arthropoda                 | -20440000     | -13820000    | Agallia
Agapilia                                 | Animal    | Mollusca                   | -20440000     | -15970000    | <>
Agaricia                                 | Animal    | Cnidaria                   | -20440000     | -11620000    | Agaricia
Agaronia                                 | Animal    | Mollusca                   | -20440000     | -15970000    | Agaronia
Agasoma                                  | Animal    | Mollusca                   | -23030000     | -15970000    | <>
Agassizia                                | Animal    | Echinodermata              | -20440000     | -15970000    | Agassizia
Agathiphyllia                            | Animal    | Cnidaria                   | -20440000     | -11620000    | <>
Agathis                                  | Plant     | Pinophyta                  | -28400000     | -15970000    | Agathis
Agathistoma                              | Animal    | Mollusca                   | -23030000     | -15970000    | <>
Agathoxylon                              | Plant     | Pinophyta                  | -23030000     | -5333000     | Agathoxylon
Agelaia                                  | Animal    | Arthropoda                 | -20440000     | -13820000    | Agelaia
Aglaocetus                               | Animal    | Chordata                   | -20440000     | -15970000    | Aglaocetus
Aglaoreidia                              | Plant     | Angiospermae               | -33900000     | -15970000    | <>
