Alonchoptera                             | Animal    | Arthropoda                 | -129400000    | -125000000   | <>
Alphitopsis                              | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Alsophilidites                           | Plant     | Pteridophyta               | -163500000    | -100500000   | <>
Amargasaurus                             | Animal    | Chordata                   | -129400000    | -125000000   | Amargasaurus
Amargasuchus                             | Animal    | Chordata                   | -129400000    | -125000000   | Amargasuchus
Amargatitanis                            | Animal    | Chordata                   | -129400000    | -125000000   | Amargatitanis
Amberleya                                | Animal    | Mollusca                   | -129400000    | -125000000   | <>
Ambiortus                                | Animal    | Chordata                   | -132900000    | -125000000   | Ambiortus
Amblydactylus                            | Animal    | Chordata                   | -139800000    | -125000000   | Amblydactylus
Ambolestes                               | Animal    | Chordata                   | -125450000    | -122460000   | <>
Amboserphus                              | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Amia                                     | Animal    | Chordata                   | -129400000    | -125000000   | Amia
Amiopsis                                 | Animal    | Chordata                   | -129400000    | -122460000   | Amiopsis
Ammobaculites                            | Micro     | Foraminifera               | -129400000    | -113000000   | <>
Ammonitoceras                            | Animal    | Mollusca                   | -125450000    | -122460000   | Ammonitoceras
Amphiastrea                              | Animal    | Cnidaria                   | -125450000    | -122460000   | <>
Amphiaulastrea                           | Animal    | Cnidaria                   | -125450000    | -122460000   | <>
Amphidonte                               | Animal    | Mollusca                   | -129400000    | -125000000   | <>
Amphiophiura                             | Animal    | Echinodermata              | -130000000    | -125450000   | <>
Amphitriscoelus                          | Animal    | Mollusca                   | -125450000    | -122460000   | <>
Amplicella                               | Animal    | Arthropoda                 | -125450000    | -122460000   | Amplicella
Anaethalion                              | Animal    | Chordata                   | -125450000    | -122460000   | Anaethalion
Anahamulina                              | Animal    | Mollusca                   | -125450000    | -122460000   | Anahamulina
Anatina                                  | Animal    | Mollusca                   | -125450000    | -122460000   | Anatina
Anchura                                  | Animal    | Mollusca                   | -129400000    | -125000000   | <>
Ancyloceras                              | Animal    | Mollusca                   | -125450000    | -122460000   | Ancyloceras
Andreaea                                 | Animal    | Porifera                   | -129400000    | -125000000   | Andreaea
Andrenelia                               | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Andyrossia                               | Animal    | Arthropoda                 | -130000000    | -125450000   | Andyrossia
Anebodon                                 | Animal    | Chordata                   | -125450000    | -122460000   | <>
Anemia                                   | Plant     | Pteridophyta               | -129400000    | -125000000   | Anemia_(plant)
Anenev                                   | Animal    | Arthropoda                 | -129400000    | -125000000   | <>
Angaria                                  | Animal    | Mollusca                   | -129400000    | -125000000   | Angaria_(gastropod)
Angaridyela                              | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Angaropsychops                           | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Angarosphex                              | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Angioporella                             | Plant     | Chlorophyta                | -129400000    | -125000000   | <>
Anglesites                               | Animal    | Mollusca                   | -130000000    | -125450000   | <>
Angloaeschnidium                         | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Anglogryllus                             | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Anglonautilus                            | Animal    | Mollusca                   | -125450000    | -122460000   | <>
Angulobracchia                           | Micro     | Radiolaria                 | -125450000    | -122460000   | <>
Angulochterus                            | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Anisocalamus                             | Animal    | Arthropoda                 | -129400000    | -125000000   | <>
Anisocardia                              | Animal    | Mollusca                   | -145000000    | -100500000   | <>
Anisocardioides                          | Animal    | Mollusca                   | -129400000    | -125000000   | <>
Anisomyon                                | Animal    | Mollusca                   | -125450000    | -103300000   | <>
Annieporcellana                          | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Annosocythere                            | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Annuloceras                              | Animal    | Mollusca                   | -130000000    | -125450000   | Annuloceras
Annuntidiogenes                          | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Anoixis                                  | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Anomia                                   | Animal    | Mollusca                   | -125450000    | -122460000   | Anomia_(bivalve)
Anomoeodus                               | Animal    | Chordata                   | -130000000    | -125450000   | Anomoeodus
Anomoepus                                | Animal    | Chordata                   | -145000000    | -100500000   | Anomoepus
Anomoscytina                             | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Anomozamites                             | Plant     | Cycadeoideophyta           | -152100000    | -125000000   | <>
Anopaea                                  | Animal    | Mollusca                   | -132900000    | -125000000   | <>
Antefungivora                            | Animal    | Arthropoda                 | -129400000    | -125000000   | <>
Antemnacrassa                            | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Anteophthalmosuchus                      | Animal    | Chordata                   | -129400000    | -122460000   | Anteophthalmosuchus
Anthonya                                 | Animal    | Mollusca                   | -129400000    | -125000000   | <>
Anthoxyela                               | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Antigracilus                             | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Antulanella                              | Animal    | Brachiopoda                | -130000000    | -125450000   | <>
Aphanocoris                              | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Aphaorus                                 | Animal    | Arthropoda                 | -139800000    | -125000000   | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -132900000    | -125000000   | <>
Apinella                                 | Plant     | Chlorophyta                | -130000000    | -122460000   | <>
Apiocrinites                             | Animal    | Echinodermata              | -130000000    | -125450000   | Apiocrinites
Apocladophyllia                          | Animal    | Cnidaria                   | -125450000    | -122460000   | <>
Apoclion                                 | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Aporrhais                                | Animal    | Mollusca                   | -125450000    | -122460000   | Aporrhais
Appendicisporites                        | Plant     | Pteridophyta               | -129400000    | -113000000   | <>
Apriacma                                 | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Apsendesia                               | Animal    | Bryozoa                    | -130000000    | -125450000   | <>
Apticoccus                               | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
