Aegialia                                 | Animal    | Arthropoda                 | -50300000     | -46200000    | Aegialia
Aegyptosaepia                            | Animal    | Mollusca                   | -58700000     | -55800000    | <>
Aeneator                                 | Animal    | Mollusca                   | -48600000     | -37200000    | <>
Aenigmatistes                            | Animal    | Arthropoda                 | -66000000     | -37200000    | <>
Aenigmavis                               | Animal    | Chordata                   | -48600000     | -37200000    | Aenigmavis
Aeoliscoides                             | Animal    | Chordata                   | -56000000     | -47800000    | Aeoliscoides
Aequalobythites                          | Animal    | Chordata                   | -56000000     | -33900000    | <>
Aequipecten                              | Animal    | Mollusca                   | -56000000     | -47800000    | Aequipecten
Aerugoamnis                              | Animal    | Chordata                   | -55800000     | -50300000    | <>
Aethomylos                               | Animal    | Chordata                   | -50300000     | -46200000    | <>
Aetomylaeus                              | Animal    | Chordata                   | -55800000     | -50300000    | Aetomylaeus
Afairiguana                              | Animal    | Chordata                   | -55800000     | -50300000    | Afairiguana
Africarca                                | Animal    | Mollusca                   | -56000000     | -33900000    | <>
Afrodon                                  | Animal    | Chordata                   | -56000000     | -47800000    | Afrodon
Afrotarsius                              | Animal    | Chordata                   | -48600000     | -33900000    | Afrotarsius
Agamimus                                 | Animal    | Chordata                   | -48600000     | -37200000    | <>
Agaronia                                 | Animal    | Mollusca                   | -48600000     | -33900000    | Agaronia
Agassizia                                | Animal    | Echinodermata              | -48600000     | -37200000    | Agassizia
Agatha                                   | Animal    | Mollusca                   | -48600000     | -37200000    | Agatha
Agathiphyllia                            | Animal    | Cnidaria                   | -55800000     | -48600000    | <>
Agathis                                  | Plant     | Pinophyta                  | -100500000    | -33900000    | Agathis
Agathoxylon                              | Plant     | Pinophyta                  | -55800000     | -48600000    | Agathoxylon
Agave                                    | Plant     | Angiospermae               | -56000000     | -47800000    | Agave
Ageina                                   | Animal    | Chordata                   | -50300000     | -46200000    | <>
Ageitodendron                            | Animal    | Chordata                   | -50300000     | -46200000    | <>
Agerinia                                 | Animal    | Chordata                   | -48600000     | -40400000    | Agerinia
Aglaoreidia                              | Plant     | Angiospermae               | -58700000     | -55800000    | <>
