Amphitrochus                             | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Amplovalvata                             | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Ampullina                                | Animal    | Mollusca                   | -155700000    | -150800000   | Ampullina
Amusium                                  | Animal    | Mollusca                   | -201300000    | -145000000   | Amusium
Amydroptychus                            | Animal    | Brachiopoda                | -161200000    | -155700000   | <>
Anaethalion                              | Animal    | Chordata                   | -155700000    | -150800000   | Anaethalion
Anatina                                  | Animal    | Mollusca                   | -163500000    | -152100000   | Anatina
Anavirgatites                            | Animal    | Mollusca                   | -163500000    | -152100000   | Anavirgatites
Anchiornis                               | Animal    | Chordata                   | -167700000    | -150800000   | Anchiornis
Anchura                                  | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Andemantastraea                          | Animal    | Cnidaria                   | -161200000    | -152100000   | <>
Andesites                                | Animal    | Mollusca                   | -163500000    | -145000000   | Andesites
Andiceras                                | Animal    | Mollusca                   | -155700000    | -150800000   | Andiceras
Anditrigonia                             | Animal    | Mollusca                   | -161200000    | -155700000   | <>
Androstrobus                             | Plant     | Cycadophyta                | -201300000    | -145000000   | <>
Angaria                                  | Animal    | Mollusca                   | -155700000    | -150800000   | Angaria_(gastropod)
Angarogramma                             | Animal    | Arthropoda                 | -163500000    | -152100000   | <>
Anguanax                                 | Animal    | Chordata                   | -164700000    | -155700000   | Anguanax
Angulobracchia                           | Micro     | Radiolaria                 | -155700000    | -150800000   | <>
Angulocrinus                             | Animal    | Echinodermata              | -155700000    | -150800000   | <>
Anisocardia                              | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Ankylokypha                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Annulina                                 | Micro     | Foraminifera               | -157300000    | -152100000   | <>
Anomia                                   | Animal    | Mollusca                   | -155700000    | -150800000   | Anomia_(bivalve)
Anomoepus                                | Animal    | Chordata                   | -157300000    | -152100000   | Anomoepus
Anomorphites                             | Animal    | Porifera                   | -155700000    | -150800000   | <>
Anomozamites                             | Plant     | Cycadeoideophyta           | -163500000    | -145000000   | <>
Anopaea                                  | Animal    | Mollusca                   | -163500000    | -145000000   | <>
Antiguastrea                             | Animal    | Cnidaria                   | -155700000    | -150800000   | <>
Antiquicyprina                           | Animal    | Mollusca                   | -166100000    | -152100000   | <>
Antiquilima                              | Animal    | Mollusca                   | -157300000    | -152100000   | <>
Antrimpos                                | Animal    | Arthropoda                 | -155700000    | -150800000   | Antrimpos
Apatosaurus                              | Animal    | Chordata                   | -155700000    | -145000000   | Apatosaurus
Aphnelepis                               | Animal    | Chordata                   | -163500000    | -145000000   | Aphnelepis
Apiocrinites                             | Animal    | Echinodermata              | -155700000    | -150800000   | Apiocrinites
Apiocrinus                               | Animal    | Echinodermata              | -161200000    | -155700000   | <>
Aploconodon                              | Animal    | Chordata                   | -157300000    | -145000000   | Aploconodon
Aplophyllia                              | Animal    | Cnidaria                   | -161200000    | -155700000   | <>
Aplosmilia                               | Animal    | Cnidaria                   | -155700000    | -150800000   | <>
Apocladophyllia                          | Animal    | Cnidaria                   | -161200000    | -150800000   | <>
Apoldia                                  | Plant     | Cycadophyta                | -155700000    | -150800000   | <>
Aporrhais                                | Animal    | Mollusca                   | -155700000    | -150800000   | Aporrhais
Apsendesia                               | Animal    | Bryozoa                    | -161200000    | -155700000   | <>
Aptychus                                 | Animal    | Mollusca                   | -157300000    | -152100000   | Aptychus
Aptyxiella                               | Animal    | Mollusca                   | -161200000    | -155700000   | <>
Arachnostega                             | Animal    | Annelida                   | -161200000    | -155700000   | <>
Araeodon                                 | Animal    | Chordata                   | -157300000    | -145000000   | Araeodon
Araucanites                              | Animal    | Mollusca                   | -161200000    | -155700000   | <>
Araucariacites                           | Plant     | Pinophyta                  | -161200000    | -145000000   | <>
Araucaria                                | Plant     | Pinophyta                  | -157300000    | -145000000   | Araucaria
Araucarites                              | Plant     | Pinophyta                  | -155700000    | -150800000   | <>
Arboroharamiya                           | Animal    | Chordata                   | -167700000    | -150800000   | Arboroharamiya
Arca                                     | Animal    | Mollusca                   | -155700000    | -150800000   | Arca
Archaeobehningia                         | Animal    | Arthropoda                 | -163500000    | -152100000   | <>
Archaeocarabus                           | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Archaeocenosphaera                       | Micro     | Radiolaria                 | -155700000    | -145000000   | <>
Archaeodictyomitra                       | Micro     | Radiolaria                 | -155700000    | -145000000   | <>
Archaeohagiastrum                        | Micro     | Radiolaria                 | -161200000    | -155700000   | <>
Archaeoistiodactylus                     | Animal    | Chordata                   | -167700000    | -150800000   | Archaeoistiodactylus
Archaeolithoporella                      | Plant     | Rhodophyta                 | -161200000    | -155700000   | <>
Archaeomaene                             | Animal    | Chordata                   | -163500000    | -145000000   | Archaeomaene
Archaeornithipus                         | Animal    | Chordata                   | -163500000    | -100500000   | Archaeornithipus
Archaeospongoprunum                      | Micro     | Radiolaria                 | -155700000    | -150800000   | <>
Archaeotrigon                            | Animal    | Chordata                   | -157300000    | -145000000   | Archaeotrigon
Arcomya                                  | Animal    | Mollusca                   | -157300000    | -145000000   | <>
Arcomytilus                              | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Arcoperna                                | Animal    | Mollusca                   | -161200000    | -155700000   | <>
Arctica                                  | Animal    | Mollusca                   | -155700000    | -145000000   | Arctica_(bivalve)
Arctostrea                               | Animal    | Mollusca                   | -163500000    | -152100000   | <>
Ardeadactylus                            | Animal    | Chordata                   | -155700000    | -150800000   | Ardeadactylus
Ardeosaurus                              | Animal    | Chordata                   | -155700000    | -150800000   | Ardeosaurus
Ardesciella                              | Animal    | Mollusca                   | -163500000    | -139800000   | <>
Arganodus                                | Animal    | Chordata                   | -157300000    | -145000000   | Arganodus
Argovithyris                             | Animal    | Brachiopoda                | -161200000    | -155700000   | <>
Aromasithyris                            | Animal    | Brachiopoda                | -161200000    | -155700000   | <>
Arthropterygius                          | Animal    | Chordata                   | -163500000    | -152100000   | Arthropterygius
Ascalabothrissops                        | Animal    | Chordata                   | -155700000    | -150800000   | <>
Asciocythere                             | Animal    | Arthropoda                 | -155700000    | -150800000   | <>
Ashanga                                  | Animal    | Arthropoda                 | -163500000    | -152100000   | Ashanga
Asiatoceratodus                          | Animal    | Chordata                   | -157300000    | -145000000   | Asiatoceratodus
Aspidistes                               | Plant     | Pteridophyta               | -157300000    | -152100000   | <>
