Areostrophia                             | Animal    | Brachiopoda                | -433400000    | -419200000   | <>
Ariaspis                                 | Animal    | Chordata                   | -443400000    | -419200000   | Ariaspis
Arionoceras                              | Animal    | Mollusca                   | -427400000    | -419200000   | Arionoceras
Arjamannia                               | Animal    | Mollusca                   | -443400000    | -422900000   | <>
Arkonoceras                              | Animal    | Mollusca                   | -427400000    | -425600000   | <>
Armenoceras                              | Animal    | Mollusca                   | -433400000    | -423000000   | Armenoceras
Asaphocrinus                             | Animal    | Echinodermata              | -427400000    | -419200000   | <>
Ascoceras                                | Animal    | Mollusca                   | -427400000    | -423000000   | <>
Ascograptus                              | Animal    | Hemichordata               | -443400000    | -419200000   | <>
Aspelundia                               | Animal    | Chordata                   | -449500000    | -412300000   | <>
Asthenophyllum                           | Animal    | Cnidaria                   | -439000000    | -426200000   | <>
Astraeospongium                          | Animal    | Porifera                   | -427400000    | -419200000   | <>
Astrocerium                              | Animal    | Cnidaria                   | -443400000    | -419200000   | <>
Astylospongia                            | Animal    | Porifera                   | -427400000    | -423000000   | <>
Atactotoechus                            | Animal    | Bryozoa                    | -427400000    | -423000000   | <>
Ateleaspis                               | Animal    | Mollusca                   | -426200000    | -422900000   | Ateleaspis
Athyris                                  | Animal    | Brachiopoda                | -427400000    | -419200000   | Athyris
Atrypa                                   | Animal    | Brachiopoda                | -427400000    | -419200000   | Atrypa
Atrypina                                 | Animal    | Brachiopoda                | -427400000    | -423000000   | <>
Atrypinella                              | Animal    | Brachiopoda                | -427400000    | -423000000   | <>
Atrypoidea                               | Animal    | Brachiopoda                | -427400000    | -419200000   | <>
Aulacera                                 | Animal    | Porifera                   | -427400000    | -425600000   | <>
Aulacognathus                            | Animal    | Chordata                   | -443400000    | -422900000   | <>
Aulacopleura                             | Animal    | Arthropoda                 | -427400000    | -425600000   | Aulacopleura
Aulocopium                               | Animal    | Porifera                   | -427400000    | -423000000   | <>
Aulocystis                               | Animal    | Cnidaria                   | -427400000    | -419200000   | <>
Aulopora                                 | Animal    | Cnidaria                   | -427400000    | -419200000   | Aulopora
Auloporella                              | Animal    | Cnidaria                   | -433400000    | -423000000   | <>
Auriptygma                               | Animal    | Mollusca                   | -427400000    | -425600000   | <>
Australina                               | Animal    | Brachiopoda                | -427400000    | -419200000   | Australina
Australoacaste                           | Animal    | Arthropoda                 | -433400000    | -423000000   | <>
Australobollia                           | Animal    | Arthropoda                 | -427400000    | -423000000   | <>
Australonema                             | Animal    | Mollusca                   | -427400000    | -423000000   | <>
Australophyllum                          | Animal    | Cnidaria                   | -427400000    | -425600000   | <>
Avalanchia                               | Animal    | Mollusca                   | -426200000    | -425400000   | <>
Avalanchurus                             | Animal    | Arthropoda                 | -427400000    | -425600000   | Avalanchurus
Aviacypris                               | Animal    | Arthropoda                 | -433400000    | -423000000   | <>
Axuolites                                | Animal    | Cnidaria                   | -427400000    | -423000000   | <>
Bactrocrinites                           | Animal    | Echinodermata              | -427400000    | -419200000   | <>
Bairdiocypris                            | Animal    | Arthropoda                 | -443400000    | -419200000   | <>
Balizoma                                 | Animal    | Arthropoda                 | -427400000    | -423000000   | Balizoma
Baragwanathia                            | Plant     | Lycopodophyta              | -427400000    | -423000000   | Baragwanathia
Barrandecirrus                           | Animal    | Mollusca                   | -427400000    | -423000000   | <>
Barrandeolites                           | Animal    | Porifera                   | -427400000    | -423000000   | <>
Barrandina                               | Animal    | Brachiopoda                | -427400000    | -423000000   | <>
Bassipterus                              | Animal    | Arthropoda                 | -427400000    | -419200000   | Bassipterus
Batocara                                 | Animal    | Arthropoda                 | -427400000    | -425600000   | Batocara
