Afrosmilus                               | Animal    | Chordata                   | -23030000     | -15970000    | <>
Afrozoila                                | Animal    | Mollusca                   | -23030000     | -15970000    | <>
Agapibittium                             | Animal    | Mollusca                   | -23030000     | -20440000    | <>
Agapilia                                 | Animal    | Mollusca                   | -23030000     | -15970000    | <>
Agaricia                                 | Animal    | Cnidaria                   | -23030000     | -15970000    | Agaricia
Agaronia                                 | Animal    | Mollusca                   | -23030000     | -15970000    | Agaronia
Agasoma                                  | Animal    | Mollusca                   | -23030000     | -15970000    | <>
Agassizia                                | Animal    | Echinodermata              | -23030000     | -15970000    | Agassizia
Agathiphyllia                            | Animal    | Cnidaria                   | -23030000     | -15970000    | <>
Agathis                                  | Plant     | Pinophyta                  | -28400000     | -15970000    | Agathis
Agathistoma                              | Animal    | Mollusca                   | -23030000     | -15970000    | <>
Agathotoma                               | Animal    | Mollusca                   | -23030000     | -20440000    | Agathotoma
Agathoxylon                              | Plant     | Pinophyta                  | -23030000     | -5333000     | Agathoxylon
Aglaocetus                               | Animal    | Chordata                   | -23030000     | -15970000    | Aglaocetus
Aglaoreidia                              | Plant     | Angiospermae               | -33900000     | -15970000    | <>
Agnotocastor                             | Animal    | Chordata                   | -30800000     | -20430000    | Agnotocastor
Agononida                                | Animal    | Arthropoda                 | -23030000     | -15970000    | Agononida
Agriocharis                              | Animal    | Chordata                   | -23030000     | -2588000     | Agriocharis
Agriochoerus                             | Animal    | Chordata                   | -30800000     | -20430000    | Agriochoerus
Agriopoma                                | Animal    | Mollusca                   | -23030000     | -15970000    | Agriopoma
Agriotes                                 | Animal    | Arthropoda                 | -23030000     | -15970000    | Agriotes
Agriotherium                             | Animal    | Chordata                   | -23030000     | -5333000     | Agriotherium
Aguascalientia                           | Animal    | Chordata                   | -23030000     | -5333000     | Aguascalientia
Ailanthipites                            | Plant     | Spermatophyta              | -33900000     | -15970000    | <>
Ailanthus                                | Plant     | Spermatophyta              | -23030000     | -15970000    | Ailanthus
Ainicardita                              | Animal    | Mollusca                   | -23030000     | -15970000    | <>
Akatopora                                | Animal    | Bryozoa                    | -23030000     | -15970000    | <>
Akera                                    | Animal    | Mollusca                   | -23030000     | -20440000    | Akera
Alabamina                                | Micro     | Foraminifera               | -23030000     | -20440000    | <>
Alabina                                  | Animal    | Mollusca                   | -23030000     | -15970000    | Alabina
Alangium                                 | Plant     | Spermatophyta              | -23030000     | -15970000    | Alangium
Alaptus                                  | Animal    | Arthropoda                 | -23030000     | -15970000    | <>
Alcithoe                                 | Animal    | Mollusca                   | -21700000     | -15900000    | Alcithoe
Aldingia                                 | Animal    | Brachiopoda                | -23030000     | -20440000    | <>
Aldrovanda                               | Plant     | Spermatophyta              | -23030000     | -15970000    | Aldrovanda
Alectryon                                | Plant     | Spermatophyta              | -28400000     | -15970000    | Alectryon
Alepia                                   | Animal    | Arthropoda                 | -23030000     | -15970000    | <>
Aletomeryx                               | Animal    | Chordata                   | -24800000     | -20430000    | Aletomeryx
Alforjas                                 | Animal    | Chordata                   | -23030000     | -5333000     | Alforjas
Aliculastrum                             | Animal    | Mollusca                   | -23030000     | -15970000    | Aliculastrum
Aligena                                  | Animal    | Mollusca                   | -23030000     | -11608000    | <>
Aliquantula                              | Animal    | Brachiopoda                | -23030000     | -20440000    | <>
Alisea                                   | Animal    | Chordata                   | -23030000     | -5333000     | Alisea
Alisma                                   | Plant     | Angiospermae               | -23030000     | -15970000    | Alisma
Allaeochelys                             | Animal    | Chordata                   | -23030000     | -15970000    | Allaeochelys
Alliatinella                             | Micro     | Foraminifera               | -23030000     | -15970000    | <>
Alligator                                | Animal    | Chordata                   | -23030000     | -15970000    | Alligator
Allocasuarina                            | Plant     | Spermatophyta              | -33900000     | -15970000    | Allocasuarina
Allocyon                                 | Animal    | Chordata                   | -30800000     | -20430000    | <>
Allodelphis                              | Animal    | Chordata                   | -23030000     | -20440000    | Allodelphis
Allodesmus                               | Animal    | Chordata                   | -23030000     | -5333000     | Allodesmus
Allomys                                  | Animal    | Chordata                   | -30800000     | -20430000    | <>
Alloptox                                 | Animal    | Chordata                   | -23030000     | -11608000    | <>
Alnus                                    | Plant     | Spermatophyta              | -23030000     | -15970000    | Alnus
Alopecocyon                              | Animal    | Chordata                   | -23030000     | -5333000     | Alopecocyon
Alophia                                  | Animal    | Chordata                   | -23030000     | -15970000    | Alophia
Alopias                                  | Animal    | Chordata                   | -23030000     | -13820000    | Alopias
Alosa                                    | Animal    | Chordata                   | -33900000     | -5333000     | Alosa
Alphagaulus                              | Animal    | Chordata                   | -23030000     | -5333000     | <>
Alumeda                                  | Animal    | Arthropoda                 | -23030000     | -15970000    | <>
Aluterus                                 | Animal    | Chordata                   | -23030000     | -13820000    | Aluterus
Alvania                                  | Animal    | Mollusca                   | -23030000     | -11608000    | Alvania
Alveinus                                 | Animal    | Mollusca                   | -23030000     | -20440000    | <>
Alveopora                                | Animal    | Cnidaria                   | -23030000     | -15970000    | Alveopora
Alwoodia                                 | Animal    | Chordata                   | -24800000     | -20430000    | <>
Alyxia                                   | Plant     | Spermatophyta              | -33900000     | -15970000    | Alyxia
Amalda                                   | Animal    | Mollusca                   | -21700000     | -15900000    | Amalda
Amarophos                                | Animal    | Mollusca                   | -23030000     | -15970000    | <>
Amathina                                 | Animal    | Mollusca                   | -23030000     | -5333000     | Amathina
Amauropsis                               | Animal    | Mollusca                   | -23030000     | -15970000    | Amauropsis
Amblypsilopus                            | Animal    | Arthropoda                 | -23030000     | -15970000    | Amblypsilopus
Amblypygus                               | Animal    | Echinodermata              | -28100000     | -20440000    | <>
Ambocythere                              | Animal    | Arthropoda                 | -23030000     | -15970000    | <>
Ambostracon                              | Animal    | Arthropoda                 | -23030000     | -20440000    | <>
Ambracyptus                              | Animal    | Arthropoda                 | -23030000     | -15970000    | <>
Amebelodon                               | Animal    | Chordata                   | -23030000     | -5333000     | Amebelodon
Ameghinomya                              | Animal    | Mollusca                   | -23030000     | -11608000    | <>
Ameghinornis                             | Animal    | Chordata                   | -56000000     | -15970000    | Ameghinornis
