Ambopteryx                               | Animal    | Chordata                   | -163500000    | -145000000   | Ambopteryx
Ambulocapsa                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Ameghinichthys                           | Animal    | Chordata                   | -150800000    | -145000000   | <>
Amijiella                                | Micro     | Foraminifera               | -152100000    | -139800000   | <>
Ammobaculites                            | Micro     | Foraminifera               | -150800000    | -145000000   | <>
Ammodiscus                               | Micro     | Foraminifera               | -150800000    | -145000000   | Ammodiscus
Amoeboceras                              | Animal    | Mollusca                   | -150800000    | -145000000   | Amoeboceras
Amphiastrea                              | Animal    | Cnidaria                   | -150800000    | -140200000   | <>
Amphiaulastrea                           | Animal    | Cnidaria                   | -150800000    | -145000000   | <>
Amphibleptula                            | Animal    | Porifera                   | -155700000    | -150800000   | <>
Amphibrachium                            | Micro     | Radiolaria                 | -150800000    | -139800000   | <>
Amphicoelias                             | Animal    | Chordata                   | -150800000    | -145000000   | Amphicoelias
Amphicotylus                             | Animal    | Chordata                   | -155700000    | -145000000   | Amphicotylus
Amphicyrtella                            | Animal    | Arthropoda                 | -152100000    | -145000000   | <>
Amphidon                                 | Animal    | Chordata                   | -157300000    | -145000000   | Amphidon
Amphiphora                               | Animal    | Cnidaria                   | -152100000    | -145000000   | <>
Amphipyndax                              | Micro     | Radiolaria                 | -150800000    | -145000000   | <>
Amphitrochus                             | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Amplovalvata                             | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Ampullina                                | Animal    | Mollusca                   | -150800000    | -145000000   | Ampullina
Amusium                                  | Animal    | Mollusca                   | -201300000    | -145000000   | Amusium
Anaethalion                              | Animal    | Chordata                   | -155700000    | -150800000   | Anaethalion
Anaglyphites                             | Animal    | Arthropoda                 | -152100000    | -145000000   | <>
Anaticapitula                            | Micro     | Radiolaria                 | -150800000    | -145000000   | <>
Anatina                                  | Animal    | Mollusca                   | -152100000    | -145000000   | Anatina
Anavirgatites                            | Animal    | Mollusca                   | -150800000    | -145000000   | Anavirgatites
Anax                                     | Animal    | Arthropoda                 | -150800000    | -145000000   | Anax
Anchiornis                               | Animal    | Chordata                   | -167700000    | -150800000   | Anchiornis
Anchispirocyclina                        | Micro     | Foraminifera               | -152100000    | -139800000   | Anchispirocyclina
Anchura                                  | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Ancyloceras                              | Animal    | Mollusca                   | -150800000    | -145000000   | Ancyloceras
Andemantastraea                          | Animal    | Cnidaria                   | -150800000    | -145000000   | <>
Andesites                                | Animal    | Mollusca                   | -163500000    | -145000000   | Andesites
Andiceras                                | Animal    | Mollusca                   | -150800000    | -145000000   | Andiceras
Anditrigonia                             | Animal    | Mollusca                   | -150800000    | -139800000   | <>
Androstrobus                             | Plant     | Cycadophyta                | -201300000    | -145000000   | <>
Angaria                                  | Animal    | Mollusca                   | -150800000    | -145000000   | Angaria_(gastropod)
Angarolarva                              | Animal    | Arthropoda                 | -152100000    | -145000000   | <>
Angulobracchia                           | Micro     | Radiolaria                 | -150800000    | -139800000   | <>
Angulocrinus                             | Animal    | Echinodermata              | -155700000    | -150800000   | <>
Anisocardia                              | Animal    | Mollusca                   | -150800000    | -145000000   | <>
Anisophlebia                             | Animal    | Arthropoda                 | -150800000    | -145000000   | <>
Ankylokypha                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Annemys                                  | Animal    | Chordata                   | -152100000    | -145000000   | <>
Anomia                                   | Animal    | Mollusca                   | -152100000    | -145000000   | Anomia_(bivalve)
Anomoepus                                | Animal    | Chordata                   | -152100000    | -139800000   | Anomoepus
Anomopterella                            | Animal    | Arthropoda                 | -152100000    | -145000000   | <>
Anomorphites                             | Animal    | Porifera                   | -155700000    | -150800000   | <>
Anomozamites                             | Plant     | Cycadeoideophyta           | -152100000    | -125000000   | <>
Anopaea                                  | Animal    | Mollusca                   | -150800000    | -145000000   | <>
Anoualerpeton                            | Animal    | Chordata                   | -152100000    | -139800000   | Anoualerpeton
Antarctiteuthis                          | Animal    | Mollusca                   | -152100000    | -139800000   | <>
Antarctithrissops                        | Animal    | Chordata                   | -150800000    | -145000000   | <>
Antefungivora                            | Animal    | Arthropoda                 | -152100000    | -145000000   | <>
Anthoscytina                             | Animal    | Arthropoda                 | -152100000    | -145000000   | <>
Antiguastrea                             | Animal    | Cnidaria                   | -155700000    | -150800000   | <>
Antiquamedia                             | Animal    | Arthropoda                 | -152100000    | -145000000   | <>
Antiquilima                              | Animal    | Mollusca                   | -150800000    | -145000000   | <>
Antrimpos                                | Animal    | Arthropoda                 | -155700000    | -150800000   | Antrimpos
Anurognathus                             | Animal    | Chordata                   | -150800000    | -145000000   | Anurognathus
Apatosaurus                              | Animal    | Chordata                   | -150800000    | -145000000   | Apatosaurus
Aphanoptyxis                             | Animal    | Mollusca                   | -150800000    | -145000000   | <>
Aphanotaenia                             | Animal    | Mollusca                   | -152100000    | -145000000   | <>
Aphidulum                                | Animal    | Arthropoda                 | -152100000    | -145000000   | <>
Aphnelepis                               | Animal    | Chordata                   | -163500000    | -145000000   | Aphnelepis
Apiaria                                  | Animal    | Arthropoda                 | -150800000    | -145000000   | Apiaria
Apiocrinites                             | Animal    | Echinodermata              | -155700000    | -150800000   | Apiocrinites
Aploconodon                              | Animal    | Chordata                   | -157300000    | -145000000   | Aploconodon
Aplophyllia                              | Animal    | Cnidaria                   | -150800000    | -145000000   | <>
Aplosmilia                               | Animal    | Cnidaria                   | -150800000    | -145000000   | <>
Apocladophyllia                          | Animal    | Cnidaria                   | -150800000    | -145000000   | <>
Apoldia                                  | Plant     | Cycadophyta                | -155700000    | -150800000   | <>
Aporrhais                                | Animal    | Mollusca                   | -155700000    | -150800000   | Aporrhais
Aposphinctus                             | Animal    | Arthropoda                 | -152100000    | -145000000   | <>
Aptyxiella                               | Animal    | Mollusca                   | -152100000    | -145000000   | <>
Aquatilavipes                            | Animal    | Chordata                   | -150800000    | -132900000   | <>
Arabicodium                              | Plant     | Chlorophyta                | -150800000    | -145000000   | Arabicodium
Arachnoplecta                            | Micro     | Radiolaria                 | -150800000    | -145000000   | <>
Arachnostega                             | Animal    | Annelida                   | -152100000    | -145000000   | <>
Araeodon                                 | Animal    | Chordata                   | -157300000    | -145000000   | Araeodon
Aragosaurus                              | Animal    | Chordata                   | -150800000    | -140200000   | Aragosaurus
Araucariacites                           | Plant     | Pinophyta                  | -161200000    | -145000000   | <>
Araucaria                                | Plant     | Pinophyta                  | -157300000    | -145000000   | Araucaria
Araucarites                              | Plant     | Pinophyta                  | -152100000    | -129400000   | <>
Arboroharamiya                           | Animal    | Chordata                   | -167700000    | -150800000   | Arboroharamiya
Arca                                     | Animal    | Mollusca                   | -150800000    | -145000000   | Arca
Arcanicapsa                              | Micro     | Radiolaria                 | -150800000    | -145000000   | <>
Archaeocarabus                           | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Archaeocenosphaera                       | Micro     | Radiolaria                 | -150800000    | -145000000   | <>
Archaeodictyomitra                       | Micro     | Radiolaria                 | -150800000    | -139800000   | <>
Archaeohagiastrum                        | Micro     | Radiolaria                 | -150800000    | -145000000   | <>
Archaeoistiodactylus                     | Animal    | Chordata                   | -167700000    | -150800000   | Archaeoistiodactylus
Archaeolepas                             | Animal    | Arthropoda                 | -150800000    | -145000000   | <>
Archaeomaene                             | Animal    | Chordata                   | -163500000    | -145000000   | Archaeomaene
Archaeopteryx                            | Animal    | Chordata                   | -150800000    | -145000000   | Archaeopteryx
Archaeornithipus                         | Animal    | Chordata                   | -163500000    | -100500000   | Archaeornithipus
Archaeospongoprunum                      | Micro     | Radiolaria                 | -150800000    | -139800000   | <>
Archaeotrigon                            | Animal    | Chordata                   | -157300000    | -145000000   | Archaeotrigon
Archaeotritrabs                          | Micro     | Radiolaria                 | -150800000    | -139800000   | <>
Archamphiroa                             | Plant     | Rhodophyta                 | -152100000    | -145000000   | <>
Archegetes                               | Animal    | Arthropoda                 | -150800000    | -145000000   | <>
Archicapsa                               | Micro     | Radiolaria                 | -150800000    | -145000000   | <>
Archipsyche                              | Animal    | Arthropoda                 | -150800000    | -145000000   | <>
Archirhyphus                             | Animal    | Arthropoda                 | -152100000    | -145000000   | <>
Architipula                              | Animal    | Arthropoda                 | -152100000    | -145000000   | <>
Archizelmira                             | Animal    | Arthropoda                 | -152100000    | -145000000   | <>
Archotaulius                             | Animal    | Arthropoda                 | -150800000    | -145000000   | <>
Arcomya                                  | Animal    | Mollusca                   | -157300000    | -145000000   | <>
Arcomytilus                              | Animal    | Mollusca                   | -150800000    | -145000000   | <>
Arctica                                  | Animal    | Mollusca                   | -152100000    | -145000000   | Arctica_(bivalve)
Arctostrea                               | Animal    | Mollusca                   | -150800000    | -145000000   | <>
Arctotis                                 | Animal    | Mollusca                   | -152100000    | -145000000   | Arctotis
Ardeadactylus                            | Animal    | Chordata                   | -150800000    | -145000000   | Ardeadactylus
Ardeosaurus                              | Animal    | Chordata                   | -150800000    | -145000000   | Ardeosaurus
Ardesciella                              | Animal    | Mollusca                   | -150800000    | -145000000   | <>
Arenobulimina                            | Micro     | Foraminifera               | -152100000    | -145000000   | <>
Arganodus                                | Animal    | Chordata                   | -157300000    | -145000000   | Arganodus
Argentiniceras                           | Animal    | Mollusca                   | -150800000    | -129400000   | Argentiniceras
Argyrotheca                              | Animal    | Brachiopoda                | -152100000    | -145000000   | Argyrotheca
Aristoleuctra                            | Animal    | Arthropoda                 | -152100000    | -145000000   | <>
Artematopodites                          | Animal    | Arthropoda                 | -152100000    | -145000000   | <>
Arthropterygius                          | Animal    | Chordata                   | -150800000    | -145000000   | Arthropterygius
Ascalabothrissops                        | Animal    | Chordata                   | -155700000    | -150800000   | <>
Asciocythere                             | Animal    | Arthropoda                 | -155700000    | -150800000   | <>
Asianopodus                              | Animal    | Chordata                   | -150800000    | -132900000   | <>
Asiatoceratodus                          | Animal    | Chordata                   | -152100000    | -145000000   | Asiatoceratodus
Aspidistes                               | Plant     | Pteridophyta               | -201300000    | -145000000   | <>
Aspidoceras                              | Animal    | Mollusca                   | -150800000    | -129400000   | Aspidoceras
Aspidorhynchus                           | Animal    | Chordata                   | -150800000    | -145000000   | Aspidorhynchus
Asplenium                                | Plant     | Pteridophyta               | -163500000    | -145000000   | Asplenium
Astacolus                                | Micro     | Foraminifera               | -155700000    | -150800000   | <>
Astarte                                  | Animal    | Mollusca                   | -150800000    | -145000000   | Astarte
Asteracanthus                            | Animal    | Chordata                   | -155700000    | -150800000   | Asteracanthus
Astraeofungia                            | Animal    | Cnidaria                   | -155700000    | -150800000   | <>
Astraraea                                | Animal    | Cnidaria                   | -163500000    | -145000000   | <>
Astreoidogyra                            | Animal    | Cnidaria                   | -150800000    | -145000000   | <>
Astroporina                              | Animal    | Porifera                   | -161200000    | -150800000   | <>
Astrospongia                             | Animal    | Porifera                   | -150800000    | -145000000   | <>
Astrostylopsis                           | Animal    | Porifera                   | -152100000    | -145000000   | <>
Atalopegaster                            | Animal    | Echinodermata              | -163500000    | -145000000   | <>
Ataphrus                                 | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Ataxioceras                              | Animal    | Mollusca                   | -155700000    | -150800000   | Ataxioceras
