Ageroolithus                             | Animal    | Chordata                   | -83500000     | -70600000    | Ageroolithus
Agerostrea                               | Animal    | Mollusca                   | -83500000     | -66000000    | Agerostrea
Agomphus                                 | Animal    | Chordata                   | -83600000     | -72100000    | <>
Agriopleura                              | Animal    | Mollusca                   | -83500000     | -66000000    | <>
Aguileria                                | Animal    | Mollusca                   | -85800000     | -83500000    | <>
Agujaceratops                            | Animal    | Chordata                   | -83500000     | -70600000    | Agujaceratops
Ahmuellerella                            | Plant     | Haptophyta                 | -83500000     | -70600000    | <>
Ahshislepelta                            | Animal    | Chordata                   | -83500000     | -70600000    | Ahshislepelta
Ahstemiam                                | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Aigialosuchus                            | Animal    | Chordata                   | -83500000     | -70600000    | Aigialosuchus
Ailanthipites                            | Plant     | Spermatophyta              | -100500000    | -23030000    | <>
Aiolosaurus                              | Animal    | Chordata                   | -83600000     | -72100000    | Aiolosaurus
Akainacephalus                           | Animal    | Chordata                   | -83500000     | -70600000    | Akainacephalus
Akatopora                                | Animal    | Bryozoa                    | -83600000     | -66000000    | <>
Akera                                    | Animal    | Mollusca                   | -83500000     | -70600000    | Akera
Alabamina                                | Micro     | Foraminifera               | -100500000    | -66000000    | <>
Alamitherium                             | Animal    | Chordata                   | -83500000     | -66000000    | <>
Alamitophis                              | Animal    | Chordata                   | -83500000     | -66000000    | Alamitophis
Alamitornis                              | Animal    | Chordata                   | -83500000     | -66000000    | Alamitornis
Alamosaurus                              | Animal    | Chordata                   | -83500000     | -70600000    | Alamosaurus
Albanerpeton                             | Animal    | Chordata                   | -83500000     | -70600000    | Albanerpeton
Albertaceratops                          | Animal    | Chordata                   | -83500000     | -70600000    | Albertaceratops
Albertadromeus                           | Animal    | Chordata                   | -83600000     | -72100000    | Albertadromeus
Albertaphis                              | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Albertatherium                           | Animal    | Chordata                   | -85800000     | -83500000    | <>
Albertipollenites                        | Plant     | Spermatophyta              | -100500000    | -23030000    | <>
Albertoberotha                           | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Albertochampsa                           | Animal    | Chordata                   | -83500000     | -70600000    | Albertochampsa
Albertocryptus                           | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Albertonectes                            | Animal    | Chordata                   | -83500000     | -70600000    | Albertonectes
Albertosaurus                            | Animal    | Chordata                   | -83500000     | -66000000    | Albertosaurus
Albinykus                                | Animal    | Chordata                   | -86300000     | -72100000    | Albinykus
Albula                                   | Animal    | Chordata                   | -83500000     | -70600000    | Albula
Alderina                                 | Animal    | Bryozoa                    | -83500000     | -70600000    | <>
Alectrosaurus                            | Animal    | Chordata                   | -83500000     | -70600000    | Alectrosaurus
Aletopelta                               | Animal    | Chordata                   | -83500000     | -70600000    | Aletopelta
Alexandronectes                          | Animal    | Chordata                   | -83500000     | -66000000    | Alexandronectes
Algites                                  | Plant     | Phaeophyta                 | -145000000    | -66000000    | <>
Alievium                                 | Micro     | Radiolaria                 | -83500000     | -70600000    | <>
Alisporites                              | Plant     | Gymnospermophyta           | -83500000     | -70600000    | <>
Alloambria                               | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Allocotidus                              | Animal    | Arthropoda                 | -85800000     | -83500000    | <>
Allocrioceras                            | Animal    | Mollusca                   | -85800000     | -83500000    | Allocrioceras
Allodaposuchus                           | Animal    | Chordata                   | -83500000     | -66000000    | Allodaposuchus
Allognathosuchus                         | Animal    | Chordata                   | -83500000     | -70600000    | Allognathosuchus
Allonia                                  | Plant     | Spermatophyta              | -85800000     | -70600000    | Allonia
Allopleuron                              | Animal    | Chordata                   | -83500000     | -70600000    | Allopleuron
Almas                                    | Animal    | Chordata                   | -83600000     | -72100000    | Almas
Almascyllium                             | Animal    | Chordata                   | -85800000     | -83500000    | <>
Almerarhynchia                           | Animal    | Brachiopoda                | -83500000     | -66000000    | <>
Alnus                                    | Plant     | Spermatophyta              | -83500000     | -66000000    | Alnus
Alostera                                 | Animal    | Chordata                   | -83500000     | -70600000    | <>
Alphadon                                 | Animal    | Chordata                   | -83500000     | -66000000    | Alphadon
Alsophilidites                           | Plant     | Pteridophyta               | -83500000     | -66000000    | <>
Altanteius                               | Animal    | Chordata                   | -83500000     | -70600000    | <>
Alticonodon                              | Animal    | Chordata                   | -85800000     | -83500000    | Alticonodon
Alvania                                  | Animal    | Mollusca                   | -83500000     | -70600000    | Alvania
Alymlestes                               | Animal    | Chordata                   | -83500000     | -70600000    | <>
Alzadasaurus                             | Animal    | Chordata                   | -83500000     | -70600000    | Alzadasaurus
Amaea                                    | Animal    | Mollusca                   | -83500000     | -70600000    | <>
Amapondella                              | Animal    | Mollusca                   | -85800000     | -83500000    | <>
Amathina                                 | Animal    | Mollusca                   | -85800000     | -83500000    | Amathina
Amaurellina                              | Animal    | Mollusca                   | -83500000     | -66000000    | <>
Ambaraphis                               | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Amberleya                                | Animal    | Mollusca                   | -83500000     | -66000000    | <>
Ambigostrea                              | Animal    | Mollusca                   | -83500000     | -66000000    | <>
Amblydactylus                            | Animal    | Chordata                   | -83500000     | -70600000    | Amblydactylus
Amblyochara                              | Plant     | Charophyta                 | -83500000     | -66000000    | <>
Ambocardia                               | Animal    | Mollusca                   | -85800000     | -83500000    | <>
Amia                                     | Animal    | Chordata                   | -83500000     | -66000000    | Amia
Ammobaculites                            | Micro     | Foraminifera               | -83500000     | -70600000    | <>
Ammodiscus                               | Micro     | Foraminifera               | -83500000     | -70600000    | Ammodiscus
Ampelopsis                               | Plant     | Spermatophyta              | -89800000     | -72100000    | Ampelopsis
Ampelosaurus                             | Animal    | Chordata                   | -83500000     | -66000000    | Ampelosaurus
Amphidiadema                             | Micro     | Myzozoa                    | -83500000     | -70600000    | <>
Amphidonte                               | Animal    | Mollusca                   | -100500000    | -66000000    | <>
Amphilectella                            | Animal    | Porifera                   | -83500000     | -70600000    | <>
Amphipyndax                              | Micro     | Radiolaria                 | -83500000     | -70600000    | <>
Amphiroa                                 | Plant     | Rhodophyta                 | -89300000     | -66000000    | Amphiroa
Amphithelion                             | Animal    | Porifera                   | -83500000     | -70600000    | <>
Amphiura                                 | Animal    | Echinodermata              | -83500000     | -70600000    | Amphiura
Amphizygus                               | Plant     | Haptophyta                 | -83500000     | -70600000    | <>
Amphorometra                             | Animal    | Echinodermata              | -83500000     | -70600000    | <>
Ampullina                                | Animal    | Mollusca                   | -100500000    | -66000000    | Ampullina
Amuletum                                 | Animal    | Mollusca                   | -83500000     | -70600000    | <>
Amusium                                  | Animal    | Mollusca                   | -83500000     | -70600000    | Amusium
Amyda                                    | Animal    | Chordata                   | -83500000     | -70600000    | Amyda
Amylodon                                 | Animal    | Chordata                   | -83500000     | -70600000    | Amylodon
Anacardites                              | Plant     | Spermatophyta              | -83500000     | -66000000    | <>
Anacolosidites                           | Plant     | Spermatophyta              | -83500000     | -61600000    | <>
Anagaudryceras                           | Animal    | Mollusca                   | -83500000     | -70600000    | Anagaudryceras
Anaklinoceras                            | Animal    | Mollusca                   | -83500000     | -70600000    | Anaklinoceras
Anasazisaurus                            | Animal    | Chordata                   | -83500000     | -70600000    | Anasazisaurus
Anatimya                                 | Animal    | Mollusca                   | -83500000     | -66000000    | <>
Anatina                                  | Animal    | Mollusca                   | -93500000     | -70600000    | Anatina
Anatolemys                               | Animal    | Chordata                   | -85800000     | -83500000    | Anatolemys
Anaulus                                  | Plant     | Ochrophyta                 | -83600000     | -72100000    | <>
Anchaurosaurus                           | Animal    | Chordata                   | -83500000     | -70600000    | Anchaurosaurus
Anchiceratops                            | Animal    | Chordata                   | -83500000     | -66000000    | Anchiceratops
Anchistodelphys                          | Animal    | Chordata                   | -83500000     | -70600000    | <>
Anchura                                  | Animal    | Mollusca                   | -100500000    | -66000000    | <>
Ancistrocrania                           | Animal    | Brachiopoda                | -83600000     | -72100000    | Ancistrocrania
Ancyloceras                              | Animal    | Mollusca                   | -83500000     | -70600000    | Ancyloceras
Andreaea                                 | Animal    | Porifera                   | -83500000     | -70600000    | Andreaea
Andromeda                                | Plant     | Spermatophyta              | -83500000     | -66000000    | Andromeda
Androvettia                              | Plant     | Coniferophyta              | -100500000    | -66000000    | <>
Anemia                                   | Plant     | Pteridophyta               | -100500000    | -66000000    | Anemia
Angaria                                  | Animal    | Mollusca                   | -83500000     | -70600000    | Angaria
Anglonautilus                            | Animal    | Mollusca                   | -83500000     | -66000000    | <>
Angulithes                               | Animal    | Mollusca                   | -83500000     | -70600000    | <>
Angulomastacator                         | Animal    | Chordata                   | -83500000     | -70600000    | Angulomastacator
Aniabrochus                              | Animal    | Brachiopoda                | -83500000     | -66000000    | <>
Aniferella                               | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Anirma                                   | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Anisomyon                                | Animal    | Mollusca                   | -83500000     | -66000000    | <>
