Anchorhynchia                            | Animal    | Brachiopoda                | -259900000    | -252170000   | <>
Ancistriodus                             | Animal    | Chordata                   | -259900000    | -254170000   | <>
Anderssonoceras                          | Animal    | Mollusca                   | -259900000    | -254170000   | Anderssonoceras
Anematina                                | Animal    | Mollusca                   | -259900000    | -254170000   | <>
Anemonaria                               | Animal    | Brachiopoda                | -259900000    | -252170000   | <>
Anfuceras                                | Animal    | Mollusca                   | -259900000    | -254170000   | <>
Angarocarpus                             | Plant     | Ginkgophyta                | -265100000    | -254170000   | <>
Angaropeltis                             | Plant     | Peltaspermophyta           | -265100000    | -254170000   | <>
Angaropteridium                          | Plant     | Peltaspermophyta           | -298900000    | -252170000   | <>
Angatubichthys                           | Animal    | Chordata                   | -268800000    | -254170000   | <>
Angustichorista                          | Animal    | Arthropoda                 | -259900000    | -252170000   | <>
Anidanthus                               | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Annatherapsidus                          | Animal    | Chordata                   | -259000000    | -252300000   | Annatherapsidus
Annularia                                | Plant     | Sphenophyta                | -259900000    | -252170000   | Annularia
Anodontophora                            | Animal    | Mollusca                   | -259900000    | -254170000   | <>
Anomphalus                               | Animal    | Mollusca                   | -259900000    | -252170000   | Anomphalus
Anteosaurus                              | Animal    | Chordata                   | -268000000    | -252300000   | Anteosaurus
Anthichnium                              | Animal    | Chordata                   | -268000000    | -252300000   | <>
Anthodiscoceras                          | Animal    | Mollusca                   | -259900000    | -254170000   | <>
Anthodon                                 | Animal    | Chordata                   | -259900000    | -254170000   | Anthodon
Anthraconeilo                            | Animal    | Mollusca                   | -298900000    | -252170000   | <>
Anthracoporella                          | Plant     | Chlorophyta                | -259900000    | -254170000   | <>
Anthrophyopsis                           | Plant     | Cycadophyta                | -268800000    | -252170000   | <>
Antiquatonia                             | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Apachella                                | Animal    | Mollusca                   | -259900000    | -254170000   | <>
Apateon                                  | Animal    | Chordata                   | -298900000    | -252170000   | Apateon
Aperispirifer                            | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Aphanaia                                 | Animal    | Mollusca                   | -259900000    | -254170000   | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -272500000    | -252300000   | <>
Araeonema                                | Animal    | Mollusca                   | -259900000    | -254170000   | <>
Araeopora                                | Animal    | Cnidaria                   | -259900000    | -254170000   | <>
Araucarioxylon                           | Plant     | Pinophyta                  | -259000000    | -254000000   | Araucarioxylon
Araucarites                              | Plant     | Pinophyta                  | -298900000    | -201300000   | <>
Araxathyris                              | Animal    | Brachiopoda                | -259900000    | -252170000   | <>
Araxilevis                               | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Araxoceras                               | Animal    | Mollusca                   | -259900000    | -254170000   | Araxoceras
Araxonautilus                            | Animal    | Mollusca                   | -259900000    | -254170000   | <>
Araxopora                                | Animal    | Bryozoa                    | -259900000    | -254170000   | <>
Arberophyllum                            | Plant     | Peltaspermophyta           | -265100000    | -254170000   | <>
Arca                                     | Animal    | Mollusca                   | -259900000    | -254170000   | Arca
Arcestes                                 | Animal    | Mollusca                   | -259900000    | -254170000   | Arcestes
Archaeocidaris                           | Animal    | Echinodermata              | -259900000    | -252170000   | Archaeocidaris
Archaeolithoporella                      | Plant     | Rhodophyta                 | -259900000    | -254170000   | <>
Archaeospongoprunum                      | Micro     | Radiolaria                 | -259900000    | -254170000   | <>
