Allostylops                              | Animal    | Chordata                   | -61700000     | -58700000    | <>
Alnus                                    | Plant     | Spermatophyta              | -56800000     | -55800000    | Alnus
Alocaxis                                 | Animal    | Mollusca                   | -59200000     | -56000000    | <>
Alpheus                                  | Animal    | Arthropoda                 | -66000000     | -23030000    | Alpheus
Altiatlasius                             | Animal    | Chordata                   | -59200000     | -56000000    | Altiatlasius
Altilambda                               | Animal    | Chordata                   | -61700000     | -58700000    | <>
Alvania                                  | Animal    | Mollusca                   | -59200000     | -56000000    | Alvania
Alveolina                                | Micro     | Foraminifera               | -58700000     | -48600000    | Alveolina
Alveopora                                | Animal    | Cnidaria                   | -59200000     | -56000000    | Alveopora
Amananulam                               | Animal    | Chordata                   | -61700000     | -55800000    | <>
Amar                                     | Animal    | Chordata                   | -58700000     | -55800000    | Amar
Amaurellina                              | Animal    | Mollusca                   | -59200000     | -56000000    | <>
Amauropsina                              | Animal    | Mollusca                   | -59200000     | -56000000    | <>
Amauropsis                               | Animal    | Mollusca                   | -59200000     | -56000000    | Amauropsis
Amauropsona                              | Animal    | Mollusca                   | -61600000     | -56000000    | <>
Amblyochara                              | Plant     | Charophyta                 | -59200000     | -47800000    | <>
Amelanchites                             | Plant     | Spermatophyta              | -66000000     | -56000000    | <>
Amelotabes                               | Animal    | Chordata                   | -61700000     | -56800000    | <>
Amia                                     | Animal    | Chordata                   | -58700000     | -55800000    | Amia
Ammoanita                                | Micro     | Foraminifera               | -58700000     | -55800000    | <>
Ammobaculites                            | Micro     | Foraminifera               | -58700000     | -55800000    | <>
Ammodiscus                               | Micro     | Foraminifera               | -59200000     | -56000000    | Ammodiscus
Ammodochium                              | Micro     | Cercozoa                   | -66000000     | -56000000    | <>
Amnicola                                 | Animal    | Mollusca                   | -66000000     | -56000000    | Amnicola
Ampelopsis                               | Plant     | Spermatophyta              | -56800000     | -55800000    | Ampelopsis
Amphiblestrum                            | Animal    | Bryozoa                    | -66000000     | -56000000    | <>
Amphicraspedum                           | Micro     | Radiolaria                 | -59200000     | -56000000    | <>
Amphiroa                                 | Plant     | Rhodophyta                 | -59200000     | -47800000    | Amphiroa
Amphisphaera                             | Micro     | Radiolaria                 | -58700000     | -55800000    | <>
Amphiuma                                 | Animal    | Chordata                   | -61700000     | -56800000    | Amphiuma
Amplogladius                             | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Ampullina                                | Animal    | Mollusca                   | -59200000     | -47800000    | Ampullina
Ampullinopsis                            | Animal    | Mollusca                   | -59200000     | -47800000    | Ampullinopsis
Amydrocarcinus                           | Animal    | Arthropoda                 | -66000000     | -23030000    | <>
Anacodon                                 | Animal    | Chordata                   | -61700000     | -56800000    | <>
Anacolosidites                           | Plant     | Spermatophyta              | -58700000     | -37200000    | <>
Anadara                                  | Animal    | Mollusca                   | -66000000     | -56000000    | Anadara
Anatolostylops                           | Animal    | Chordata                   | -58700000     | -55800000    | <>
Anaulus                                  | Plant     | Ochrophyta                 | -66000000     | -56000000    | <>
Anchura                                  | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Ancilla                                  | Animal    | Mollusca                   | -59200000     | -56000000    | Ancilla
