Ancillotoechia                           | Animal    | Brachiopoda                | -402500000    | -391900000   | <>
Ancoradella                              | Animal    | Chordata                   | -425600000    | -391900000   | <>
Ancyrocrinus                             | Animal    | Echinodermata              | -393300000    | -382700000   | <>
Ancyropyge                               | Animal    | Arthropoda                 | -393300000    | -382700000   | <>
Andinacaste                              | Animal    | Arthropoda                 | -423000000    | -391900000   | Andinacaste
Anetoceras                               | Animal    | Mollusca                   | -402500000    | -391900000   | <>
Aneurophyton                             | Plant     | Aneurophytophyta           | -388100000    | -358900000   | Aneurophyton
Angulodus                                | Animal    | Chordata                   | -393300000    | -387700000   | <>
Anomalotoechus                           | Animal    | Bryozoa                    | -407600000    | -387700000   | <>
Anoplia                                  | Animal    | Brachiopoda                | -393300000    | -387700000   | <>
Anoplotheca                              | Animal    | Brachiopoda                | -393300000    | -387700000   | <>
Anostylostroma                           | Animal    | Porifera                   | -388100000    | -383700000   | <>
Antelocoelia                             | Animal    | Brachiopoda                | -393300000    | -387700000   | <>
Antineosteus                             | Animal    | Chordata                   | -402500000    | -391900000   | <>
Antipleura                               | Animal    | Mollusca                   | -423000000    | -391900000   | <>
Antirhynchonella                         | Animal    | Brachiopoda                | -393300000    | -387700000   | <>
Antirotella                              | Animal    | Mollusca                   | -393300000    | -387700000   | <>
Antistrix                                | Animal    | Brachiopoda                | -393300000    | -382700000   | <>
Aorocrinus                               | Animal    | Echinodermata              | -419200000    | -358900000   | <>
Aparchites                               | Animal    | Arthropoda                 | -393300000    | -387700000   | <>
Aphroidophyllum                          | Animal    | Cnidaria                   | -393300000    | -387700000   | <>
Aphyctoceras                             | Animal    | Mollusca                   | -410800000    | -383700000   | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -388100000    | -382400000   | <>
Arachnoxylon                             | Plant     | Psilophytophyta            | -388100000    | -383700000   | <>
Araeonema                                | Animal    | Mollusca                   | -388100000    | -382400000   | <>
Archaeocardium                           | Animal    | Mollusca                   | -393300000    | -387700000   | <>
Archaeocidaris                           | Animal    | Echinodermata              | -393300000    | -387700000   | Archaeocidaris
Archaesphaera                            | Micro     | Foraminifera               | -388100000    | -383700000   | <>
Archanarcestes                           | Animal    | Mollusca                   | -402500000    | -387700000   | <>
Arctipeltis                              | Animal    | Arthropoda                 | -402500000    | -387700000   | <>
Arcuaminetes                             | Animal    | Brachiopoda                | -388100000    | -383700000   | <>
Arcyzona                                 | Animal    | Arthropoda                 | -393300000    | -387700000   | <>
Arduspirifer                             | Animal    | Brachiopoda                | -393300000    | -387700000   | <>
Areostrophia                             | Animal    | Brachiopoda                | -402500000    | -391900000   | <>
Argutastrea                              | Animal    | Cnidaria                   | -388100000    | -383700000   | <>
Arionoceras                              | Animal    | Mollusca                   | -423000000    | -391900000   | Arionoceras
Aristophyllum                            | Animal    | Cnidaria                   | -388100000    | -383700000   | <>
Arkonaster                               | Animal    | Echinodermata              | -393300000    | -382700000   | <>
Arkonoceras                              | Animal    | Mollusca                   | -410800000    | -383700000   | <>
Armalites                                | Animal    | Cnidaria                   | -393300000    | -387700000   | <>
Arthracantha                             | Animal    | Echinodermata              | -419200000    | -358900000   | <>
Arthroacantha                            | Animal    | Echinodermata              | -393300000    | -382700000   | <>
Arthrophyllum                            | Animal    | Mollusca                   | -409100000    | -388100000   | Arthrophyllum
Asawikwanabe                             | Animal    | Arthropoda                 | -393300000    | -387700000   | <>
Aseptirhynchia                           | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Aseptonetes                              | Animal    | Brachiopoda                | -407600000    | -387700000   | <>
Asinomphalus                             | Animal    | Mollusca                   | -393300000    | -382700000   | <>
Asteracanthus                            | Animal    | Chordata                   | -419200000    | -358900000   | Asteracanthus
Asterolepis                              | Animal    | Chordata                   | -393300000    | -387700000   | Asterolepis
Asteropyge                               | Animal    | Arthropoda                 | -388100000    | -383700000   | Asteropyge
Astoceras                                | Animal    | Mollusca                   | -410800000    | -383700000   | <>
Astraeospongium                          | Animal    | Porifera                   | -388100000    | -383700000   | <>
Astralites                               | Animal    | Mollusca                   | -393300000    | -387700000   | <>
Astrictophyllum                          | Animal    | Cnidaria                   | -393300000    | -387700000   | <>
Astutuaster                              | Animal    | Echinodermata              | -393300000    | -387700000   | <>
Astycoryphe                              | Animal    | Arthropoda                 | -393300000    | -387700000   | <>
Atactotoechus                            | Animal    | Bryozoa                    | -388100000    | -383700000   | <>
Atelodictyon                             | Animal    | Porifera                   | -388100000    | -383700000   | <>
Athyrhynchus                             | Animal    | Brachiopoda                | -402500000    | -391900000   | <>
Athyris                                  | Animal    | Brachiopoda                | -388100000    | -372200000   | Athyris
Athyrisina                               | Animal    | Brachiopoda                | -393300000    | -387700000   | <>
Atlanticocoelia                          | Animal    | Brachiopoda                | -393300000    | -387700000   | <>
Atopocystis                              | Animal    | Cnidaria                   | -402500000    | -391900000   | <>
Atopostroma                              | Animal    | Porifera                   | -402500000    | -391900000   | <>
Atribonium                               | Animal    | Brachiopoda                | -388100000    | -383700000   | <>
Atrypa                                   | Animal    | Brachiopoda                | -388100000    | -383700000   | Atrypa
Atryparia                                | Animal    | Brachiopoda                | -388100000    | -383700000   | <>
Atrythyris                               | Animal    | Brachiopoda                | -393300000    | -387700000   | <>
Attercopus                               | Animal    | Arthropoda                 | -388100000    | -383700000   | Attercopus
Aulacella                                | Animal    | Brachiopoda                | -388100000    | -383700000   | <>
Aulacophyllum                            | Animal    | Cnidaria                   | -393300000    | -382700000   | Aulacophyllum
Aulacopleura                             | Animal    | Arthropoda                 | -393300000    | -387700000   | Aulacopleura
Aulacopleurina                           | Animal    | Arthropoda                 | -393300000    | -387700000   | <>
Aulacostrepsis                           | Animal    | Mollusca                   | -402500000    | -391900000   | <>
Aulocystis                               | Animal    | Cnidaria                   | -388100000    | -383700000   | <>
Aulopora                                 | Animal    | Cnidaria                   | -388100000    | -383700000   | Aulopora
Aureocrinus                              | Animal    | Echinodermata              | -402500000    | -391900000   | <>
Austerops                                | Animal    | Arthropoda                 | -393300000    | -387700000   | <>
Australina                               | Animal    | Brachiopoda                | -423000000    | -391900000   | Australina
Australocoelia                           | Animal    | Brachiopoda                | -388100000    | -383700000   | <>
Australocystis                           | Animal    | Echinodermata              | -393300000    | -382700000   | <>
Australonema                             | Animal    | Mollusca                   | -393300000    | -387700000   | <>
Australophyllum                          | Animal    | Cnidaria                   | -388100000    | -383700000   | <>
Australospirifer                         | Animal    | Brachiopoda                | -393300000    | -372200000   | <>
Australostrophia                         | Animal    | Brachiopoda                | -407600000    | -387700000   | <>
Australoxa                               | Animal    | Mollusca                   | -409100000    | -383700000   | <>
Austronoplia                             | Animal    | Brachiopoda                | -393300000    | -387700000   | <>
Aviculopecten                            | Animal    | Mollusca                   | -393300000    | -382700000   | Aviculopecten
Axuolites                                | Animal    | Cnidaria                   | -393300000    | -387700000   | <>
Bactrites                                | Animal    | Mollusca                   | -393300000    | -387700000   | <>
Bactrocrinites                           | Animal    | Echinodermata              | -393300000    | -387700000   | <>
Bainbridgia                              | Animal    | Cnidaria                   | -402500000    | -391900000   | <>
Bainella                                 | Animal    | Arthropoda                 | -393300000    | -387700000   | Bainella
Bairdia                                  | Animal    | Arthropoda                 | -388100000    | -383700000   | <>
Bairdiocypris                            | Animal    | Arthropoda                 | -388100000    | -383700000   | <>
Bairdiohealdites                         | Animal    | Arthropoda                 | -402500000    | -391900000   | <>
Bairdiolites                             | Animal    | Arthropoda                 | -393300000    | -382700000   | <>
Balbiniconcha                            | Animal    | Mollusca                   | -391900000    | -383700000   | <>
Ballistocucumis                          | Animal    | Echinodermata              | -393300000    | -387700000   | <>
Baragwanathia                            | Plant     | Lycopodophyta              | -410800000    | -382700000   | Baragwanathia
Barinophyton                             | Plant     | Zosterophyllophyta         | -393300000    | -382700000   | Barinophyton
Barocospira                              | Animal    | Mollusca                   | -393300000    | -387700000   | <>
Barrandeicardia                          | Animal    | Mollusca                   | -402500000    | -391900000   | <>
Barrandeina                              | Plant     | Psilophytophyta            | -388100000    | -358900000   | <>
Barrandeophyllum                         | Animal    | Cnidaria                   | -393300000    | -382700000   | <>
Barroisocaulus                           | Animal    | Mollusca                   | -402500000    | -391900000   | <>
Barsassia                                | Plant     | Psilophytophyta            | -402500000    | -387700000   | <>
Barwickia                                | Animal    | Chordata                   | -388100000    | -383700000   | Barwickia
Barynema                                 | Animal    | Mollusca                   | -391900000    | -383700000   | <>
Baschkirina                              | Animal    | Arthropoda                 | -402500000    | -391900000   | <>
Bashkirella                              | Animal    | Bryozoa                    | -393300000    | -387700000   | <>
Basidechenella                           | Animal    | Arthropoda                 | -391900000    | -383700000   | <>
