Anostylostroma                           | Animal    | Porifera                   | -383700000    | -382400000   | <>
Antarctilamna                            | Animal    | Chordata                   | -387700000    | -382700000   | Antarctilamna
Antholites                               | Animal    | Cnidaria                   | -387700000    | -382700000   | <>
Antiquaster                              | Animal    | Echinodermata              | -387700000    | -382700000   | <>
Antirotella                              | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Antistrix                                | Animal    | Brachiopoda                | -393300000    | -382700000   | <>
Antitrochus                              | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Aorocrinus                               | Animal    | Echinodermata              | -387700000    | -382700000   | <>
Aphyctoceras                             | Animal    | Mollusca                   | -410800000    | -383700000   | <>
Aphyllum                                 | Animal    | Cnidaria                   | -387700000    | -382700000   | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -387700000    | -372200000   | <>
Arabellites                              | Animal    | Annelida                   | -387700000    | -382700000   | <>
Arachnoxylon                             | Plant     | Psilophytophyta            | -388100000    | -383700000   | <>
Araeonema                                | Animal    | Mollusca                   | -388100000    | -382400000   | <>
Archaeacarus                             | Animal    | Arthropoda                 | -387700000    | -382700000   | <>
Archaeopteris                            | Plant     | Aneurophytophyta           | -383700000    | -382400000   | Archaeopteris
Archaeosphera                            | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Archaesphaera                            | Micro     | Foraminifera               | -388100000    | -383700000   | <>
Archiacoceras                            | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Arctostroma                              | Animal    | Porifera                   | -383700000    | -382400000   | <>
Arcuaminetes                             | Animal    | Brachiopoda                | -387700000    | -382700000   | <>
Arcyzona                                 | Animal    | Arthropoda                 | -387700000    | -382700000   | <>
Argutastrea                              | Animal    | Cnidaria                   | -383700000    | -382400000   | <>
Aristophyllum                            | Animal    | Cnidaria                   | -387700000    | -382700000   | <>
Arkonaster                               | Animal    | Echinodermata              | -393300000    | -382700000   | <>
Arkonoceras                              | Animal    | Mollusca                   | -410800000    | -383700000   | <>
Arthracantha                             | Animal    | Echinodermata              | -419200000    | -358900000   | <>
Arthroacantha                            | Animal    | Echinodermata              | -387700000    | -382700000   | <>
Arthrophyllum                            | Animal    | Mollusca                   | -410800000    | -383700000   | Arthrophyllum
Ascodictyon                              | Animal    | Bryozoa                    | -387700000    | -382700000   | <>
Asinomphalus                             | Animal    | Mollusca                   | -393300000    | -382700000   | <>
Asperocrinus                             | Animal    | Echinodermata              | -387700000    | -382700000   | <>
Asteracanthus                            | Animal    | Chordata                   | -419200000    | -358900000   | Asteracanthus
Asterolepis                              | Animal    | Chordata                   | -383700000    | -382400000   | Asterolepis
Asteropyge                               | Animal    | Arthropoda                 | -388100000    | -383700000   | Asteropyge
Asteroxylon                              | Plant     | Lycopodophyta              | -387700000    | -382700000   | Asteroxylon
Astoceras                                | Animal    | Mollusca                   | -410800000    | -383700000   | <>
Astraeospongium                          | Animal    | Porifera                   | -387700000    | -382700000   | <>
Astralites                               | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Asturiella                               | Animal    | Arthropoda                 | -387700000    | -382700000   | <>
Astycoryphe                              | Animal    | Arthropoda                 | -410800000    | -382700000   | <>
Atactotoechus                            | Animal    | Bryozoa                    | -387700000    | -382700000   | <>
Atelodictyon                             | Animal    | Porifera                   | -383700000    | -382400000   | <>
Athyris                                  | Animal    | Brachiopoda                | -383700000    | -382400000   | Athyris
Atlanticocoelia                          | Animal    | Brachiopoda                | -419200000    | -358900000   | <>
Atopacanthus                             | Animal    | Chordata                   | -383700000    | -382400000   | <>
Atopostroma                              | Animal    | Porifera                   | -387700000    | -382700000   | <>
Atractocrinus                            | Animal    | Echinodermata              | -387700000    | -382700000   | <>
Atribonium                               | Animal    | Brachiopoda                | -387700000    | -372200000   | <>
Atrypa                                   | Animal    | Brachiopoda                | -383700000    | -382400000   | Atrypa
Atryparia                                | Animal    | Brachiopoda                | -387700000    | -372200000   | <>
Atrypina                                 | Animal    | Brachiopoda                | -387700000    | -382700000   | <>
Atrythyris                               | Animal    | Brachiopoda                | -387700000    | -382700000   | <>
Attercopus                               | Animal    | Arthropoda                 | -387700000    | -382700000   | Attercopus
Aulacella                                | Animal    | Brachiopoda                | -383700000    | -382400000   | <>
Aulacophyllum                            | Animal    | Cnidaria                   | -387700000    | -382700000   | Aulacophyllum
Aulatornoceras                           | Animal    | Mollusca                   | -383700000    | -382400000   | Aulatornoceras
Aulocystis                               | Animal    | Cnidaria                   | -383700000    | -379500000   | <>
Aulopora                                 | Animal    | Cnidaria                   | -383700000    | -382400000   | Aulopora
Aulostegites                             | Animal    | Cnidaria                   | -387700000    | -372200000   | <>
Australocoelia                           | Animal    | Brachiopoda                | -388100000    | -383700000   | <>
Australocystis                           | Animal    | Echinodermata              | -393300000    | -382700000   | <>
Australonema                             | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Australophyllum                          | Animal    | Cnidaria                   | -387700000    | -382700000   | <>
Australospirifer                         | Animal    | Brachiopoda                | -387700000    | -382700000   | <>
Australoxa                               | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Austroneilsonia                          | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Avicula                                  | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Aviculopecten                            | Animal    | Mollusca                   | -387700000    | -382700000   | Aviculopecten
Aztecia                                  | Animal    | Chordata                   | -387700000    | -382700000   | <>
Babinicardia                             | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Bactrites                                | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Bactrocrinites                           | Animal    | Echinodermata              | -387700000    | -382700000   | <>
Bainbridgia                              | Animal    | Cnidaria                   | -387700000    | -382700000   | <>
Bairdia                                  | Animal    | Arthropoda                 | -383700000    | -382400000   | <>
Bairdiocypris                            | Animal    | Arthropoda                 | -383700000    | -382400000   | <>
Bairdiolites                             | Animal    | Arthropoda                 | -393300000    | -382700000   | <>
Balantoides                              | Animal    | Arthropoda                 | -387700000    | -382700000   | <>
Balbiniconcha                            | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Balbinipleura                            | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Baragwanathia                            | Plant     | Lycopodophyta              | -410800000    | -382700000   | Baragwanathia
Barinophyton                             | Plant     | Zosterophyllophyta         | -383700000    | -382400000   | Barinophyton
Barrandeina                              | Plant     | Psilophytophyta            | -387700000    | -382700000   | <>
Barrandeophyllum                         | Animal    | Cnidaria                   | -387700000    | -382700000   | <>
Barroisella                              | Animal    | Brachiopoda                | -383700000    | -382400000   | <>
Barwickia                                | Animal    | Chordata                   | -388100000    | -383700000   | Barwickia
Barwickosteus                            | Animal    | Chordata                   | -387700000    | -382700000   | <>
Barychilina                              | Animal    | Arthropoda                 | -387700000    | -382700000   | <>
Barynema                                 | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Bashkirella                              | Animal    | Bryozoa                    | -387700000    | -382700000   | <>
