Aparimarhynchia                          | Animal    | Brachiopoda                | -247200000    | -237000000   | <>
Apateolepis                              | Animal    | Chordata                   | -251300000    | -242000000   | <>
Apatognathus                             | Animal    | Chordata                   | -247200000    | -242000000   | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -252170000    | -242000000   | <>
Apiocrinus                               | Animal    | Echinodermata              | -247200000    | -242000000   | <>
Aplococeras                              | Animal    | Mollusca                   | -247200000    | -237000000   | Aplococeras
Aplocoma                                 | Animal    | Echinodermata              | -247200000    | -242000000   | <>
Aranetsia                                | Animal    | Chordata                   | -247200000    | -242000000   | <>
Araucarites                              | Plant     | Pinophyta                  | -247200000    | -237000000   | <>
Arberophyllum                            | Plant     | Peltaspermophyta           | -247200000    | -237000000   | <>
Arca                                     | Animal    | Mollusca                   | -247200000    | -237000000   | Arca
Arcavicula                               | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Arcestes                                 | Animal    | Mollusca                   | -247200000    | -221500000   | Arcestes
Archaeobehningia                         | Animal    | Arthropoda                 | -247200000    | -237000000   | <>
Archaeocenosphaera                       | Micro     | Radiolaria                 | -247200000    | -201300000   | <>
Archaeoceratodus                         | Animal    | Chordata                   | -247200000    | -237000000   | <>
Archaeocidaris                           | Animal    | Echinodermata              | -252170000    | -201300000   | Archaeocidaris
Archaeosemantis                          | Micro     | Radiolaria                 | -247200000    | -235000000   | <>
Archaeospongoprunum                      | Micro     | Radiolaria                 | -247200000    | -242000000   | <>
Archilimonia                             | Animal    | Arthropoda                 | -247200000    | -242000000   | <>
Arcomya                                  | Animal    | Mollusca                   | -247200000    | -237000000   | <>
Arctacanthus                             | Animal    | Chordata                   | -247200000    | -242000000   | Arctacanthus
Arctica                                  | Animal    | Mollusca                   | -247200000    | -237000000   | Arctica_(bivalve)
Arcticopora                              | Animal    | Bryozoa                    | -247200000    | -242000000   | <>
Arctocardinia                            | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Arctoceras                               | Animal    | Mollusca                   | -247200000    | -242000000   | Arctoceras
Arctogymnites                            | Animal    | Mollusca                   | -247200000    | -242000000   | Arctogymnites
Arctohungarites                          | Animal    | Mollusca                   | -247200000    | -242000000   | Arctohungarites
Arctonautilus                            | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Arctophyllites                           | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Arctoptychites                           | Animal    | Mollusca                   | -247200000    | -242000000   | Arctoptychites
Arenorbis                                | Animal    | Echinodermata              | -247200000    | -242000000   | <>
Arenovidalina                            | Micro     | Foraminifera               | -247200000    | -237000000   | <>
Argolites                                | Animal    | Mollusca                   | -247200000    | -237000000   | Argolites
Arianites                                | Animal    | Mollusca                   | -251200000    | -242000000   | Arianites_(ammonite)
Ariguna                                  | Animal    | Chordata                   | -247200000    | -237000000   | <>
Aristoptychites                          | Animal    | Mollusca                   | -247200000    | -242000000   | Aristoptychites
Arizonasaurus                            | Animal    | Chordata                   | -247200000    | -242000000   | Arizonasaurus
Arlecoris                                | Animal    | Arthropoda                 | -247200000    | -242000000   | <>
Arpadites                                | Animal    | Mollusca                   | -247200000    | -235000000   | Arpadites
Arthaberites                             | Animal    | Mollusca                   | -247200000    | -242000000   | Arthaberites
Asiatoceratodus                          | Animal    | Chordata                   | -247200000    | -237000000   | Asiatoceratodus
Asilisaurus                              | Animal    | Chordata                   | -247200000    | -242000000   | Asilisaurus
Askeptosaurus                            | Animal    | Chordata                   | -247200000    | -237000000   | Askeptosaurus
Asklepioceras                            | Animal    | Mollusca                   | -247200000    | -221500000   | Asklepioceras
Asoella                                  | Animal    | Mollusca                   | -247200000    | -237000000   | <>
Asperoris                                | Animal    | Chordata                   | -247200000    | -242000000   | Asperoris
Aspidogaster                             | Animal    | Arthropoda                 | -247200000    | -242000000   | Aspidogaster
Aspiduriella                             | Animal    | Echinodermata              | -247200000    | -237000000   | <>
Asseretoceras                            | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Astartellopsis                           | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Astarte                                  | Animal    | Mollusca                   | -247200000    | -237000000   | Astarte_(bivalve)
Asteracanthus                            | Animal    | Chordata                   | -247200000    | -242000000   | Asteracanthus
Asterotheca                              | Plant     | Pteridophyta               | -247200000    | -237000000   | Asterotheca
Astrocentrus                             | Micro     | Radiolaria                 | -247200000    | -242000000   | <>
Aternasus                                | Plant     | Chlorophyta                | -247200000    | -242000000   | <>
Athyris                                  | Animal    | Brachiopoda                | -247200000    | -237000000   | Athyris
Athyrorhynchia                           | Animal    | Brachiopoda                | -247200000    | -242000000   | <>
Atopodentatus                            | Animal    | Chordata                   | -247200000    | -242000000   | Atopodentatus
Atractites                               | Animal    | Mollusca                   | -247200000    | -221500000   | <>
Atreipus                                 | Animal    | Chordata                   | -247200000    | -242000000   | Atreipus
Atreta                                   | Animal    | Mollusca                   | -247200000    | -237000000   | <>
Atrina                                   | Animal    | Mollusca                   | -247200000    | -242000000   | Atrina
Audaxlytoceras                           | Animal    | Mollusca                   | -251200000    | -242000000   | Audaxlytoceras
Augustaceras                             | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Augustasaurus                            | Animal    | Chordata                   | -247200000    | -242000000   | Augustasaurus
Aulacothyris                             | Animal    | Brachiopoda                | -247200000    | -237000000   | <>
Aulacothyroides                          | Animal    | Brachiopoda                | -247200000    | -242000000   | <>
Aulametacoceras                          | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Aulotortus                               | Micro     | Foraminifera               | -247200000    | -237000000   | <>
Austriellula                             | Animal    | Brachiopoda                | -247200000    | -221500000   | <>
Austrocolomia                            | Micro     | Foraminifera               | -247200000    | -242000000   | <>
Austroidelia                             | Animal    | Arthropoda                 | -247200000    | -242000000   | <>
Austrolimulus                            | Animal    | Arthropoda                 | -247200000    | -242000000   | Austrolimulus
Austrotindaria                           | Animal    | Mollusca                   | -252170000    | -201300000   | <>
Avichlamys                               | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Avicula                                  | Animal    | Mollusca                   | -247200000    | -237000000   | <>
Aviculolima                              | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Aviculomyalina                           | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Aviculopecten                            | Animal    | Mollusca                   | -247200000    | -237000000   | Aviculopecten
Axicrinus                                | Animal    | Echinodermata              | -247200000    | -242000000   | <>
Axopora                                  | Animal    | Cnidaria                   | -247200000    | -242000000   | <>
Azarianites                              | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Bacutriletes                             | Plant     | Lycophyta                  | -247200000    | -201300000   | <>
Baharellinus                             | Animal    | Arthropoda                 | -247200000    | -242000000   | <>
Baiera                                   | Plant     | Ginkgophyta                | -247200000    | -237000000   | Baiera
Bairdia                                  | Animal    | Arthropoda                 | -247200000    | -242000000   | <>
Bairdiacypris                            | Animal    | Arthropoda                 | -247200000    | -242000000   | <>
Bakevellia                               | Animal    | Mollusca                   | -247200000    | -237000000   | <>
Balanocrinus                             | Animal    | Echinodermata              | -247200000    | -242000000   | <>
Balatonites                              | Animal    | Mollusca                   | -247200000    | -221500000   | Balatonites
Balatonospira                            | Animal    | Brachiopoda                | -247200000    | -242000000   | <>
Bangtoupocrinus                          | Animal    | Echinodermata              | -247200000    | -242000000   | <>
Baratuna                                 | Micro     | Radiolaria                 | -247200000    | -242000000   | <>
Barracudasauroides                       | Animal    | Chordata                   | -247200000    | -242000000   | Barracudasauroides
Basileosaurus                            | Animal    | Chordata                   | -247200000    | -242000000   | <>
Basslerella                              | Animal    | Arthropoda                 | -247200000    | -242000000   | <>
Bathignathus                             | Animal    | Chordata                   | -247200000    | -242000000   | <>
Batrachopus                              | Animal    | Chordata                   | -247200000    | -237000000   | <>
Batrachosuchus                           | Animal    | Chordata                   | -247200000    | -242000000   | Batrachosuchus
