Aremellia                                | Animal    | Mollusca                   | -501000000    | -485400000   | <>
Armonia                                  | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Arthrochites                             | Animal    | Cnidaria                   | -541000000    | -485400000   | <>
Asaphellus                               | Animal    | Arthropoda                 | -494000000    | -485400000   | <>
Asaphiscus                               | Animal    | Arthropoda                 | -501000000    | -485400000   | Asaphiscus
Asiapatella                              | Animal    | Mollusca                   | -541000000    | -485400000   | <>
Asiocephalus                             | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Aspidagnostus                            | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Asqaragnostus                            | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Athabaskia                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Atopasaphus                              | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Attenuella                               | Animal    | Hyolitha                   | -501000000    | -485400000   | <>
Aulochiton                               | Animal    | Mollusca                   | -501000000    | -485400000   | Aulochiton
Australispongia                          | Animal    | Porifera                   | -497000000    | -485400000   | <>
Baikadamaspis                            | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Balkoceras                               | Animal    | Mollusca                   | -501000000    | -485400000   | <>
Baltagnostus                             | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Bathyholcus                              | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Bathyuriscus                             | Animal    | Arthropoda                 | -501000000    | -485400000   | Bathyuriscus
Bayfieldia                               | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Beckwithia                               | Animal    | Arthropoda                 | -497000000    | -485400000   | Beckwithia_(arthropod)
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites_(genus)
Bellaspidella                            | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Bellaspis                                | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Bellistrophia                            | Animal    | Brachiopoda                | -513000000    | -485400000   | <>
Belovia                                  | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Beltella                                 | Animal    | Arthropoda                 | -497000000    | -477700000   | <>
Bemella                                  | Animal    | Mollusca                   | -541000000    | -485400000   | <>
Berkeia                                  | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Berkutaspis                              | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Bestjubella                              | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Biciragnostus                            | Animal    | Arthropoda                 | -498500000    | -485400000   | Biciragnostus
Bienvillia                               | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Bigranulella                             | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Billingsella                             | Animal    | Brachiopoda                | -497000000    | -485400000   | <>
Biloboconus                              | Animal    | Mollusca                   | -501000000    | -485400000   | <>
Biscoia                                  | Animal    | Arthropoda                 | -541000000    | -485400000   | Biscoia
Blackwelderioides                        | Animal    | Arthropoda                 | -501000000    | -485400000   | Blackwelderioides
Blainia                                  | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Blountia                                 | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Blountiella                              | Animal    | Arthropoda                 | -501000000    | -485400000   | Blountiella
Bodenbenderia                            | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Bolaspidella                             | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Bonneterrina                             | Animal    | Arthropoda                 | -501000000    | -485400000   | Bonneterrina
Bonnia                                   | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Bonniopsis                               | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Borthaspidella                           | Animal    | Arthropoda                 | -501000000    | -477700000   | <>
Bowmania                                 | Animal    | Arthropoda                 | -498500000    | -485400000   | Bowmania
Brassicicephalus                         | Animal    | Arthropoda                 | -497000000    | -485400000   | Brassicicephalus
Bredocaris                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Briscoia                                 | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Broeggeria                               | Animal    | Brachiopoda                | -497000000    | -485400000   | <>
Bromella                                 | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Brooksella                               | Animal    | Porifera                   | -541000000    | -485400000   | <>
Brutonia                                 | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Burnetiella                              | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Buttsia                                  | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Bynumia                                  | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Bynumiella                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Bynumina                                 | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Callograptus                             | Animal    | Hemichordata               | -497000000    | -485400000   | Callograptus
Calocephalites                           | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Calodiscus                               | Animal    | Arthropoda                 | -497000000    | -485400000   | Calodiscus
Calvinella                               | Animal    | Arthropoda                 | -494000000    | -485400000   | <>
Calvipelta                               | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Calymenidius                             | Animal    | Arthropoda                 | -501000000    | -485400000   | Calymenidius
Cambrioconus                             | Animal    | Mollusca                   | -501000000    | -485400000   | <>
Cambroblastus                            | Animal    | Echinodermata              | -498500000    | -485400000   | <>
Cambrooistodus                           | Animal    | Chordata                   | -497000000    | -485400000   | <>
Canalilatus                              | Animal    | Brachiopoda                | -501000000    | -485400000   | <>
Canopoconus                              | Animal    | Mollusca                   | -541000000    | -485400000   | <>
Cardiocystella                           | Animal    | Echinodermata              | -498500000    | -485400000   | <>
Carinamala                               | Animal    | Arthropoda                 | -501000000    | -485400000   | Carinamala
Carinopelta                              | Animal    | Mollusca                   | -541000000    | -485400000   | Carinopelta
Catillicephala                           | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Catuniella                               | Animal    | Arthropoda                 | -498500000    | -485400000   | Catuniella
Caulaspina                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Cedaria                                  | Animal    | Arthropoda                 | -501000000    | -485400000   | Cedaria
Cedarina                                 | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Centropleura                             | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Ceratreta                                | Animal    | Brachiopoda                | -497000000    | -485400000   | <>
Cernuolimbus                             | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Chabactoceras                            | Animal    | Mollusca                   | -498500000    | -485400000   | <>
Chaetetes                                | Animal    | Porifera                   | -541000000    | -252170000   | Chaetetes
Chalfontia                               | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Chancia                                  | Animal    | Arthropoda                 | -501000000    | -485400000   | Chancia
Changia                                  | Animal    | Arthropoda                 | -494000000    | -485400000   | <>
Changshania                              | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Charchaqia                               | Animal    | Arthropoda                 | -494000000    | -485000000   | <>
Chariocephalus                           | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Cheilocephalus                           | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Chekiangaspis                            | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Chelidonocephalus                        | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Chelodes                                 | Animal    | Mollusca                   | -501000000    | -485400000   | Chelodes
Chencunia                                | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
