Anaptychius                              | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Anchicodium                              | Plant     | Chlorophyta                | -298900000    | -252170000   | <>
Anematina                                | Animal    | Mollusca                   | -279300000    | -272300000   | <>
Anemonaria                               | Animal    | Brachiopoda                | -279300000    | -254170000   | <>
Aneuthelasma                             | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Anfractophyllum                          | Animal    | Cnidaria                   | -279300000    | -272300000   | <>
Angaridium                               | Plant     | Peltaspermophyta           | -279300000    | -272300000   | <>
Angarocarpus                             | Plant     | Ginkgophyta                | -279300000    | -272300000   | <>
Angaropeltis                             | Plant     | Peltaspermophyta           | -279300000    | -272300000   | <>
Angaroptera                              | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Angaropteridium                          | Plant     | Peltaspermophyta           | -279300000    | -272300000   | <>
Angelosaurus                             | Animal    | Chordata                   | -279300000    | -268800000   | Angelosaurus
Angioblastus                             | Animal    | Echinodermata              | -298900000    | -272300000   | <>
Anidanthus                               | Animal    | Brachiopoda                | -279300000    | -268800000   | <>
Anisodexis                               | Animal    | Chordata                   | -279300000    | -272300000   | Anisodexis
Anisopyge                                | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Anisotrypella                            | Animal    | Bryozoa                    | -279300000    | -272300000   | <>
Annularia                                | Plant     | Sphenophyta                | -279300000    | -252170000   | Annularia
Annuliconcha                             | Animal    | Mollusca                   | -279300000    | -272300000   | <>
Anomalesia                               | Animal    | Brachiopoda                | -279300000    | -272300000   | Anomalesia
Anomaloria                               | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Anomphalus                               | Animal    | Mollusca                   | -279300000    | -272300000   | Anomphalus
Anteridocus                              | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Anthohymen                               | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Anthracoblattina                         | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Anthraconeilo                            | Animal    | Mollusca                   | -298900000    | -252170000   | <>
