Akainalepidopteron                       | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Aka                                      | Animal    | Porifera                   | -161200000    | -155700000   | <>
Aktassia                                 | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Alaodima                                 | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Algites                                  | Plant     | Phaeophyta                 | -163500000    | -145000000   | <>
Alievium                                 | Micro     | Radiolaria                 | -161200000    | -150800000   | <>
Alisporites                              | Plant     | Gymnospermophyta           | -164700000    | -161200000   | <>
Allaboilus                               | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Alligaticeras                            | Animal    | Mollusca                   | -163500000    | -157300000   | Alligaticeras
Allocoenia                               | Animal    | Cnidaria                   | -161200000    | -152100000   | <>
Allocoeniopsis                           | Animal    | Cnidaria                   | -161200000    | -150800000   | <>
Allognosis                               | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Alloioscarabaeus                         | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Allophalerus                             | Animal    | Arthropoda                 | -166100000    | -157300000   | Allophalerus
Allosaurus                               | Animal    | Chordata                   | -161200000    | -150800000   | Allosaurus
Allotriosmylus                           | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Almadasuchus                             | Animal    | Chordata                   | -161200000    | -155700000   | Almadasuchus
Alsophilidites                           | Plant     | Pteridophyta               | -163500000    | -100500000   | <>
Alveosepta                               | Micro     | Foraminifera               | -161200000    | -150800000   | <>
Amberleya                                | Animal    | Mollusca                   | -161200000    | -150800000   | <>
Ambopteryx                               | Animal    | Chordata                   | -163500000    | -145000000   | Ambopteryx
Ambulocapsa                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Ameghinichnus                            | Animal    | Chordata                   | -166100000    | -157300000   | <>
Amicytheridea                            | Animal    | Arthropoda                 | -164700000    | -161200000   | <>
Ammobaculites                            | Micro     | Foraminifera               | -161200000    | -155700000   | <>
Ammodiscus                               | Micro     | Foraminifera               | -161200000    | -155700000   | Ammodiscus
Amnifleckia                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Amoeboceras                              | Animal    | Mollusca                   | -161200000    | -150800000   | Amoeboceras
Ampakabastraea                           | Animal    | Cnidaria                   | -163500000    | -157300000   | <>
Amphiastrea                              | Animal    | Cnidaria                   | -161200000    | -150800000   | <>
Amphicoelias                             | Animal    | Chordata                   | -161200000    | -150800000   | Amphicoelias
Amphidonte                               | Animal    | Mollusca                   | -161200000    | -155700000   | <>
Amphipyndax                              | Micro     | Radiolaria                 | -161200000    | -155700000   | <>
Amphitriodites                           | Animal    | Echinodermata              | -163500000    | -157300000   | <>
Amphitrochus                             | Animal    | Mollusca                   | -168300000    | -155700000   | <>
Ampliceps                                | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Ampullina                                | Animal    | Mollusca                   | -161200000    | -155700000   | Ampullina
Amusium                                  | Animal    | Mollusca                   | -201300000    | -145000000   | Amusium
Amydroptychus                            | Animal    | Brachiopoda                | -161200000    | -155700000   | <>
Anacapitis                               | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Anaglyphites                             | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Anasyntexis                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Anatina                                  | Animal    | Mollusca                   | -163500000    | -152100000   | Anatina
Anavirgatites                            | Animal    | Mollusca                   | -163500000    | -152100000   | Anavirgatites
Anaxyela                                 | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Anchiornis                               | Animal    | Chordata                   | -163500000    | -157300000   | Anchiornis
Anchura                                  | Animal    | Mollusca                   | -163500000    | -157300000   | <>
Andemantastraea                          | Animal    | Cnidaria                   | -161200000    | -152100000   | <>
Andesites                                | Animal    | Mollusca                   | -163500000    | -145000000   | Andesites
Andiceras                                | Animal    | Mollusca                   | -163500000    | -145000000   | Andiceras
Anditrigonia                             | Animal    | Mollusca                   | -161200000    | -155700000   | <>
Androstrobus                             | Plant     | Cycadophyta                | -201300000    | -145000000   | <>
Aneuretopsyche                           | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
