Calcihexactina                           | Animal    | Porifera                   | -541000000    | -516000000   | <>
Callograptus                             | Animal    | Hemichordata               | -541000000    | -485400000   | Callograptus
Cambrocyathellus                         | Animal    | Porifera                   | -530000000    | -520000000   | <>
Cambroinyoella                           | Animal    | Arthropoda                 | -530000000    | -516000000   | <>
Cambrospira                              | Animal    | Mollusca                   | -530000000    | -520000000   | <>
Camenella                                | Animal    | Brachiopoda                | -530000000    | -516000000   | Camenella
Canopoconus                              | Animal    | Mollusca                   | -530000000    | -520000000   | <>
Capsulocyathus                           | Animal    | Porifera                   | -530000000    | -520000000   | <>
Carinachites                             | Animal    | Cnidaria                   | -530000000    | -520000000   | <>
Carinopelta                              | Animal    | Mollusca                   | -530000000    | -520000000   | Carinopelta
Cedaria                                  | Animal    | Arthropoda                 | -541000000    | -485400000   | Cedaria
Ceratoconus                              | Animal    | Mollusca                   | -530000000    | -513000000   | <>
Ceratreta                                | Animal    | Brachiopoda                | -541000000    | -477700000   | <>
Chaetetes                                | Animal    | Porifera                   | -541000000    | -252170000   | Chaetetes
Choiaella                                | Animal    | Porifera                   | -541000000    | -513000000   | Choiaella
Choia                                    | Animal    | Porifera                   | -541000000    | -513000000   | Choia
Chorbusulina                             | Animal    | Arthropoda                 | -541000000    | -513000000   | <>
Circotheca                               | Animal    | Hyolitha                   | -530000000    | -513000000   | <>
Cirquella                                | Animal    | Arthropoda                 | -530000000    | -513000000   | Cirquella
Clavigellus                              | Animal    | Arthropoda                 | -530000000    | -501000000   | <>
Combinivalvula                           | Animal    | Arthropoda                 | -541000000    | -513000000   | Combinivalvula
Conaspis                                 | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Condylopyge                              | Animal    | Arthropoda                 | -530000000    | -501000000   | Condylopyge
Conocoryphe                              | Animal    | Arthropoda                 | -541000000    | -485400000   | Conocoryphe
Conotheca                                | Animal    | Hyolitha                   | -530000000    | -520000000   | Conotheca
Conulariella                             | Animal    | Cnidaria                   | -541000000    | -516000000   | <>
Coosella                                 | Animal    | Arthropoda                 | -541000000    | -485400000   | Coosella
Coosia                                   | Animal    | Arthropoda                 | -541000000    | -485400000   | Coosia
Coosina                                  | Animal    | Arthropoda                 | -541000000    | -485400000   | Coosina
Cordubia                                 | Animal    | Cnidaria                   | -541000000    | -530000000   | <>
Cordylodus                               | Animal    | Chordata                   | -541000000    | -485400000   | Cordylodus
Corynexochus                             | Animal    | Arthropoda                 | -530000000    | -501000000   | <>
Coscinocyathus                           | Animal    | Porifera                   | -530000000    | -520000000   | <>
Crassifimbra                             | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Crepicephalus                            | Animal    | Arthropoda                 | -541000000    | -485400000   | Crepicephalus
Crestjahitus                             | Animal    | Hyolitha                   | -530000000    | -520000000   | <>
Crossbitheca                             | Animal    | Hyolitha                   | -530000000    | -520000000   | <>
Crumillospongia                          | Animal    | Porifera                   | -541000000    | -513000000   | Crumillospongia
Cryptaporocyathus                        | Animal    | Porifera                   | -530000000    | -520000000   | <>
Cryptoporocyathus                        | Animal    | Porifera                   | -530000000    | -520000000   | <>
Ctenopyge                                | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Cycloconchoides                          | Animal    | Arthropoda                 | -541000000    | -513000000   | <>
Cysticyathus                             | Animal    | Cnidaria                   | -530000000    | -520000000   | <>
Dabashanites                             | Animal    | Mollusca                   | -530000000    | -520000000   | <>
Davidonia                                | Animal    | Mollusca                   | -541000000    | -530000000   | <>
Dawsonia                                 | Animal    | Arthropoda                 | -530000000    | -501000000   | Dawsonia
Delgadella                               | Animal    | Arthropoda                 | -530000000    | -520000000   | Delgadella
Dendrograptus                            | Animal    | Hemichordata               | -541000000    | -485400000   | Dendrograptus
Densonella                               | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Diagoniella                              | Animal    | Porifera                   | -541000000    | -516000000   | Diagoniella
Dicellomus                               | Animal    | Brachiopoda                | -541000000    | -485400000   | <>
Dictyocyathus                            | Animal    | Porifera                   | -530000000    | -520000000   | <>
Dictyonema                               | Animal    | Hemichordata               | -541000000    | -485400000   | Dictyonema
Dikelocephalus                           | Animal    | Arthropoda                 | -541000000    | -485400000   | Dikelocephalus
Diplocyathellus                          | Animal    | Porifera                   | -530000000    | -513000000   | <>
Dodecaactinella                          | Animal    | Porifera                   | -530000000    | -520000000   | <>
Dokidocyathus                            | Animal    | Porifera                   | -530000000    | -520000000   | <>
Doliutus                                 | Animal    | Hyolitha                   | -530000000    | -520000000   | <>
Dorispira                                | Animal    | Mollusca                   | -530000000    | -520000000   | <>
Dorsolinevitus                           | Animal    | Hyolitha                   | -530000000    | -520000000   | <>
Drepanochites                            | Animal    | Mollusca                   | -530000000    | -520000000   | Drepanochites
