Adekunbiella                             | Animal    | Pogonophora                | -38000000     | -33900000    | <>
Adela                                    | Animal    | Arthropoda                 | -38000000     | -33900000    | Adela
Adelites                                 | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Adelomelon                               | Animal    | Mollusca                   | -37200000     | -11608000    | Adelomelon
Adelopsyche                              | Animal    | Arthropoda                 | -37200000     | -33900000    | Adelopsyche
Adeona                                   | Animal    | Bryozoa                    | -34300000     | -21700000    | Adeona
Adeonellopsis                            | Animal    | Bryozoa                    | -38000000     | -33900000    | <>
Adeorbis                                 | Animal    | Mollusca                   | -37200000     | -33900000    | Adeorbis
Adiantoides                              | Animal    | Chordata                   | -42000000     | -36000000    | <>
Adicophasma                              | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Adinopsis                                | Animal    | Arthropoda                 | -38000000     | -33900000    | Adinopsis
Adioryx                                  | Animal    | Chordata                   | -43000000     | -37200000    | <>
Adjidaumo                                | Animal    | Chordata                   | -37200000     | -33900000    | <>
Adjutor                                  | Animal    | Arthropoda                 | -38000000     | -33900000    | Adjutor
Admete                                   | Animal    | Mollusca                   | -38000000     | -28100000    | Admete
Admetula                                 | Animal    | Mollusca                   | -38000000     | -28100000    | Admetula
Admissor                                 | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Adocus                                   | Animal    | Chordata                   | -37200000     | -33900000    | Adocus
Adorator                                 | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Adsumyia                                 | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Adula                                    | Animal    | Mollusca                   | -41300000     | -33900000    | Adula
Advenimus                                | Animal    | Chordata                   | -37200000     | -33900000    | <>
Aedes                                    | Animal    | Arthropoda                 | -38000000     | -33900000    | Aedes
Aegicetus                                | Animal    | Chordata                   | -38000000     | -33900000    | Aegicetus
Aegyptonycteris                          | Animal    | Chordata                   | -38000000     | -33900000    | Aegyptonycteris
Aeneator                                 | Animal    | Mollusca                   | -37200000     | -33900000    | Aeneator
Aenictosoma                              | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Aenigmathyris                            | Animal    | Brachiopoda                | -38000000     | -33900000    | <>
Aenigmatias                              | Animal    | Arthropoda                 | -38000000     | -33900000    | Aenigmatias
Aenigmatistes                            | Animal    | Arthropoda                 | -66000000     | -37200000    | <>
Aenigmavis                               | Animal    | Chordata                   | -48600000     | -37200000    | Aenigmavis
Aeolothrips                              | Animal    | Arthropoda                 | -38000000     | -33900000    | Aeolothrips
