Anomocephalus                            | Animal    | Chordata                   | -272300000    | -259900000   | Anomocephalus
Anomphalus                               | Animal    | Mollusca                   | -265100000    | -259900000   | Anomphalus
Ansehia                                  | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Anteosaurus                              | Animal    | Chordata                   | -265100000    | -259900000   | Anteosaurus
Anteridocus                              | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Anthichnium                              | Animal    | Chordata                   | -268000000    | -252300000   | <>
Anthraconauta                            | Animal    | Mollusca                   | -272300000    | -259900000   | <>
Anthraconeilo                            | Animal    | Mollusca                   | -298900000    | -252170000   | <>
Anthracoporella                          | Plant     | Chlorophyta                | -265100000    | -259900000   | <>
Anthrophyopsis                           | Plant     | Cycadophyta                | -268800000    | -252170000   | <>
Antiquatonia                             | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Apachella                                | Animal    | Mollusca                   | -265100000    | -259900000   | <>
Apateon                                  | Animal    | Chordata                   | -298900000    | -252170000   | Apateon
Aperispirifer                            | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Aphanaia                                 | Animal    | Mollusca                   | -265100000    | -259900000   | <>
Aphaurosia                               | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -272500000    | -252300000   | <>
Araeonema                                | Animal    | Mollusca                   | -265100000    | -259900000   | <>
Araeopora                                | Animal    | Cnidaria                   | -265100000    | -254170000   | <>
Araucarioxylon                           | Plant     | Pinophyta                  | -265100000    | -259900000   | Araucarioxylon
Araucarites                              | Plant     | Pinophyta                  | -268800000    | -259900000   | <>
Araxathyris                              | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Araxilevis                               | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Araxopora                                | Animal    | Bryozoa                    | -265100000    | -259900000   | <>
Arberophyllum                            | Plant     | Peltaspermophyta           | -265100000    | -254170000   | <>
Archaeocidaris                           | Animal    | Echinodermata              | -265100000    | -259900000   | Archaeocidaris
Archaeolithophyllum                      | Plant     | Rhodophyta                 | -265100000    | -259900000   | Archaeolithophyllum
Archaeosyodon                            | Animal    | Chordata                   | -268000000    | -265000000   | Archaeosyodon
Archboldiella                            | Animal    | Brachiopoda                | -272300000    | -254170000   | <>
