Arnautoceltites                          | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Arqoviella                               | Animal    | Arthropoda                 | -252170000    | -251300000   | <>
Arthropitys                              | Plant     | Sphenophyta                | -252170000    | -247200000   | Arthropitys
Asoella                                  | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Aspenites                                | Animal    | Mollusca                   | -251300000    | -247200000   | Aspenites
Aspiduriella                             | Animal    | Echinodermata              | -251300000    | -247200000   | <>
Astartella                               | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Astartopsis                              | Animal    | Mollusca                   | -252170000    | -251300000   | <>
Asterotheca                              | Plant     | Pteridophyta               | -251300000    | -242000000   | Asterotheca
Astrocentrus                             | Micro     | Radiolaria                 | -251300000    | -242000000   | <>
Atherstonia                              | Animal    | Chordata                   | -252170000    | -251300000   | <>
Athyris                                  | Animal    | Brachiopoda                | -254170000    | -251300000   | Athyris
Atomodesma                               | Animal    | Mollusca                   | -252170000    | -247200000   | <>
Atorcula                                 | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Atractites                               | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Attenborolimulus                         | Animal    | Arthropoda                 | -251300000    | -247200000   | <>
Australosomus                            | Animal    | Chordata                   | -251300000    | -247200000   | Australosomus
Austriellula                             | Animal    | Brachiopoda                | -251300000    | -247200000   | <>
Austrotindaria                           | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Avichlamys                               | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Avicula                                  | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Aviculopecten                            | Animal    | Mollusca                   | -251300000    | -247200000   | Aviculopecten
Awanites                                 | Animal    | Mollusca                   | -252170000    | -251300000   | <>
Axelia                                   | Animal    | Chordata                   | -251300000    | -247200000   | Axelia
Axitectum                                | Animal    | Chordata                   | -252170000    | -251200000   | Axitectum
Baculatisporites                         | Plant     | Pteridophyta               | -252170000    | -247200000   | <>
Baidites                                 | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Baiera                                   | Plant     | Ginkgophyta                | -252170000    | -201300000   | Baiera
Bairdia                                  | Animal    | Arthropoda                 | -251300000    | -242000000   | <>
Bairdiacypris                            | Animal    | Arthropoda                 | -251300000    | -247200000   | <>
Bajarunia                                | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Bakevellia                               | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Balatonites                              | Animal    | Mollusca                   | -251300000    | -247200000   | Balatonites
Balhaeceras                              | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Bandoites                                | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Banksiops                                | Animal    | Chordata                   | -252170000    | -251200000   | Banksiops
Baoqingichthys                           | Animal    | Chordata                   | -252170000    | -251300000   | <>
Barasaurus                               | Animal    | Chordata                   | -252170000    | -247200000   | Barasaurus
Baschkirina                              | Animal    | Arthropoda                 | -252170000    | -251300000   | <>
Basslerella                              | Animal    | Arthropoda                 | -251300000    | -247200000   | <>
Batrachichnus                            | Animal    | Chordata                   | -252170000    | -247200000   | <>
Batrachosuchoides                        | Animal    | Chordata                   | -251300000    | -247200000   | Batrachosuchoides
Battenizyga                              | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Baudicrinus                              | Animal    | Echinodermata              | -252170000    | -251300000   | <>
Baumgartneria                            | Micro     | Radiolaria                 | -251300000    | -247200000   | <>
Bauria                                   | Animal    | Chordata                   | -251300000    | -242000000   | Bauria
Beatites                                 | Animal    | Mollusca                   | -251300000    | -247200000   | Beatites
Bektasia                                 | Animal    | Arthropoda                 | -251300000    | -242000000   | <>
Belemnocerca                             | Animal    | Chordata                   | -251300000    | -247200000   | <>
Bellerophon                              | Animal    | Mollusca                   | -252170000    | -247200000   | Bellerophon_(genus)
Belonorhynchus                           | Animal    | Chordata                   | -251300000    | -242000000   | <>
Beltanodus                               | Animal    | Chordata                   | -252170000    | -247200000   | Beltanodus
Benthosphenus                            | Animal    | Chordata                   | -251300000    | -247200000   | Benthosphenus
Benthosuchus                             | Animal    | Chordata                   | -251300000    | -247200000   | Benthosuchus
Beyrichites                              | Animal    | Mollusca                   | -251300000    | -247200000   | Beyrichites
Birgeria                                 | Animal    | Chordata                   | -251300000    | -247200000   | Birgeria
Bistarkum                                | Micro     | Radiolaria                 | -252170000    | -251200000   | <>
Bittnerites                              | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Bittnerithyris                           | Animal    | Brachiopoda                | -251300000    | -247200000   | <>
Blomosaurus                              | Animal    | Chordata                   | -252170000    | -251200000   | <>
Bobasatrania                             | Animal    | Chordata                   | -251300000    | -247200000   | Bobasatrania
Boreocixius                              | Animal    | Arthropoda                 | -252170000    | -251200000   | <>
Boreomeekoceras                          | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Boreosomus                               | Animal    | Chordata                   | -251300000    | -247200000   | Boreosomus
Borinella                                | Animal    | Chordata                   | -251300000    | -247200000   | <>
Bositra                                  | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Bothriceps                               | Animal    | Chordata                   | -259900000    | -251200000   | Bothriceps
Brachychirotherium                       | Animal    | Chordata                   | -251300000    | -247200000   | <>
Brachyops                                | Animal    | Chordata                   | -252170000    | -247200000   | <>
Brachyphyllum                            | Plant     | Pinopsida                  | -252170000    | -247200000   | Brachyphyllum
Brayardites                              | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Broomistega                              | Animal    | Chordata                   | -252170000    | -247200000   | Broomistega
Broughia                                 | Animal    | Chordata                   | -252170000    | -251300000   | Broughia
Buekkella                                | Animal    | Arthropoda                 | -252170000    | -251300000   | <>
Bukkenites                               | Animal    | Mollusca                   | -252170000    | -251300000   | <>
Bulgosuchus                              | Animal    | Chordata                   | -252170000    | -247200000   | Bulgosuchus
Buregia                                  | Animal    | Arthropoda                 | -252170000    | -251300000   | <>
Burijites                                | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Byrrangoceras                            | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Bystrowiana                              | Animal    | Chordata                   | -251300000    | -247200000   | Bystrowiana
Bythocypris                              | Animal    | Arthropoda                 | -251300000    | -242000000   | <>
Calamites                                | Plant     | Sphenophyta                | -251300000    | -242000000   | Calamites
Calamospora                              | Plant     | Sphenophyta                | -252170000    | -237000000   | <>
Calcitornella                            | Micro     | Foraminifera               | -252170000    | -251300000   | <>
Callicythere                             | Animal    | Arthropoda                 | -251300000    | -247200000   | <>
Callipteris                              | Plant     | Peltaspermophyta           | -298900000    | -201300000   | Callipteris
Candelarialepis                          | Animal    | Chordata                   | -252170000    | -251300000   | Candelarialepis
Candona                                  | Animal    | Arthropoda                 | -252170000    | -201300000   | Candona
Canoptum                                 | Micro     | Radiolaria                 | -295500000    | -174100000   | <>
Capitosauroides                          | Animal    | Chordata                   | -251300000    | -247200000   | <>
Capnodoce                                | Micro     | Radiolaria                 | -295500000    | -174100000   | <>
Capulomala                               | Animal    | Chordata                   | -252170000    | -247200000   | Capulomala
Cardinia                                 | Animal    | Mollusca                   | -252170000    | -251300000   | <>
Cardinioides                             | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Cardita                                  | Animal    | Mollusca                   | -251300000    | -247200000   | Cardita
Caribouceras                             | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Carinaknightina                          | Animal    | Arthropoda                 | -251300000    | -247200000   | <>
Carteria                                 | Animal    | Mollusca                   | -251300000    | -247200000   | Carteria
Cartorhynchus                            | Animal    | Chordata                   | -251300000    | -247200000   | Cartorhynchus
Caseodus                                 | Animal    | Chordata                   | -251300000    | -247200000   | Caseodus
Catalecanites                            | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Cathaysia                                | Animal    | Brachiopoda                | -252170000    | -251300000   | <>
Cauletella                               | Micro     | Radiolaria                 | -252170000    | -251300000   | <>
Caulopteris                              | Plant     | Pteridophyta               | -252170000    | -247200000   | <>
Cavellina                                | Animal    | Arthropoda                 | -252170000    | -251300000   | <>
Ceccaisculitoides                        | Animal    | Mollusca                   | -251300000    | -247200000   | Ceccaisculitoides
Cedripites                               | Plant     | Gymnospermophyta           | -252170000    | -251300000   | <>
Celtites                                 | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Cenosphaera                              | Micro     | Radiolaria                 | -251300000    | -247200000   | <>
Ceratites                                | Animal    | Mollusca                   | -251300000    | -247200000   | Ceratites
Ceratodus                                | Animal    | Chordata                   | -251300000    | -247200000   | Ceratodus
Cetollina                                | Animal    | Arthropoda                 | -252170000    | -251300000   | <>
Chaohuichthys                            | Animal    | Chordata                   | -251300000    | -247200000   | <>
Chaohuperleidus                          | Animal    | Chordata                   | -251300000    | -247200000   | <>
Chaohusaurus                             | Animal    | Chordata                   | -251300000    | -247200000   | Chaohusaurus
Chartronella                             | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Chasmatosuchus                           | Animal    | Chordata                   | -251300000    | -247200000   | Chasmatosuchus
Chauliodites                             | Animal    | Arthropoda                 | -251300000    | -247200000   | <>
Chelepteris                              | Plant     | Pteridophyta               | -252170000    | -251200000   | <>
Chelichnus                               | Animal    | Chordata                   | -252170000    | -247200000   | Chelichnus
Chelonipus                               | Animal    | Chordata                   | -251300000    | -247200000   | <>
Chioceras                                | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Chiosella                                | Animal    | Chordata                   | -251300000    | -247200000   | Chiosella
Chiotites                                | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Chirotherium                             | Animal    | Chordata                   | -251300000    | -247200000   | Chirotherium
