Anaglyptocrinus                          | Animal    | Echinodermata              | -272300000    | -268800000   | <>
Anakamacops                              | Animal    | Chordata                   | -272300000    | -268800000   | Anakamacops
Analiomopterites                         | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Ananias                                  | Animal    | Mollusca                   | -272300000    | -254170000   | Ananias
Anaprosbole                              | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Anatsabites                              | Animal    | Mollusca                   | -272300000    | -268800000   | Anatsabites
Anchicodium                              | Plant     | Chlorophyta                | -298900000    | -252170000   | <>
Anchorhynchia                            | Animal    | Brachiopoda                | -272300000    | -2.599e+08   | <>
Anematina                                | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Anemonaria                               | Animal    | Brachiopoda                | -272300000    | -2.599e+08   | <>
Anetshella                               | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Angaridium                               | Plant     | Peltaspermophyta           | -272300000    | -268800000   | <>
Angarocarpus                             | Plant     | Ginkgophyta                | -272300000    | -2.599e+08   | <>
Angaropeltis                             | Plant     | Peltaspermophyta           | -272300000    | -2.599e+08   | <>
Angaropteridium                          | Plant     | Peltaspermophyta           | -272300000    | -2.599e+08   | <>
Angelosaurus                             | Animal    | Chordata                   | -272300000    | -2.651e+08   | Angelosaurus
Anidanthus                               | Animal    | Brachiopoda                | -272300000    | -2.651e+08   | <>
Anisopyge                                | Animal    | Arthropoda                 | -272300000    | -2.599e+08   | <>
Anisotrypella                            | Animal    | Bryozoa                    | -272300000    | -268800000   | <>
Annularia                                | Plant     | Sphenophyta                | -272300000    | -252170000   | Annularia
Annuliconcha                             | Animal    | Mollusca                   | -272300000    | -2.599e+08   | <>
Anodontacanthus                          | Animal    | Chordata                   | -272300000    | -268800000   | <>
Anomaloria                               | Animal    | Brachiopoda                | -272300000    | -2.599e+08   | <>
Anomocephalus                            | Animal    | Chordata                   | -272300000    | -2.599e+08   | Anomocephalus
Anomphalus                               | Animal    | Mollusca                   | -272300000    | -2.599e+08   | Anomphalus
Anteridocus                              | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
Anthraconauta                            | Animal    | Mollusca                   | -272300000    | -2.599e+08   | <>
Anthraconeilo                            | Animal    | Mollusca                   | -298900000    | -252170000   | <>
Anthracoporella                          | Plant     | Chlorophyta                | -272300000    | -268800000   | <>
Anthracosycon                            | Animal    | Porifera                   | -272300000    | -268800000   | <>
Antiquatonia                             | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
Antronaria                               | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
Anuites                                  | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Apachella                                | Animal    | Mollusca                   | -272300000    | -2.599e+08   | <>
Aparchites                               | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Apateon                                  | Animal    | Chordata                   | -298900000    | -252170000   | Apateon
Aperispirifer                            | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
Aphanaia                                 | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -272500000    | -252300000   | <>
Apographiocrinus                         | Animal    | Echinodermata              | -272300000    | -268800000   | <>
Apsisaurus                               | Animal    | Chordata                   | -296400000    | -268000000   | Apsisaurus
Apterrinella                             | Micro     | Foraminifera               | -296400000    | -268000000   | <>
Araeonema                                | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Araucarites                              | Plant     | Pinophyta                  | -298900000    | -201300000   | <>
Araxathyris                              | Animal    | Brachiopoda                | -272300000    | -2.599e+08   | <>
Araxopora                                | Animal    | Bryozoa                    | -272300000    | -2.599e+08   | <>
Arceodomus                               | Animal    | Mollusca                   | -296400000    | -268000000   | <>
Archaeocidaris                           | Animal    | Echinodermata              | -272300000    | -268800000   | Archaeocidaris
Archaeolithophyllum                      | Plant     | Rhodophyta                 | -296400000    | -268000000   | Archaeolithophyllum
Archboldiella                            | Animal    | Brachiopoda                | -272300000    | -254170000   | <>
Archeria                                 | Animal    | Chordata                   | -290100000    | -268000000   | Archeria
Archescytina                             | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Archicupes                               | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Archidelia                               | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Archimedes                               | Animal    | Bryozoa                    | -272300000    | -268800000   | Archimedes
Archiprobnis                             | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Archisialis                              | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Archoglossopterum                        | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Arcochiton                               | Animal    | Mollusca                   | -296400000    | -268000000   | <>
Arcticalosia                             | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
Arctitreta                               | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
Arctochonetes                            | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
Arctocoleus                              | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Arctotypus                               | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Arcullina                                | Animal    | Brachiopoda                | -272300000    | -2.651e+08   | <>
Arduorhiza                               | Animal    | Porifera                   | -272300000    | -268800000   | <>
Aricoceras                               | Animal    | Mollusca                   | -272300000    | -2.651e+08   | Aricoceras
Ariekanerpeton                           | Animal    | Chordata                   | -298900000    | -254000000   | Ariekanerpeton
Arionthia                                | Animal    | Brachiopoda                | -272300000    | -2.599e+08   | <>
Arkhangeloptera                          | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Armenina                                 | Micro     | Foraminifera               | -272300000    | -268800000   | <>
Arribazona                               | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Arthrolycosa                             | Animal    | Arthropoda                 | -272300000    | -268800000   | Arthrolycosa
Artinska                                 | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Artinskia                                | Animal    | Mollusca                   | -272300000    | -2.651e+08   | <>
Ascopora                                 | Animal    | Bryozoa                    | -272300000    | -268800000   | <>
Asiachorista                             | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Asiocoleus                               | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Asketochiton                             | Animal    | Mollusca                   | -298900000    | -252170000   | <>
Aspidohymen                              | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Aspidosaurus                             | Animal    | Chordata                   | -279500000    | -268000000   | Aspidosaurus
Aspidothorax                             | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Asserculinia                             | Animal    | Cnidaria                   | -272300000    | -268800000   | <>
Astartella                               | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Astartila                                | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Astegosia                                | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
Asterophyllites                          | Plant     | Sphenophyta                | -272300000    | -2.651e+08   | <>
Asterotheca                              | Plant     | Pteridophyta               | -272300000    | -2.599e+08   | Asterotheca
Atactophlebia                            | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Athyris                                  | Animal    | Brachiopoda                | -272300000    | -2.651e+08   | Athyris
Atomodesma                               | Animal    | Mollusca                   | -272300000    | -254170000   | <>
Atractyliopsis                           | Plant     | Chlorophyta                | -272300000    | -268800000   | <>
Attenuatella                             | Animal    | Brachiopoda                | -272300000    | -2.651e+08   | <>
Aulametacoceras                          | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Aulohelia                                | Animal    | Cnidaria                   | -272300000    | -2.651e+08   | <>
Aulophyllum                              | Animal    | Cnidaria                   | -296400000    | -268000000   | <>
Aulopora                                 | Animal    | Cnidaria                   | -272300000    | -2.599e+08   | Aulopora
Aulosteges                               | Animal    | Brachiopoda                | -272300000    | -2.651e+08   | <>
Autunia                                  | Plant     | Peltaspermophyta           | -315200000    | -254000000   | <>
Aviculopecten                            | Animal    | Mollusca                   | -272300000    | -2.599e+08   | Aviculopecten
Aviculopinna                             | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Avonia                                   | Animal    | Brachiopoda                | -272300000    | -2.651e+08   | Avonia
Babylonites                              | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Bactrites                                | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Baculatisporites                         | Plant     | Pteridophyta               | -272500000    | -252300000   | <>
Bageherpeton                             | Animal    | Chordata                   | -272300000    | -2.599e+08   | Bageherpeton
Baiera                                   | Plant     | Ginkgophyta                | -279300000    | -2.651e+08   | Baiera
Baieroxylon                              | Plant     | Ginkgophyta                | -272300000    | -268800000   | Baieroxylon
Bairdia                                  | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Bairdiacypris                            | Animal    | Arthropoda                 | -279300000    | -268800000   | <>
Baisalina                                | Micro     | Foraminifera               | -272300000    | -268800000   | <>
Bajtugania                               | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
Bakevellia                               | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Bamberina                                | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
Bamyaniceras                             | Animal    | Mollusca                   | -272300000    | -2.651e+08   | <>
Bansheepteron                            | Animal    | Arthropoda                 | -290100000    | -2.651e+08   | <>
Barbclabornia                            | Animal    | Chordata                   | -298900000    | -252170000   | Barbclabornia
Bardella                                 | Plant     | Coniferophyta              | -298900000    | -252170000   | Bardella
Bardocarpus                              | Plant     | Peltaspermophyta           | -272300000    | -2.599e+08   | <>
Baschkirina                              | Animal    | Arthropoda                 | -279300000    | -268800000   | <>
Bashkyroleter                            | Animal    | Chordata                   | -272500000    | -265000000   | Bashkyroleter
Basslerella                              | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Batacanthus                              | Animal    | Chordata                   | -272300000    | -268800000   | <>
Bathymyonia                              | Animal    | Brachiopoda                | -272300000    | -2.599e+08   | <>
Batostomella                             | Animal    | Bryozoa                    | -298900000    | -252170000   | <>
Batrachichnus                            | Animal    | Chordata                   | -290100000    | -2.599e+08   | <>
Bayhaium                                 | Animal    | Cnidaria                   | -296400000    | -268000000   | <>
Baylea                                   | Animal    | Mollusca                   | -272300000    | -2.651e+08   | <>
Beecheria                                | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
Belebeus                                 | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Belebey                                  | Animal    | Chordata                   | -272300000    | -268800000   | Belebey
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites
Bellerophon                              | Animal    | Mollusca                   | -272300000    | -254170000   | Bellerophon
Betaneospirifer                          | Animal    | Brachiopoda                | -272300000    | -2.651e+08   | <>
Biarmeaspira                             | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Biarmica                                 | Animal    | Chordata                   | -279500000    | -268000000   | <>
Biarmiceras                              | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Biarmosuchus                             | Animal    | Chordata                   | -279500000    | -268000000   | Biarmosuchus
Bibatiola                                | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
Bicarinella                              | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Bicoelia                                 | Animal    | Porifera                   | -272300000    | -268800000   | <>
Bilotina                                 | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
Biseridens                               | Animal    | Chordata                   | -272300000    | -268800000   | Biseridens
Bitaunioceras                            | Animal    | Mollusca                   | -272300000    | -268800000   | Bitaunioceras
Biwaella                                 | Micro     | Foraminifera               | -298900000    | -2.599e+08   | <>
Blasispirifer                            | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
Blattokhosara                            | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Bolosaurus                               | Animal    | Chordata                   | -290100000    | -268000000   | Bolosaurus
Boreopsocus                              | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Boreoscyta                               | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Borestus                                 | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Borisrohdendorfia                        | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Bothrionia                               | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
Bothrophyllum                            | Animal    | Cnidaria                   | -298900000    | -252170000   | <>
Bothrostegium                            | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
Boultonia                                | Micro     | Foraminifera               | -272300000    | -268800000   | <>
