Agathistoma                              | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Agathotoma                               | Animal    | Mollusca                   | -5333000      | -2588000     | Agathotoma
Agatrix                                  | Animal    | Mollusca                   | -3600000      | -2588000     | Agatrix
Agelaius                                 | Animal    | Chordata                   | -4900000      | -1800000     | Agelaius
Agkistrodon                              | Animal    | Chordata                   | -4900000      | -1800000     | Agkistrodon
Agladrillia                              | Animal    | Mollusca                   | -3600000      | -2588000     | Agladrillia
Agriocharis                              | Animal    | Chordata                   | -23030000     | -2588000     | Agriocharis
Agriopoma                                | Animal    | Mollusca                   | -3600000      | -2588000     | Agriopoma
Agriotherium                             | Animal    | Chordata                   | -3600000      | -2588000     | Agriotherium
Ailuropoda                               | Animal    | Chordata                   | -3600000      | -2588000     | Ailuropoda
Aimulosia                                | Animal    | Bryozoa                    | -3600000      | -2588000     | <>
Aivukus                                  | Animal    | Chordata                   | -11608000     | -2588000     | Aivukus
Akleistostoma                            | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Akodon                                   | Animal    | Chordata                   | -3600000      | -2588000     | Akodon
Alaba                                    | Animal    | Mollusca                   | -3600000      | -2588000     | Alaba
Alabina                                  | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Alangium                                 | Plant     | Spermatophyta              | -66000000     | -2588000     | Alangium
Albanerpeton                             | Animal    | Chordata                   | -3200000      | -2588000     | Albanerpeton
Albireo                                  | Animal    | Chordata                   | -3600000      | -2588000     | <>
Albula                                   | Animal    | Chordata                   | -5333000      | -2588000     | Albula_(fish)
Alca                                     | Animal    | Chordata                   | -3600000      | -2588000     | Razorbill
Alcelaphus                               | Animal    | Chordata                   | -3600000      | -2588000     | Alcelaphus
Alces                                    | Animal    | Chordata                   | -15970000     | -781000      | Alces
Aldiomedes                               | Animal    | Chordata                   | -3600000      | -3000000     | <>
Aldrichetta                              | Animal    | Chordata                   | -5333000      | -2400000     | Aldrichetta
Alectryonella                            | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Aleurochiton                             | Animal    | Arthropoda                 | -3600000      | -2588000     | <>
Aliculastrum                             | Animal    | Mollusca                   | -3600000      | -2588000     | Aliculastrum
Aligena                                  | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Alilepus                                 | Animal    | Chordata                   | -4200000      | -3200000     | <>
Alisma                                   | Plant     | Angiospermae               | -3600000      | -2588000     | Alisma
Allactaga                                | Animal    | Chordata                   | -3600000      | -2588000     | Allactaga
