Araucariacites                           | Plant     | Pinophyta                  | -174100000    | -93500000    | <>
Araucaria                                | Plant     | Pinophyta                  | -174100000    | -145000000   | Araucaria
Araucarioxylon                           | Plant     | Pinophyta                  | -174100000    | -163500000   | Araucarioxylon
Araucarites                              | Plant     | Pinophyta                  | -171600000    | -168400000   | <>
Arcanicapsa                              | Micro     | Radiolaria                 | -171600000    | -167700000   | <>
Arcelinithyris                           | Animal    | Brachiopoda                | -171600000    | -167700000   | <>
Archaeocarabus                           | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Archaeocenosphaera                       | Micro     | Radiolaria                 | -171600000    | -167700000   | <>
Archaeodictyomitra                       | Micro     | Radiolaria                 | -171600000    | -161200000   | <>
Archaeohagiastrum                        | Micro     | Radiolaria                 | -171600000    | -167700000   | <>
Archaeospongoprunum                      | Micro     | Radiolaria                 | -171600000    | -167700000   | <>
Archicapsa                               | Micro     | Radiolaria                 | -171600000    | -164700000   | <>
Arcomya                                  | Animal    | Mollusca                   | -174100000    | -163500000   | <>
Arcomytilus                              | Animal    | Mollusca                   | -171600000    | -167700000   | <>
Arctica                                  | Animal    | Mollusca                   | -201300000    | -145000000   | Arctica_(bivalve)
Arctobaiera                              | Plant     | Ginkgophyta                | -171600000    | -168300000   | <>
Arctotis                                 | Animal    | Mollusca                   | -175600000    | -171600000   | Arctotis
Ares                                     | Micro     | Radiolaria                 | -171600000    | -167700000   | Ares
Argoviaster                              | Animal    | Echinodermata              | -171600000    | -167700000   | <>
Artematopodites                          | Animal    | Arthropoda                 | -174100000    | -168300000   | <>
Artocarpidium                            | Plant     | Spermatophyta              | -174100000    | -163500000   | <>
Artostrobium                             | Micro     | Radiolaria                 | -175600000    | -171600000   | <>
Asfaltovenator                           | Animal    | Chordata                   | -180100000    | -168400000   | Asfaltovenator
Aspidistes                               | Plant     | Pteridophyta               | -174100000    | -163500000   | <>
Astacolus                                | Micro     | Foraminifera               | -171600000    | -167700000   | <>
Astarte                                  | Animal    | Mollusca                   | -171600000    | -167700000   | Astarte
Asteracanthus                            | Animal    | Chordata                   | -171600000    | -167700000   | Asteracanthus
Asterocidaris                            | Animal    | Echinodermata              | -171600000    | -167700000   | Asterocidaris
Asthenoceras                             | Animal    | Mollusca                   | -171600000    | -167700000   | Asthenoceras
Astraraea                                | Animal    | Cnidaria                   | -171600000    | -168400000   | <>
Astrocoenia                              | Animal    | Cnidaria                   | -201300000    | -163500000   | <>
Ataphrus                                 | Animal    | Mollusca                   | -171600000    | -167700000   | <>
Atelophyllia                             | Animal    | Cnidaria                   | -171600000    | -168400000   | <>
Atreta                                   | Animal    | Mollusca                   | -174100000    | -163500000   | <>
Aucklandirhynchia                        | Animal    | Brachiopoda                | -174100000    | -170300000   | <>
Aulacopygus                              | Animal    | Echinodermata              | -171600000    | -168400000   | <>
Aulacothyris                             | Animal    | Brachiopoda                | -171600000    | -167700000   | <>
Aulavescus                               | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Austrohamia                              | Plant     | Pinophyta                  | -182700000    | -170300000   | <>
Avicula                                  | Animal    | Mollusca                   | -174100000    | -170300000   | <>
Axosmilia                                | Animal    | Cnidaria                   | -171600000    | -164700000   | <>
Baiera                                   | Plant     | Ginkgophyta                | -171600000    | -166100000   | Baiera
Bakevellia                               | Animal    | Mollusca                   | -171600000    | -168400000   | <>
Bakonyia                                 | Animal    | Mollusca                   | -171600000    | -167700000   | <>
Baleyopteryx                             | Animal    | Arthropoda                 | -182700000    | -170300000   | <>
Balmeisporites                           | Plant     | Pinophyta                  | -174100000    | -93500000    | <>
Bandellina                               | Animal    | Mollusca                   | -171600000    | -164700000   | <>
Barbatia                                 | Animal    | Mollusca                   | -171600000    | -167700000   | Barbatia
Barbuta                                  | Micro     | Radiolaria                 | -171600000    | -167700000   | Barbuta
Basinotopus                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Bathrotomaria                            | Animal    | Mollusca                   | -171600000    | -155700000   | <>
Bathysiphon                              | Micro     | Foraminifera               | -171600000    | -167700000   | <>
Batrachopus                              | Animal    | Chordata                   | -201300000    | -145000000   | Batrachopus
Beania Beaniaceae                        | Plant     | Cycadophyta                | -174100000    | -168300000   | Beania
Belemnites                               | Animal    | Mollusca                   | -174100000    | -145000000   | Belemnites
Belemnobatis                             | Animal    | Chordata                   | -174100000    | -170300000   | Belemnobatis
Belemnopsis                              | Animal    | Mollusca                   | -174100000    | -170300000   | Belemnopsis
Belmonticeras                            | Animal    | Mollusca                   | -171600000    | -167700000   | <>
Berenicea                                | Animal    | Bryozoa                    | -174100000    | -163500000   | <>
Bernoullius                              | Micro     | Radiolaria                 | -171600000    | -161200000   | <>
Bharatagama                              | Animal    | Chordata                   | -182700000    | -170300000   | Bharatagama
Biarmatoidella                           | Animal    | Mollusca                   | -171600000    | -167700000   | <>
Bigotites                                | Animal    | Mollusca                   | -171600000    | -167700000   | Bigotites
Bilsdalea                                | Plant     | Coniferophyta              | -171600000    | -166100000   | <>
Bipedis                                  | Micro     | Radiolaria                 | -182700000    | -170300000   | <>
Biretisporites                           | Plant     | Pteridophyta               | -174100000    | -93500000    | <>
Bishanopliosaurus                        | Animal    | Chordata                   | -174100000    | -163500000   | Bishanopliosaurus
Bistarkum                                | Micro     | Radiolaria                 | -171600000    | -167700000   | <>
Blattula                                 | Animal    | Arthropoda                 | -182700000    | -170300000   | <>
Boeckhia                                 | Animal    | Mollusca                   | -171600000    | -167700000   | Boeckhia
Bositra                                  | Animal    | Mollusca                   | -171600000    | -167700000   | <>
Bosniella                                | Micro     | Foraminifera               | -174100000    | -168400000   | <>
Botryococcus                             | Plant     | Chlorophyta                | -171600000    | -168400000   | Botryococcus
