Agaronia                                 | Animal    | Mollusca                   | -41300000     | -38000000    | Agaronia
Agassizia                                | Animal    | Echinodermata              | -41300000     | -38000000    | Agassizia
Agatha                                   | Animal    | Mollusca                   | -48600000     | -37200000    | Agatha
Agathis                                  | Plant     | Pinophyta                  | -100500000    | -33900000    | Agathis
Agathistoma                              | Animal    | Mollusca                   | -41300000     | -38000000    | <>
Agerinia                                 | Animal    | Chordata                   | -48600000     | -40400000    | Agerinia
Agonis                                   | Plant     | Spermatophyta              | -48600000     | -23030000    | Agonis
Agrenocythere                            | Animal    | Arthropoda                 | -41300000     | -38000000    | <>
Agriochoerus                             | Animal    | Chordata                   | -40400000     | -37200000    | Agriochoerus
Agrypnus                                 | Animal    | Arthropoda                 | -48600000     | -40400000    | Agrypnus
Aguafriamys                              | Animal    | Chordata                   | -40400000     | -37200000    | <>
Aguayoaster                              | Animal    | Echinodermata              | -41300000     | -33900000    | <>
Ailanthipites                            | Plant     | Spermatophyta              | -100500000    | -23030000    | <>
Ailanthus                                | Plant     | Spermatophyta              | -46200000     | -40400000    | Ailanthus
Ailuravus                                | Animal    | Chordata                   | -41300000     | -38000000    | Ailuravus
Akania                                   | Plant     | Spermatophyta              | -58700000     | -37200000    | Akania
Akera                                    | Animal    | Mollusca                   | -41300000     | -38000000    | Akera
Aksyiromys                               | Animal    | Chordata                   | -48600000     | -37200000    | <>
Aktaua                                   | Animal    | Chordata                   | -48600000     | -37200000    | Aktaua
Aktautitan                               | Animal    | Chordata                   | -48600000     | -37200000    | <>
Alabamina                                | Micro     | Foraminifera               | -48600000     | -37200000    | <>
Alaba                                    | Animal    | Mollusca                   | -41300000     | -38000000    | Alaba
Alangium                                 | Plant     | Spermatophyta              | -48600000     | -37200000    | Alangium
Albertipollenites                        | Plant     | Spermatophyta              | -100500000    | -23030000    | <>
Albertogaudrya                           | Animal    | Chordata                   | -41300000     | -38000000    | Albertogaudrya
Albula                                   | Animal    | Chordata                   | -41300000     | -38000000    | Albula
Alcespina                                | Animal    | Arthropoda                 | -48600000     | -37200000    | <>
Alderina                                 | Animal    | Bryozoa                    | -41300000     | -38000000    | <>
Aldingia                                 | Animal    | Brachiopoda                | -41300000     | -38000000    | <>
Aletornis                                | Animal    | Chordata                   | -48600000     | -37200000    | <>
Aleurites                                | Plant     | Spermatophyta              | -46200000     | -40400000    | Aleurites
Aliculastrum                             | Animal    | Mollusca                   | -41300000     | -38000000    | Aliculastrum
Aliquantula                              | Animal    | Brachiopoda                | -41300000     | -38000000    | <>
Alisma                                   | Plant     | Angiospermae               | -66000000     | -5333000     | Alisma
Allaeochelys                             | Animal    | Chordata                   | -41300000     | -38000000    | Allaeochelys
Allalmeia                                | Animal    | Chordata                   | -42000000     | -36000000    | Allalmeia
Alligator                                | Animal    | Chordata                   | -40400000     | -37200000    | Alligator
Allognathosuchus                         | Animal    | Chordata                   | -46200000     | -40400000    | Allognathosuchus
Allomorone                               | Animal    | Chordata                   | -41300000     | -38000000    | Allomorone
Allopleuron                              | Animal    | Chordata                   | -41300000     | -38000000    | Allopleuron
Allopterodon                             | Animal    | Chordata                   | -41300000     | -38000000    | <>
Allosminthus                             | Animal    | Chordata                   | -48600000     | -37200000    | <>
Alnus                                    | Plant     | Spermatophyta              | -46200000     | -40400000    | Alnus
Alocopocythere                           | Animal    | Arthropoda                 | -47800000     | -38000000    | <>
Alopias                                  | Animal    | Chordata                   | -41300000     | -38000000    | Alopias
Alosa                                    | Animal    | Chordata                   | -48600000     | -33900000    | Alosa
Alpheus                                  | Animal    | Arthropoda                 | -66000000     | -23030000    | Alpheus
Altrix                                   | Animal    | Mollusca                   | -41300000     | -38000000    | Altrix
Alvania                                  | Animal    | Mollusca                   | -41300000     | -38000000    | Alvania
Alveinus                                 | Animal    | Mollusca                   | -41300000     | -38000000    | <>
Alveojunctus                             | Animal    | Chordata                   | -46200000     | -40400000    | <>
Alveolina                                | Micro     | Foraminifera               | -41300000     | -38000000    | Alveolina
Alveopora                                | Animal    | Cnidaria                   | -41300000     | -33900000    | Alveopora
Amaea                                    | Animal    | Mollusca                   | -41300000     | -38000000    | <>
Amalaberga                               | Animal    | Arthropoda                 | -48600000     | -40400000    | Amalaberga
Amamriabatis                             | Animal    | Chordata                   | -41300000     | -38000000    | Amamriabatis
Amamria                                  | Animal    | Chordata                   | -41300000     | -38000000    | <>
Amaurellina                              | Animal    | Mollusca                   | -41300000     | -38000000    | <>
Amauropsina                              | Animal    | Mollusca                   | -41300000     | -38000000    | <>
Amauropsis                               | Animal    | Mollusca                   | -41300000     | -38000000    | Amauropsis
Ambassis                                 | Animal    | Chordata                   | -43000000     | -37200000    | Ambassis
Ambipleurus                              | Animal    | Echinodermata              | -41300000     | -38000000    | <>
Amblygoniolepidus                        | Animal    | Chordata                   | -48600000     | -33900000    | <>
Amblypygus                               | Animal    | Echinodermata              | -48600000     | -37200000    | <>
Ameghinomya                              | Animal    | Mollusca                   | -56000000     | -5333000     | <>
Ameghinornis                             | Animal    | Chordata                   | -56000000     | -15970000    | Ameghinornis
Amekicarcinus                            | Animal    | Arthropoda                 | -47800000     | -38000000    | <>
Amekicythara                             | Animal    | Mollusca                   | -56000000     | -33900000    | <>
Ameranella                               | Animal    | Mollusca                   | -41300000     | -38000000    | <>
Americardia                              | Animal    | Mollusca                   | -41300000     | -38000000    | Americardia
Amia                                     | Animal    | Chordata                   | -40400000     | -37200000    | Amia
Amiantis                                 | Animal    | Mollusca                   | -48600000     | -37200000    | <>
Amilnedwardsia                           | Animal    | Chordata                   | -47800000     | -38000000    | <>
Ammobaculites                            | Micro     | Foraminifera               | -41300000     | -38000000    | <>
Ammodiscus                               | Micro     | Foraminifera               | -55800000     | -37200000    | Ammodiscus
