Andinodesma                              | Animal    | Mollusca                   | -407600000    | -393300000   | <>
Anetoceras                               | Animal    | Mollusca                   | -402500000    | -391900000   | <>
Anomalotoechus                           | Animal    | Bryozoa                    | -407600000    | -387700000   | <>
Anoplia                                  | Animal    | Brachiopoda                | -407600000    | -387700000   | <>
Anopliella                               | Animal    | Brachiopoda                | -407600000    | -393300000   | <>
Anoplotheca                              | Animal    | Brachiopoda                | -402500000    | -391900000   | <>
Anostylostroma                           | Animal    | Porifera                   | -402500000    | -391900000   | <>
Antactinodion                            | Animal    | Mollusca                   | -407600000    | -393300000   | <>
Antarctilamna                            | Animal    | Chordata                   | -419200000    | -393300000   | Antarctilamna
Antelocoelia                             | Animal    | Brachiopoda                | -407600000    | -393300000   | <>
Anthracoporella                          | Plant     | Chlorophyta                | -410800000    | -393300000   | <>
Antigyra                                 | Animal    | Mollusca                   | -409100000    | -402500000   | <>
Antihomocrinus                           | Animal    | Echinodermata              | -409100000    | -402500000   | <>
Antineosteus                             | Animal    | Chordata                   | -402500000    | -391900000   | <>
Antipleura                               | Animal    | Mollusca                   | -423000000    | -391900000   | <>
Antirhynchonella                         | Animal    | Brachiopoda                | -410800000    | -402500000   | <>
Aorocrinus                               | Animal    | Echinodermata              | -419200000    | -358900000   | <>
Aparchitellina                           | Animal    | Arthropoda                 | -409100000    | -402500000   | <>
Aparchites                               | Animal    | Arthropoda                 | -410800000    | -402500000   | <>
Aphyctoceras                             | Animal    | Mollusca                   | -410800000    | -383700000   | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -407600000    | -393300000   | <>
Apurocrinus                              | Animal    | Echinodermata              | -407600000    | -393300000   | <>
Archaelagena                             | Micro     | Foraminifera               | -407600000    | -393300000   | <>
Archaeomartus                            | Animal    | Arthropoda                 | -409100000    | -402500000   | <>
Archaeometa                              | Animal    | Arthropoda                 | -409100000    | -402500000   | <>
Archaesphaera                            | Micro     | Foraminifera               | -402500000    | -391900000   | <>
Archanarcestes                           | Animal    | Mollusca                   | -402500000    | -387700000   | <>
Archasterina                             | Animal    | Echinodermata              | -409100000    | -402500000   | <>
Archiacoceras                            | Animal    | Mollusca                   | -409100000    | -402500000   | <>
Arctipeltis                              | Animal    | Arthropoda                 | -402500000    | -387700000   | <>
Arctozone                                | Animal    | Mollusca                   | -409100000    | -402500000   | <>
Arduspirifer                             | Animal    | Brachiopoda                | -402500000    | -391900000   | <>
Areostrophia                             | Animal    | Brachiopoda                | -402500000    | -391900000   | <>
Argentinaster                            | Animal    | Echinodermata              | -419200000    | -393300000   | <>
Arionoceras                              | Animal    | Mollusca                   | -423000000    | -391900000   | Arionoceras
Arkonoceras                              | Animal    | Mollusca                   | -410800000    | -383700000   | <>
Arthracantha                             | Animal    | Echinodermata              | -419200000    | -358900000   | <>
Arthroacantha                            | Animal    | Echinodermata              | -407600000    | -393300000   | <>
Arthrophyllum                            | Animal    | Mollusca                   | -409100000    | -388100000   | Arthrophyllum
Asarcophyllum                            | Animal    | Cnidaria                   | -409100000    | -402500000   | <>
Ascodictyon                              | Animal    | Bryozoa                    | -407600000    | -393300000   | <>
Aseptirhynchia                           | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Aseptonetes                              | Animal    | Brachiopoda                | -407600000    | -387700000   | <>
Asinomphalus                             | Animal    | Mollusca                   | -407600000    | -393300000   | <>
Asteracanthus                            | Animal    | Chordata                   | -419200000    | -358900000   | Asteracanthus
Asteropyge                               | Animal    | Arthropoda                 | -402500000    | -391900000   | Asteropyge
Astoceras                                | Animal    | Mollusca                   | -410800000    | -383700000   | <>
Astrictophyllum                          | Animal    | Cnidaria                   | -410800000    | -402500000   | <>
Asturiaspongia                           | Animal    | Porifera                   | -407600000    | -393300000   | <>
Astutorhyncha                            | Animal    | Brachiopoda                | -407600000    | -393300000   | <>
Astycoryphe                              | Animal    | Arthropoda                 | -402500000    | -387700000   | <>
Atactotoechus                            | Animal    | Bryozoa                    | -407600000    | -393300000   | <>
Atelodictyon                             | Animal    | Porifera                   | -402500000    | -391900000   | <>
Athyrhynchus                             | Animal    | Brachiopoda                | -402500000    | -391900000   | <>
Athyris                                  | Animal    | Brachiopoda                | -402500000    | -387700000   | Athyris
Athyrisina                               | Animal    | Brachiopoda                | -402500000    | -391900000   | <>
Atlanticocoelia                          | Animal    | Brachiopoda                | -419200000    | -358900000   | <>
Atopocystis                              | Animal    | Cnidaria                   | -402500000    | -391900000   | <>
Atopostroma                              | Animal    | Porifera                   | -402500000    | -391900000   | <>
Atrypa                                   | Animal    | Brachiopoda                | -402500000    | -391900000   | Atrypa
Atryparia                                | Animal    | Brachiopoda                | -402500000    | -391900000   | <>
Atrypinella                              | Animal    | Brachiopoda                | -407600000    | -393300000   | <>
Aulacella                                | Animal    | Brachiopoda                | -402500000    | -391900000   | <>
Aulacolatiaster                          | Animal    | Echinodermata              | -407600000    | -393300000   | <>
Aulacophyllum                            | Animal    | Cnidaria                   | -402500000    | -387700000   | Aulacophyllum
Aulacopleura                             | Animal    | Arthropoda                 | -402500000    | -387700000   | Aulacopleura
Aulacostrepsis                           | Animal    | Mollusca                   | -402500000    | -391900000   | <>
Aulocystis                               | Animal    | Cnidaria                   | -402500000    | -391900000   | <>
Aulopora                                 | Animal    | Cnidaria                   | -402500000    | -391900000   | Aulopora
Aureocrinus                              | Animal    | Echinodermata              | -402500000    | -391900000   | <>
Austerops                                | Animal    | Arthropoda                 | -407600000    | -387700000   | <>
Australina                               | Animal    | Brachiopoda                | -423000000    | -391900000   | <>
Australocoelia                           | Animal    | Brachiopoda                | -402500000    | -391900000   | <>
