Agapteron                                | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Agathelia                                | Animal    | Cnidaria                   | -99600000     | -93500000    | <>
Agathiphagama                            | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Agathis                                  | Plant     | Pinophyta                  | -100500000    | -33900000    | Agathis
Agathoxylon                              | Plant     | Pinophyta                  | -99600000     | -93500000    | Agathoxylon
Agelasina                                | Animal    | Mollusca                   | -93500000     | -89300000    | <>
Agoultichthys                            | Animal    | Chordata                   | -99600000     | -93500000    | <>
Agraylea                                 | Animal    | Arthropoda                 | -93900000     | -89800000    | Agraylea
Agriopleura                              | Animal    | Mollusca                   | -99600000     | -93500000    | <>
Ahmuellerella                            | Plant     | Haptophyta                 | -93500000     | -89300000    | <>
Aidachar                                 | Animal    | Chordata                   | -93500000     | -89300000    | Aidachar
Aigialosaurus                            | Animal    | Chordata                   | -99600000     | -93500000    | Aigialosaurus
Ailanthipites                            | Plant     | Spermatophyta              | -100500000    | -23030000    | <>
Aipichthyoides                           | Animal    | Chordata                   | -99600000     | -93500000    | Aipichthyoides
Aipichthys                               | Animal    | Chordata                   | -99600000     | -93500000    | Aipichthys
Akera                                    | Animal    | Mollusca                   | -93500000     | -89300000    | Akera
Alabamina                                | Micro     | Foraminifera               | -100500000    | -66000000    | <>
Alacrena                                 | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Alamirifica                              | Animal    | Mollusca                   | -93900000     | -89800000    | <>
Alanqa                                   | Animal    | Chordata                   | -99600000     | -93500000    | Alanqa
Alarimella                               | Animal    | Mollusca                   | -93500000     | -89300000    | <>
Alaticolpites                            | Plant     | Cycadophyta                | -99600000     | -93500000    | <>
Alautunmyia                              | Animal    | Arthropoda                 | -93900000     | -89800000    | <>
Alavamanota                              | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Alavesia                                 | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Albanerpeton                             | Animal    | Chordata                   | -100500000    | -89800000    | Albanerpeton
Albertipollenites                        | Plant     | Spermatophyta              | -100500000    | -23030000    | <>
Albiburmops                              | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Albicoccus                               | Animal    | Arthropoda                 | -99600000     | -93500000    | Albicoccus
Albula                                   | Animal    | Chordata                   | -93500000     | -89300000    | Albula_(fish)
Alectrosaurus                            | Animal    | Chordata                   | -100500000    | -83600000    | Alectrosaurus
Aleurodicus                              | Animal    | Arthropoda                 | -99600000     | -93500000    | Aleurodicus
Algericeras                              | Animal    | Mollusca                   | -99600000     | -93500000    | Algericeras
Algerites                                | Animal    | Mollusca                   | -99600000     | -93500000    | Algerites
Algites                                  | Plant     | Phaeophyta                 | -145000000    | -66000000    | <>
Algorachelus                             | Animal    | Chordata                   | -99600000     | -93500000    | <>
Aliendiguetia                            | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
