Anahamulina                              | Animal    | Mollusca                   | -130000000    | -125450000   | Anahamulina
Anatina                                  | Animal    | Mollusca                   | -132900000    | -129400000   | Anatina
Anchisauripus                            | Animal    | Chordata                   | -145000000    | -129400000   | Anchisauripus
Anchispirocyclina                        | Micro     | Foraminifera               | -145000000    | -130000000   | Anchispirocyclina
Ancyloceras                              | Animal    | Mollusca                   | -130000000    | -125450000   | Ancyloceras
Andersenolina                            | Micro     | Foraminifera               | -145000000    | -130000000   | <>
Andrenelia                               | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Andyrossia                               | Animal    | Arthropoda                 | -130000000    | -125450000   | Andyrossia
Anemia                                   | Plant     | Pteridophyta               | -140200000    | -130000000   | Anemia
Anfractus                                | Plant     | Haptophyta                 | -136400000    | -130000000   | <>
Angarosphex                              | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Angioporella                             | Plant     | Chlorophyta                | -130000000    | -122460000   | <>
Anglesites                               | Animal    | Mollusca                   | -130000000    | -125450000   | <>
Angloaeschnidium                         | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Anglogryllus                             | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Anglonautilus                            | Animal    | Mollusca                   | -136400000    | -130000000   | <>
Angulobracchia                           | Micro     | Radiolaria                 | -130000000    | -122460000   | <>
Anisocardia                              | Animal    | Mollusca                   | -145000000    | -100500000   | <>
Anisocardioides                          | Animal    | Mollusca                   | -132900000    | -125000000   | <>
Annieporcellana                          | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Annosocythere                            | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Annuloceras                              | Animal    | Mollusca                   | -130000000    | -125450000   | Annuloceras
Annuntidiogenes                          | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Anomia                                   | Animal    | Mollusca                   | -132900000    | -129400000   | Anomia
Anomoeodus                               | Animal    | Chordata                   | -130000000    | -125450000   | Anomoeodus
Anomoepus                                | Animal    | Chordata                   | -145000000    | -100500000   | Anomoepus
Anomozamites                             | Plant     | Cycadeoideophyta           | -152100000    | -125000000   | <>
Anopaea                                  | Animal    | Mollusca                   | -132900000    | -125000000   | <>
Antemnacrassa                            | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Anteophthalmosuchus                      | Animal    | Chordata                   | -130000000    | -122460000   | Anteophthalmosuchus
Antiptychina                             | Animal    | Brachiopoda                | -132900000    | -129400000   | <>
Antiquanabittacus                        | Animal    | Arthropoda                 | -136400000    | -130000000   | <>
Antulanella                              | Animal    | Brachiopoda                | -130000000    | -125450000   | <>
Aokiichthys                              | Animal    | Chordata                   | -145000000    | -130000000   | Aokiichthys
Apatocythere                             | Animal    | Arthropoda                 | -132900000    | -129400000   | <>
Aphanocoris                              | Animal    | Arthropoda                 | -132900000    | -129400000   | <>
Aphanoptyxis                             | Animal    | Mollusca                   | -132900000    | -129400000   | <>
Aphaorus                                 | Animal    | Arthropoda                 | -139800000    | -125000000   | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -132900000    | -125000000   | <>
Apinella                                 | Plant     | Chlorophyta                | -130000000    | -122460000   | <>
Apiocrinites                             | Animal    | Echinodermata              | -130000000    | -125450000   | Apiocrinites
Aplocoma                                 | Animal    | Echinodermata              | -136400000    | -130000000   | <>
Apocladophyllia                          | Animal    | Cnidaria                   | -132900000    | -122460000   | <>
Aporrhais                                | Animal    | Mollusca                   | -132900000    | -129400000   | Aporrhais
Aposphinctus                             | Animal    | Arthropoda                 | -132900000    | -129400000   | <>
Appendicisporites                        | Plant     | Pteridophyta               | -130000000    | -122460000   | <>
Apsataboilus                             | Animal    | Arthropoda                 | -145000000    | -129400000   | <>
Apsendesia                               | Animal    | Bryozoa                    | -130000000    | -125450000   | <>
Apticoccus                               | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Aptychus                                 | Animal    | Mollusca                   | -130000000    | -125450000   | Aptychus
Aquatilavipes                            | Animal    | Chordata                   | -132900000    | -129400000   | <>
Arabicodium                              | Plant     | Chlorophyta                | -130000000    | -113000000   | Arabicodium
Araliaephyllum                           | Plant     | Spermatophyta              | -145000000    | -66000000    | <>
Aralia                                   | Plant     | Spermatophyta              | -145000000    | -100500000   | Aralia
Araripegryllus                           | Animal    | Arthropoda                 | -136400000    | -130000000   | <>
Araucariacites                           | Plant     | Pinophyta                  | -132900000    | -125000000   | <>
Araucaria                                | Plant     | Pinophyta                  | -145000000    | -100500000   | Araucaria
Araucarioxylon                           | Plant     | Pinophyta                  | -145000000    | -66000000    | Araucarioxylon
Araucarites                              | Plant     | Pinophyta                  | -145000000    | -100500000   | <>
Arca                                     | Animal    | Mollusca                   | -130000000    | -125450000   | Arca
