Aethia                                   | Animal    | Chordata                   | -126000       | -11700       | Aethia
Aethomys                                 | Animal    | Chordata                   | -781000       | -126000      | Aethomys
Africanacetus                            | Animal    | Chordata                   | -11608000     | 2030         | Africanacetus
Afrocardium                              | Animal    | Mollusca                   | -126000       | -11700       | <>
Afropavo                                 | Animal    | Chordata                   | -126000       | -11700       | Afropavo
Agabus                                   | Animal    | Arthropoda                 | -126000       | -11700       | Agabus
Agalmaceros                              | Animal    | Chordata                   | -781000       | -12000       | Agalmaceros
Agama                                    | Animal    | Chordata                   | -781000       | -11700       | Agama
Agapornis                                | Animal    | Chordata                   | -5333000      | -11700       | Agapornis
Agaricia                                 | Animal    | Cnidaria                   | -126000       | -11700       | Agaricia
Agaronia                                 | Animal    | Mollusca                   | -126000       | -11700       | Agaronia
Agastachys                               | Plant     | Spermatophyta              | -126000       | -11700       | Agastachys
Agathaeromys                             | Animal    | Chordata                   | -781000       | -126000      | Agathaeromys
Agathidium                               | Animal    | Arthropoda                 | -126000       | -11700       | Agathidium
Agathis                                  | Plant     | Pinophyta                  | -126000       | 2030         | Agathis
Agathistoma                              | Animal    | Mollusca                   | -126000       | -11700       | <>
Agathotoma                               | Animal    | Mollusca                   | -126000       | -11700       | Agathotoma
Agelaius                                 | Animal    | Chordata                   | -126000       | -11700       | Agelaius
Agelastica                               | Animal    | Arthropoda                 | -781000       | -126000      | Agelastica
Agkistrodon                              | Animal    | Chordata                   | -126000       | 2030         | Agkistrodon
Aglaia                                   | Plant     | Spermatophyta              | -2588000      | -11700       | Aglaia
Agoliinus                                | Animal    | Arthropoda                 | -126000       | -11700       | Agoliinus
Agonum                                   | Animal    | Arthropoda                 | -126000       | -11700       | Agonum
Agrilus                                  | Animal    | Arthropoda                 | -126000       | -11700       | Agrilus
Agriocharis                              | Animal    | Chordata                   | -781000       | -126000      | Agriocharis
Agriopoma                                | Animal    | Mollusca                   | -2588000      | -11700       | Agriopoma
Agriotes                                 | Animal    | Arthropoda                 | -126000       | -11700       | Agriotes
Agroeca                                  | Animal    | Arthropoda                 | -126000       | -11700       | Agroeca
Agrypnia                                 | Animal    | Arthropoda                 | -126000       | -11700       | Agrypnia
Ahytherium                               | Animal    | Chordata                   | -781000       | -12000       | Ahytherium
Ailuropoda                               | Animal    | Chordata                   | -126000       | -11700       | Ailuropoda
Aix                                      | Animal    | Chordata                   | -126000       | -11700       | Aix
Akera                                    | Animal    | Mollusca                   | -126000       | -11700       | Akera
Akialoa                                  | Animal    | Chordata                   | -2588000      | -11700       | Akialoa
Akleistostoma                            | Animal    | Mollusca                   | -5333000      | -11700       | <>
Akodon                                   | Animal    | Chordata                   | -126000       | 2030         | Akodon
Alaba                                    | Animal    | Mollusca                   | -126000       | -11700       | Alaba
Alabina                                  | Animal    | Mollusca                   | -126000       | -11700       | Alabina
Alactaga                                 | Animal    | Chordata                   | -781000       | -126000      | <>
Alauda                                   | Animal    | Chordata                   | -126000       | -11700       | Alauda
Alca                                     | Animal    | Chordata                   | -126000       | -11700       | Alca
Alcedo                                   | Animal    | Chordata                   | -126000       | 2030         | Alcedo
Alcelaphus                               | Animal    | Chordata                   | -126000       | 2030         | Alcelaphus
Alces                                    | Animal    | Chordata                   | -126000       | -11700       | Alces
Alcithoe                                 | Animal    | Mollusca                   | -781000       | -126000      | Alcithoe
Aldabrachampsus                          | Animal    | Chordata                   | -126000       | -11700       | Aldabrachampsus
Aldabrachelys                            | Animal    | Chordata                   | -126000       | -11700       | Aldabrachelys
Aldabranas                               | Animal    | Chordata                   | -781000       | -126000      | <>
Alectoris                                | Animal    | Chordata                   | -126000       | 2030         | Alectoris
Alectryonella                            | Animal    | Mollusca                   | -126000       | -11700       | <>
Alectryon                                | Plant     | Spermatophyta              | -781000       | 2030         | Alectryon
Aleochara                                | Animal    | Arthropoda                 | -126000       | -11700       | Aleochara
Alepocephalus                            | Animal    | Chordata                   | -2588000      | -126000      | Alepocephalus
Aleurites                                | Plant     | Spermatophyta              | -2588000      | -11700       | Aleurites
Algarolutra                              | Animal    | Chordata                   | -781000       | -11700       | Algarolutra
Aliculastrum                             | Animal    | Mollusca                   | -126000       | -11700       | Aliculastrum
Aligena                                  | Animal    | Mollusca                   | -126000       | -11700       | <>
Alilepus                                 | Animal    | Chordata                   | -2588000      | -11700       | <>
Alisma                                   | Plant     | Angiospermae               | -126000       | -11700       | Alisma
Alisterus                                | Animal    | Chordata                   | -126000       | -11700       | Alisterus
Allactaga                                | Animal    | Chordata                   | -126000       | -11700       | Allactaga
Alle                                     | Animal    | Chordata                   | -126000       | -11700       | Alle
Alligator                                | Animal    | Chordata                   | -126000       | -11700       | Alligator
Allocasuarina                            | Plant     | Spermatophyta              | -2588000      | -126000      | Allocasuarina
Allocricetus                             | Animal    | Chordata                   | -781000       | -126000      | <>
Allohippus                               | Animal    | Chordata                   | -781000       | -126000      | Allohippus
Allophaiomys                             | Animal    | Chordata                   | -781000       | -126000      | <>
Alniphagus                               | Animal    | Arthropoda                 | -126000       | -11700       | Alniphagus
Alnus                                    | Plant     | Spermatophyta              | -126000       | -11700       | Alnus
Alopecoenas                              | Animal    | Chordata                   | -126000       | 2030         | Alopecoenas
Alopex                                   | Animal    | Chordata                   | -5333000      | -11700       | Alopex
Alopias                                  | Animal    | Chordata                   | -126000       | -11700       | Alopias
Alopochen                                | Animal    | Chordata                   | -126000       | 2030         | Alopochen
Alosa                                    | Animal    | Chordata                   | -126000       | -11700       | Alosa
Alouatta                                 | Animal    | Chordata                   | -126000       | 2030         | Alouatta
Alphitonia                               | Plant     | Spermatophyta              | -126000       | 2030         | Alphitonia
Alsophis                                 | Animal    | Chordata                   | -126000       | -11700       | Alsophis
Altenaeum                                | Animal    | Mollusca                   | -126000       | -11700       | <>
Altica                                   | Animal    | Arthropoda                 | -126000       | -11700       | Altica
Aluterus                                 | Animal    | Chordata                   | -126000       | -11700       | Aluterus
Alvania                                  | Animal    | Mollusca                   | -126000       | -11700       | Alvania
Alveolinella                             | Micro     | Foraminifera               | -126000       | -11700       | Alveolinella
Alveopora                                | Animal    | Cnidaria                   | -126000       | -11700       | Alveopora
Alytes                                   | Animal    | Chordata                   | -126000       | -11700       | Alytes
Amalda                                   | Animal    | Mollusca                   | -126000       | -11700       | Amalda
Amara                                    | Animal    | Arthropoda                 | -126000       | -11700       | Amara
Amaurornis                               | Animal    | Chordata                   | -126000       | 2030         | Amaurornis
Amazona                                  | Animal    | Chordata                   | -126000       | 2030         | Amazona
Amazonina                                | Animal    | Arthropoda                 | -2588000      | -11700       | <>
Amblema                                  | Animal    | Mollusca                   | -126000       | -11700       | Amblema
Amblychilepas                            | Animal    | Mollusca                   | -126000       | -11700       | Amblychilepas
Amblysomus                               | Animal    | Chordata                   | -2588000      | 2030         | Amblysomus
Amblystoma                               | Animal    | Chordata                   | -126000       | -11700       | Amblystoma
Ambostracon                              | Animal    | Arthropoda                 | -781000       | -126000      | <>
Ameghinomya                              | Animal    | Mollusca                   | -126000       | -11700       | <>
Ameiurus                                 | Animal    | Chordata                   | -126000       | -11700       | Ameiurus
Ameiva                                   | Animal    | Chordata                   | -126000       | 2030         | Ameiva
Amelanchier                              | Plant     | Spermatophyta              | -126000       | -11700       | Amelanchier
Americardia                              | Animal    | Mollusca                   | -126000       | -11700       | Americardia
