Agathelia                                | Animal    | Cnidaria                   | -33900000     | -28100000    | <>
Agathiphyllia                            | Animal    | Cnidaria                   | -28400000     | -23030000    | <>
Agathis                                  | Plant     | Pinophyta                  | -28400000     | -15970000    | Agathis
Agatrix                                  | Animal    | Mollusca                   | -33900000     | -28100000    | Agatrix
Ageitonomys                              | Animal    | Chordata                   | -33900000     | -28400000    | Ageitonomys
Agelasa                                  | Animal    | Arthropoda                 | -33900000     | -28400000    | <>
Aglaoreidia                              | Plant     | Angiospermae               | -33900000     | -15970000    | <>
Aglyptorhynchus                          | Animal    | Chordata                   | -33900000     | -23030000    | Aglyptorhynchus
Agnopterus                               | Animal    | Chordata                   | -28400000     | -23030000    | <>
Agnotocastor                             | Animal    | Chordata                   | -28400000     | -23030000    | Agnotocastor
Agonis                                   | Plant     | Spermatophyta              | -48600000     | -23030000    | Agonis
Agorophius                               | Animal    | Chordata                   | -33900000     | -28100000    | Agorophius
Agrilus                                  | Animal    | Arthropoda                 | -28400000     | -23030000    | Agrilus
Agriochoerus                             | Animal    | Chordata                   | -30800000     | -20430000    | Agriochoerus
Agriopoma                                | Animal    | Mollusca                   | -28400000     | -23030000    | Agriopoma
Aguascalientia                           | Animal    | Chordata                   | -30800000     | -20430000    | Aguascalientia
Ailanthipites                            | Plant     | Spermatophyta              | -100500000    | -23030000    | <>
Ailanthus                                | Plant     | Spermatophyta              | -28400000     | -15970000    | Ailanthus
Ainicardita                              | Animal    | Mollusca                   | -33900000     | -28100000    | <>
Aiuruocatermes                           | Animal    | Arthropoda                 | -33900000     | -28100000    | <>
Akera                                    | Animal    | Mollusca                   | -33900000     | -28100000    | Akera
Akhnatenavus                             | Animal    | Chordata                   | -33900000     | -28100000    | <>
Aktiogavialis                            | Animal    | Chordata                   | -33900000     | -28400000    | Aktiogavialis
Alabamina                                | Micro     | Foraminifera               | -28400000     | -23030000    | <>
Alaba                                    | Animal    | Mollusca                   | -33900000     | -28100000    | Alaba
Alabina                                  | Animal    | Mollusca                   | -33900000     | -28100000    | <>
Alangium                                 | Plant     | Spermatophyta              | -28400000     | -15970000    | Alangium
Alashania                                | Animal    | Chordata                   | -28400000     | -23030000    | <>
