Ampyxoides                               | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Amsassia                                 | Animal    | Porifera                   | -457500000    | -449500000   | <>
Amygdalocystites                         | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Anaconularia                             | Animal    | Cnidaria                   | -458400000    | -453000000   | <>
Anaphragma                               | Animal    | Bryozoa                    | -455800000    | -445600000   | <>
Anapliomera                              | Animal    | Arthropoda                 | -460900000    | -449500000   | Anapliomera
Anaspyroceras                            | Animal    | Mollusca                   | -460900000    | -449500000   | <>
Anataphrus                               | Animal    | Arthropoda                 | -457500000    | -452500000   | Anataphrus
Anatiferocystis                          | Animal    | Echinodermata              | -455800000    | -445600000   | <>
Anatifopsis                              | Animal    | Echinodermata              | -455800000    | -445600000   | <>
Anatolepis                               | Animal    | Chordata                   | -460900000    | -449500000   | <>
Anazyga                                  | Animal    | Brachiopoda                | -455800000    | -452000000   | <>
Anchoramena                              | Animal    | Brachiopoda                | -458400000    | -453000000   | <>
Ancistroceras                            | Animal    | Mollusca                   | -457500000    | -452000000   | Ancistroceras
Ancistrorhyncha                          | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Angarella                                | Animal    | Mollusca                   | -466000000    | -449500000   | Angarella
Angelinoceras                            | Animal    | Mollusca                   | -460900000    | -449500000   | Angelinoceras
Angullongia                              | Animal    | Porifera                   | -460900000    | -449500000   | <>
Angusticellularia                        | Plant     | Rhodophyta                 | -458400000    | -453000000   | <>
Anisocyamus                              | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Anisograptus                             | Animal    | Hemichordata               | -485400000    | -443400000   | <>
Anisonotella                             | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Anisopleurella                           | Animal    | Brachiopoda                | -455800000    | -445600000   | <>
Annamitella                              | Animal    | Arthropoda                 | -466000000    | -449500000   | Annamitella
Anolotichia                              | Animal    | Bryozoa                    | -455800000    | -452000000   | <>
Anomalocrinus                            | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Anomalocystites                          | Animal    | Echinodermata              | -458400000    | -455800000   | <>
Anomaloglossa                            | Animal    | Brachiopoda                | -456100000    | -449500000   | <>
Anomalorthis                             | Animal    | Brachiopoda                | -471800000    | -457500000   | <>
Anoptambonites                           | Animal    | Brachiopoda                | -455800000    | -445600000   | <>
Ansella                                  | Animal    | Chordata                   | -458400000    | -443400000   | <>
