Anomia                                   | Animal    | Mollusca                   | -196500000    | -189600000   | Anomia
Anomoepus                                | Animal    | Chordata                   | -199300000    | -182700000   | Anomoepus
Anomozamites                             | Plant     | Cycadeoideophyta           | -199300000    | -190800000   | <>
Anoptychia                               | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Antetonitrus                             | Animal    | Chordata                   | -201300000    | -190800000   | Antetonitrus
Antevsia                                 | Plant     | Peltaspermophyta           | -208500000    | -174100000   | <>
Anthrophyopsis                           | Plant     | Cycadophyta                | -201300000    | -174100000   | <>
Anticheiropus                            | Animal    | Chordata                   | -201300000    | -190800000   | Anticheiropus
Anticonulus                              | Animal    | Mollusca                   | -196500000    | -183000000   | <>
Antiptychina                             | Animal    | Brachiopoda                | -196500000    | -183000000   | <>
Antipus                                  | Animal    | Chordata                   | -201300000    | -190800000   | Antipus
Antiquilima                              | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Antrimpos                                | Animal    | Arthropoda                 | -201300000    | -190800000   | Antrimpos
Aphodiites                               | Animal    | Arthropoda                 | -201300000    | -196500000   | Aphodiites
Aplocoma                                 | Animal    | Echinodermata              | -201300000    | -196500000   | <>
Apodidichnus                             | Animal    | Arthropoda                 | -199300000    | -190800000   | <>
Appenninoceras                           | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Apringia                                 | Animal    | Brachiopoda                | -196500000    | -183000000   | <>
Aptyxiella                               | Animal    | Mollusca                   | -199300000    | -190800000   | <>
Araucariacites                           | Plant     | Pinophyta                  | -196500000    | -189600000   | <>
Araucarioxylon                           | Plant     | Pinophyta                  | -201300000    | -174100000   | Araucarioxylon
Araucarites                              | Plant     | Pinophyta                  | -199300000    | -182700000   | <>
Arberophyllum                            | Plant     | Peltaspermophyta           | -196500000    | -189600000   | <>
Arca                                     | Animal    | Mollusca                   | -201300000    | -174100000   | Arca
Archaboilus                              | Animal    | Arthropoda                 | -201300000    | -190800000   | Archaboilus
Archaeocarabus                           | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Archaeocenosphaera                       | Micro     | Radiolaria                 | -196500000    | -189600000   | <>
Archaeohagiastrum                        | Micro     | Radiolaria                 | -196500000    | -183000000   | <>
Archaeohagla                             | Animal    | Arthropoda                 | -201300000    | -174100000   | <>
Archaeolepis                             | Animal    | Arthropoda                 | -196500000    | -189600000   | Archaeolepis
Archaeopalinurus                         | Animal    | Arthropoda                 | -201300000    | -174100000   | <>
Archaeosmilia                            | Animal    | Cnidaria                   | -199300000    | -190800000   | <>
Archelcana                               | Animal    | Arthropoda                 | -196500000    | -189600000   | <>
Archijassus                              | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Archipleciofungivora                     | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Archipleciomima                          | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Architendipes                            | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Architipula                              | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Arcomya                                  | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Arcomytilus                              | Animal    | Mollusca                   | -201300000    | -196500000   | <>
Arctica                                  | Animal    | Mollusca                   | -201300000    | -145000000   | Arctica_(bivalve)
Arctoasteroceras                         | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Arctomytiloides                          | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Arcusaurus                               | Animal    | Chordata                   | -201300000    | -190800000   | Arcusaurus
Ares                                     | Micro     | Radiolaria                 | -196500000    | -189600000   | Ares
Argoides                                 | Animal    | Chordata                   | -201300000    | -190800000   | Argoides
Arhoussia                                | Animal    | Porifera                   | -196500000    | -189600000   | <>
Arieticeras                              | Animal    | Mollusca                   | -196500000    | -183000000   | Arieticeras
Aristerella                              | Animal    | Mollusca                   | -199300000    | -190800000   | <>
Arnioceras                               | Animal    | Mollusca                   | -196500000    | -183000000   | Arnioceras
Artematopodites                          | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Artinama                                 | Animal    | Arthropoda                 | -199300000    | -190800000   | <>
Arzonella                                | Animal    | Brachiopoda                | -199300000    | -190800000   | Arzonella
Asiocossus                               | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Asiogryllus                              | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Asiopsyllidium                           | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Asiovoliopus                             | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Asoella                                  | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Aspidistes                               | Plant     | Pteridophyta               | -201300000    | -145000000   | <>
Astacolus                                | Micro     | Foraminifera               | -196500000    | -189600000   | <>
Astarte                                  | Animal    | Mollusca                   | -196500000    | -189600000   | Astarte
Asteracanthus                            | Animal    | Chordata                   | -228000000    | -174100000   | Asteracanthus
Asterias                                 | Animal    | Echinodermata              | -201300000    | -196500000   | Asterias
Asteroceras                              | Animal    | Mollusca                   | -196500000    | -183000000   | Asteroceras
Asterohelix                              | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Astrocoenia                              | Animal    | Cnidaria                   | -201300000    | -163500000   | <>
Atacamaia                                | Animal    | Chordata                   | -196500000    | -189600000   | <>
Atalantria                               | Micro     | Radiolaria                 | -196500000    | -189600000   | <>
Ataphrus                                 | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Atractites                               | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Atreta                                   | Animal    | Mollusca                   | -201300000    | -174100000   | <>
Attenborosaurus                          | Animal    | Chordata                   | -196500000    | -189600000   | Attenborosaurus
Audaxlytoceras                           | Animal    | Mollusca                   | -196500000    | -189600000   | Audaxlytoceras
Aulacothyris                             | Animal    | Brachiopoda                | -196500000    | -189600000   | <>
Aulavescus                               | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Auritulinasporites                       | Plant     | Pteridophyta               | -196500000    | -189600000   | <>
Austaulius                               | Animal    | Arthropoda                 | -196500000    | -189600000   | <>
Australochelys                           | Animal    | Chordata                   | -201300000    | -190800000   | Australochelys
Austrohamia                              | Plant     | Pinophyta                  | -201300000    | -163500000   | <>
Avalonnectes                             | Animal    | Chordata                   | -201300000    | -196500000   | Avalonnectes
Avicula                                  | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Aviculopecten                            | Animal    | Mollusca                   | -237000000    | -174100000   | Aviculopecten
Baculatisporites                         | Plant     | Pteridophyta               | -196500000    | -189600000   | <>
Bacutriletes                             | Plant     | Lycophyta                  | -208500000    | -174100000   | <>
Badouxia                                 | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Bagnolites                               | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Bagotum                                  | Micro     | Radiolaria                 | -196500000    | -183000000   | <>
Baiera                                   | Plant     | Ginkgophyta                | -199300000    | -190800000   | Baiera
Baieroxylon                              | Plant     | Ginkgophyta                | -201300000    | -174100000   | Baieroxylon
Bairdia                                  | Animal    | Arthropoda                 | -196500000    | -189600000   | <>
Bairdiacypris                            | Animal    | Arthropoda                 | -196500000    | -189600000   | <>
Bairstowius                              | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Bakevellia                               | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Bakonithyris                             | Animal    | Brachiopoda                | -201300000    | -196500000   | <>
Bakonyceras                              | Animal    | Mollusca                   | -196500000    | -183000000   | <>
Bakonyithyris                            | Animal    | Brachiopoda                | -196500000    | -183000000   | <>
Balanocrinus                             | Animal    | Echinodermata              | -196500000    | -183000000   | <>
Bandelopsis                              | Animal    | Mollusca                   | -201300000    | -196500000   | <>
Bankia                                   | Animal    | Mollusca                   | -199300000    | -190800000   | Bankia
Barapasaurus                             | Animal    | Chordata                   | -199300000    | -182700000   | Barapasaurus
Bartoliniceras                           | Animal    | Mollusca                   | -199300000    | -190800000   | <>
Baseopsis                                | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Basinotopus                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Bathrotomaria                            | Animal    | Mollusca                   | -196500000    | -183000000   | <>
Batrachopodiscus                         | Animal    | Chordata                   | -199300000    | -190800000   | <>
Batrachopus                              | Animal    | Chordata                   | -199300000    | -190800000   | Batrachopus
Bauneia                                  | Animal    | Porifera                   | -201300000    | -190800000   | <>
Beatricea                                | Micro     | Radiolaria                 | -196500000    | -183000000   | <>
Belemnites                               | Animal    | Mollusca                   | -201300000    | -100500000   | Belemnites
Bellingera                               | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Bellingeropsis                           | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Bennetticarpus                           | Plant     | Cycadeoideophyta           | -208500000    | -174100000   | <>
Bennettistemon                           | Plant     | Cycadeoideophyta           | -208500000    | -174100000   | <>
Bennettites                              | Plant     | Cycadophyta                | -199300000    | -190800000   | Bennettites
Berenicea                                | Animal    | Bryozoa                    | -201300000    | -196500000   | <>
Betraccium                               | Micro     | Radiolaria                 | -196500000    | -189600000   | <>
Bienotherium                             | Animal    | Chordata                   | -199300000    | -190800000   | Bienotherium
Bifericeras                              | Animal    | Mollusca                   | -196500000    | -189600000   | Bifericeras
Bilsdalea                                | Plant     | Coniferophyta              | -201300000    | -174100000   | <>
Binoculites                              | Animal    | Echinodermata              | -199300000    | -190800000   | <>
Bintoniella                              | Animal    | Arthropoda                 | -196500000    | -189600000   | <>
Bipedis                                  | Micro     | Radiolaria                 | -196500000    | -183000000   | <>
Bistarkum                                | Micro     | Radiolaria                 | -199300000    | -190800000   | <>
Bisulcus                                 | Animal    | Mollusca                   | -201300000    | -190800000   | <>
Bjuvia                                   | Plant     | Cycadophyta                | -208500000    | -174100000   | <>
Blattogryllus                            | Animal    | Arthropoda                 | -199300000    | -190800000   | <>
Blattula                                 | Animal    | Arthropoda                 | -199300000    | -190800000   | <>
Bositra                                  | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Bothynophora                             | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Botryopera                               | Micro     | Radiolaria                 | -201300000    | -190800000   | <>
Bouhamidoceras                           | Animal    | Mollusca                   | -196500000    | -189600000   | Bouhamidoceras
Bourguetia                               | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Brachychirotherium                       | Animal    | Chordata                   | -201300000    | -190800000   | <>
Brachyphyllum                            | Plant     | Coniferophyta              | -196500000    | -189600000   | Brachyphyllum
Brasilichnium                            | Animal    | Chordata                   | -199300000    | -182700000   | <>
Brevicula                                | Animal    | Arthropoda                 | -196500000    | -189600000   | <>
Bridetherium                             | Animal    | Chordata                   | -201300000    | -190800000   | Bridetherium
Brochocoleus                             | Animal    | Arthropoda                 | -196500000    | -189600000   | Brochocoleus
Broctus                                  | Micro     | Radiolaria                 | -196500000    | -189600000   | <>
Brodiola                                 | Animal    | Arthropoda                 | -208500000    | -196500000   | <>
Brontopodus                              | Animal    | Chordata                   | -201300000    | -174100000   | Brontopodus
Bucklandia                               | Plant     | Cycadophyta                | -201300000    | -174100000   | <>
Bullariscus                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Bullopora                                | Micro     | Foraminifera               | -201300000    | -190800000   | <>
Byrrhydium                               | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Bysmatospermum                           | Plant     | Cycadeoideophyta           | -201300000    | -174100000   | <>
Bythocypris                              | Animal    | Arthropoda                 | -196500000    | -189600000   | <>
Cadomella                                | Animal    | Brachiopoda                | -201300000    | -163500000   | <>
Caenisites                               | Animal    | Mollusca                   | -196500000    | -183000000   | <>
Caenodiotis                              | Animal    | Mollusca                   | -201300000    | -174100000   | <>
Calaiceras                               | Animal    | Mollusca                   | -199300000    | -182700000   | <>
Calcirhynchia                            | Animal    | Brachiopoda                | -196500000    | -183000000   | <>
Caledorhynchia                           | Animal    | Brachiopoda                | -199300000    | -190800000   | <>
Callianassa                              | Animal    | Arthropoda                 | -201300000    | -145000000   | Callianassa
Calliostoma                              | Animal    | Mollusca                   | -201300000    | -196500000   | Calliostoma
Calliphylloceras                         | Animal    | Mollusca                   | -196500000    | -183000000   | Calliphylloceras
Callomoniceras                           | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Callospiriferina                         | Animal    | Brachiopoda                | -196500000    | -189600000   | <>
Caloceras                                | Animal    | Mollusca                   | -201300000    | -163500000   | Caloceras
Calpella                                 | Animal    | Brachiopoda                | -196500000    | -189600000   | Calpella
Calsoyasuchus                            | Animal    | Chordata                   | -199300000    | -182700000   | Calsoyasuchus
Calvaentolium                            | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Camptonectes                             | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Canadonectites                           | Animal    | Mollusca                   | -196500000    | -183000000   | <>
Candona                                  | Animal    | Arthropoda                 | -199300000    | -170300000   | Candona
Canesium                                 | Micro     | Radiolaria                 | -247200000    | -174100000   | <>
Canoptum                                 | Micro     | Radiolaria                 | -196500000    | -183000000   | <>
Cantalum                                 | Micro     | Radiolaria                 | -201300000    | -196500000   | <>
Canutus                                  | Micro     | Radiolaria                 | -196500000    | -183000000   | <>
Capnodoce                                | Micro     | Radiolaria                 | -247200000    | -174100000   | <>
Capnuchosphaera                          | Micro     | Radiolaria                 | -247200000    | -174100000   | <>
Carabites                                | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Cardinia                                 | Animal    | Mollusca                   | -196500000    | -189600000   | Cardinia
Cardinioides                             | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Cardita                                  | Animal    | Mollusca                   | -201300000    | -196500000   | Cardita
Cardium                                  | Animal    | Mollusca                   | -199300000    | -190800000   | Cardium
Cardobairdia                             | Animal    | Arthropoda                 | -196500000    | -189600000   | <>
Carmelopodus                             | Animal    | Chordata                   | -201300000    | -196500000   | Carmelopodus
Catriceras                               | Animal    | Mollusca                   | -196500000    | -183000000   | <>
Caturus                                  | Animal    | Chordata                   | -196500000    | -189600000   | Caturus
Cayeuxia                                 | Micro     | Cyanobacteria              | -201300000    | -190800000   | <>
Caytonanthus                             | Plant     | Pteridospermophyta         | -201300000    | -174100000   | Caytonanthus
Cenoceras                                | Animal    | Mollusca                   | -196500000    | -189600000   | Cenoceras
Centrolepis                              | Animal    | Chordata                   | -196500000    | -189600000   | Centrolepis
Cephalotaxopsis                          | Plant     | Coniferophyta              | -237000000    | -174100000   | <>
Ceratobairdia                            | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Ceratodus                                | Animal    | Chordata                   | -201300000    | -190800000   | Ceratodus
Ceratomya                                | Animal    | Mollusca                   | -199300000    | -190800000   | <>
Ceratomyopsis                            | Animal    | Mollusca                   | -201300000    | -145000000   | <>
Ceratosporites                           | Plant     | Pteridophyta               | -196500000    | -189600000   | <>
Cercomya                                 | Animal    | Mollusca                   | -199300000    | -190800000   | <>
Cerebropollenites                        | Plant     | Gymnospermophyta           | -208500000    | -190800000   | <>
Ceresopsis                               | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Ceritella                                | Animal    | Mollusca                   | -199300000    | -190800000   | <>
Cerithinella                             | Animal    | Mollusca                   | -199300000    | -190800000   | <>
Cerithium                                | Animal    | Mollusca                   | -201300000    | -196500000   | Cerithium
Chaetetes                                | Animal    | Porifera                   | -201300000    | -190800000   | Chaetetes
Changpeipus                              | Animal    | Chordata                   | -201300000    | -145000000   | Changpeipus
Charlottea                               | Micro     | Radiolaria                 | -196500000    | -183000000   | <>
Chartronella                             | Animal    | Mollusca                   | -201300000    | -174100000   | <>
Cheltonia                                | Animal    | Mollusca                   | -196500000    | -189600000   | Cheltonia
Chimaeropsis                             | Animal    | Chordata                   | -196500000    | -189600000   | <>
Chiropteris                              | Plant     | Cycadophyta                | -201300000    | -174100000   | Chiropteris
Chirotherium                             | Animal    | Chordata                   | -199300000    | -190800000   | Chirotherium
Chiton                                   | Animal    | Mollusca                   | -201300000    | -145000000   | Chiton
Chladocrinus                             | Animal    | Echinodermata              | -196500000    | -183000000   | <>
Chlamys                                  | Animal    | Mollusca                   | -196500000    | -163500000   | Chlamys
Chondrocoenia                            | Animal    | Cnidaria                   | -196500000    | -189600000   | <>
Chondrosteus                             | Animal    | Chordata                   | -196500000    | -189600000   | Chondrosteus
Chonetes                                 | Animal    | Brachiopoda                | -237000000    | -174100000   | Chonetes
Choristoceras                            | Animal    | Mollusca                   | -201300000    | -196500000   | <>
Chrismooreia                             | Animal    | Arthropoda                 | -196500000    | -189600000   | <>
Chrysomelites                            | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Cicadellopsis                            | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Cicadocoris                              | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Cicadoprosbole                           | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Cicadopsyllidium                         | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Cidaris                                  | Animal    | Echinodermata              | -199300000    | -190800000   | Cidaris
Cincta                                   | Animal    | Brachiopoda                | -196500000    | -183000000   | Cincta
Cingulatisporites                        | Plant     | Pteridophyta               | -201300000    | -145000000   | <>
Cirpa                                    | Animal    | Brachiopoda                | -196500000    | -183000000   | <>
Cirrus                                   | Animal    | Mollusca                   | -199300000    | -190800000   | Cirrus
Cisnerospira                             | Animal    | Brachiopoda                | -196500000    | -183000000   | <>
Cistelites                               | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Citharina                                | Micro     | Foraminifera               | -196500000    | -189600000   | <>
Cladocoropsis                            | Animal    | Porifera                   | -199300000    | -190800000   | <>
Cladophlebis                             | Plant     | Pteridophyta               | -199300000    | -174100000   | Cladophlebis
Clarkeiteuthis                           | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Classopollis                             | Plant     | Coniferophyta              | -196500000    | -189600000   | <>
Clathropteris                            | Plant     | Pteridophyta               | -199300000    | -182700000   | <>
Clevosaurus                              | Animal    | Chordata                   | -199300000    | -190800000   | Clevosaurus
Climacina                                | Animal    | Mollusca                   | -199300000    | -190800000   | <>
Coccolepis                               | Animal    | Chordata                   | -196500000    | -189600000   | Coccolepis
Coelastarte                              | Animal    | Mollusca                   | -199300000    | -190800000   | <>
Coeloceras                               | Animal    | Mollusca                   | -196500000    | -183000000   | <>
Coelophysis                              | Animal    | Chordata                   | -199300000    | -182700000   | Coelophysis
Coelopus                                 | Animal    | Arthropoda                 | -201300000    | -145000000   | Coelopus
Coelostylina                             | Animal    | Mollusca                   | -199300000    | -190800000   | <>
Coelurosaurichnus                        | Animal    | Chordata                   | -208500000    | -196500000   | Coelurosaurichnus
Coleia                                   | Animal    | Arthropoda                 | -196500000    | -189600000   | Coleia
Coleopteron                              | Animal    | Arthropoda                 | -196500000    | -189600000   | <>
Colpomphalus                             | Animal    | Mollusca                   | -201300000    | -189600000   | <>
Colymbetopsis                            | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Conactaeon                               | Animal    | Mollusca                   | -199300000    | -190800000   | <>
Concavisporites                          | Plant     | Pteridophyta               | -196500000    | -189600000   | <>
Coniopteris                              | Plant     | Pteridophyta               | -199300000    | -190800000   | Coniopteris
Conites                                  | Plant     | Cycadeoideophyta           | -199300000    | -190800000   | <>
Coptothyris                              | Animal    | Brachiopoda                | -201300000    | -145000000   | Coptothyris
Corbicellopsis                           | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Corbicula                                | Animal    | Mollusca                   | -201300000    | -170300000   | Corbicula
Corbula                                  | Animal    | Mollusca                   | -199300000    | -190800000   | Corbula
Coroniceras                              | Animal    | Mollusca                   | -196500000    | -189600000   | Coroniceras
Coronipora                               | Micro     | Foraminifera               | -201300000    | -190800000   | <>
Corum                                    | Micro     | Radiolaria                 | -247200000    | -174100000   | Corum
Corvipes                                 | Animal    | Chordata                   | -201300000    | -190800000   | Corvipes
Cosmatites                               | Animal    | Echinodermata              | -199300000    | -190800000   | <>
Cosmolepis                               | Animal    | Chordata                   | -196500000    | -189600000   | Cosmolepis
Costataphrus                             | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Costigervillia                           | Animal    | Mollusca                   | -201300000    | -145000000   | <>
Cotylederma                              | Animal    | Echinodermata              | -201300000    | -182700000   | <>
Couvelardicidaris                        | Animal    | Echinodermata              | -196500000    | -189600000   | <>
Cracensigillatus                         | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Crassadoma                               | Animal    | Mollusca                   | -201300000    | -174100000   | Crassadoma
Crenipecten                              | Animal    | Mollusca                   | -237000000    | -174100000   | <>
Crenotrapezium                           | Animal    | Mollusca                   | -199300000    | -190800000   | <>
Crepidolithus                            | Plant     | Haptophyta                 | -201300000    | -196500000   | <>
Cridotrisauropus                         | Animal    | Chordata                   | -199300000    | -190800000   | <>
Cristellaria                             | Micro     | Foraminifera               | -201300000    | -174100000   | Cristellaria
Critoderma                               | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Crucella                                 | Micro     | Radiolaria                 | -196500000    | -189600000   | <>
Crucilobiceras                           | Animal    | Mollusca                   | -196500000    | -183000000   | Crucilobiceras
Crucirhabdus                             | Plant     | Haptophyta                 | -201300000    | -196500000   | <>
Cryolophosaurus                          | Animal    | Chordata                   | -199300000    | -182700000   | Cryolophosaurus
Cryptaulax                               | Animal    | Mollusca                   | -196500000    | -189600000   | Cryptaulax
Cryptosepta                              | Animal    | Cnidaria                   | -201300000    | -196500000   | <>
Ctenis                                   | Plant     | Cycadophyta                | -199300000    | -182700000   | Ctenis
