Ailuropoda                               | Animal    | Chordata                   | -781000       | -11700       | Ailuropoda
Aix                                      | Animal    | Chordata                   | -781000       | 2030         | Aix_(bird)
Akialoa                                  | Animal    | Chordata                   | -2588000      | -11700       | Akialoa
Akleistostoma                            | Animal    | Mollusca                   | -5333000      | -11700       | <>
Akodon                                   | Animal    | Chordata                   | -300000       | -12000       | Akodon
Alactaga                                 | Animal    | Chordata                   | -781000       | -126000      | <>
Alauda                                   | Animal    | Chordata                   | -1806000      | -126000      | Alauda
Alca                                     | Animal    | Chordata                   | -2588000      | -11700       | Razorbill
Alcelaphus                               | Animal    | Chordata                   | -781000       | -126000      | Alcelaphus
Alces                                    | Animal    | Chordata                   | -781000       | -11700       | Alces
Alcithoe                                 | Animal    | Mollusca                   | -781000       | -126000      | Alcithoe
Aldabranas                               | Animal    | Chordata                   | -781000       | -126000      | <>
Alectoris                                | Animal    | Chordata                   | -781000       | -11700       | Alectoris
Alectryonella                            | Animal    | Mollusca                   | -781000       | -11700       | <>
Alectryon                                | Plant     | Spermatophyta              | -781000       | 2030         | Alectryon_(plant)
Alepocephalus                            | Animal    | Chordata                   | -2588000      | -126000      | Alepocephalus
Aleurites                                | Plant     | Spermatophyta              | -2588000      | -11700       | Aleurites
Algarolutra                              | Animal    | Chordata                   | -781000       | -11700       | Algarolutra
Aliculastrum                             | Animal    | Mollusca                   | -2588000      | -11700       | Aliculastrum
Aligena                                  | Animal    | Mollusca                   | -2588000      | -11700       | <>
Alilepus                                 | Animal    | Chordata                   | -2588000      | -11700       | <>
Alisma                                   | Plant     | Angiospermae               | -5333000      | -11700       | Alisma
Allactaga                                | Animal    | Chordata                   | -781000       | -11700       | Allactaga
Alle                                     | Animal    | Chordata                   | -781000       | -126000      | Alle
Alligator                                | Animal    | Chordata                   | -300000       | -12000       | Alligator
Allocasuarina                            | Plant     | Spermatophyta              | -2588000      | -126000      | Allocasuarina
Allocricetus                             | Animal    | Chordata                   | -781000       | -126000      | <>
Allohippus                               | Animal    | Chordata                   | -781000       | -126000      | Allohippus
Allophaiomys                             | Animal    | Chordata                   | -781000       | -126000      | <>
Alnus                                    | Plant     | Spermatophyta              | -300000       | -12000       | Alnus
Alopex                                   | Animal    | Chordata                   | -5333000      | -11700       | Arctic_fox
Alphitonia                               | Plant     | Spermatophyta              | -2588000      | -11700       | Alphitonia
Altica                                   | Animal    | Arthropoda                 | -781000       | -126000      | Altica
Aluralagus                               | Animal    | Chordata                   | -1800000      | -300000      | <>
Alvania                                  | Animal    | Mollusca                   | -781000       | -11700       | Alvania
Alveolinella                             | Micro     | Foraminifera               | -781000       | -11700       | Alveolinella
Alveopora                                | Animal    | Cnidaria                   | -781000       | -126000      | Alveopora
Alytes                                   | Animal    | Chordata                   | -781000       | -126000      | Alytes
Amalda                                   | Animal    | Mollusca                   | -781000       | -126000      | Amalda
Amara                                    | Animal    | Arthropoda                 | -300000       | -12000       | Amara
Amazonina                                | Animal    | Arthropoda                 | -2588000      | -11700       | <>
Amblychilepas                            | Animal    | Mollusca                   | -2588000      | -11700       | Amblychilepas
Amblysomus                               | Animal    | Chordata                   | -2588000      | 2030         | Amblysomus
Amblystoma                               | Animal    | Chordata                   | -300000       | -12000       | Amblystoma
Ambostracon                              | Animal    | Arthropoda                 | -781000       | -126000      | <>
Ameghinomya                              | Animal    | Mollusca                   | -781000       | -126000      | <>
Americardia                              | Animal    | Mollusca                   | -781000       | -126000      | Americardia
Amia                                     | Animal    | Chordata                   | -300000       | -12000       | Amia
Amiantis                                 | Animal    | Mollusca                   | -781000       | -126000      | <>
Ammodramus                               | Animal    | Chordata                   | -300000       | -12000       | Ammodramus
Ammonia                                  | Micro     | Foraminifera               | -781000       | -126000      | <>
Ammospermophilus                         | Animal    | Chordata                   | -1800000      | -300000      | Ammospermophilus
Ammotragus                               | Animal    | Chordata                   | -2588000      | 2030         | Ammotragus
Amnicola                                 | Animal    | Mollusca                   | -300000       | -12000       | Amnicola
Amoora                                   | Plant     | Spermatophyta              | -781000       | 2030         | <>
