Agassizia                                | Animal    | Echinodermata              | -5333000      | -2588000     | Agassizia
Agathistoma                              | Animal    | Mollusca                   | -5333000      | -3600000     | <>
Agathotoma                               | Animal    | Mollusca                   | -5333000      | -2588000     | Agathotoma
Agatrix                                  | Animal    | Mollusca                   | -5333000      | -3600000     | Agatrix
Agelaius                                 | Animal    | Chordata                   | -4900000      | -1800000     | Agelaius
Agerostrea                               | Animal    | Mollusca                   | -5333000      | -3600000     | Agerostrea
Agkistrodon                              | Animal    | Chordata                   | -10300000     | -4900000     | Agkistrodon
Agladrillia                              | Animal    | Mollusca                   | -5333000      | -3600000     | Agladrillia
Aglaia                                   | Plant     | Spermatophyta              | -5333000      | -3600000     | Aglaia
Agrenocythere                            | Animal    | Arthropoda                 | -7246000      | -3600000     | <>
Agriocharis                              | Animal    | Chordata                   | -23030000     | -2588000     | Agriocharis
Agriopoma                                | Animal    | Mollusca                   | -5333000      | -2588000     | Agriopoma
Agriotherium                             | Animal    | Chordata                   | -10300000     | -4900000     | Agriotherium
Aimulosia                                | Animal    | Bryozoa                    | -5333000      | -3600000     | <>
Aivukus                                  | Animal    | Chordata                   | -11608000     | -2588000     | Aivukus
Akebiconcha                              | Animal    | Mollusca                   | -5333000      | -3600000     | <>
Akleistostoma                            | Animal    | Mollusca                   | -5333000      | -11700       | <>
Alaba                                    | Animal    | Mollusca                   | -5333000      | -2588000     | Alaba
Alabina                                  | Animal    | Mollusca                   | -5333000      | -3600000     | Alabina
Alangium                                 | Plant     | Spermatophyta              | -11608000     | -3600000     | Alangium
Alatacythere                             | Animal    | Arthropoda                 | -11620000     | -3600000     | <>
Alatochelon                              | Animal    | Chordata                   | -5333000      | -3600000     | <>
Albanerpeton                             | Animal    | Chordata                   | -5333000      | -2588000     | Albanerpeton
Albula                                   | Animal    | Chordata                   | -5333000      | -2588000     | Albula_(fish)
Alca                                     | Animal    | Chordata                   | -5333000      | -2588000     | Razorbill
Alcelaphus                               | Animal    | Chordata                   | -5333000      | -11700       | Alcelaphus
Alces                                    | Animal    | Chordata                   | -15970000     | -781000      | Alces
Alcira                                   | Animal    | Mollusca                   | -5333000      | -3600000     | Alcira
Alcithoe                                 | Animal    | Mollusca                   | -5333000      | -3600000     | Alcithoe
Aldrichetta                              | Animal    | Chordata                   | -5333000      | -2400000     | Aldrichetta
Aldrovanda                               | Plant     | Spermatophyta              | -11608000     | -3600000     | Aldrovanda
Alforjas                                 | Animal    | Chordata                   | -10300000     | -4900000     | Alforjas
Aliculastrum                             | Animal    | Mollusca                   | -7246000      | -3600000     | Aliculastrum
Alilepus                                 | Animal    | Chordata                   | -10300000     | -4900000     | <>
Alisma                                   | Plant     | Angiospermae               | -5333000      | -11700       | Alisma
Alitoxodon                               | Animal    | Chordata                   | -6800000      | -4000000     | <>
Allactaga                                | Animal    | Chordata                   | -4900000      | -4200000     | Allactaga
Alligator                                | Animal    | Chordata                   | -10300000     | -1800000     | Alligator
Alloblarinella                           | Animal    | Chordata                   | -4200000      | -3200000     | <>
Allocentrotus                            | Animal    | Echinodermata              | -5333000      | -3600000     | <>
Allocricetus                             | Animal    | Chordata                   | -5333000      | -2588000     | <>
Allohippus                               | Animal    | Chordata                   | -5333000      | -11700       | Allohippus
Allophaiomys                             | Animal    | Chordata                   | -5333000      | -11700       | <>
Allorattus                               | Animal    | Chordata                   | -5333000      | -3600000     | <>
Alluvisorex                              | Animal    | Chordata                   | -10300000     | -4900000     | <>
Alnus                                    | Plant     | Spermatophyta              | -10300000     | -1800000     | Alnus
Aloconatica                              | Animal    | Mollusca                   | -5333000      | -2588000     | <>
Alopex                                   | Animal    | Chordata                   | -5333000      | -11700       | Arctic_fox
Alopias                                  | Animal    | Chordata                   | -23030000     | -2588000     | Alopias
Alosa                                    | Animal    | Chordata                   | -5333000      | -2588000     | Alosa
Aluralagus                               | Animal    | Chordata                   | -4900000      | -300000      | <>
Alutera                                  | Animal    | Chordata                   | -5333000      | -2588000     | <>
Aluterus                                 | Animal    | Chordata                   | -5333000      | -3600000     | Aluterus
Alvania                                  | Animal    | Mollusca                   | -5333000      | -2588000     | Alvania
Alveopora                                | Animal    | Cnidaria                   | -11608000     | -2588000     | Alveopora
Amaea                                    | Animal    | Mollusca                   | -5333000      | -3600000     | <>
Amalda                                   | Animal    | Mollusca                   | -5333000      | -2588000     | Amalda
Amarophos                                | Animal    | Mollusca                   | -5333000      | -3600000     | <>
Amblycoptus                              | Animal    | Chordata                   | -11608000     | -3600000     | <>
Amblysomus                               | Animal    | Chordata                   | -5333000      | -2588000     | Amblysomus
Amblystoma                               | Animal    | Chordata                   | -10300000     | -1800000     | Amblystoma
Ambocythere                              | Animal    | Arthropoda                 | -7246000      | -3600000     | <>
Amebelodon                               | Animal    | Chordata                   | -10300000     | -4900000     | Amebelodon
Ameghinomya                              | Animal    | Mollusca                   | -15970000     | -2588000     | <>
Amelanchier                              | Plant     | Spermatophyta              | -5333000      | -2588000     | Amelanchier
Ameranna                                 | Animal    | Mollusca                   | -7246000      | -3600000     | Ameranna
Americardia                              | Animal    | Mollusca                   | -5333000      | -2588000     | Americardia
Amiantis                                 | Animal    | Mollusca                   | -5333000      | -1806000     | <>
Ammobaculites                            | Micro     | Foraminifera               | -11620000     | -3600000     | <>
Ammodytes                                | Animal    | Chordata                   | -5333000      | -3600000     | Ammodytes
Ammonia                                  | Micro     | Foraminifera               | -5333000      | -2588000     | Ammonia
Ammospermophilus                         | Animal    | Chordata                   | -10300000     | -4900000     | Ammospermophilus
Amnicola                                 | Animal    | Mollusca                   | -5333000      | -2588000     | Amnicola
Amorpha                                  | Plant     | Spermatophyta              | -10300000     | -4900000     | Amorpha
Ampelopsis                               | Plant     | Spermatophyta              | -11608000     | -3600000     | Ampelopsis
Amphiblestrum                            | Animal    | Bryozoa                    | -5333000      | -2588000     | <>
Amphicetus                               | Animal    | Chordata                   | -11608000     | -2588000     | <>
Amphicyon                                | Animal    | Chordata                   | -5333000      | -2588000     | Amphicyon
Amphimachairodus                         | Animal    | Chordata                   | -10300000     | -4900000     | Amphimachairodus
Amphiroa                                 | Plant     | Rhodophyta                 | -5333000      | -2588000     | Amphiroa
Amphisorus                               | Micro     | Foraminifera               | -11608000     | -2588000     | <>
Amphistegina                             | Micro     | Foraminifera               | -5333000      | -11700       | Amphistegina
Amphithalamus                            | Animal    | Mollusca                   | -5333000      | -2588000     | Amphithalamus
Amphiuma                                 | Animal    | Chordata                   | -10300000     | -4900000     | Amphiuma
Amplibuteo                               | Animal    | Chordata                   | -4900000      | -1800000     | Amplibuteo
Ampliura                                 | Animal    | Arthropoda                 | -5333000      | -2588000     | <>
Amusium                                  | Animal    | Mollusca                   | -5333000      | -11700       | Amusium
Amussiopecten                            | Animal    | Mollusca                   | -5333000      | -2588000     | <>
Amyclina                                 | Animal    | Mollusca                   | -5333000      | -2588000     | <>
Anabernicula                             | Animal    | Chordata                   | -23030000     | -2588000     | Anabernicula
Anacardites                              | Plant     | Spermatophyta              | -23030000     | -2588000     | <>
Anachis                                  | Animal    | Mollusca                   | -5333000      | -11700       | Anachis
Anadara                                  | Animal    | Mollusca                   | -11620000     | -2588000     | Anadara
Anancus                                  | Animal    | Chordata                   | -11608000     | -2588000     | Anancus
Anapagurus                               | Animal    | Arthropoda                 | -23030000     | -2588000     | <>
Anas                                     | Animal    | Chordata                   | -4900000      | -1800000     | Anas
Anatina                                  | Animal    | Mollusca                   | -5333000      | -2588000     | Anatina
Anatolomys                               | Animal    | Chordata                   | -5333000      | -3600000     | <>
Anazola                                  | Animal    | Mollusca                   | -5333000      | -2588000     | <>
Anchistrocheles                          | Animal    | Arthropoda                 | -5333000      | -3600000     | <>
Anchitheriomys                           | Animal    | Chordata                   | -5333000      | -2588000     | Anchitheriomys
Anchitherium                             | Animal    | Chordata                   | -23030000     | -2588000     | Anchitherium
Anchoa                                   | Animal    | Chordata                   | -5333000      | -3600000     | Anchoa
Ancilla                                  | Animal    | Mollusca                   | -5333000      | -11700       | Ancilla_(gastropod)
Ancistrolepis                            | Animal    | Mollusca                   | -5333000      | -2588000     | Ancistrolepis
Ancylotheriopus                          | Animal    | Chordata                   | -5333000      | -2588000     | <>
Ancylotherium                            | Animal    | Chordata                   | -5333000      | -2588000     | Ancylotherium
Ancylus                                  | Animal    | Mollusca                   | -5333000      | -11700       | Ancylus
Angaria                                  | Animal    | Mollusca                   | -5333000      | -2588000     | Angaria_(gastropod)
Anguis                                   | Animal    | Chordata                   | -4200000      | -2588000     | Anguis
Angulararca                              | Animal    | Mollusca                   | -5333000      | -3600000     | <>
Angulogerina                             | Micro     | Foraminifera               | -5333000      | -2588000     | <>
