Anniedarwinia                            | Animal    | Arthropoda                 | -318100000    | -306950000   | <>
Annularia                                | Plant     | Sphenophyta                | -318100000    | -306950000   | Annularia
Annuliconcha                             | Animal    | Mollusca                   | -339400000    | -298900000   | <>
Annulispongia                            | Animal    | Porifera                   | -318100000    | -314600000   | <>
Anobasicrinus                            | Animal    | Echinodermata              | -318100000    | -314600000   | <>
Anomphalus                               | Animal    | Mollusca                   | -318100000    | -314600000   | Anomphalus
Anoptychia                               | Animal    | Mollusca                   | -318100000    | -314600000   | <>
Antholithes                              | Plant     | Pteridospermophyta         | -358900000    | -298900000   | <>
Anthracaris                              | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Anthracoblattina                         | Animal    | Arthropoda                 | -323200000    | -307000000   | <>
Anthracoceras                            | Animal    | Mollusca                   | -318100000    | -314600000   | Anthracoceras
Anthracomartus                           | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Anthracomya                              | Animal    | Mollusca                   | -326400000    | -306950000   | Anthracomya
Anthraconauta                            | Animal    | Mollusca                   | -339400000    | -318100000   | <>
Anthraconeilo                            | Animal    | Mollusca                   | -318100000    | -306950000   | <>
Anthracoporella                          | Plant     | Chlorophyta                | -323200000    | -307000000   | <>
Anthracopupa                             | Animal    | Mollusca                   | -318100000    | -314600000   | <>
Anthracosaurus                           | Animal    | Chordata                   | -318100000    | -306950000   | Anthracosaurus
Anthracoscorpio                          | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Anthracosiro                             | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Anthracospirifer                         | Animal    | Brachiopoda                | -318100000    | -311450000   | <>
Anthracosta                              | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Anthroosasterias                         | Animal    | Echinodermata              | -358900000    | -298900000   | <>
Antiquatonia                             | Animal    | Brachiopoda                | -318100000    | -306950000   | <>
Antonoceras                              | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Antronaria                               | Animal    | Brachiopoda                | -323200000    | -307000000   | <>
Apachella                                | Animal    | Mollusca                   | -318100000    | -314600000   | <>
Apatognathus                             | Animal    | Chordata                   | -323200000    | -298900000   | <>
Aphantites                               | Animal    | Mollusca                   | -318100000    | -314600000   | Aphantites
Aphantomartus                            | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Aphelaeceras                             | Animal    | Mollusca                   | -326400000    | -318100000   | Aphelaeceras
Aphelecrinus                             | Animal    | Echinodermata              | -326400000    | -318100000   | <>
Aphelomylacris                           | Animal    | Arthropoda                 | -318100000    | -306950000   | <>
Aphractus                                | Animal    | Mollusca                   | -318100000    | -314600000   | <>
Aphralysia                               | Micro     | Cyanobacteria              | -339400000    | -318100000   | <>
Apiculatasporites                        | Plant     | Pteridophyta               | -318100000    | -298900000   | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -323200000    | -298900000   | <>
Apographiocrinus                         | Animal    | Echinodermata              | -318100000    | -314600000   | <>
Apotocardium                             | Animal    | Mollusca                   | -323200000    | -307000000   | <>
Arakespongia                             | Animal    | Porifera                   | -318100000    | -314600000   | <>
Arcanoceras                              | Animal    | Mollusca                   | -326400000    | -318100000   | Arcanoceras
Arceodomus                               | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Archaediscus                             | Micro     | Foraminifera               | -318100000    | -311450000   | <>
Archaemegaptilus                         | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Archaeocidaris                           | Animal    | Echinodermata              | -318100000    | -311450000   | Archaeocidaris
Archaeolithophyllum                      | Plant     | Rhodophyta                 | -318100000    | -314600000   | Archaeolithophyllum
Archaeophasma                            | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Archaeopteridium                         | Plant     | Aneurophytophyta           | -318100000    | -314600000   | <>
Archaeoptilus                            | Animal    | Arthropoda                 | -318100000    | -306950000   | <>
Archangelskyblatta                       | Animal    | Arthropoda                 | -323200000    | -307000000   | <>
Archerpeton                              | Animal    | Chordata                   | -318100000    | -314600000   | <>
Archicambala                             | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Archimastax                              | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Archimedes                               | Animal    | Bryozoa                    | -323200000    | -298900000   | Archimedes
Archimylacris                            | Animal    | Arthropoda                 | -318100000    | -314600000   | Archimylacris
Archisymplectes                          | Animal    | Nemertea                   | -326400000    | -318100000   | <>
Archiulus                                | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Arctotypus                               | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Ardmosteges                              | Animal    | Brachiopoda                | -318100000    | -314600000   | <>
Argentinala                              | Animal    | Arthropoda                 | -326400000    | -318100000   | <>
Argentiproductus                         | Animal    | Brachiopoda                | -326400000    | -318100000   | <>
Arizonerpeton                            | Animal    | Chordata                   | -318100000    | -314600000   | Arizonerpeton
Arkacrinus                               | Animal    | Echinodermata              | -318100000    | -314600000   | <>
Arkanites                                | Animal    | Mollusca                   | -318100000    | -314600000   | Arkanites
Arltia                                   | Animal    | Arthropoda                 | -318100000    | -306950000   | <>
Arthropitys                              | Plant     | Sphenophyta                | -318100000    | -314600000   | Arthropitys
Arthropleura                             | Animal    | Arthropoda                 | -318100000    | -306950000   | Arthropleura
Arthroxylon                              | Plant     | Equisetophyta              | -318100000    | -314600000   | <>
Articheilus                              | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Asaphestera                              | Animal    | Chordata                   | -318100000    | -314600000   | Asaphestera
Ascospongiella                           | Animal    | Porifera                   | -323200000    | -315200000   | <>
Aseptella                                | Animal    | Brachiopoda                | -326400000    | -314600000   | <>
Aspiscorpio                              | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Astartella                               | Animal    | Mollusca                   | -318100000    | -305900000   | <>
Asteroarchaediscus                       | Micro     | Foraminifera               | -318100000    | -311450000   | <>
Asterophyllites                          | Plant     | Sphenophyta                | -318100000    | -306950000   | <>
Asterotheca                              | Plant     | Pteridophyta               | -323200000    | -298900000   | Asterotheca
Asthenomyelon                            | Plant     | Sphenophyta                | -318100000    | -314600000   | <>
Astreptoscolex                           | Animal    | Annelida                   | -326400000    | -318100000   | <>
Astromyelon                              | Plant     | Equisetophyta              | -318100000    | -314600000   | <>
Asturiella                               | Animal    | Arthropoda                 | -318100000    | -306950000   | <>
Asturoceras                              | Animal    | Mollusca                   | -326400000    | -318100000   | Asturoceras
Asymptoceras                             | Animal    | Mollusca                   | -326400000    | -318100000   | Asymptoceras
Athlocrinus                              | Animal    | Echinodermata              | -318100000    | -314600000   | <>
Athyris                                  | Animal    | Brachiopoda                | -326400000    | -306950000   | Athyris
Atokacrinus                              | Animal    | Echinodermata              | -318100000    | -314600000   | <>
Atrapocrinus                             | Animal    | Echinodermata              | -323200000    | -315200000   | <>
Atrypa                                   | Animal    | Brachiopoda                | -358900000    | -298900000   | Atrypa
Attenosaurus                             | Animal    | Chordata                   | -318100000    | -306950000   | <>
Aulacotheca                              | Plant     | Pteridospermophyta         | -323200000    | -298900000   | <>
Aulina                                   | Animal    | Cnidaria                   | -323200000    | -315200000   | <>
Aulophyllum                              | Animal    | Cnidaria                   | -326400000    | -318100000   | <>
Aulopora                                 | Animal    | Cnidaria                   | -323200000    | -298900000   | Aulopora
Aurikirkbya                              | Animal    | Arthropoda                 | -323200000    | -298900000   | <>
Australofenestella                       | Animal    | Bryozoa                    | -330900000    | -315200000   | <>
Australopolypora                         | Animal    | Bryozoa                    | -330900000    | -315200000   | <>
Australosutura                           | Animal    | Arthropoda                 | -326400000    | -306950000   | <>
Aviculopecten                            | Animal    | Mollusca                   | -318100000    | -305900000   | Aviculopecten
Aviculopinna                             | Animal    | Mollusca                   | -318100000    | -305900000   | <>
Avonia                                   | Animal    | Brachiopoda                | -326400000    | -318100000   | Avonia
Axinolobus                               | Animal    | Mollusca                   | -318100000    | -314600000   | Axinolobus
Bactrites                                | Animal    | Mollusca                   | -318100000    | -314600000   | <>
Bactritimimus                            | Animal    | Mollusca                   | -326400000    | -318100000   | Bactritimimus
Baiera                                   | Plant     | Ginkgophyta                | -358900000    | -252170000   | Baiera
Baiosoma                                 | Animal    | Mollusca                   | -318100000    | -314600000   | <>
