Anthraconeilo                            | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Anthracospirifer                         | Animal    | Brachiopoda                | -326400000    | -318100000   | <>
Anthroosasterias                         | Animal    | Echinodermata              | -358900000    | -298900000   | <>
Antiquatonia                             | Animal    | Brachiopoda                | -326400000    | -318100000   | <>
Antonoceras                              | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Aoujgalia                                | Plant     | Rhodophyta                 | -339400000    | -326400000   | <>
Aphantomartus                            | Animal    | Arthropoda                 | -336000000    | -326400000   | <>
Aphelaeceras                             | Animal    | Mollusca                   | -326400000    | -318100000   | Aphelaeceras
Aphelakardia                             | Animal    | Mollusca                   | -358900000    | -323200000   | <>
Aphelecrinus                             | Animal    | Echinodermata              | -326400000    | -318100000   | <>
Aphralysia                               | Micro     | Cyanobacteria              | -330900000    | -323200000   | <>
Aphrophyllum                             | Animal    | Cnidaria                   | -336000000    | -326400000   | <>
Apiculatasporites                        | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -382700000    | -298900000   | <>
Apotocardium                             | Animal    | Mollusca                   | -330900000    | -323200000   | <>
Arachnolasma                             | Animal    | Cnidaria                   | -330900000    | -323200000   | <>
Arcanoceras                              | Animal    | Mollusca                   | -326400000    | -318100000   | Arcanoceras
Arceodomus                               | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Archaediscus                             | Micro     | Foraminifera               | -326400000    | -318100000   | <>
Archaeocidaris                           | Animal    | Echinodermata              | -358900000    | -323200000   | Archaeocidaris
Archaeolithophyllum                      | Plant     | Rhodophyta                 | -339400000    | -318100000   | Archaeolithophyllum
Archaeoplophora                          | Animal    | Arthropoda                 | -336000000    | -326400000   | <>
Archaeopteridium                         | Plant     | Aneurophytophyta           | -358900000    | -298900000   | <>
Archaesphaera                            | Micro     | Foraminifera               | -330900000    | -323200000   | <>
Archegonus                               | Animal    | Arthropoda                 | -336000000    | -326400000   | <>
Archimedes                               | Animal    | Bryozoa                    | -326400000    | -318100000   | Archimedes
Archisymplectes                          | Animal    | Nemertea                   | -326400000    | -318100000   | <>
Argentinala                              | Animal    | Arthropoda                 | -326400000    | -318100000   | <>
Argentiproductus                         | Animal    | Brachiopoda                | -326400000    | -318100000   | <>
Arkacrinus                               | Animal    | Echinodermata              | -330900000    | -323200000   | <>
Armenocrinus                             | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Arthropitys                              | Plant     | Sphenophyta                | -326400000    | -314600000   | Arthropitys
Arthroxylon                              | Plant     | Equisetophyta              | -326400000    | -314600000   | <>
Articheilus                              | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Ascopora                                 | Animal    | Bryozoa                    | -330900000    | -323200000   | <>
Aseptella                                | Animal    | Brachiopoda                | -326400000    | -314600000   | <>
Asketomorpha                             | Animal    | Mollusca                   | -330900000    | -323200000   | <>
Astartella                               | Animal    | Mollusca                   | -330900000    | -323200000   | <>
Asteroarchaediscus                       | Micro     | Foraminifera               | -330900000    | -323200000   | <>
Asterolepis                              | Animal    | Chordata                   | -358900000    | -323200000   | Asterolepis_(fish)
Asterophyllites                          | Plant     | Sphenophyta                | -358900000    | -252170000   | <>
Asteroptychius                           | Animal    | Chordata                   | -358900000    | -323200000   | <>
Asterotheca                              | Plant     | Pteridophyta               | -358900000    | -298900000   | Asterotheca
Astreptoscolex                           | Animal    | Annelida                   | -326400000    | -318100000   | <>
Astromyelon                              | Plant     | Equisetophyta              | -326400000    | -314600000   | <>
Asturoceras                              | Animal    | Mollusca                   | -326400000    | -318100000   | Asturoceras
Asymptoceras                             | Animal    | Mollusca                   | -326400000    | -318100000   | Asymptoceras
Asyrinxia                                | Animal    | Brachiopoda                | -336000000    | -326400000   | <>
Athyris                                  | Animal    | Brachiopoda                | -326400000    | -306950000   | Athyris
Atrypa                                   | Animal    | Brachiopoda                | -358900000    | -298900000   | Atrypa
Aulacotheca                              | Plant     | Pteridospermophyta         | -358900000    | -298900000   | <>
Aulina                                   | Animal    | Cnidaria                   | -326400000    | -318100000   | <>
Auloclisia                               | Animal    | Cnidaria                   | -339400000    | -326400000   | <>
Aulodesocrinus                           | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Aulokoninckophyllum                      | Animal    | Cnidaria                   | -336000000    | -326400000   | <>
Aulophyllum                              | Animal    | Cnidaria                   | -326400000    | -318100000   | <>
Aulopora                                 | Animal    | Cnidaria                   | -326400000    | -318100000   | Aulopora
Auriptygma                               | Animal    | Mollusca                   | -330900000    | -323200000   | <>
Australofenestella                       | Animal    | Bryozoa                    | -330900000    | -315200000   | <>
Australopolypora                         | Animal    | Bryozoa                    | -330900000    | -315200000   | <>
Australosutura                           | Animal    | Arthropoda                 | -326400000    | -306950000   | <>
Aviculopecten                            | Animal    | Mollusca                   | -326400000    | -314600000   | Aviculopecten
Aviculopinna                             | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Avonia                                   | Animal    | Brachiopoda                | -326400000    | -318100000   | Avonia
Axoclisia                                | Animal    | Cnidaria                   | -339400000    | -326400000   | <>
Axophyllum                               | Animal    | Cnidaria                   | -330900000    | -323200000   | <>
Azurduya                                 | Animal    | Brachiopoda                | -358900000    | -323200000   | <>
Bactrites                                | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Bactritimimus                            | Animal    | Mollusca                   | -326400000    | -318100000   | Bactritimimus
Baiera                                   | Plant     | Ginkgophyta                | -358900000    | -252170000   | Baiera
Baiosoma                                 | Animal    | Mollusca                   | -330900000    | -323200000   | <>
Bairdia                                  | Animal    | Arthropoda                 | -326400000    | -318100000   | <>
Bakevellia                               | Animal    | Mollusca                   | -330900000    | -323200000   | <>
Balanerpeton                             | Animal    | Chordata                   | -336000000    | -326400000   | Balanerpeton
Balantoides                              | Animal    | Arthropoda                 | -339400000    | -314600000   | <>
Barycrinus                               | Animal    | Echinodermata              | -330900000    | -323200000   | <>
Barytichisma                             | Animal    | Cnidaria                   | -330900000    | -323200000   | <>
Bascomella                               | Animal    | Bryozoa                    | -330900000    | -323200000   | <>
Batangophyllum                           | Animal    | Cnidaria                   | -330900000    | -323200000   | <>
Batocrinus                               | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Batostomella                             | Animal    | Bryozoa                    | -326400000    | -318100000   | <>
Batrachichnus                            | Animal    | Chordata                   | -358900000    | -323200000   | <>
Baylea                                   | Animal    | Mollusca                   | -326400000    | -318100000   | <>
