Aethia                                   | Animal    | Chordata                   | -11608000     | -5333000     | Aethia
Aethomys                                 | Animal    | Chordata                   | -7246000      | -2588000     | Aethomys
Aethoprora                               | Animal    | Chordata                   | -7246000      | -5333000     | <>
Aforia                                   | Animal    | Mollusca                   | -7246000      | -5333000     | Aforia
Africanacetus                            | Animal    | Chordata                   | -11608000     | 2030         | Africanacetus
Africanomys                              | Animal    | Chordata                   | -11608000     | -5333000     | <>
Afrocygnus                               | Animal    | Chordata                   | -7246000      | -5333000     | <>
Afrocyon                                 | Animal    | Chordata                   | -11608000     | -5333000     | Afrocyon
Afrozoila                                | Animal    | Mollusca                   | -11608000     | -2588000     | <>
Agabus                                   | Animal    | Arthropoda                 | -11608000     | -5333000     | Agabus
Agaricia                                 | Animal    | Cnidaria                   | -11608000     | -2588000     | Agaricia
Agaronia                                 | Animal    | Mollusca                   | -11608000     | -5333000     | Agaronia
Agassizia                                | Animal    | Echinodermata              | -23030000     | -5333000     | Agassizia
Agathiphyllia                            | Animal    | Cnidaria                   | -23030000     | -5333000     | <>
Agathoxylon                              | Plant     | Pinophyta                  | -23030000     | -5333000     | Agathoxylon
Agatrix                                  | Animal    | Mollusca                   | -11608000     | -5333000     | Agatrix
Agkistrodon                              | Animal    | Chordata                   | -10300000     | -4900000     | Agkistrodon
Agladrillia                              | Animal    | Mollusca                   | -11608000     | -5333000     | Agladrillia
Aglaocetus                               | Animal    | Chordata                   | -11608000     | -5333000     | Aglaocetus
Agonum                                   | Animal    | Arthropoda                 | -11608000     | -5333000     | Agonum
Agrenocythere                            | Animal    | Arthropoda                 | -7246000      | -3600000     | <>
Agriocharis                              | Animal    | Chordata                   | -23030000     | -2588000     | Agriocharis
Agriotherium                             | Animal    | Chordata                   | -10300000     | -4900000     | Agriotherium
Aguascalientia                           | Animal    | Chordata                   | -23030000     | -5333000     | Aguascalientia
Ailanthus                                | Plant     | Spermatophyta              | -11608000     | -5333000     | Ailanthus
Ainicardita                              | Animal    | Mollusca                   | -11608000     | -5333000     | <>
Aivukus                                  | Animal    | Chordata                   | -11608000     | -2588000     | Aivukus
Alabina                                  | Animal    | Mollusca                   | -11608000     | -5333000     | Alabina
Alangium                                 | Plant     | Spermatophyta              | -11608000     | -3600000     | Alangium
Alatacythere                             | Animal    | Arthropoda                 | -11620000     | -3600000     | <>
Albanensia                               | Animal    | Chordata                   | -8700000      | -5333000     | <>
Albanerpeton                             | Animal    | Chordata                   | -7246000      | -5333000     | Albanerpeton
Albicetus                                | Animal    | Chordata                   | -11608000     | -5333000     | Albicetus
Albireo                                  | Animal    | Chordata                   | -7246000      | -5333000     | <>
Alca                                     | Animal    | Chordata                   | -11608000     | -5333000     | Razorbill
Alces                                    | Animal    | Chordata                   | -11608000     | -5333000     | Alces
Aldrovanda                               | Plant     | Spermatophyta              | -11608000     | -3600000     | Aldrovanda
Alepisaurus                              | Animal    | Chordata                   | -7246000      | -5333000     | Alepisaurus
Alforjas                                 | Animal    | Chordata                   | -10300000     | -4900000     | Alforjas
Alicornops                               | Animal    | Chordata                   | -11608000     | -5333000     | <>
Aliculastrum                             | Animal    | Mollusca                   | -7246000      | -3600000     | Aliculastrum
Alilepus                                 | Animal    | Chordata                   | -10300000     | -4900000     | <>
Alisea                                   | Animal    | Chordata                   | -23030000     | -5333000     | Alisea
Alisma                                   | Plant     | Angiospermae               | -11608000     | -5333000     | Alisma
Alitoxodon                               | Animal    | Chordata                   | -6800000      | -4000000     | <>
Alligator                                | Animal    | Chordata                   | -10300000     | -1800000     | Alligator
Alloblarinella                           | Animal    | Chordata                   | -11608000     | -5333000     | <>
Allodesmus                               | Animal    | Chordata                   | -23030000     | -5333000     | Allodesmus
Allohyaena                               | Animal    | Chordata                   | -11608000     | -5333000     | <>
Alloptox                                 | Animal    | Chordata                   | -11608000     | -5333000     | <>
Alluvisorex                              | Animal    | Chordata                   | -10300000     | -4900000     | <>
Alnus                                    | Plant     | Spermatophyta              | -10300000     | -1800000     | Alnus
Aloides                                  | Animal    | Mollusca                   | -11608000     | -5333000     | <>
