Ampezzonaticopsis                        | Animal    | Mollusca                   | -232000000    | -221500000   | <>
Ampezzopleura                            | Animal    | Mollusca                   | -212000000    | -205600000   | <>
Amphiclina                               | Animal    | Brachiopoda                | -215560000    | -212000000   | <>
Amphiclinodonta                          | Animal    | Brachiopoda                | -228000000    | -208500000   | <>
Amphitomaria                             | Animal    | Mollusca                   | -212000000    | -205600000   | <>
Amphorispermum                           | Plant     | Ginkgophyta                | -237000000    | -201300000   | <>
Amusium                                  | Animal    | Mollusca                   | -212000000    | -205600000   | Amusium
Anadyrella                               | Animal    | Brachiopoda                | -228000000    | -208500000   | <>
Anaschisma                               | Animal    | Chordata                   | -221500000    | -212000000   | Anaschisma
Anasirenites                             | Animal    | Mollusca                   | -232000000    | -221500000   | Anasirenites
Anatibetites                             | Animal    | Mollusca                   | -215560000    | -212000000   | Anatibetites
Anatina                                  | Animal    | Mollusca                   | -212000000    | -201300000   | Anatina
Anatomites                               | Animal    | Mollusca                   | -228000000    | -208500000   | Anatomites
Anatropites                              | Animal    | Mollusca                   | -232000000    | -215560000   | Anatropites
Anchisauripus                            | Animal    | Chordata                   | -228000000    | -201300000   | Anchisauripus
Ancistronychus                           | Animal    | Chordata                   | -228000000    | -208500000   | Ancistronychus
Ancyrogondolella                         | Animal    | Chordata                   | -221500000    | -215560000   | <>
Andangularia                             | Animal    | Mollusca                   | -212000000    | -205600000   | <>
Andescynodon                             | Animal    | Chordata                   | -237000000    | -208500000   | Andescynodon
Andrazella                               | Animal    | Cnidaria                   | -221500000    | -215560000   | <>
Androstrobus                             | Plant     | Cycadophyta                | -237000000    | -201300000   | <>
Angistorhinus                            | Animal    | Chordata                   | -228000000    | -208500000   | Angistorhinus
Anguispongia                             | Animal    | Porifera                   | -212000000    | -205600000   | <>
Angularia                                | Animal    | Mollusca                   | -212000000    | -205600000   | <>
Angulodiscus                             | Micro     | Foraminifera               | -221500000    | -215560000   | <>
Angustothyris                            | Animal    | Brachiopoda                | -247200000    | -221500000   | <>
Anisactinella                            | Animal    | Brachiopoda                | -232000000    | -221500000   | <>
Anisicyrtis                              | Micro     | Radiolaria                 | -228000000    | -208500000   | <>
Ankylosuchus                             | Animal    | Chordata                   | -237000000    | -201300000   | Ankylosuchus
Annaecoelia                              | Animal    | Porifera                   | -212000000    | -201300000   | <>
Annaichthys                              | Animal    | Chordata                   | -215560000    | -212000000   | <>
Annalepis                                | Plant     | Lycophyta                  | -237000000    | -201300000   | <>
Annulariopsis                            | Plant     | Sphenophyta                | -228000000    | -201300000   | <>
Annulotriassocampe                       | Micro     | Radiolaria                 | -221500000    | -215560000   | <>
Anodontophora                            | Animal    | Mollusca                   | -221500000    | -215560000   | <>
Anolcites                                | Animal    | Mollusca                   | -228000000    | -208500000   | Anolcites
Anomia                                   | Animal    | Mollusca                   | -221500000    | -215560000   | Anomia
Anomoepus                                | Animal    | Chordata                   | -228000000    | -201300000   | Anomoepus
Anomozamites                             | Plant     | Cycadeoideophyta           | -228000000    | -174100000   | <>
Anomphalus                               | Animal    | Mollusca                   | -228000000    | -201300000   | Anomphalus
Anoptychia                               | Animal    | Mollusca                   | -221500000    | -215560000   | <>
Anshunsaurus                             | Animal    | Chordata                   | -232000000    | -221500000   | Anshunsaurus
Antalythalamia                           | Animal    | Porifera                   | -212000000    | -205600000   | <>
Antediplodon                             | Animal    | Mollusca                   | -221500000    | -212000000   | <>
Antevsia                                 | Plant     | Peltaspermophyta           | -228000000    | -208500000   | <>
Anthostylis                              | Animal    | Cnidaria                   | -212000000    | -205600000   | <>
Anthrophyopsis                           | Plant     | Cycadophyta                | -228000000    | -183000000   | <>
Antiquicorbula                           | Animal    | Mollusca                   | -212000000    | -205600000   | <>
Antiquilima                              | Animal    | Mollusca                   | -212000000    | -205600000   | <>
Antrimpos                                | Animal    | Arthropoda                 | -215560000    | -212000000   | Antrimpos
Anulifera                                | Animal    | Mollusca                   | -212000000    | -205600000   | Anulifera
Apachesaurus                             | Animal    | Chordata                   | -221500000    | -212000000   | Apachesaurus
Apachesuchus                             | Animal    | Chordata                   | -228000000    | -208500000   | Apachesuchus
Apatopus                                 | Animal    | Chordata                   | -228000000    | -201300000   | Apatopus
Apatosuchus                              | Animal    | Chordata                   | -215560000    | -212000000   | Apatosuchus
Apertirhynchella                         | Animal    | Brachiopoda                | -232000000    | -221500000   | <>
Apheloodes                               | Animal    | Arthropoda                 | -228000000    | -208500000   | <>
Apheloscyta                              | Animal    | Arthropoda                 | -228000000    | -208500000   | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -237000000    | -201300000   | <>
Arachana                                 | Animal    | Chordata                   | -237000000    | -201300000   | Arachana
Araucarioxylon                           | Plant     | Pinophyta                  | -228000000    | -208500000   | Araucarioxylon
Araucarites                              | Plant     | Pinophyta                  | -237000000    | -201300000   | <>
Araxathyris                              | Animal    | Brachiopoda                | -221500000    | -215560000   | <>
Arberophyllum                            | Plant     | Peltaspermophyta           | -228000000    | -201300000   | <>
Arca                                     | Animal    | Mollusca                   | -237000000    | -201300000   | Arca
Arcavicula                               | Animal    | Mollusca                   | -212000000    | -205600000   | <>
Arcestes                                 | Animal    | Mollusca                   | -212000000    | -205600000   | Arcestes
Archaeoacanthocircus                     | Micro     | Radiolaria                 | -232000000    | -221500000   | <>
Archaeocenosphaera                       | Micro     | Radiolaria                 | -212000000    | -205600000   | <>
Archaeocidaris                           | Animal    | Echinodermata              | -252170000    | -201300000   | Archaeocidaris
Archaeopalinurus                         | Animal    | Arthropoda                 | -215560000    | -212000000   | <>
Archaeosemantis                          | Micro     | Radiolaria                 | -212000000    | -205600000   | <>
Archaeosmilia                            | Animal    | Cnidaria                   | -228000000    | -201300000   | <>
Archebittacus                            | Animal    | Arthropoda                 | -228000000    | -208500000   | <>
Archelcana                               | Animal    | Arthropoda                 | -212000000    | -205600000   | <>
Archeosmylus                             | Animal    | Arthropoda                 | -228000000    | -208500000   | <>
Archepsychops                            | Animal    | Arthropoda                 | -228000000    | -208500000   | <>
Archexyela                               | Animal    | Arthropoda                 | -228000000    | -208500000   | <>
Archipanorpa                             | Animal    | Arthropoda                 | -228000000    | -208500000   | <>
Architipula                              | Animal    | Arthropoda                 | -228000000    | -208500000   | <>
Arctica                                  | Animal    | Mollusca                   | -228000000    | -208500000   | Arctica_(bivalve)
Arcticodactylus                          | Animal    | Chordata                   | -228000000    | -208500000   | Arcticodactylus
Arcticopora                              | Animal    | Bryozoa                    | -212000000    | -205600000   | <>
Arctoarpadites                           | Animal    | Mollusca                   | -232000000    | -221500000   | <>
Arctobaiera                              | Plant     | Ginkgophyta                | -228000000    | -208500000   | <>
Arctomytiloides                          | Animal    | Mollusca                   | -228000000    | -201300000   | <>
Arctophyllites                           | Animal    | Mollusca                   | -232000000    | -221500000   | <>
Arctosaurus                              | Animal    | Chordata                   | -237000000    | -201300000   | Arctosaurus
Arctosirenites                           | Animal    | Mollusca                   | -232000000    | -221500000   | Arctosirenites
Arctotropites                            | Animal    | Mollusca                   | -232000000    | -221500000   | <>
Arduorhiza                               | Animal    | Porifera                   | -228000000    | -201300000   | <>
Areaseris                                | Animal    | Cnidaria                   | -221500000    | -215560000   | <>
