Adipterites                              | Animal    | Arthropoda                 | -12700000     | -11608000    | <>
Adulomya                                 | Animal    | Mollusca                   | -13820000     | -11620000    | <>
Adusta                                   | Animal    | Mollusca                   | -15970000     | -11608000    | <>
Aechmella                                | Animal    | Bryozoa                    | -33900000     | -5333000     | <>
Aelia                                    | Animal    | Arthropoda                 | -12700000     | -11608000    | Aelia_(bug)
Aelurodon                                | Animal    | Chordata                   | -13600000     | -10300000    | Aelurodon
Aepycamelus                              | Animal    | Chordata                   | -13600000     | -10300000    | Aepycamelus
Aepyceros                                | Animal    | Chordata                   | -23030000     | -11700       | Aepyceros
Aepyprymnus                              | Animal    | Chordata                   | -23030000     | -2588000     | Aepyprymnus
Aequipecten                              | Animal    | Mollusca                   | -13650000     | -12700000    | Aequipecten
Aeshna                                   | Animal    | Arthropoda                 | -12700000     | -11608000    | Aeshna
Aethesolithon                            | Plant     | Rhodophyta                 | -15970000     | -11608000    | <>
Affinetrina                              | Micro     | Foraminifera               | -12700000     | -11608000    | <>
Aforia                                   | Animal    | Mollusca                   | -15970000     | -11608000    | Aforia
Africanacetus                            | Animal    | Chordata                   | -15970000     | -2588000     | Africanacetus
Africanictis                             | Animal    | Chordata                   | -23030000     | -11608000    | Africanictis
Africanomys                              | Animal    | Chordata                   | -15970000     | -11608000    | <>
Afrochoerodon                            | Animal    | Chordata                   | -15970000     | -11620000    | <>
Afrocyon                                 | Animal    | Chordata                   | -15970000     | -11608000    | Afrocyon
Afrohyrax                                | Animal    | Chordata                   | -13820000     | -11620000    | <>
Afromastodon                             | Animal    | Chordata                   | -23030000     | -11608000    | <>
Afrotragulus                             | Animal    | Chordata                   | -13820000     | -11620000    | Afrotragulus
Agapilia                                 | Animal    | Mollusca                   | -13650000     | -12700000    | <>
Agaricia                                 | Animal    | Cnidaria                   | -13820000     | -11620000    | Agaricia
Agaronia                                 | Animal    | Mollusca                   | -15970000     | -11608000    | Agaronia
Agasoma                                  | Animal    | Mollusca                   | -15970000     | -13600000    | <>
Agassizia                                | Animal    | Echinodermata              | -23030000     | -5333000     | Agassizia
Agathiphyllia                            | Animal    | Cnidaria                   | -13820000     | -11620000    | <>
Agathoxylon                              | Plant     | Pinophyta                  | -23030000     | -5333000     | Agathoxylon
Agkistrodon                              | Animal    | Chordata                   | -13600000     | -10300000    | Agkistrodon
Agladrillia                              | Animal    | Mollusca                   | -13820000     | -11620000    | Agladrillia
Aglais                                   | Animal    | Arthropoda                 | -15970000     | -11608000    | Aglais
Aglaocetus                               | Animal    | Chordata                   | -13820000     | -11620000    | Aglaocetus
Agnotherium                              | Animal    | Chordata                   | -15970000     | -11608000    | Agnotherium
Agonoscena                               | Animal    | Arthropoda                 | -15970000     | -11608000    | <>
Agriocharis                              | Animal    | Chordata                   | -23030000     | -2588000     | Agriocharis
Agrion                                   | Animal    | Arthropoda                 | -12700000     | -11608000    | Agrion
Agriopoma                                | Animal    | Mollusca                   | -13820000     | -11620000    | Agriopoma
Agriotherium                             | Animal    | Chordata                   | -13600000     | -4900000     | Agriotherium
Aguascalientia                           | Animal    | Chordata                   | -23030000     | -5333000     | Aguascalientia
Agulla                                   | Animal    | Arthropoda                 | -15970000     | -13600000    | Agulla_(snakefly)
Ailanthipites                            | Plant     | Spermatophyta              | -15970000     | -11608000    | <>
Ailanthus                                | Plant     | Spermatophyta              | -13820000     | -11620000    | Ailanthus
Ainicardita                              | Animal    | Mollusca                   | -15970000     | -11608000    | <>
Aix                                      | Animal    | Chordata                   | -13820000     | -11620000    | Aix_(bird)
Akburunella                              | Animal    | Mollusca                   | -12700000     | -11608000    | <>
Akleistostoma                            | Animal    | Mollusca                   | -13820000     | -11620000    | <>
Alaba                                    | Animal    | Mollusca                   | -13650000     | -12700000    | Alaba
Alabina                                  | Animal    | Mollusca                   | -13820000     | -11620000    | <>
Alangium                                 | Plant     | Spermatophyta              | -13820000     | -7246000     | Alangium
Alaus                                    | Animal    | Arthropoda                 | -12700000     | -11608000    | Alaus
Albanensia                               | Animal    | Chordata                   | -12750000     | -11100000    | <>
Albanerpeton                             | Animal    | Chordata                   | -12750000     | -11100000    | Albanerpeton
Albaneryx                                | Animal    | Chordata                   | -15970000     | -11620000    | <>
Albanohyus                               | Animal    | Chordata                   | -13650000     | -11100000    | Albanohyus
Albicetus                                | Animal    | Chordata                   | -13820000     | -11620000    | Albicetus
Albula                                   | Animal    | Chordata                   | -13820000     | -11620000    | Albula_(fish)
Albunea                                  | Animal    | Arthropoda                 | -13650000     | -12700000    | <>
Alca                                     | Animal    | Chordata                   | -15970000     | -13600000    | Razorbill
Alces                                    | Animal    | Chordata                   | -15970000     | -781000      | Alces
Alcithoe                                 | Animal    | Mollusca                   | -12700000     | -11608000    | Alcithoe
Alderina                                 | Animal    | Bryozoa                    | -15970000     | -11608000    | <>
Aldrovanda                               | Plant     | Spermatophyta              | -13820000     | -11620000    | Aldrovanda
Aldrovandia                              | Animal    | Chordata                   | -15970000     | -11608000    | Aldrovandia
Alectona                                 | Animal    | Porifera                   | -13820000     | -11620000    | <>
Alepisaurus                              | Animal    | Chordata                   | -15970000     | -11608000    | Alepisaurus
Aletomeryx                               | Animal    | Chordata                   | -15970000     | -13600000    | Aletomeryx
Alforjas                                 | Animal    | Chordata                   | -13600000     | -4900000     | Alforjas
Alicornops                               | Animal    | Chordata                   | -12750000     | -11100000    | <>
Aligena                                  | Animal    | Mollusca                   | -13820000     | -11620000    | <>
Alilepus                                 | Animal    | Chordata                   | -13600000     | -10300000    | <>
Alisea                                   | Animal    | Chordata                   | -23030000     | -5333000     | Alisea
Alisma                                   | Plant     | Angiospermae               | -13820000     | -11620000    | Alisma
Allecula                                 | Animal    | Arthropoda                 | -12700000     | -11608000    | <>
Alligator                                | Animal    | Chordata                   | -13600000     | -10300000    | Alligator
Alloblarinella                           | Animal    | Chordata                   | -12750000     | -11100000    | <>
Allodesmus                               | Animal    | Chordata                   | -13820000     | -11620000    | Allodesmus
Alloiomys                                | Animal    | Chordata                   | -15500000     | -13800000    | <>
Alloptox                                 | Animal    | Chordata                   | -13820000     | -11620000    | <>
Allosorex                                | Animal    | Chordata                   | -13650000     | -12750000    | <>
Alluvisorex                              | Animal    | Chordata                   | -13600000     | -10300000    | <>
Alnus                                    | Plant     | Spermatophyta              | -13600000     | -10300000    | Alnus
Alopecocyon                              | Animal    | Chordata                   | -13600000     | -10300000    | Alopecocyon
Alopias                                  | Animal    | Chordata                   | -13650000     | -12700000    | Alopias
Alora                                    | Animal    | Mollusca                   | -15970000     | -11608000    | Alora_(gastropod)
Alosa                                    | Animal    | Chordata                   | -13820000     | -11620000    | Alosa
Alphagaulus                              | Animal    | Chordata                   | -15970000     | -13600000    | <>
Altomiramys                              | Animal    | Chordata                   | -15970000     | -11608000    | <>
Alvania                                  | Animal    | Mollusca                   | -13650000     | -12700000    | Alvania
Alveinus                                 | Animal    | Mollusca                   | -13820000     | -11620000    | <>
Alveopora                                | Animal    | Cnidaria                   | -15970000     | -11608000    | Alveopora
Amaea                                    | Animal    | Mollusca                   | -15970000     | -11608000    | <>
Amalda                                   | Animal    | Mollusca                   | -13650000     | -12700000    | Amalda
Amara                                    | Animal    | Arthropoda                 | -12700000     | -11608000    | Amara
Amathina                                 | Animal    | Mollusca                   | -23030000     | -5333000     | Amathina
Amauropsis                               | Animal    | Mollusca                   | -15970000     | -11620000    | Amauropsis
Amblyolacerta                            | Animal    | Chordata                   | -15970000     | -11620000    | <>
Amblystoma                               | Animal    | Chordata                   | -13600000     | -10300000    | Amblystoma
Amebelodon                               | Animal    | Chordata                   | -13600000     | -10300000    | Amebelodon
Ameghinomya                              | Animal    | Mollusca                   | -15970000     | -11608000    | <>
