Allocercopis                             | Animal    | Arthropoda                 | -66000000     | -56000000    | <>
Allocosmodon                             | Animal    | Chordata                   | -61700000     | -56800000    | <>
Allognathosuchus                         | Animal    | Chordata                   | -61700000     | -56800000    | Allognathosuchus
Allomorphina                             | Micro     | Foraminifera               | -66000000     | -61600000    | <>
Allostylops                              | Animal    | Chordata                   | -61700000     | -58700000    | <>
Allqokirus                               | Animal    | Chordata                   | -66000000     | -61600000    | <>
Alnus                                    | Plant     | Spermatophyta              | -66000000     | -23030000    | Alnus
Alopocosmodon                            | Animal    | Chordata                   | -63300000     | -61700000    | <>
Alpheus                                  | Animal    | Arthropoda                 | -66000000     | -23030000    | Alpheus_(shrimp)
Alticonus                                | Animal    | Chordata                   | -66000000     | -63300000    | <>
Altilambda                               | Animal    | Chordata                   | -61700000     | -58700000    | <>
Alvania                                  | Animal    | Mollusca                   | -66000000     | -61600000    | Alvania
Alveolina                                | Micro     | Foraminifera               | -66000000     | -56000000    | Alveolina
Alveopora                                | Animal    | Cnidaria                   | -66000000     | -56000000    | Alveopora
Alveugena                                | Animal    | Chordata                   | -66000000     | -63300000    | <>
Amaea                                    | Animal    | Mollusca                   | -66000000     | -61600000    | <>
Amananulam                               | Animal    | Chordata                   | -61700000     | -55800000    | <>
Amaurellina                              | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Amauropsis                               | Animal    | Mollusca                   | -66000000     | -56000000    | Amauropsis
Ambigostrea                              | Animal    | Mollusca                   | -66000000     | -61600000    | <>
Ambilestes                               | Animal    | Chordata                   | -66000000     | -63300000    | <>
Amelanchites                             | Plant     | Spermatophyta              | -66000000     | -56000000    | <>
Amelotabes                               | Animal    | Chordata                   | -61700000     | -56800000    | <>
Amesoneuron                              | Plant     | Angiospermae               | -66000000     | -63300000    | <>
Amia                                     | Animal    | Chordata                   | -61700000     | -56800000    | Amia
Ammodochium                              | Micro     | Cercozoa                   | -66000000     | -56000000    | <>
Amnicola                                 | Animal    | Mollusca                   | -66000000     | -56000000    | Amnicola
Ampelopsis                               | Plant     | Spermatophyta              | -61700000     | -56800000    | Ampelopsis
Amphiblestrella                          | Animal    | Bryozoa                    | -66000000     | -61600000    | <>
Amphiblestrum                            | Animal    | Bryozoa                    | -66000000     | -56000000    | <>
Amphibrachium                            | Micro     | Radiolaria                 | -66000000     | -61600000    | <>
Amphidolops                              | Animal    | Chordata                   | -66000000     | -61600000    | <>
Amphipternis                             | Micro     | Radiolaria                 | -66000000     | -61600000    | <>
Amphipyndax                              | Micro     | Radiolaria                 | -66000000     | -61600000    | <>
Amphiroa                                 | Plant     | Rhodophyta                 | -66000000     | -37200000    | Amphiroa
Amphisphaera                             | Micro     | Radiolaria                 | -66000000     | -61600000    | <>
Amphiuma                                 | Animal    | Chordata                   | -61700000     | -56800000    | Amphiuma
Amphiura                                 | Animal    | Echinodermata              | -70600000     | -61600000    | Amphiura
Amphorometra                             | Animal    | Echinodermata              | -70600000     | -61600000    | <>
Amphymenium                              | Micro     | Radiolaria                 | -66000000     | -61600000    | Amphymenium
Ampliconus                               | Animal    | Chordata                   | -66000000     | -63300000    | <>
Amplogladius                             | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Ampullina                                | Animal    | Mollusca                   | -66000000     | -56000000    | Ampullina
Amuletum                                 | Animal    | Mollusca                   | -66000000     | -61600000    | <>
Amydrocarcinus                           | Animal    | Arthropoda                 | -66000000     | -23030000    | <>
Anacodon                                 | Animal    | Chordata                   | -61700000     | -56800000    | <>
Anacolosidites                           | Plant     | Spermatophyta              | -66000000     | -56000000    | <>
Anadara                                  | Animal    | Mollusca                   | -66000000     | -56000000    | Anadara
Anaptogale                               | Animal    | Chordata                   | -66000000     | -61700000    | <>
Anasazia                                 | Animal    | Chordata                   | -63300000     | -61700000    | <>
Anatoma                                  | Animal    | Mollusca                   | -66000000     | -61600000    | Anatoma
Anaulus                                  | Plant     | Ochrophyta                 | -66000000     | -56000000    | <>
Anchilestes                              | Animal    | Chordata                   | -66000000     | -61700000    | <>
Anchura                                  | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Ancilla                                  | Animal    | Mollusca                   | -61700000     | -55800000    | Ancilla_(gastropod)
Anconodon                                | Animal    | Chordata                   | -61700000     | -56800000    | Anconodon
Andicula                                 | Animal    | Mollusca                   | -66000000     | -61600000    | <>
Andinodelphys                            | Animal    | Chordata                   | -66000000     | -61600000    | <>
Andinodus                                | Animal    | Chordata                   | -66000000     | -61600000    | <>
Anemia                                   | Plant     | Pteridophyta               | -66000000     | -56000000    | Anemia_(plant)
Anevrina                                 | Animal    | Arthropoda                 | -66000000     | -37200000    | Anevrina
Angaria                                  | Animal    | Mollusca                   | -66000000     | -61600000    | Angaria_(gastropod)
Angulus                                  | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Anhuichelys                              | Animal    | Chordata                   | -61700000     | -58700000    | <>
Anhuisaurus                              | Animal    | Chordata                   | -61700000     | -58700000    | Anhuisaurus
Anictops                                 | Animal    | Chordata                   | -66000000     | -61700000    | Anictops
Anisomyon                                | Animal    | Mollusca                   | -66000000     | -61600000    | <>
Anisonchus                               | Animal    | Chordata                   | -61700000     | -56800000    | <>
Ankalagon                                | Animal    | Chordata                   | -63300000     | -61700000    | Ankalagon
Anomalina                                | Micro     | Foraminifera               | -66000000     | -56000000    | <>
Anomalofusus                             | Animal    | Mollusca                   | -66000000     | -61600000    | <>
Anomia                                   | Animal    | Mollusca                   | -66000000     | -56000000    | Anomia_(bivalve)
Anornithopora                            | Animal    | Bryozoa                    | -66000000     | -61600000    | <>
Anqingosaurus                            | Animal    | Chordata                   | -66000000     | -61700000    | Anqingosaurus
Antalis                                  | Animal    | Mollusca                   | -66000000     | -61600000    | Antalis
Antarctiranella                          | Animal    | Mollusca                   | -66000000     | -61600000    | <>
Antarctodarwinella                       | Animal    | Mollusca                   | -66000000     | -61600000    | <>
Anthicus                                 | Animal    | Arthropoda                 | -66000000     | -56000000    | Anthicus
Anthonomus                               | Animal    | Arthropoda                 | -66000000     | -56000000    | Anthonomus
Anthracosuchus                           | Animal    | Chordata                   | -61700000     | -55800000    | Anthracosuchus
Anticlimax                               | Animal    | Mollusca                   | -66000000     | -61600000    | Anticlimax_(gastropod)
Antiguastrea                             | Animal    | Cnidaria                   | -66000000     | -61600000    | <>
Antropora                                | Animal    | Bryozoa                    | -66000000     | -61600000    | Antropora
Antulsporites                            | Plant     | Pteridophyta               | -66000000     | -61600000    | <>
Aphanocyon                               | Animal    | Chordata                   | -61700000     | -56800000    | <>
Apheliscus                               | Animal    | Chordata                   | -61700000     | -56800000    | <>
Aphrocallistes                           | Animal    | Porifera                   | -66000000     | -61600000    | Aphrocallistes
Aphrodina                                | Animal    | Mollusca                   | -66000000     | -61600000    | <>
Aphronorus                               | Animal    | Chordata                   | -61700000     | -56800000    | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -66000000     | -61600000    | <>
Aplousina                                | Animal    | Bryozoa                    | -66000000     | -61600000    | <>
Apocynophyllum                           | Plant     | Spermatophyta              | -66000000     | -56000000    | <>
Apogonidarum                             | Animal    | Chordata                   | -66000000     | -61600000    | <>
Aporrhais                                | Animal    | Mollusca                   | -66000000     | -61600000    | Aporrhais
Appendicisporites                        | Plant     | Pteridophyta               | -100500000    | -5333000     | <>
Applinocrinus                            | Animal    | Echinodermata              | -70600000     | -61600000    | <>
Apsendesia                               | Animal    | Bryozoa                    | -66000000     | -61600000    | <>
Aquaephyllum                             | Plant     | Angiospermae               | -100500000    | -61700000    | <>
Aquilapollenites                         | Plant     | Magnoliophyta              | -66000000     | -56000000    | <>
Aquilofusus                              | Animal    | Mollusca                   | -66000000     | -61600000    | <>
Arachnoidiscus                           | Plant     | Ochrophyta                 | -66000000     | -56000000    | <>
Araeodactylus                            | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Araiochelys                              | Animal    | Chordata                   | -66000000     | -61600000    | Araiochelys
Aralia                                   | Plant     | Spermatophyta              | -66000000     | -56000000    | Aralia
Araloselachus                            | Animal    | Chordata                   | -66000000     | -56000000    | <>
Araucariacites                           | Plant     | Pinophyta                  | -100500000    | -33900000    | <>
Araucaria                                | Plant     | Pinophyta                  | -100500000    | -33900000    | Araucaria
Araucarioxylon                           | Plant     | Pinophyta                  | -66000000     | -61600000    | Araucarioxylon
Arca                                     | Animal    | Mollusca                   | -66000000     | -56000000    | Arca
Archaeodictyomitra                       | Micro     | Radiolaria                 | -66000000     | -61600000    | <>
Archaeolambda                            | Animal    | Chordata                   | -61700000     | -58700000    | <>
Archaeolithothamnium                     | Plant     | Rhodophyta                 | -66000000     | -56000000    | <>
Archaeomanta                             | Animal    | Chordata                   | -66000000     | -61600000    | Archaeomanta
Archaeoryctes                            | Animal    | Chordata                   | -61700000     | -58700000    | <>
Archaerhineura                           | Animal    | Chordata                   | -61700000     | -56800000    | Archaerhineura
Archaralites                             | Animal    | Arthropoda                 | -66000000     | -61600000    | <>
Archicypraea                             | Animal    | Mollusca                   | -66000000     | -61600000    | <>
Architectonica                           | Animal    | Mollusca                   | -61700000     | -55800000    | Architectonica
Arcomytilus                              | Animal    | Mollusca                   | -66000000     | -61600000    | <>
Arcopagia                                | Animal    | Mollusca                   | -61700000     | -55800000    | <>
Arcoperna                                | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Arcopsis                                 | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Arcoscalpellum                           | Animal    | Arthropoda                 | -66000000     | -61600000    | <>
Arctica                                  | Animal    | Mollusca                   | -66000000     | -56000000    | Arctica_(bivalve)
Arcticlam                                | Animal    | Mollusca                   | -66000000     | -61600000    | <>
Arctocyon                                | Animal    | Chordata                   | -61700000     | -56800000    | Arctocyon
Arctodontomys                            | Animal    | Chordata                   | -61700000     | -56800000    | <>
Arctostylops                             | Animal    | Chordata                   | -61700000     | -56800000    | <>
Arcuatula                                | Animal    | Mollusca                   | -66000000     | -61600000    | Arcuatula
Arecipites                               | Plant     | Angiospermae               | -100500000    | -56000000    | <>
Arenobulimina                            | Micro     | Foraminifera               | -66000000     | -61600000    | <>
Argilloecia                              | Animal    | Arthropoda                 | -66000000     | -56000000    | <>
Argochampsa                              | Animal    | Chordata                   | -66000000     | -56000000    | Argochampsa
Argyrotheca                              | Animal    | Brachiopoda                | -66000000     | -59200000    | Argyrotheca
Arkharia                                 | Animal    | Arthropoda                 | -66000000     | -61600000    | <>
Arrhoges                                 | Animal    | Mollusca                   | -66000000     | -56000000    | Arrhoges
Arthrocardia                             | Plant     | Rhodophyta                 | -66000000     | -56000000    | <>
Artostobium                              | Micro     | Radiolaria                 | -66000000     | -61600000    | <>
Artostrobus                              | Micro     | Radiolaria                 | -66000000     | -61600000    | <>
Arundo                                   | Plant     | Angiospermae               | -66000000     | -33900000    | Arundo
Asiatosuchus                             | Animal    | Chordata                   | -61700000     | -58700000    | Asiatosuchus
Asiostylops                              | Animal    | Chordata                   | -61700000     | -58700000    | <>
Aspidaster                               | Animal    | Echinodermata              | -70600000     | -61600000    | <>
Aspideretoides                           | Animal    | Chordata                   | -66000000     | -61700000    | <>
Aspidostoma                              | Animal    | Bryozoa                    | -66000000     | -61600000    | <>
Astacus                                  | Animal    | Arthropoda                 | -66000000     | -23030000    | Astacus
Astarte                                  | Animal    | Mollusca                   | -61700000     | -55800000    | Astarte
Astele                                   | Animal    | Mollusca                   | -66000000     | -61600000    | Astele
Asterosmilia                             | Animal    | Cnidaria                   | -66000000     | -61600000    | Asterosmilia
Astigale                                 | Animal    | Chordata                   | -66000000     | -61700000    | <>
Astrangia                                | Animal    | Cnidaria                   | -66000000     | -56000000    | Astrangia
Astreopora                               | Animal    | Cnidaria                   | -66000000     | -56000000    | Astreopora
Astrocoenia                              | Animal    | Cnidaria                   | -66000000     | -56000000    | <>
Astropecten                              | Animal    | Echinodermata              | -66000000     | -61600000    | Astropecten
Astya                                    | Animal    | Cnidaria                   | -66000000     | -61600000    | <>
Ataphrus                                 | Animal    | Mollusca                   | -66000000     | -61600000    | <>
Ataxocerithium                           | Animal    | Mollusca                   | -66000000     | -61600000    | Ataxocerithium
Ataxophragmium                           | Micro     | Foraminifera               | -100500000    | -56000000    | <>
Athleta                                  | Animal    | Mollusca                   | -61700000     | -55800000    | Athleta
Athous                                   | Animal    | Arthropoda                 | -66000000     | -59200000    | Athous
Athrotaxis                               | Plant     | Pinophyta                  | -66000000     | -28100000    | Athrotaxis
Atlantosuchus                            | Animal    | Chordata                   | -66000000     | -61600000    | Atlantosuchus
Atractosteus                             | Animal    | Chordata                   | -72100000     | -56000000    | Atractosteus
Atreta                                   | Animal    | Mollusca                   | -66000000     | -61600000    | <>
Atrina                                   | Animal    | Mollusca                   | -66000000     | -56000000    | Atrina
Attenuata                                | Animal    | Mollusca                   | -66000000     | -61600000    | Attenuata
Aturia                                   | Animal    | Mollusca                   | -66000000     | -23030000    | Aturia
Aturoidea                                | Animal    | Mollusca                   | -66000000     | -61600000    | <>
Atys                                     | Animal    | Mollusca                   | -66000000     | -59200000    | Atys_(gastropod)
Aulacodiscus                             | Plant     | Ochrophyta                 | -66000000     | -56000000    | <>
Auliscus                                 | Plant     | Ochrophyta                 | -66000000     | -56000000    | <>
Aulocyathus                              | Animal    | Cnidaria                   | -66000000     | -61600000    | Aulocyathus
Auloplax                                 | Animal    | Porifera                   | -83600000     | -61600000    | <>
Aulosmilia                               | Animal    | Cnidaria                   | -66000000     | -61600000    | <>
