Amabilis                                 | Animal    | Chordata                   | -86300000     | -83600000    | Amabilis
Amaea                                    | Animal    | Mollusca                   | -85800000     | -83500000    | <>
Amapondella                              | Animal    | Mollusca                   | -85800000     | -83500000    | <>
Amathina                                 | Animal    | Mollusca                   | -85800000     | -83500000    | Amathina
Ambocardia                               | Animal    | Mollusca                   | -85800000     | -83500000    | <>
Amia                                     | Animal    | Chordata                   | -89300000     | -83600000    | Amia
Ammobaculites                            | Micro     | Foraminifera               | -86300000     | -83600000    | <>
Ammodiscus                               | Micro     | Foraminifera               | -86300000     | -83600000    | Ammodiscus
Ampelopsis                               | Plant     | Spermatophyta              | -89800000     | -72100000    | Ampelopsis
Amphidiadema                             | Micro     | Myzozoa                    | -86300000     | -72100000    | <>
Amphidonte                               | Animal    | Mollusca                   | -100500000    | -66000000    | <>
Amphipyndax                              | Micro     | Radiolaria                 | -85800000     | -83500000    | <>
Amphiroa                                 | Plant     | Rhodophyta                 | -89300000     | -66000000    | Amphiroa
Amphithelion                             | Animal    | Porifera                   | -86300000     | -72100000    | <>
Ampullina                                | Animal    | Mollusca                   | -100500000    | -66000000    | Ampullina
Amtocephale                              | Animal    | Chordata                   | -100500000    | -83600000    | Amtocephale
Amuletum                                 | Animal    | Mollusca                   | -93900000     | -83600000    | <>
Anagaudryceras                           | Animal    | Mollusca                   | -85800000     | -83500000    | Anagaudryceras
Anatina                                  | Animal    | Mollusca                   | -89800000     | -83600000    | Anatina
Anatolemys                               | Animal    | Chordata                   | -85800000     | -83500000    | Anatolemys
Anchura                                  | Animal    | Mollusca                   | -100500000    | -66000000    | <>
Andromeda                                | Plant     | Spermatophyta              | -85800000     | -72100000    | Andromeda
Androvettia                              | Plant     | Coniferophyta              | -100500000    | -66000000    | <>
Anemia                                   | Plant     | Pteridophyta               | -100500000    | -66000000    | Anemia
Aneuretoceras                            | Animal    | Mollusca                   | -89300000     | -85800000    | Aneuretoceras
Angaria                                  | Animal    | Mollusca                   | -85800000     | -83500000    | Angaria
Angulithes                               | Animal    | Mollusca                   | -85800000     | -83500000    | <>
Aniabrochus                              | Animal    | Brachiopoda                | -89800000     | -83600000    | <>
Aniferella                               | Animal    | Arthropoda                 | -85800000     | -83500000    | <>
Anisomyon                                | Animal    | Mollusca                   | -85800000     | -66000000    | <>
Ankinatsytes                             | Animal    | Mollusca                   | -89300000     | -85800000    | Ankinatsytes
Ankistrorhynchus                         | Animal    | Chordata                   | -86300000     | -70600000    | Ankistrorhynchus
Annieporcellana                          | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Annuntidiogenes                          | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Anodonta                                 | Animal    | Mollusca                   | -85800000     | -83500000    | Anodonta
Anofia                                   | Animal    | Mollusca                   | -85800000     | -83500000    | <>
Anogmius                                 | Animal    | Chordata                   | -85800000     | -70600000    | <>
Anomalina                                | Micro     | Foraminifera               | -100500000    | -66000000    | <>
Anomalinoides                            | Micro     | Foraminifera               | -85800000     | -83500000    | <>
Anomalofusus                             | Animal    | Mollusca                   | -85800000     | -83500000    | <>
Anomia                                   | Animal    | Mollusca                   | -100500000    | -66000000    | Anomia
Anomoeodus                               | Animal    | Chordata                   | -145000000    | -66000000    | Anomoeodus
Anomotodon                               | Animal    | Chordata                   | -100500000    | -66000000    | Anomotodon
Anosteira                                | Animal    | Chordata                   | -100500000    | -83600000    | Anosteira
Antarctosaurus                           | Animal    | Chordata                   | -89300000     | -83500000    | Antarctosaurus
Anthonya                                 | Animal    | Mollusca                   | -85800000     | -66000000    | <>
Anthribites                              | Animal    | Arthropoda                 | -89300000     | -85800000    | <>
Antibythocypris                          | Animal    | Arthropoda                 | -85800000     | -83500000    | <>
Antillocaprina                           | Animal    | Mollusca                   | -85800000     | -83500000    | <>
Antillosarcolites                        | Animal    | Mollusca                   | -85800000     | -83500000    | <>
Antonaphis                               | Animal    | Arthropoda                 | -85800000     | -83500000    | <>
Aocnodromeus                             | Animal    | Chordata                   | -85800000     | -83500000    | <>
Apateodus                                | Animal    | Chordata                   | -89800000     | -83600000    | Apateodus
Apatornis                                | Animal    | Chordata                   | -89800000     | -83600000    | Apatornis
Apeibopsis                               | Plant     | Spermatophyta              | -100500000    | -66000000    | <>
Aphidocallis                             | Animal    | Arthropoda                 | -85800000     | -83500000    | <>
Aphrocallistes                           | Animal    | Porifera                   | -86300000     | -83600000    | Aphrocallistes
Aphrodina                                | Animal    | Mollusca                   | -89800000     | -83600000    | <>
Aphytocerus                              | Animal    | Arthropoda                 | -85800000     | -83500000    | <>
Apistodon                                | Animal    | Chordata                   | -85800000     | -83500000    | <>
Apocopodon                               | Animal    | Chordata                   | -100500000    | -66000000    | Apocopodon
Apolephthisa                             | Animal    | Arthropoda                 | -85800000     | -83500000    | Apolephthisa
Aporrhais                                | Animal    | Mollusca                   | -145000000    | -66000000    | Aporrhais
Aposerphites                             | Animal    | Arthropoda                 | -85800000     | -83500000    | <>
Appendicisporites                        | Plant     | Pteridophyta               | -100500000    | -5333000     | <>
Apricardia                               | Animal    | Mollusca                   | -85800000     | -83500000    | <>
Apsopelix                                | Animal    | Chordata                   | -100500000    | -66000000    | Apsopelix
Aptyxiella                               | Animal    | Mollusca                   | -86300000     | -83600000    | <>
Apulites                                 | Animal    | Mollusca                   | -89300000     | -66000000    | <>
Apulosauripus                            | Animal    | Chordata                   | -85800000     | -83500000    | <>
Aquaephyllum                             | Plant     | Angiospermae               | -100500000    | -61700000    | <>
Aquiladelphis                            | Animal    | Chordata                   | -85800000     | -83500000    | <>
Arabicodium                              | Plant     | Chlorophyta                | -86300000     | -83600000    | Arabicodium
Aralazhdarcho                            | Animal    | Chordata                   | -86300000     | -70600000    | Aralazhdarcho
Araliaephyllum                           | Plant     | Spermatophyta              | -100500000    | -66000000    | <>
Aralia                                   | Plant     | Spermatophyta              | -100500000    | -66000000    | Aralia
Aralosaurus                              | Animal    | Chordata                   | -86300000     | -70600000    | Aralosaurus
Araloselachus                            | Animal    | Chordata                   | -100500000    | -66000000    | <>
Araripesuchus                            | Animal    | Chordata                   | -89300000     | -83600000    | Araripesuchus
Araucariacites                           | Plant     | Pinophyta                  | -100500000    | -33900000    | <>
Araucaria                                | Plant     | Pinophyta                  | -100500000    | -33900000    | Araucaria
Araucarioxylon                           | Plant     | Pinophyta                  | -145000000    | -66000000    | Araucarioxylon
Araucarites                              | Plant     | Pinophyta                  | -100500000    | -66000000    | <>
Arca                                     | Animal    | Mollusca                   | -85800000     | -83500000    | Arca
Arcellites                               | Plant     | Pteridophyta               | -145000000    | -66000000    | <>
Archaeanthus                             | Plant     | Spermatophyta              | -145000000    | -66000000    | <>
Archaelachesis                           | Animal    | Arthropoda                 | -85800000     | -83500000    | <>
Archaeocarabus                           | Animal    | Arthropoda                 | -100500000    | -66000000    | <>
Archaeodictyomitra                       | Micro     | Radiolaria                 | -145000000    | -66000000    | <>
Archaeoglobigerina                       | Micro     | Foraminifera               | -85800000     | -83500000    | <>
Archaeolamna                             | Animal    | Chordata                   | -85800000     | -83500000    | Archaeolamna
Archaeolithophyllum                      | Plant     | Rhodophyta                 | -89300000     | -66000000    | Archaeolithophyllum
Archaeoniscus                            | Animal    | Arthropoda                 | -145000000    | -66000000    | Archaeoniscus
Archaeopolycentra                        | Animal    | Arthropoda                 | -85800000     | -83500000    | <>
Archaeopus                               | Animal    | Arthropoda                 | -100500000    | -66000000    | <>
Archaeornithomimus                       | Animal    | Chordata                   | -89800000     | -83600000    | Archaeornithomimus
Archaeospongoprunum                      | Micro     | Radiolaria                 | -85800000     | -83500000    | <>
Archaeoxylita                            | Animal    | Arthropoda                 | -85800000     | -83500000    | <>
Archaeozostera                           | Plant     | Angiospermae               | -100500000    | -66000000    | <>
Archaepyris                              | Animal    | Arthropoda                 | -85800000     | -83500000    | <>
Archaeromma                              | Animal    | Arthropoda                 | -85800000     | -83500000    | <>
Archiacina                               | Micro     | Foraminifera               | -85800000     | -72100000    | <>
Archichrysotus                           | Animal    | Arthropoda                 | -85800000     | -83500000    | Archichrysotus
Archimediella                            | Animal    | Mollusca                   | -86300000     | -83600000    | Archimediella
Archiplatypalpus                         | Animal    | Arthropoda                 | -85800000     | -83500000    | <>
Arcodonichthys                           | Animal    | Chordata                   | -145000000    | -66000000    | <>
Arcoscalpellum                           | Animal    | Arthropoda                 | -85800000     | -70600000    | <>
Arctica                                  | Animal    | Mollusca                   | -86300000     | -83600000    | Arctica_(bivalve)
Arecipites                               | Plant     | Angiospermae               | -100500000    | -56000000    | <>
Argyrotheca                              | Animal    | Brachiopoda                | -100500000    | -66000000    | Argyrotheca
Ariadnaesporites                         | Plant     | Pteridophyta               | -100500000    | -66000000    | <>
Armania                                  | Animal    | Arthropoda                 | -89300000     | -85800000    | <>
Armenocerithium                          | Animal    | Mollusca                   | -86300000     | -83600000    | <>
